date,open,high,low,close,volume,average,barCount
2020-07-13,97.28,99.96,95.26,95.48,138595476.0,98.1795,167403
2020-07-14,94.83,97.26,93.88,97.06,117112700.0,95.73775,148914
2020-07-15,99.0,99.25,96.49,97.73,113107792.0,97.7785,137849
2020-07-16,96.56,97.41,95.91,96.52,78651164.0,96.467,101946
2020-07-17,96.99,97.15,95.84,96.33,63294988.0,96.50525,80311
2020-07-20,96.42,98.5,96.06,98.36,62178080.0,97.3545,83845
2020-07-21,99.17,99.25,96.74,97.0,72579996.0,97.87225,91561
2020-07-22,96.67,97.98,96.6,97.27,59147512.0,97.16325,79183
2020-07-23,97.0,97.08,92.01,92.85,134907084.0,94.11975,178520
2020-07-24,90.95,92.97,89.16,92.61,135118560.0,91.57875,171258
2020-07-27,93.72,94.91,93.48,94.81,85598640.0,94.34325,108472
2020-07-28,94.37,94.55,93.25,93.25,64781308.0,93.8455,83360
2020-07-29,93.75,95.23,93.71,95.04,64108776.0,94.5495,79269
2020-07-30,94.19,96.3,93.77,96.19,90395252.0,95.28925,117605
2020-07-31,102.88,106.42,100.83,106.26,269396056.0,103.3415,329925
2020-08-03,108.31,111.64,107.89,108.94,229210140.0,109.71925,270289
2020-08-04,109.13,110.79,108.39,109.67,129586812.0,109.67275,152793
2020-08-05,109.4,110.39,108.9,110.06,85991284.0,109.63425,102077
2020-08-06,110.41,114.41,109.8,113.9,152043056.0,112.43925,165905
2020-08-07,113.19,113.67,110.29,111.11,138452712.0,112.0215,170964
2020-08-10,112.57,113.78,110.0,112.73,160483952.0,112.305,187148
2020-08-11,111.92,112.48,109.11,109.38,118239720.0,111.073,154413
2020-08-12,110.44,113.28,110.3,113.01,121743412.0,112.2285,145086
2020-08-13,114.44,116.04,113.93,115.01,155006908.0,114.9965,177331
2020-08-14,114.74,115.0,113.05,114.91,121315276.0,114.129,146398
2020-08-17,116.04,116.09,113.96,114.61,79245148.0,114.85925,96652
2020-08-18,114.35,116.0,114.01,115.56,74225816.0,115.21325,91084
2020-08-19,115.99,117.16,115.61,115.71,104002652.0,116.47875,122038
2020-08-20,115.76,118.39,115.73,118.28,89142864.0,117.3265,109714
2020-08-21,119.24,124.87,119.24,124.37,252767220.0,122.65075,307792
2020-08-24,128.7,128.79,123.94,125.86,244658212.0,126.30125,291959
2020-08-25,124.69,125.18,123.05,124.83,155340756.0,124.15025,192458
2020-08-26,126.2,126.99,125.08,126.52,113080868.0,126.0595,143322
2020-08-27,127.13,127.49,123.83,125.01,106919744.0,125.6975,138382
2020-08-28,126.01,126.44,124.58,124.81,115671972.0,125.43325,155152
2020-08-31,127.62,131.0,126.0,129.04,162916504.0,129.057,700207
2020-09-01,132.79,134.8,130.53,134.18,116485633.0,132.815,451366
2020-09-02,137.59,137.97,127.0,131.4,153782888.0,131.496,622987
2020-09-03,126.94,128.84,120.5,120.88,188344942.0,123.713,777894
2020-09-04,120.14,123.7,110.89,120.96,258981947.0,117.789,1142134
2020-09-08,114.28,118.99,112.68,112.82,177833276.0,115.654,761689
2020-09-09,117.25,119.14,115.26,117.32,133953089.0,117.47,532880
2020-09-10,120.44,120.5,112.5,113.49,144995708.0,116.162,560620
2020-09-11,114.61,115.23,110.0,112.0,146604904.0,112.002,566152
2020-09-14,114.72,115.93,112.8,115.36,107834964.0,114.507,423571
2020-09-15,118.39,118.83,113.61,115.54,149440906.0,116.453,533836
2020-09-16,115.17,116.0,112.04,112.13,119144932.0,113.694,487284
2020-09-17,109.7,112.2,108.71,110.34,138761190.0,110.136,546435
2020-09-18,110.38,110.88,106.09,106.84,182121520.0,108.108,667539
2020-09-21,104.52,110.19,103.1,110.08,158794908.0,106.83,594601
2020-09-22,112.68,112.86,109.16,111.81,151906405.0,110.898,565195
2020-09-23,111.63,112.11,106.77,107.12,117086572.0,109.352,454888
2020-09-24,105.19,110.25,105.0,108.22,138150576.0,108.649,506479
2020-09-25,108.51,112.44,107.67,112.28,123192926.0,110.548,452627
2020-09-28,114.91,115.32,112.78,114.96,111836944.0,113.935,430653
2020-09-29,114.54,115.31,113.57,114.09,83437083.0,114.218,296924
