date,open,high,low,close,volume,average,barCount
2020-07-13,28.78,29.06,28.08,28.29,1595838.0,28.582,11683
2020-07-14,28.26,29.21,28.2,28.9,948421.0,28.75,7302
2020-07-15,29.63,30.48,29.32,30.34,1684251.0,30.056,12309
2020-07-16,30.18,31.28,30.0,30.82,1513466.0,30.913,9618
2020-07-17,30.76,30.82,30.4,30.69,877273.0,30.634,5666
2020-07-20,30.49,30.55,29.84,30.04,768750.0,30.117,5655
2020-07-21,31.26,31.27,30.17,30.43,992248.0,30.536,7052
2020-07-22,30.11,30.82,30.01,30.74,686361.0,30.619,5079
2020-07-23,30.66,31.3,30.44,31.19,1314785.0,31.022,9592
2020-07-24,31.2,31.2,30.67,30.85,1230611.0,30.853,7941
2020-07-27,30.6,30.71,29.83,30.13,965893.0,30.1,6996
2020-07-28,30.27,30.59,30.07,30.1,998817.0,30.255,7416
2020-07-29,30.05,30.96,29.94,30.86,1153816.0,30.545,8032
2020-07-30,30.04,31.79,29.95,31.11,1903889.0,31.212,13772
2020-07-31,31.11,31.2,29.98,30.75,1271594.0,30.515,8044
2020-08-03,30.8,31.17,30.42,30.95,957492.0,30.945,6500
2020-08-04,31.06,31.11,30.27,30.37,899424.0,30.546,6242
2020-08-05,30.53,31.1,30.48,30.82,983178.0,30.835,5868
2020-08-06,30.59,31.32,30.57,31.32,1355344.0,31.126,6927
2020-08-07,31.18,32.54,30.96,32.49,1094783.0,32.05,7715
2020-08-10,32.66,33.19,32.39,32.73,1247257.0,32.724,8563
2020-08-11,33.44,33.68,32.69,32.85,1152495.0,33.065,7653
2020-08-12,33.22,33.27,32.46,32.6,904816.0,32.698,7188
2020-08-13,32.47,32.71,31.98,32.36,449989.0,32.418,3555
2020-08-14,32.04,32.55,31.92,32.25,539774.0,32.296,3719
2020-08-17,32.24,32.24,31.47,31.76,550680.0,31.758,3985
2020-08-18,31.81,32.0,31.42,31.58,496155.0,31.668,3512
2020-08-19,31.61,31.99,31.2,31.4,569564.0,31.56,4108
2020-08-20,31.06,31.64,30.93,31.4,518888.0,31.432,4033
2020-08-21,31.38,31.41,30.78,30.9,562394.0,31.001,3945
2020-08-24,31.01,31.99,30.88,31.95,569495.0,31.617,3386
2020-08-25,32.15,32.18,31.37,31.47,585565.0,31.582,4161
2020-08-26,31.43,31.59,31.01,31.39,843429.0,31.355,4864
2020-08-27,31.63,32.84,31.59,32.31,691199.0,32.436,4702
2020-08-28,32.64,32.64,31.59,32.27,896733.0,32.079,6550
2020-08-31,32.11,32.17,31.45,31.54,590246.0,31.627,4607
2020-09-01,31.27,31.72,31.2,31.6,682166.0,31.573,3943
2020-09-02,31.74,32.27,31.35,32.13,855139.0,32.044,6114
2020-09-03,32.28,33.05,31.98,32.12,1003188.0,32.229,7270
2020-09-04,32.71,32.88,31.48,31.87,704394.0,32.028,5618
2020-09-08,31.5,31.5,30.47,31.0,1085599.0,30.889,8277
2020-09-09,31.23,31.9,31.0,31.55,1268472.0,31.64,8999
2020-09-10,31.6,31.77,31.06,31.16,931837.0,31.328,7443
2020-09-11,31.2,31.35,30.46,30.73,794174.0,30.799,6106
2020-09-14,31.06,31.37,30.75,31.04,954368.0,31.03,7734
2020-09-15,31.09,31.41,30.19,30.29,1309957.0,30.444,9008
2020-09-16,30.49,31.14,30.37,30.61,782583.0,30.785,6092
2020-09-17,30.22,30.57,29.81,30.42,960765.0,30.233,7235
2020-09-18,30.37,30.48,29.31,29.48,1400182.0,29.671,10039
2020-09-21,28.75,29.01,27.98,28.89,1869774.0,28.492,13137
2020-09-22,28.99,29.72,28.73,29.0,805074.0,29.115,5986
2020-09-23,29.08,29.36,27.91,27.93,1018775.0,28.476,7447
2020-09-24,27.97,28.47,27.41,28.14,1465420.0,28.105,10596
2020-09-25,27.78,28.52,27.76,28.45,1015675.0,28.285,7406
2020-09-28,29.07,29.72,28.88,29.26,842590.0,29.417,6095
2020-09-29,29.15,29.31,28.51,28.87,795111.0,28.902,5943
2020-09-30,29.1,29.72,29.01,29.25,1485294.0,29.388,7350
2020-10-01,29.35,29.7,29.11,29.4,735879.0,29.414,5532
2020-10-02,28.86,29.94,28.6,29.7,413767.0,29.6,3321
2020-10-05,30.02,30.69,29.68,30.64,601946.0,30.468,4997
2020-10-06,30.95,30.95,30.02,30.18,531354.0,30.514,4132
2020-10-07,30.38,30.85,30.1,30.24,554249.0,30.36,4244
2020-10-08,30.39,31.51,30.39,31.5,861032.0,31.172,6522
2020-10-09,31.97,32.0,31.48,31.53,1112526.0,31.708,7211
2020-10-12,31.39,31.85,31.04,31.71,1208726.0,31.574,9385
2020-10-13,31.52,31.68,30.74,30.81,666747.0,31.01,4975
2020-10-14,30.52,31.2,30.22,30.46,771757.0,30.738,5891
2020-10-15,30.18,30.96,30.1,30.89,549431.0,30.692,3970
2020-10-16,30.81,31.16,30.48,30.85,584450.0,30.845,4359
2020-10-19,31.05,31.05,29.87,29.89,593949.0,30.325,4721
2020-10-20,30.35,30.68,29.99,30.26,841697.0,30.278,6598
2020-10-21,30.15,31.03,30.09,30.86,1736304.0,30.773,10281
2020-10-22,30.82,31.79,30.66,31.68,2274432.0,31.301,11517
2020-10-23,32.02,32.16,31.5,31.81,586049.0,31.799,4688
2020-10-26,31.56,31.56,30.37,30.48,975134.0,30.654,6271
2020-10-27,30.34,30.51,29.16,29.21,1008094.0,29.581,6638
2020-10-28,28.76,29.68,28.55,29.45,1634156.0,29.289,11173
2020-10-29,29.39,30.75,29.11,30.43,2849952.0,30.194,14308
2020-10-30,30.85,32.14,29.84,30.21,2340073.0,30.608,15959
2020-11-02,30.85,31.65,30.64,31.37,1743729.0,31.154,12265
2020-11-03,31.95,32.34,31.53,31.91,1568999.0,31.976,10519
2020-11-04,31.28,32.56,30.77,31.98,1377794.0,32.061,10323
2020-11-05,32.1,32.84,31.7,31.91,1347124.0,32.186,10689
2020-11-06,32.27,32.33,31.2,31.55,1457812.0,31.651,11404
2020-11-09,34.06,34.88,33.96,34.44,1548472.0,34.489,11469
2020-11-10,34.57,35.48,34.21,35.22,1183957.0,35.102,9597
2020-11-11,35.22,35.54,34.27,34.73,882969.0,34.705,6784
2020-11-12,34.09,35.42,33.33,33.73,922229.0,33.695,6479
2020-11-13,34.23,34.41,33.0,34.15,796362.0,34.147,6636
2020-11-16,35.18,35.54,34.81,35.3,1046971.0,35.069,7378
2020-11-17,34.9,35.26,34.22,35.24,968359.0,34.925,7022
2020-11-18,35.41,35.53,34.88,34.89,850935.0,35.188,7019
2020-11-19,34.78,34.98,33.98,34.87,1240628.0,34.646,9082
2020-11-20,34.69,34.83,33.74,33.97,1444016.0,34.007,8209
2020-11-23,34.08,34.34,33.74,33.99,1684035.0,33.991,11829
2020-11-24,34.49,34.83,33.85,34.55,1964055.0,34.446,12183
2020-11-25,34.27,34.27,33.3,33.55,1346568.0,33.598,9609
2020-11-27,33.44,33.6,32.69,33.03,714341.0,33.012,4766
2020-11-30,32.89,32.9,31.9,32.2,3191112.0,32.321,19769
2020-12-01,33.0,33.23,32.18,33.02,1842707.0,32.687,12222
2020-12-02,32.97,33.34,32.5,33.11,871838.0,32.925,6139
2020-12-03,33.02,33.1,32.37,32.59,1123247.0,32.645,8037
2020-12-04,33.15,34.24,32.9,34.17,1267706.0,33.8,8979
2020-12-07,33.96,34.15,33.05,33.25,1401082.0,33.495,8665
2020-12-08,33.3,33.58,32.95,33.18,909186.0,33.222,6345
2020-12-09,33.49,33.62,32.19,33.55,2728907.0,33.16,13471
2020-12-10,33.4,34.35,33.32,34.27,1788837.0,33.962,12215
2020-12-11,33.96,34.65,33.69,33.75,1193944.0,34.022,7558
2020-12-14,34.04,34.3,33.3,33.57,2081330.0,33.713,13284
2020-12-15,33.9,34.93,33.64,34.93,1529670.0,34.545,10641
2020-12-16,34.99,35.58,34.83,35.4,1484256.0,35.24,10235
2020-12-17,35.5,35.78,35.31,35.55,1751831.0,35.567,11085
2020-12-18,36.16,36.16,34.3,34.43,2306407.0,35.103,14543
2020-12-21,34.24,34.56,33.68,34.37,1038017.0,34.166,7598
2020-12-22,34.32,34.66,34.03,34.58,1134289.0,34.47,7759
2020-12-23,34.91,35.52,34.85,35.08,1069615.0,35.108,7192
2020-12-24,35.09,35.09,34.45,34.86,446067.0,34.701,2961
2020-12-28,34.86,35.5,34.86,35.33,777948.0,35.302,5308
2020-12-29,35.63,35.9,35.14,35.3,956133.0,35.282,7678
