date,open,high,low,close,volume,average,barCount
2020-07-13,221.33,221.87,215.23,215.74,1364450.0,219.114,9541
2020-07-14,214.8,219.37,213.51,219.16,1011836.0,216.373,7161
2020-07-15,220.0,222.75,218.46,219.76,1378656.0,220.413,10305
2020-07-16,219.78,220.63,218.59,219.11,915827.0,219.524,6485
2020-07-17,219.69,222.64,218.3,221.94,1116635.0,220.912,7389
2020-07-20,222.0,224.11,220.11,223.43,765512.0,222.745,5464
2020-07-21,224.9,225.74,222.44,222.75,734608.0,223.965,5344
2020-07-22,222.75,224.74,222.44,224.23,859719.0,223.837,5569
2020-07-23,224.08,225.51,221.37,222.3,769454.0,223.565,5709
2020-07-24,220.21,223.17,220.21,221.44,794519.0,221.468,6419
2020-07-27,221.5,224.52,220.82,223.32,828974.0,223.384,6483
2020-07-28,223.04,224.76,221.9,222.18,893951.0,223.487,7138
2020-07-29,221.98,225.4,221.93,224.38,879432.0,223.723,6758
2020-07-30,220.81,223.99,219.78,223.98,800707.0,222.507,6234
2020-07-31,223.89,224.95,220.9,224.78,680247.0,223.023,5183
2020-08-03,225.0,228.01,224.46,227.18,890222.0,226.808,6656
2020-08-04,226.29,227.78,225.55,227.15,619053.0,226.442,4431
2020-08-05,227.94,229.4,227.46,228.7,647067.0,228.443,4747
2020-08-06,227.68,230.97,227.68,230.89,671285.0,229.405,4890
2020-08-07,229.25,231.87,228.72,231.56,683284.0,230.503,5167
2020-08-10,229.69,231.26,229.52,230.34,673088.0,230.222,4805
2020-08-11,230.58,232.51,228.16,228.57,1118787.0,230.465,7249
2020-08-12,230.3,231.32,229.25,229.75,910712.0,230.438,6200
2020-08-13,229.59,232.38,228.93,231.73,1030702.0,231.287,7576
2020-08-14,230.57,231.93,229.41,230.25,622120.0,230.802,4072
2020-08-17,231.45,233.77,230.98,232.62,637178.0,232.906,4187
2020-08-18,233.35,234.93,232.58,234.23,741752.0,234.161,5611
2020-08-19,233.8,236.51,233.8,234.63,767704.0,235.268,5887
2020-08-20,233.94,236.95,233.58,236.61,656909.0,236.0,5058
2020-08-21,236.86,238.3,235.0,237.49,952728.0,237.126,6659
2020-08-24,238.06,239.36,235.85,237.75,712771.0,237.499,5896
2020-08-25,237.93,238.73,236.71,238.21,749496.0,237.935,5979
2020-08-26,238.67,241.26,238.11,240.45,1474117.0,239.589,7253
2020-08-27,242.37,242.77,240.0,240.87,694644.0,241.439,5327
2020-08-28,241.97,243.22,240.26,242.99,588079.0,241.888,4522
2020-08-31,243.3,243.54,239.1,239.93,964251.0,240.649,7504
2020-09-01,238.49,240.02,237.2,240.02,1078951.0,238.689,8022
2020-09-02,241.9,247.82,240.84,247.18,939727.0,245.095,7252
2020-09-03,245.1,246.15,237.13,238.98,1042934.0,240.783,8365
