date,open,high,low,close,volume,average,barCount
2020-07-13,39.76,40.15,39.54,39.76,1830264.0,39.833,11599
2020-07-14,39.79,40.57,39.44,40.44,1512259.0,40.312,9427
2020-07-15,41.0,41.2,40.6,40.9,1473997.0,40.92,9254
2020-07-16,40.82,41.34,40.58,40.96,1804642.0,40.955,10492
2020-07-17,41.08,41.33,40.9,41.17,1111712.0,41.156,6593
2020-07-20,41.0,41.0,40.22,40.22,1446920.0,40.474,10153
2020-07-21,40.36,41.34,40.3,40.86,1191741.0,40.961,8160
2020-07-22,40.78,41.3,40.59,41.16,907527.0,41.026,6327
2020-07-23,41.3,42.27,41.2,42.26,1916574.0,41.935,12694
2020-07-24,42.39,42.7,41.97,42.09,1819950.0,42.222,12476
2020-07-27,41.32,42.15,40.8,42.13,1596174.0,41.743,10124
2020-07-28,42.13,42.97,42.13,42.59,1868892.0,42.639,12603
2020-07-29,43.0,43.28,42.57,42.92,1962946.0,42.98,11829
2020-07-30,43.0,43.6,42.73,43.36,2106730.0,43.11,13211
2020-07-31,43.26,43.58,42.02,42.83,1860013.0,42.596,13233
2020-08-03,42.97,43.34,42.71,42.93,1583293.0,43.013,9892
2020-08-04,42.83,42.9,42.47,42.72,1405039.0,42.661,9380
2020-08-05,43.0,43.46,42.92,43.34,1613316.0,43.252,9235
2020-08-06,43.31,43.79,43.3,43.55,1190324.0,43.612,8018
2020-08-07,43.37,44.1,43.29,44.03,1436203.0,43.764,9676
2020-08-10,44.14,44.76,44.13,44.49,1302532.0,44.542,8284
2020-08-11,45.0,45.21,44.31,44.39,1354117.0,44.66,9231
2020-08-12,44.83,44.91,44.37,44.45,1216854.0,44.573,7683
2020-08-13,44.52,44.89,44.16,44.43,1677985.0,44.531,11149
2020-08-14,44.19,44.72,44.06,44.59,998069.0,44.502,6843
2020-08-17,44.53,44.78,44.3,44.39,855011.0,44.534,5361
2020-08-18,44.18,44.54,44.03,44.31,1045192.0,44.292,6231
2020-08-19,44.13,44.58,43.89,44.06,1272586.0,44.192,7273
2020-08-20,43.42,43.66,43.2,43.49,1172220.0,43.442,7770
2020-08-21,43.38,43.67,43.2,43.59,1120506.0,43.477,7137
2020-08-24,43.82,44.46,43.64,44.45,1501477.0,44.209,10304
2020-08-25,44.79,44.92,44.08,44.3,1363980.0,44.286,9256
2020-08-26,44.73,44.73,44.02,44.48,1170651.0,44.408,8306
2020-08-27,44.58,44.91,44.46,44.72,2099935.0,44.704,13469
2020-08-28,44.7,44.97,44.27,44.9,1621377.0,44.731,11318
2020-08-31,44.93,44.97,44.55,44.76,1263217.0,44.765,9238
2020-09-01,44.52,45.16,44.42,45.14,2037850.0,44.842,11261
2020-09-02,45.21,45.88,45.12,45.74,2174827.0,45.628,14762
2020-09-03,45.83,46.49,45.51,45.81,3055912.0,45.894,21402
2020-09-04,46.06,46.7,45.98,46.49,3090013.0,46.411,20607
2020-09-08,46.3,46.62,45.21,45.22,4665248.0,45.655,25804
2020-09-09,45.51,46.34,45.47,46.05,2292371.0,45.985,16535
2020-09-10,45.86,46.59,45.86,46.02,1858558.0,46.234,13563
2020-09-11,46.13,46.97,46.01,46.89,2384036.0,46.698,16466
2020-09-14,47.0,47.76,46.96,47.5,2203605.0,47.516,15555
2020-09-15,47.78,47.9,47.27,47.47,1762806.0,47.665,11338
2020-09-16,47.54,48.21,47.53,47.66,1903296.0,47.921,12855
2020-09-17,47.34,48.1,47.02,47.77,2497489.0,47.737,19286
2020-09-18,47.49,48.56,47.49,47.64,3422662.0,47.893,19615
2020-09-21,46.96,47.03,45.9,46.51,2502400.0,46.309,15750
2020-09-22,46.37,47.01,46.33,47.0,1920261.0,46.803,12223
2020-09-23,46.98,47.2,45.1,45.16,2223449.0,46.016,14170
2020-09-24,45.16,45.81,44.58,45.47,1030342.0,45.328,7576
2020-09-25,45.13,46.13,45.04,46.08,1194308.0,45.726,9019
2020-09-28,46.68,47.1,46.43,46.5,1772406.0,46.755,11314
2020-09-29,46.58,46.58,45.74,45.98,1129536.0,46.096,7631
2020-09-30,46.33,46.81,46.06,46.49,1429321.0,46.474,9934
2020-10-01,46.66,46.75,46.19,46.6,1275006.0,46.465,8726
2020-10-02,45.95,47.05,45.92,46.74,1406606.0,46.611,10357
2020-10-05,47.04,47.82,46.94,47.78,1762345.0,47.462,11836
2020-10-06,47.85,48.59,47.44,47.6,1896744.0,48.147,12917
2020-10-07,48.04,48.45,47.91,48.31,1340751.0,48.215,9589
2020-10-08,48.52,48.86,48.3,48.85,1421464.0,48.584,9195
2020-10-09,49.0,49.51,48.89,48.97,1869817.0,49.145,12310
2020-10-12,49.22,50.03,49.19,49.99,1658314.0,49.826,9892
2020-10-13,49.73,49.73,48.48,48.83,2041292.0,48.994,11724
2020-10-14,48.03,49.14,47.85,48.85,3615101.0,48.646,21639
2020-10-15,48.45,49.97,48.18,49.94,2066358.0,49.427,12860
2020-10-16,50.04,50.22,49.63,49.79,1499024.0,49.891,8718
2020-10-19,50.71,51.47,50.0,50.31,2590871.0,50.706,16284
2020-10-20,50.83,51.31,50.52,50.87,2203544.0,50.931,15234
2020-10-21,50.77,51.6,50.77,50.81,1830274.0,51.165,11891
2020-10-22,50.88,51.78,50.82,51.68,1561603.0,51.399,10054
2020-10-23,51.88,52.05,51.58,51.87,1301771.0,51.824,8956
2020-10-26,51.67,51.77,50.84,51.19,1746904.0,51.212,11545
2020-10-27,51.01,51.24,50.36,50.36,1814440.0,50.775,12360
2020-10-28,49.7,50.92,49.46,49.52,2446760.0,49.888,17029
2020-10-29,49.38,50.28,48.93,49.92,2508506.0,49.62,17540
2020-10-30,48.0,49.58,45.68,46.24,3828107.0,46.685,24714
2020-11-02,47.15,48.58,46.95,48.56,3523335.0,48.15,23248
2020-11-03,49.32,49.6,47.39,47.9,3201343.0,48.12,20506
2020-11-04,48.03,48.1,46.46,46.51,2496396.0,47.091,17947
2020-11-05,47.05,48.42,46.87,47.91,1862821.0,47.94,13488
2020-11-06,48.2,48.73,47.75,48.27,1956339.0,48.16,11699
2020-11-09,50.2,51.39,49.27,49.29,2026532.0,50.031,14389
2020-11-10,49.65,50.64,49.49,50.15,1701509.0,50.08,11374
2020-11-11,50.5,50.5,48.84,50.09,1502066.0,49.638,10237
2020-11-12,49.88,49.88,48.84,49.33,1215711.0,49.171,7987
2020-11-13,49.64,50.04,49.21,49.86,1023619.0,49.641,6791
2020-11-16,50.65,50.65,49.8,50.41,1864185.0,50.189,11338
2020-11-17,50.03,50.46,49.52,50.16,1168985.0,50.073,7591
2020-11-18,50.0,50.3,49.24,49.27,1348765.0,49.622,9315
2020-11-19,49.0,49.08,48.12,48.92,978635.0,48.638,6497
2020-11-20,48.66,48.88,48.31,48.61,1067812.0,48.581,7054
2020-11-23,48.75,49.12,48.28,48.81,1269758.0,48.705,8271
2020-11-24,49.15,50.56,48.92,50.56,1671667.0,49.952,9542
2020-11-25,50.37,50.71,49.79,50.5,1420603.0,50.453,9512
2020-11-27,50.5,50.78,50.12,50.45,886090.0,50.374,4918
2020-11-30,50.2,50.27,49.4,49.77,1176394.0,49.73,8023
2020-12-01,50.19,50.36,49.83,50.11,1325639.0,50.063,8025
2020-12-02,49.95,50.19,49.36,49.49,1647582.0,49.695,8169
2020-12-03,49.52,49.95,49.29,49.81,1108377.0,49.724,6311
2020-12-04,49.99,50.58,49.97,50.57,938276.0,50.285,6266
2020-12-07,50.4,50.67,49.9,50.04,858885.0,50.183,5685
2020-12-08,49.79,50.65,49.66,50.36,880796.0,50.365,5842
2020-12-09,50.64,50.67,49.61,49.84,1515495.0,50.001,9791
2020-12-10,49.84,49.84,48.85,49.2,2239815.0,49.23,13938
2020-12-11,48.93,49.9,48.56,49.81,1602367.0,49.55,10754
2020-12-14,50.28,50.34,48.69,48.69,1187394.0,49.173,7664
2020-12-15,48.99,49.84,48.63,49.57,895260.0,49.39,6010
2020-12-16,49.5,49.71,48.81,49.2,998857.0,49.098,6098
2020-12-17,49.79,49.84,48.93,49.38,917736.0,49.317,6738
2020-12-18,49.31,49.83,48.93,49.68,1639055.0,49.415,7768
2020-12-21,49.02,49.49,48.73,49.37,895925.0,49.154,5381
2020-12-22,49.27,49.45,48.69,48.73,755640.0,49.017,5022
2020-12-23,49.02,49.56,48.84,49.35,715168.0,49.354,4811
2020-12-24,49.41,49.5,49.02,49.44,241818.0,49.264,1443
2020-12-28,49.8,49.97,49.49,49.7,760367.0,49.668,5043
2020-12-29,49.85,49.93,49.1,49.45,919551.0,49.383,5485
2020-12-30,49.45,50.18,49.34,49.91,983764.0,49.851,6379
2020-12-31,50.04,50.51,49.8,50.41,954511.0,50.267,5959
2021-01-04,50.4,51.03,49.36,49.87,1825754.0,49.944,10568
2021-01-05,49.9,51.16,49.73,50.84,1888811.0,50.528,11846
2021-01-06,51.23,53.57,51.14,52.9,2185409.0,53.007,14043
2021-01-07,53.0,53.33,52.32,52.43,1729891.0,52.765,10347
2021-01-08,52.62,53.11,51.7,52.57,1752862.0,52.257,11649
2021-01-11,51.58,52.48,51.58,52.04,1187106.0,52.088,7272
2021-01-12,52.16,52.16,51.39,51.4,1481212.0,51.633,9839
2021-01-13,51.27,52.33,50.89,51.77,2486836.0,51.64,13863
2021-01-14,52.36,53.38,52.16,52.87,1588621.0,52.949,8813
2021-01-15,52.55,52.77,51.58,52.2,1864916.0,52.099,9595
2021-01-19,52.91,53.25,52.52,53.1,2451871.0,52.96,13276
2021-01-20,53.45,53.99,52.79,53.5,1511981.0,53.322,9226
2021-01-21,53.32,53.63,52.69,52.79,1071362.0,53.027,6968
2021-01-22,52.38,53.11,51.92,52.82,1031871.0,52.734,6761
2021-01-25,52.82,53.69,52.53,53.09,1731734.0,53.097,10783
2021-01-26,53.1,53.3,51.83,52.18,1964362.0,52.377,12017
2021-01-27,51.53,51.94,49.28,49.58,2788010.0,50.123,16192
2021-01-28,49.93,51.31,49.58,51.01,2178657.0,50.878,13395
2021-01-29,50.73,50.9,49.69,50.01,2322138.0,50.133,15068
2021-02-01,50.48,50.75,50.18,50.48,1630749.0,50.468,10290
2021-02-02,51.0,51.82,50.8,50.94,2667690.0,51.202,15846
2021-02-03,50.99,51.58,50.76,51.44,1253825.0,51.247,7209
2021-02-04,51.55,52.53,51.47,52.52,1161420.0,52.242,6875
2021-02-05,53.03,53.31,52.68,53.3,1469916.0,53.055,8496
2021-02-08,53.3,53.82,53.13,53.65,1558554.0,53.483,10541
2021-02-09,53.75,54.7,53.37,54.48,1378439.0,54.213,8107
2021-02-10,54.75,54.94,54.05,54.46,1347129.0,54.428,8963
2021-02-11,54.48,54.95,53.96,54.92,1074197.0,54.582,6535
