date,open,high,low,close,volume,average,barCount
2020-07-13,14.44,14.88,14.4,14.64,5967608.0,14.739,24538
2020-07-14,14.6,14.99,14.55,14.76,4896339.0,14.804,24466
2020-07-15,14.95,15.2,14.87,15.07,3994545.0,15.062,18449
2020-07-16,15.06,15.17,14.82,14.88,3144468.0,14.956,16985
2020-07-17,14.87,15.72,14.77,15.63,6992210.0,15.373,31253
2020-07-20,15.52,15.53,15.15,15.26,4335863.0,15.308,20543
2020-07-21,15.4,15.81,15.3,15.42,3872572.0,15.515,18955
2020-07-22,15.21,15.72,14.89,15.6,5212572.0,15.404,22161
2020-07-23,15.65,15.9,15.58,15.68,3320626.0,15.736,16098
2020-07-24,15.72,15.84,15.31,15.4,3017137.0,15.481,14858
2020-07-27,15.39,15.41,15.01,15.25,4354029.0,15.146,22910
2020-07-28,15.11,15.38,15.11,15.2,2759099.0,15.245,14508
2020-07-29,15.27,15.63,15.23,15.56,3455184.0,15.518,17868
2020-07-30,15.38,15.48,15.14,15.42,2502628.0,15.365,14103
2020-07-31,15.23,15.26,14.83,15.23,3196999.0,15.073,15987
2020-08-03,15.22,15.22,14.95,15.12,2793587.0,15.07,14563
2020-08-04,15.11,15.53,14.98,15.47,4466632.0,15.352,21461
2020-08-05,15.6,15.68,15.21,15.4,4243120.0,15.395,19041
2020-08-06,15.35,16.81,15.25,16.55,8132874.0,16.389,34474
2020-08-07,16.43,17.3,16.37,17.16,7728477.0,16.987,34613
2020-08-10,17.33,17.72,16.92,17.59,4994071.0,17.392,23360
2020-08-11,17.73,17.86,16.96,16.98,4529638.0,17.216,24935
2020-08-12,16.99,17.63,16.77,17.26,3982267.0,17.326,19572
2020-08-13,17.29,17.99,17.16,17.79,6873474.0,17.774,31278
2020-08-14,17.71,17.71,17.44,17.57,3350141.0,17.567,17500
2020-08-17,17.6,17.8,17.48,17.67,2908038.0,17.672,14816
2020-08-18,17.59,17.89,17.49,17.74,3575394.0,17.686,20242
2020-08-19,17.74,17.97,17.58,17.62,1885605.0,17.741,10682
2020-08-20,17.4,18.07,17.26,17.95,4244946.0,17.893,20052
2020-08-21,18.0,18.16,17.82,18.02,3856179.0,18.027,20853
2020-08-24,18.12,18.18,17.91,18.07,2433691.0,18.06,12643
2020-08-25,18.17,18.17,17.65,17.89,2209249.0,17.811,12095
2020-08-26,17.89,17.91,17.58,17.73,2155068.0,17.748,11266
2020-08-27,17.78,18.01,17.7,17.91,2987061.0,17.884,16681
2020-08-28,17.89,17.96,17.57,17.9,3656990.0,17.78,16761
2020-08-31,17.93,17.99,17.67,17.75,2641768.0,17.764,13124
2020-09-01,17.65,17.96,17.56,17.91,2750868.0,17.843,14557
2020-09-02,17.92,18.25,17.73,18.18,4111763.0,17.999,18890
2020-09-03,18.25,18.34,17.53,17.69,3678819.0,17.842,20299
2020-09-04,17.75,17.8,17.12,17.57,3613521.0,17.443,20538
2020-09-08,17.5,17.53,17.21,17.41,3375059.0,17.407,19057
2020-09-09,17.55,17.74,17.32,17.54,2223349.0,17.572,13201
2020-09-10,17.54,17.65,17.31,17.36,2015596.0,17.444,12252
2020-09-11,17.4,17.85,17.25,17.8,6049491.0,17.681,25686
2020-09-14,17.89,18.08,17.72,17.95,3383710.0,17.941,17914
2020-09-15,18.09,18.14,17.62,17.79,2856995.0,17.835,13686
2020-09-16,17.81,18.13,17.73,18.06,3275068.0,18.007,17481
2020-09-17,17.88,18.59,17.6,18.43,5434619.0,18.279,26310
2020-09-18,18.47,19.12,18.45,18.79,7415755.0,18.851,32025
2020-09-21,18.42,18.53,17.98,18.36,3504766.0,18.31,19933
2020-09-22,18.36,18.46,18.0,18.24,2983693.0,18.177,16638
2020-09-23,18.37,18.45,17.76,17.76,4268593.0,18.038,20608
2020-09-24,17.85,18.13,17.42,17.96,5779677.0,17.857,27698
2020-09-25,18.01,18.07,17.72,17.99,2843853.0,17.888,14793
2020-09-28,18.28,18.45,17.85,17.87,3369624.0,17.99,17109
2020-09-29,18.06,18.23,17.82,18.0,3210710.0,18.028,16251
2020-09-30,18.04,18.27,17.96,18.11,4342697.0,18.096,20631
2020-10-01,18.24,18.31,17.68,17.92,3949352.0,17.908,20201
2020-10-02,17.53,18.55,17.46,18.54,5363075.0,18.212,23744
2020-10-05,18.65,18.78,18.54,18.58,2555964.0,18.638,14483
2020-10-06,18.59,18.84,18.42,18.66,2795964.0,18.627,17149
2020-10-07,18.76,18.93,18.58,18.75,2628618.0,18.758,13779
