date,open,high,low,close,volume,average,barCount
2020-07-13,35.09,35.47,34.69,34.88,2253730.0,35.087,16276
2020-07-14,34.88,35.67,34.59,35.65,2115418.0,35.399,14586
2020-07-15,36.42,36.64,35.83,36.28,2433753.0,36.213,17265
2020-07-16,36.02,36.91,35.91,36.37,1528413.0,36.384,10503
2020-07-17,36.33,36.41,35.73,36.22,1887693.0,36.092,12175
2020-07-20,35.95,36.15,35.54,35.98,1844041.0,35.913,12547
2020-07-21,36.12,36.94,36.12,36.51,1680100.0,36.607,11800
2020-07-22,36.12,36.86,36.0,36.66,1509519.0,36.559,10742
2020-07-23,36.53,37.2,36.46,36.99,1614938.0,36.883,10991
2020-07-24,37.14,37.34,36.69,36.77,1507696.0,36.89,10378
2020-07-27,36.58,36.68,36.02,36.43,1557027.0,36.38,10425
2020-07-28,36.28,36.6,36.09,36.29,2164321.0,36.343,16386
2020-07-29,36.34,36.62,35.69,36.5,2931164.0,36.209,19525
2020-07-30,35.62,35.76,34.96,35.29,3420897.0,35.209,22043
2020-07-31,35.14,35.65,35.03,35.57,2139247.0,35.401,14416
2020-08-03,35.58,35.8,35.24,35.36,1950801.0,35.552,13349
2020-08-04,35.25,35.57,35.01,35.06,1877033.0,35.215,11913
2020-08-05,35.3,36.12,35.26,35.55,1985528.0,35.685,13037
2020-08-06,35.29,35.9,35.17,35.41,1951552.0,35.415,12721
2020-08-07,35.15,36.57,35.12,36.52,2090307.0,36.01,14111
2020-08-10,36.68,37.65,36.67,37.47,2337662.0,37.348,15660
2020-08-11,38.26,38.76,37.89,38.03,2519593.0,38.239,17231
2020-08-12,38.94,38.94,37.33,37.62,2335742.0,37.81,15328
2020-08-13,37.11,37.75,36.95,37.75,1853029.0,37.487,11822
2020-08-14,37.48,38.25,37.37,38.07,1818873.0,37.961,10806
2020-08-17,37.93,38.19,37.31,37.46,1920491.0,37.612,11774
2020-08-18,37.37,37.71,37.07,37.14,1549904.0,37.35,9654
2020-08-19,36.99,37.4,36.85,37.03,1725860.0,37.085,10904
2020-08-20,36.45,36.95,36.41,36.66,1826601.0,36.72,11251
2020-08-21,36.75,36.97,36.34,36.42,1814626.0,36.592,11076
2020-08-24,36.59,37.42,36.42,37.38,1878076.0,37.193,11216
2020-08-25,37.78,37.9,36.92,37.1,1932328.0,37.217,12158
2020-08-26,36.84,36.86,36.39,36.45,1882787.0,36.556,11752
2020-08-27,36.46,37.3,36.37,36.88,1997303.0,36.955,13332
2020-08-28,37.22,37.23,36.68,37.13,2035394.0,37.015,12399
2020-08-31,37.2,37.2,36.27,36.32,2215479.0,36.522,13501
2020-09-01,36.0,37.12,35.9,36.7,2690172.0,36.643,17401
2020-09-02,36.64,37.46,36.5,36.9,2315918.0,37.012,15519
2020-09-03,37.38,38.29,36.65,36.94,3324407.0,37.251,21798
2020-09-04,37.63,38.07,36.84,37.86,3676790.0,37.586,23268
2020-09-08,37.89,38.0,36.8,36.94,3422343.0,37.211,23997
2020-09-09,37.25,37.55,36.98,37.04,2305505.0,37.232,15571
2020-09-10,37.14,37.55,36.17,36.21,2275838.0,36.627,14855
