date,open,high,low,close,volume,average,barCount
2020-07-13,99.7,100.05,97.84,98.22,445158.0,99.183,3513
2020-07-14,98.28,101.17,98.28,101.07,538543.0,100.062,4471
2020-07-15,102.06,102.15,100.76,101.49,447318.0,101.431,3440
2020-07-16,101.23,102.96,100.64,102.55,465504.0,102.334,3491
2020-07-17,102.96,104.05,102.41,103.55,524199.0,103.612,3364
2020-07-20,103.14,104.45,103.14,104.13,389295.0,104.074,2796
2020-07-21,104.45,105.22,103.6,104.04,423622.0,104.435,3470
2020-07-22,104.06,104.7,103.25,104.45,402031.0,104.271,3329
2020-07-23,104.66,105.39,103.59,104.03,334516.0,104.393,2930
2020-07-24,104.26,104.47,103.56,103.93,286048.0,103.967,2434
2020-07-27,104.14,104.14,102.83,103.53,442862.0,103.266,2899
2020-07-28,103.81,104.04,102.59,103.76,612240.0,103.508,4943
2020-07-29,103.57,104.92,103.22,104.8,730588.0,104.258,5722
2020-07-30,103.23,105.15,102.99,104.57,481661.0,104.443,3990
2020-07-31,106.0,108.99,105.46,107.49,588658.0,106.862,4701
2020-08-03,106.51,107.82,105.74,106.09,545456.0,106.575,4028
2020-08-04,106.22,106.51,104.54,105.44,514218.0,105.5,3913
2020-08-05,105.55,106.06,105.02,105.5,615599.0,105.58,4690
2020-08-06,105.36,106.14,104.92,105.56,367934.0,105.393,3039
2020-08-07,105.26,106.91,105.22,106.81,360834.0,106.204,3156
2020-08-10,106.78,107.97,106.12,107.44,522634.0,107.469,4503
2020-08-11,108.02,108.67,107.19,107.37,404286.0,107.998,3329
2020-08-12,108.25,109.34,106.87,106.96,354552.0,107.764,2730
2020-08-13,106.54,107.51,106.36,107.19,217318.0,107.105,1799
2020-08-14,107.14,108.03,106.57,106.99,213068.0,107.207,1614
2020-08-17,106.63,107.8,106.23,106.65,360266.0,106.704,2757
2020-08-18,106.49,107.78,106.42,107.38,283356.0,107.286,2396
2020-08-19,108.0,108.22,106.43,106.62,235832.0,107.277,1829
2020-08-20,106.14,107.05,105.53,106.37,253070.0,106.576,2142
2020-08-21,103.17,104.47,102.73,103.47,712129.0,103.416,5349
