date,open,high,low,close,volume,average,barCount
2020-07-13,63.01,63.78,61.41,61.51,4363390.0,62.929,27112
2020-07-14,60.89,62.63,60.07,62.54,4455872.0,61.556,30196
2020-07-15,62.75,62.84,61.3,62.1,3659933.0,62.017,24910
2020-07-16,61.71,62.62,61.5,62.34,2868555.0,62.091,19174
2020-07-17,62.72,62.85,61.95,62.3,2395406.0,62.416,15804
2020-07-20,62.52,63.9,61.88,63.73,3248480.0,63.114,21102
2020-07-21,64.07,64.84,63.26,63.81,4004859.0,63.879,24579
2020-07-22,63.58,64.61,63.52,64.22,3350400.0,64.016,18646
2020-07-23,64.47,65.33,63.2,63.63,3813903.0,64.33,23431
2020-07-24,60.39,61.35,59.62,60.62,7865700.0,60.74,44507
2020-07-27,61.62,63.07,61.11,63.01,5060347.0,62.478,27183
2020-07-28,62.53,62.95,61.9,62.3,3263480.0,62.542,22768
2020-07-29,62.67,63.66,62.17,63.25,3388634.0,62.977,21600
2020-07-30,63.19,64.43,62.98,64.42,4248486.0,63.804,26368
2020-07-31,64.79,64.79,63.12,64.33,4064241.0,63.77,26567
2020-08-03,64.79,65.59,64.68,65.01,3668934.0,65.058,21760
2020-08-04,65.0,65.2,64.18,64.85,3938186.0,64.67,21553
2020-08-05,64.87,65.25,64.42,64.87,3243182.0,64.712,20024
2020-08-06,63.87,64.17,62.6,63.61,5664460.0,63.352,29778
2020-08-07,63.72,65.01,62.78,63.57,5663253.0,63.683,27363
2020-08-10,63.65,65.28,63.62,65.24,4608195.0,64.627,29644
2020-08-11,65.31,66.12,64.23,64.46,4857109.0,65.145,31578
2020-08-12,64.85,66.67,64.7,66.5,4442500.0,66.059,26199
2020-08-13,66.42,66.6,64.61,65.07,7471700.0,65.353,41495
2020-08-14,67.37,69.9,66.5,67.62,20107658.0,68.25,83744
2020-08-17,68.1,68.23,66.77,66.94,5251397.0,67.333,32362
2020-08-18,67.39,67.39,66.07,66.43,4560087.0,66.577,30106
2020-08-19,66.65,66.73,65.69,65.87,3608001.0,66.11,25227
2020-08-20,64.69,64.82,63.28,63.79,6430989.0,63.999,39127
2020-08-21,63.1,63.28,61.92,62.27,7925428.0,62.493,44110
2020-08-24,63.36,63.8,62.68,63.74,6069109.0,63.39,37021
2020-08-25,63.95,64.65,63.43,64.05,3611097.0,63.958,22738
2020-08-26,64.03,64.26,63.49,63.76,4380517.0,63.848,26339
2020-08-27,64.05,64.29,61.29,62.03,6583599.0,62.045,40636
2020-08-28,62.06,63.1,61.97,63.07,3548894.0,62.644,22454
2020-08-31,62.47,62.61,61.41,61.6,4411050.0,61.845,26620
2020-09-01,61.83,62.1,61.23,61.89,5986713.0,61.644,35390
2020-09-02,62.49,65.3,62.37,65.08,8401591.0,64.421,51109
2020-09-03,64.06,64.37,61.05,61.46,7873750.0,62.074,53327
2020-09-04,61.21,61.83,58.54,60.96,11666707.0,60.59,65321
2020-09-08,57.21,57.79,55.32,55.63,16482168.0,56.486,98428
2020-09-09,56.52,56.98,54.51,55.2,13205398.0,55.278,72547
2020-09-10,55.6,56.25,54.94,55.12,8022694.0,55.543,50854
2020-09-11,55.78,56.31,54.67,55.0,6657323.0,55.433,42439
2020-09-14,56.23,57.12,56.12,56.46,6211152.0,56.684,39470
2020-09-15,57.24,57.88,56.48,57.2,5358069.0,57.267,30646
2020-09-16,57.46,58.2,56.38,56.47,5906513.0,57.303,35129
2020-09-17,54.89,56.63,54.69,56.34,5143953.0,55.958,33704
2020-09-18,56.76,56.8,55.19,56.15,7137326.0,56.111,36580
2020-09-21,55.22,57.36,54.15,57.32,6237350.0,56.173,42467
2020-09-22,57.93,58.11,56.71,57.89,5524365.0,57.424,34840
2020-09-23,58.07,58.88,57.01,57.25,6459364.0,57.99,37726
2020-09-24,56.97,58.82,56.76,57.79,4502648.0,57.845,28749
2020-09-25,57.5,58.38,56.65,58.23,4651781.0,57.658,28146
2020-09-28,58.28,59.85,58.25,59.36,5783284.0,59.282,34622
2020-09-29,59.36,60.25,59.15,59.65,4003455.0,59.649,24714
2020-09-30,59.43,60.19,58.99,59.45,5761379.0,59.658,35728
2020-10-01,60.35,61.02,59.51,60.65,5445166.0,60.48,35079
2020-10-02,59.09,59.66,58.19,58.21,5180981.0,58.86,32905
2020-10-05,58.93,60.63,58.76,60.6,4129994.0,59.894,24721
2020-10-06,60.33,62.16,60.17,60.4,5137950.0,61.173,34521
2020-10-07,61.44,61.79,60.91,61.12,3532477.0,61.25,22738
2020-10-08,61.7,62.7,61.37,62.6,3802260.0,62.181,21133
2020-10-09,63.29,63.81,63.06,63.29,4550422.0,63.463,27364
2020-10-12,64.14,65.12,63.98,64.68,4912310.0,64.618,33049
2020-10-13,65.18,65.42,64.15,64.69,4856999.0,64.884,29567
2020-10-14,64.73,65.18,63.43,63.98,4172068.0,64.077,27605
2020-10-15,62.4,63.69,62.02,63.51,4685207.0,62.836,27728
2020-10-16,63.87,63.93,62.4,63.0,4502965.0,63.039,25665
2020-10-19,63.17,63.62,61.81,62.05,3578112.0,62.612,24010
2020-10-20,62.63,63.01,62.02,62.26,2862604.0,62.48,16901
2020-10-21,62.43,62.86,61.91,62.11,3471836.0,62.422,22458
2020-10-22,61.73,62.15,60.86,61.7,4538742.0,61.427,24985
2020-10-23,61.71,62.17,60.66,60.95,4633819.0,61.155,29896
2020-10-26,60.22,60.5,58.65,59.51,4112570.0,59.348,28634
2020-10-27,59.88,59.99,58.77,58.83,3104057.0,59.135,20478
2020-10-28,57.78,58.22,56.87,57.32,5519901.0,57.564,36319
2020-10-29,57.25,60.23,56.95,59.5,4169607.0,59.166,28582
2020-10-30,58.71,59.28,58.26,59.23,4620228.0,58.813,33611
2020-11-02,59.95,60.48,59.53,60.33,5133083.0,60.028,28838
2020-11-03,61.0,62.44,60.99,61.83,7920238.0,61.812,44793
2020-11-04,63.44,65.19,62.13,64.86,6831699.0,64.044,45378
2020-11-05,66.16,70.06,65.91,69.95,9986879.0,68.583,58569
2020-11-06,68.91,70.86,68.35,70.53,5998783.0,69.606,38778
2020-11-09,73.09,75.93,71.26,71.3,6470240.0,73.143,44042
2020-11-10,70.94,71.49,69.1,69.39,5107618.0,70.027,36128
2020-11-11,70.21,71.7,69.88,71.16,5756868.0,71.142,32055
2020-11-12,70.89,71.15,69.43,69.8,6146251.0,70.185,34593
2020-11-13,72.21,73.94,71.5,72.81,8031165.0,72.549,39377
2020-11-16,72.93,74.53,72.58,74.48,6098037.0,73.58,32054
2020-11-17,73.76,74.57,73.06,74.37,3881319.0,74.101,23577
2020-11-18,74.69,76.67,74.59,75.71,7941185.0,75.703,44270
2020-11-19,75.25,77.51,74.51,77.25,6555444.0,76.433,35169
2020-11-20,77.22,78.57,76.68,76.73,5306261.0,77.672,27379
2020-11-23,76.97,80.58,76.97,80.5,6224959.0,79.324,32834
2020-11-24,81.0,83.14,79.82,82.95,6825545.0,82.153,37281
2020-11-25,82.94,83.02,81.07,81.14,4055392.0,81.683,24597
2020-11-27,81.83,83.53,81.68,82.66,2200621.0,82.893,12131
2020-11-30,82.0,82.59,80.7,82.48,3901338.0,81.955,25115
2020-12-01,83.0,84.62,82.88,84.27,4261437.0,83.868,24292
2020-12-02,83.45,85.59,83.45,85.29,3574965.0,84.905,18727
2020-12-03,85.71,87.03,85.68,86.1,3156165.0,86.208,19479
2020-12-04,86.92,88.92,86.65,88.84,3908568.0,88.134,21151
2020-12-07,89.01,89.46,87.87,89.14,3408446.0,88.856,19546
2020-12-08,89.41,90.26,89.04,89.75,2950116.0,89.623,16876
2020-12-09,89.56,90.1,87.18,87.82,4307836.0,88.581,26311
2020-12-10,87.0,88.61,86.46,87.89,3470409.0,87.926,20650
2020-12-11,86.89,88.59,86.59,88.3,3920141.0,87.558,21606
2020-12-14,88.71,90.52,88.32,88.5,4072205.0,89.217,22091
2020-12-15,89.89,90.61,87.95,88.47,3871820.0,88.783,25155
2020-12-16,88.32,89.25,87.29,88.55,2538336.0,88.482,16225
2020-12-17,89.07,89.24,87.13,87.5,2825389.0,87.764,18046
2020-12-18,87.69,88.15,85.33,86.09,5469055.0,86.95,30398
2020-12-21,84.51,86.53,83.8,86.41,3045225.0,85.556,18468
2020-12-22,86.58,86.61,85.54,85.64,2605766.0,86.069,16771
2020-12-23,86.22,86.5,83.96,84.03,2885749.0,84.932,17803
2020-12-24,84.74,85.39,84.2,85.33,896085.0,84.955,5663
2020-12-28,86.21,86.74,84.56,84.87,2010727.0,85.134,13067
2020-12-29,85.09,85.15,83.53,84.27,1880188.0,84.14,11935
2020-12-30,85.36,87.57,85.16,86.98,4747665.0,86.885,27052
2020-12-31,86.99,87.06,85.17,86.3,3823998.0,85.962,23104
2021-01-04,87.22,89.3,86.15,86.87,5024792.0,87.509,32639
2021-01-05,86.23,89.62,86.23,89.6,4639260.0,88.742,28564
2021-01-06,88.14,91.9,88.14,90.83,6371857.0,90.895,40464
2021-01-07,92.1,95.06,91.99,94.56,5995640.0,94.123,34217
2021-01-08,96.29,97.8,94.87,95.56,6054600.0,96.305,37193
2021-01-11,94.62,98.3,94.18,97.96,5305761.0,97.1,28793
2021-01-12,98.43,100.87,98.2,100.01,4760325.0,99.676,29937
2021-01-13,100.1,100.5,97.96,98.05,3351579.0,98.974,22017
2021-01-14,102.83,106.6,102.7,105.8,8673808.0,105.465,44339
2021-01-15,105.2,105.42,101.15,103.14,5721079.0,103.073,33511
2021-01-19,104.93,109.58,104.39,109.22,6246071.0,107.158,39142
2021-01-20,110.11,110.88,105.16,107.84,7145215.0,107.491,37877
2021-01-21,108.97,109.28,106.27,107.97,4469524.0,107.499,25434
2021-01-22,107.82,109.76,106.25,106.33,4116495.0,107.514,24873
2021-01-25,107.5,110.1,107.0,108.12,6041808.0,108.602,31856
2021-01-26,108.87,108.9,105.27,105.53,3846654.0,106.55,19567
2021-01-27,102.03,104.06,98.08,98.58,6137579.0,100.669,41118
2021-01-28,100.99,103.35,99.97,101.15,4623260.0,101.719,29245
2021-01-29,100.23,100.46,96.07,96.68,5195166.0,97.75,33051
2021-02-01,99.13,102.15,97.68,101.21,5698041.0,100.444,35534
2021-02-02,102.99,103.94,101.77,103.59,3197804.0,102.949,18422
2021-02-03,104.06,104.41,99.82,99.87,3435621.0,101.022,22670
2021-02-04,100.21,103.73,100.02,103.24,4204447.0,102.6,25763
2021-02-05,105.14,105.2,100.69,100.71,3757059.0,101.64,22093
2021-02-08,101.85,106.25,101.76,106.19,4438863.0,104.589,26042
2021-02-09,106.65,107.36,104.78,105.38,3109946.0,105.987,16883
2021-02-10,106.86,108.2,105.03,105.88,3507796.0,106.618,20872
2021-02-11,107.33,114.3,107.29,113.0,9263865.0,111.903,49395
2021-02-12,113.03,117.82,111.69,116.7,5964643.0,115.708,32426
2021-02-16,118.56,121.14,117.69,118.35,6245229.0,119.156,33678
2021-02-17,116.46,117.06,112.09,115.71,4905147.0,114.827,27672
2021-02-18,114.0,115.63,112.44,113.43,5613301.0,113.643,31883
2021-02-19,121.61,124.5,118.9,119.46,16751271.0,121.627,78733
2021-02-22,118.0,119.87,114.62,115.23,5322388.0,116.915,29423
2021-02-23,112.94,117.8,110.69,116.14,7004473.0,114.571,38897
2021-02-24,115.05,123.02,114.42,122.81,7124949.0,119.426,40222
2021-02-25,121.17,121.22,113.6,113.93,7532227.0,117.046,42301
2021-02-26,116.54,120.25,113.44,118.19,6267639.0,117.648,33528
