date,open,high,low,close,volume,average,barCount
2020-07-13,87.58,89.59,87.22,88.47,1210058.0,88.727,8348
2020-07-14,88.72,91.88,88.59,91.79,1062634.0,90.739,7142
2020-07-15,93.21,93.9,92.68,93.22,766352.0,93.217,6186
2020-07-16,92.86,94.21,92.34,92.73,717321.0,92.951,5368
2020-07-17,93.27,93.71,92.77,92.95,965298.0,93.197,7414
2020-07-20,92.35,92.79,91.11,91.43,720582.0,91.544,5732
2020-07-21,91.51,92.96,91.51,92.06,731851.0,92.267,6151
2020-07-22,92.01,93.71,92.0,93.62,650191.0,93.355,5317
2020-07-23,93.59,94.17,92.89,93.32,568820.0,93.537,4078
2020-07-24,93.36,93.77,92.39,92.9,657545.0,93.038,4615
2020-07-27,92.63,93.86,92.17,93.05,628986.0,93.306,4841
2020-07-28,92.62,93.01,92.02,92.08,409621.0,92.574,3490
2020-07-29,92.43,94.66,92.43,94.35,919169.0,93.78,6390
2020-07-30,93.21,94.11,92.29,93.9,527275.0,93.567,4420
2020-07-31,93.32,93.53,91.48,93.25,629660.0,92.414,5103
2020-08-03,93.83,95.85,93.27,94.95,921577.0,95.109,6856
2020-08-04,93.13,95.99,93.13,94.49,835324.0,94.334,6472
2020-08-05,95.81,97.05,94.96,96.42,638619.0,96.482,4753
2020-08-06,96.51,97.54,96.14,97.52,514816.0,96.975,3816
2020-08-07,97.55,98.85,96.6,97.79,1022101.0,98.091,7107
2020-08-10,97.98,99.27,97.84,99.04,926723.0,98.596,6081
2020-08-11,100.0,101.68,99.23,99.25,624818.0,100.325,4735
2020-08-12,100.23,101.55,99.98,101.23,461714.0,100.955,3577
2020-08-13,100.74,101.34,100.51,100.96,477977.0,100.993,3624
2020-08-14,100.36,102.03,100.36,101.28,685815.0,101.17,4537
2020-08-17,101.28,101.94,101.17,101.4,594644.0,101.415,4274
2020-08-18,101.35,101.8,101.31,101.58,632516.0,101.535,4261
2020-08-19,101.48,101.53,100.82,101.01,396988.0,101.15,3044
2020-08-20,100.16,100.6,99.61,100.16,378532.0,100.328,2972
2020-08-21,99.98,100.7,99.83,100.24,372155.0,100.141,2767
2020-08-24,100.85,100.97,99.77,100.8,433127.0,100.453,2761
2020-08-25,101.42,101.6,100.27,100.92,308505.0,100.688,2380
2020-08-26,100.48,101.2,99.97,101.01,245520.0,100.759,1995
2020-08-27,101.5,101.57,100.48,100.91,306947.0,100.982,2575
2020-08-28,101.17,101.98,100.67,101.93,394156.0,101.337,3387
2020-08-31,101.78,101.78,100.37,100.7,296170.0,100.792,2411
2020-09-01,100.44,102.21,100.19,102.02,292254.0,101.508,2232
2020-09-02,101.98,103.95,101.61,103.08,980444.0,103.23,6511
