date,open,high,low,close,volume,average,barCount
2020-07-13,262.74,264.69,254.51,255.93,944310.0,259.545,6807
2020-07-14,256.23,259.82,253.74,258.94,1018191.0,256.328,7032
2020-07-15,262.31,262.34,256.38,257.27,707192.0,258.331,5473
2020-07-16,257.2,257.75,253.15,257.48,803200.0,255.2,6473
2020-07-17,258.5,261.01,254.75,259.11,764590.0,258.666,5120
2020-07-20,260.18,262.15,257.11,260.53,619942.0,259.896,5257
2020-07-21,263.0,263.0,257.97,259.21,532472.0,259.65,4309
2020-07-22,258.08,260.8,257.02,259.04,795853.0,259.169,6923
2020-07-23,259.14,260.39,254.0,257.9,640291.0,257.422,5167
2020-07-24,259.75,260.43,255.85,256.33,809441.0,257.434,6340
2020-07-27,254.57,260.94,254.53,260.31,772417.0,259.292,6150
2020-07-28,260.57,268.7,260.57,266.8,902038.0,266.2,6832
2020-07-29,268.14,272.2,267.97,271.29,835960.0,270.31,6772
2020-07-30,268.0,268.0,257.53,262.49,1208859.0,261.678,8470
2020-07-31,261.95,264.47,257.09,261.39,1018183.0,259.869,7863
2020-08-03,259.0,261.76,256.12,256.58,828420.0,257.77,6359
2020-08-04,256.28,262.4,255.93,260.17,813649.0,259.664,5490
2020-08-05,260.26,260.37,254.22,255.29,540463.0,256.223,4208
2020-08-06,254.7,255.54,252.0,255.51,583976.0,254.307,4647
2020-08-07,254.44,258.71,254.18,257.61,539365.0,257.13,3851
2020-08-10,257.21,257.71,251.94,253.41,781531.0,253.162,6120
2020-08-11,253.95,254.2,245.2,246.2,1262572.0,248.377,8465
2020-08-12,247.01,252.95,247.0,251.3,789515.0,251.094,6064
2020-08-13,250.9,253.0,250.18,250.73,507186.0,251.403,3574
2020-08-14,250.83,253.24,248.71,250.12,362741.0,250.864,2618
2020-08-17,250.09,251.95,249.42,250.91,831483.0,250.59,5533
2020-08-18,252.17,254.78,251.34,252.55,963351.0,253.122,6431
2020-08-19,253.23,253.58,244.86,245.23,770459.0,246.788,5674
2020-08-20,245.0,248.96,243.39,247.68,561821.0,247.489,4036
2020-08-21,249.69,249.98,245.44,249.34,521462.0,248.499,3398
2020-08-24,248.25,248.38,242.17,245.44,694872.0,244.305,4484
