date,open,high,low,close,volume,average,barCount
2020-07-13,13.68,13.73,13.19,13.21,3729328.0,13.5023125,1468
2020-07-14,13.19,13.5,13.04,13.48,3899664.0,13.35925,1694
2020-07-15,13.68,13.77,13.38,13.45,3767392.0,13.527125,1820
2020-07-16,13.32,13.46,13.08,13.45,4091200.0,13.3149375,1557
2020-07-17,13.54,13.8,13.5,13.72,3232064.0,13.69475,1469
2020-07-20,13.72,14.15,13.69,14.09,3969888.0,13.991,1739
2020-07-21,14.16,14.35,14.04,14.3,6995808.0,14.227375,3159
2020-07-22,14.29,14.8,14.2,14.61,6016128.0,14.604375,2887
2020-07-23,14.57,15.15,14.55,14.96,8794304.0,14.9596875,4109
2020-07-24,14.52,14.91,14.42,14.8,4624976.0,14.70025,1922
2020-07-27,14.89,15.52,14.88,15.36,7989568.0,15.3426875,3605
2020-07-28,15.28,15.3,15.03,15.05,3144048.0,15.17125,1446
2020-07-29,15.13,15.47,15.11,15.43,3934960.0,15.3403125,1741
2020-07-30,15.21,15.63,15.13,15.59,4462784.0,15.4909375,2169
2020-07-31,15.84,16.24,15.63,16.24,9554512.0,16.014375,4444
2020-08-03,16.25,16.38,16.08,16.28,7997200.0,16.2786875,3251
2020-08-04,16.21,16.71,16.21,16.5,11938112.0,16.5101875,4590
2020-08-05,15.5,15.5,14.63,14.7,29086768.0,14.8496875,11704
2020-08-06,14.86,15.04,14.59,14.77,8815632.0,14.7588125,4167
2020-08-07,14.69,14.72,14.28,14.43,12289120.0,14.377125,5059
2020-08-10,14.4,14.45,13.87,13.9,13375824.0,13.9976875,6054
2020-08-11,14.04,14.05,13.7,13.75,12375728.0,13.884875,5227
2020-08-12,13.78,13.91,13.49,13.52,7863664.0,13.6065625,3712
2020-08-13,13.34,13.6,13.25,13.52,14014624.0,13.422375,6409
2020-08-14,13.52,13.55,13.29,13.29,7205248.0,13.3504375,3045
2020-08-17,13.37,13.62,13.31,13.44,6308352.0,13.4773125,2437
2020-08-18,13.46,13.73,13.35,13.72,8103968.0,13.600875,3271
2020-08-19,13.75,13.96,13.73,13.79,6752448.0,13.8558125,3229
2020-08-20,13.72,13.96,13.65,13.84,5841632.0,13.8635625,2248
2020-08-21,13.73,13.94,13.66,13.91,5281104.0,13.82625,2199
2020-08-24,13.99,14.13,13.57,13.68,5791920.0,13.6884375,2603
2020-08-25,13.64,13.79,13.6,13.71,3458544.0,13.687625,1586
2020-08-26,13.81,13.88,13.64,13.88,3244752.0,13.8019375,1463
2020-08-27,13.94,14.02,13.77,13.89,7407056.0,13.854875,3165
2020-08-28,13.88,14.09,13.76,13.88,5418672.0,13.8776875,2401
2020-08-31,13.84,14.01,13.71,13.97,4296000.0,13.8831875,2058
2020-09-01,14.01,14.01,13.79,14.01,4567056.0,13.9146875,2120
2020-09-02,14.03,14.35,13.96,14.28,4055440.0,14.1705,1705
2020-09-03,14.04,14.06,13.28,13.55,9882720.0,13.5064375,4249
2020-09-04,13.54,13.62,12.89,13.19,8335040.0,13.1829375,3976
2020-09-08,12.87,13.13,12.83,12.95,8197440.0,12.994875,3846
2020-09-09,13.17,13.32,13.01,13.24,7182864.0,13.204,3388
