date,open,high,low,close,volume,average,barCount
2020-07-13,303.67,306.26,293.73,295.56,225360.0,299.086,1804
2020-07-14,290.64,301.27,289.08,301.04,245964.0,295.737,2057
2020-07-15,301.27,304.49,297.26,301.04,146873.0,300.641,1227
2020-07-16,299.72,299.72,291.44,295.3,211303.0,294.926,1862
2020-07-17,296.49,301.45,293.57,301.13,131109.0,298.53,958
2020-07-20,301.48,309.57,299.88,309.11,118798.0,307.162,995
2020-07-21,309.88,310.05,303.76,305.75,190498.0,306.373,1407
2020-07-22,307.62,310.0,304.71,306.89,102919.0,307.154,930
2020-07-23,307.39,309.34,298.56,300.15,168301.0,304.484,1322
2020-07-24,297.15,298.03,291.55,293.51,370420.0,294.975,2783
2020-07-27,294.97,300.62,294.97,300.17,105213.0,298.289,902
2020-07-28,299.87,303.27,296.78,298.22,108459.0,299.849,957
2020-07-29,300.98,308.33,300.56,306.05,112318.0,305.771,1009
2020-07-30,302.16,311.47,300.14,309.67,159235.0,307.873,1364
2020-07-31,312.56,312.56,304.81,310.6,97290.0,308.23,848
2020-08-03,311.62,316.52,310.59,315.23,180293.0,313.533,1338
2020-08-04,313.76,314.94,307.16,308.78,262965.0,309.153,2138
2020-08-05,312.06,319.83,309.87,312.27,202318.0,313.61,1728
2020-08-06,313.05,319.83,311.1,315.25,267023.0,314.579,2335
2020-08-07,313.85,318.0,308.75,312.37,139019.0,312.535,1088
2020-08-10,311.62,311.62,301.56,308.78,171492.0,307.17,1350
2020-08-11,307.87,307.87,300.48,301.92,131398.0,303.566,1111
2020-08-12,302.28,310.1,302.28,308.4,100280.0,308.07,859
2020-08-13,309.41,319.43,309.41,314.77,144377.0,316.047,1151
2020-08-14,314.24,317.08,311.06,313.19,75928.0,313.241,622
2020-08-17,316.12,319.68,315.15,317.36,110240.0,318.143,870
2020-08-18,319.56,322.41,317.54,320.47,139838.0,320.755,1146
2020-08-19,321.51,322.86,316.22,319.53,100381.0,320.389,833
2020-08-20,319.14,328.92,318.78,328.32,161541.0,324.806,1109
2020-08-21,327.92,327.92,322.38,324.5,257217.0,324.973,1225
2020-08-24,327.41,330.32,322.66,325.25,237829.0,325.483,1203
2020-08-25,325.75,328.97,324.16,326.49,105302.0,327.013,930
2020-08-26,324.41,333.23,324.29,331.48,134313.0,329.413,1097
2020-08-27,334.51,334.89,327.72,332.34,91236.0,332.193,785
2020-08-28,332.36,336.72,332.26,336.71,90883.0,335.183,736
2020-08-31,336.65,340.03,334.64,339.01,144673.0,338.116,1277
2020-09-01,339.61,345.4,338.22,343.89,153417.0,342.383,1315
2020-09-02,354.87,354.87,343.68,350.59,153333.0,349.19,1249
2020-09-03,344.55,346.88,328.24,332.14,220231.0,334.493,1974
2020-09-04,330.22,333.23,313.73,321.21,273634.0,320.749,2331
2020-09-08,311.35,319.0,306.52,308.61,246653.0,313.27,1900
2020-09-09,314.78,322.31,310.41,320.05,218462.0,317.926,1775
2020-09-10,323.68,327.98,315.35,317.42,177070.0,322.413,1431
2020-09-11,318.48,320.75,309.74,314.08,146962.0,314.756,1320
2020-09-14,318.69,323.58,317.62,321.6,97250.0,321.144,823
2020-09-15,323.78,330.03,321.76,328.21,100950.0,328.164,912
2020-09-16,331.44,331.44,317.43,317.89,168809.0,323.629,1406
2020-09-17,308.63,313.3,305.01,308.88,219408.0,308.746,1859
