date,open,high,low,close,volume,average,barCount
2020-07-13,48.52,49.02,48.34,48.47,727376.0,48.632,4861
2020-07-14,48.39,49.94,48.1,49.93,412434.0,49.374,3359
2020-07-15,50.54,50.99,50.12,50.63,835923.0,50.718,6108
2020-07-16,50.69,51.17,50.25,50.81,561425.0,50.79,4576
2020-07-17,50.99,51.1,50.44,50.53,349477.0,50.707,2577
2020-07-20,50.42,50.73,50.31,50.5,386671.0,50.548,3210
2020-07-21,50.57,51.34,50.57,51.06,527647.0,51.081,4072
2020-07-22,51.14,51.6,50.85,51.02,342375.0,51.137,2802
2020-07-23,51.02,52.0,50.92,51.2,389901.0,51.339,2913
2020-07-24,51.19,51.61,50.91,51.31,629510.0,51.382,4766
2020-07-27,51.28,53.14,51.08,52.84,1034393.0,52.544,8205
2020-07-28,52.46,52.85,52.21,52.24,751719.0,52.567,5820
2020-07-29,52.49,53.72,52.49,53.3,719133.0,53.452,5755
2020-07-30,52.28,52.28,48.4,48.46,2437567.0,49.187,14917
2020-07-31,48.86,49.31,47.16,48.14,1324218.0,47.826,9678
2020-08-03,48.27,49.15,48.04,48.37,672108.0,48.399,5316
2020-08-04,48.22,48.33,47.68,47.95,824954.0,47.94,5910
2020-08-05,48.18,48.19,47.43,48.02,679960.0,47.851,5008
2020-08-06,48.1,48.89,48.09,48.6,697743.0,48.583,5694
2020-08-07,48.55,48.92,48.07,48.91,507475.0,48.531,3496
2020-08-10,49.03,49.1,48.14,48.81,431605.0,48.669,3427
2020-08-11,49.24,50.41,49.24,49.77,777493.0,49.946,5202
2020-08-12,50.11,50.61,49.7,50.01,388950.0,50.132,3179
2020-08-13,49.64,49.71,48.8,49.06,280851.0,49.194,2248
2020-08-14,48.99,49.97,48.65,49.76,496104.0,49.714,3721
2020-08-17,49.89,50.22,49.57,49.71,361197.0,49.819,2886
2020-08-18,49.79,50.04,49.42,49.51,352334.0,49.73,2661
2020-08-19,49.58,49.86,49.4,49.46,412786.0,49.621,2829
2020-08-20,49.15,49.27,48.79,49.1,446245.0,49.06,3484
2020-08-21,49.13,49.13,48.61,48.95,324840.0,48.894,2341
2020-08-24,49.21,49.84,49.13,49.71,264754.0,49.541,2164
2020-08-25,49.94,49.94,49.03,49.5,300841.0,49.447,2183
2020-08-26,49.49,49.79,49.09,49.48,445774.0,49.461,3228
2020-08-27,49.87,49.87,49.02,49.2,524800.0,49.327,3434
2020-08-28,49.31,49.44,48.85,49.36,484521.0,49.281,3010
2020-08-31,49.41,49.75,48.81,48.97,599288.0,49.18,3501
2020-09-01,48.94,49.35,48.51,49.33,510820.0,49.073,3265
2020-09-02,49.39,50.46,49.24,50.19,561929.0,50.002,3881
2020-09-03,50.13,50.4,48.51,48.77,369735.0,49.121,3005
2020-09-04,49.09,49.5,48.36,48.61,315878.0,48.84,2674
2020-09-08,48.3,48.32,47.22,47.26,616683.0,47.685,4818
2020-09-09,47.65,48.39,47.65,48.25,729166.0,48.093,5914
2020-09-10,48.32,48.82,48.0,48.41,479997.0,48.522,3752
2020-09-11,48.6,49.2,48.6,48.78,419290.0,48.932,3044
2020-09-14,48.89,50.13,48.81,49.86,477331.0,49.734,3831
2020-09-15,50.01,50.82,49.97,50.79,644673.0,50.533,4894
2020-09-16,51.1,52.19,50.91,51.75,569218.0,51.742,4484
2020-09-17,52.0,54.19,51.3,53.18,1080796.0,53.302,7859
2020-09-18,53.25,54.03,53.07,53.24,1041156.0,53.393,7118
