date,open,high,low,close,volume,average,barCount
2020-07-13,23.97,24.05,23.56,23.61,4953340.0,23.8115,9973
2020-07-14,23.64,24.37,23.54,24.35,5193608.0,23.98525,10202
2020-07-15,24.57,25.2,24.57,25.11,6074856.0,24.9555,11473
2020-07-16,25.11,25.33,25.06,25.23,2807332.0,25.16975,5612
2020-07-17,25.38,25.64,25.28,25.5,2870580.0,25.4935,5390
2020-07-20,25.43,25.5,25.15,25.37,3844196.0,25.32925,7435
2020-07-21,25.53,25.8,25.47,25.53,3160568.0,25.60775,6259
2020-07-22,26.0,26.58,25.49,25.82,5441764.0,25.9825,9975
2020-07-23,26.11,26.5,25.96,26.4,6276852.0,26.264,10955
2020-07-24,26.29,26.39,25.94,26.1,3966388.0,26.1865,7093
2020-07-27,26.11,26.61,26.0,26.54,2901004.0,26.46975,4980
2020-07-28,26.48,26.54,26.0,26.05,3302988.0,26.222,5928
2020-07-29,26.13,26.55,26.02,26.46,3895072.0,26.28675,5179
2020-07-30,26.18,26.36,26.03,26.29,3334984.0,26.1955,5763
2020-07-31,26.24,26.47,26.01,26.44,2653444.0,26.1995,4606
2020-08-03,26.49,26.93,26.49,26.85,2625756.0,26.7775,4406
2020-08-04,26.78,27.14,26.75,27.11,2515848.0,26.981,4505
2020-08-05,27.18,27.38,27.02,27.16,1833012.0,27.152,3311
2020-08-06,27.05,27.21,26.97,27.09,1927256.0,27.07925,3572
2020-08-07,26.99,27.11,26.79,26.99,2696000.0,26.9505,4724
2020-08-10,26.92,27.24,26.9,27.03,4967144.0,27.047,7723
2020-08-11,27.18,27.5,27.14,27.2,4668576.0,27.42425,6552
2020-08-12,27.32,27.6,27.11,27.45,3699648.0,27.42075,5047
2020-08-13,27.34,27.85,27.2,27.64,2464348.0,27.59275,3996
2020-08-14,27.52,27.58,27.36,27.45,1890656.0,27.4835,3188
2020-08-17,27.55,27.7,27.45,27.47,2008840.0,27.52525,3388
2020-08-18,27.42,27.47,27.25,27.29,1671552.0,27.326,3373
2020-08-19,27.38,27.49,27.23,27.29,1107356.0,27.38025,2085
2020-08-20,27.07,27.13,26.77,26.83,2200356.0,26.90325,4055
2020-08-21,26.83,27.15,26.78,27.06,2415036.0,27.0195,4271
2020-08-24,26.25,27.32,26.05,27.19,2048952.0,27.02325,3711
2020-08-25,27.29,27.55,27.13,27.23,2648788.0,27.2385,4123
2020-08-26,27.24,27.39,27.13,27.26,2396924.0,27.2625,4494
2020-08-27,27.51,27.51,26.98,27.03,2118384.0,27.1445,4206
2020-08-28,27.05,27.49,26.93,27.45,2845776.0,27.24875,4350
2020-08-31,27.42,27.58,27.34,27.45,2218716.0,27.49125,4266
2020-09-01,27.5,27.76,27.35,27.7,3199644.0,27.675,5119
2020-09-02,27.87,28.31,27.69,28.24,3104584.0,28.059,5364
2020-09-03,28.17,28.17,26.92,27.12,2827928.0,27.321,5668
2020-09-04,27.37,27.41,26.63,27.11,2749064.0,27.0745,5620
2020-09-08,26.67,26.89,26.24,26.27,4072068.0,26.50425,7898
2020-09-09,26.63,26.95,26.46,26.7,6565464.0,26.71675,9366
2020-09-10,26.87,26.99,26.01,26.13,3134468.0,26.47975,5677
2020-09-11,26.34,26.53,25.97,26.07,3017096.0,26.19275,6163
2020-09-14,26.3,26.76,26.3,26.7,2816316.0,26.58,4403
2020-09-15,26.87,27.33,26.83,27.08,2230104.0,27.148,4317
2020-09-16,27.5,27.57,27.22,27.27,3346188.0,27.40425,5057
2020-09-17,27.03,27.61,26.96,27.47,4965908.0,27.32025,7626
2020-09-18,27.43,27.69,27.06,27.22,4602168.0,27.39275,6059
2020-09-21,26.8,26.92,25.73,25.87,4232100.0,25.99175,6890
2020-09-22,25.95,26.21,25.42,26.16,3915340.0,25.8435,7017
2020-09-23,26.13,26.31,25.7,25.82,3510108.0,25.953,6558
2020-09-24,25.68,26.4,25.61,26.05,3547364.0,26.0475,5505
2020-09-25,25.91,26.53,25.79,26.42,3013332.0,26.28925,4991
2020-09-28,26.86,27.24,26.75,27.05,2797108.0,27.037,5229
2020-09-29,27.18,27.32,26.9,27.16,4329592.0,27.1275,5669
2020-09-30,27.26,27.45,26.9,27.07,4851916.0,27.2375,6551
2020-10-01,27.48,27.5,27.24,27.45,2547160.0,27.391,4861
2020-10-02,26.93,27.68,26.75,27.34,2816632.0,27.36725,5344
2020-10-05,27.57,28.16,27.57,27.88,3313956.0,27.88825,5305
2020-10-06,27.82,28.19,27.51,27.54,2776872.0,27.80875,5170
2020-10-07,27.83,28.39,27.69,28.26,1997976.0,28.23225,3552
2020-10-08,28.38,28.64,28.29,28.38,1673220.0,28.45725,3058
2020-10-09,28.63,28.82,28.28,28.37,3203456.0,28.48075,5905
2020-10-12,28.55,29.03,28.43,28.69,4190304.0,28.752,8158
2020-10-13,28.54,28.61,28.17,28.25,3732796.0,28.3485,7442
2020-10-14,28.44,28.66,28.19,28.37,2736204.0,28.444,5364
2020-10-15,28.05,28.61,27.91,28.59,3893608.0,28.22075,5793
2020-10-16,28.75,28.99,28.7,28.79,4953836.0,28.85225,8315
2020-10-19,28.78,28.96,28.14,28.28,4141128.0,28.47275,6442
2020-10-20,28.66,29.05,28.38,28.65,3207176.0,28.76725,6473
2020-10-21,28.72,29.77,28.43,28.74,6363584.0,29.202,10929
2020-10-22,28.78,29.84,28.68,29.63,4444308.0,29.4925,8496
