date,open,high,low,close,volume,average,barCount
2020-07-13,31.38,32.34,31.13,31.48,962397.0,31.701,6796
2020-07-14,31.28,32.05,30.7,31.83,874502.0,31.631,6018
2020-07-15,32.25,33.65,32.2,33.45,782651.0,33.083,5341
2020-07-16,32.93,34.53,32.69,34.05,1161937.0,34.071,5624
2020-07-17,34.19,34.47,33.46,33.5,921410.0,33.889,4950
2020-07-20,33.16,33.44,32.65,32.83,462142.0,32.891,3408
2020-07-21,33.16,34.25,33.16,33.83,728039.0,33.784,4912
2020-07-22,33.5,34.26,33.39,33.92,322733.0,33.85,2417
2020-07-23,33.64,34.41,33.51,33.81,534213.0,33.947,3977
2020-07-24,33.83,33.91,33.2,33.39,427522.0,33.397,3383
2020-07-27,33.19,33.19,31.94,33.02,484203.0,32.759,3569
2020-07-28,32.72,33.29,32.44,32.49,401960.0,32.763,3215
2020-07-29,32.65,33.71,32.34,33.54,481071.0,33.271,3625
2020-07-30,32.34,32.67,31.67,32.42,1011994.0,32.164,5441
2020-07-31,32.54,32.55,31.72,32.25,629897.0,32.09,3876
2020-08-03,32.35,33.8,32.08,32.9,994882.0,33.019,6839
2020-08-04,32.75,33.18,32.5,32.61,1103040.0,32.747,6824
2020-08-05,33.3,36.15,33.3,35.22,2291313.0,35.081,13156
2020-08-06,35.0,35.07,33.76,34.01,1274364.0,34.217,8571
2020-08-07,33.62,35.45,33.62,35.41,987344.0,34.922,8074
2020-08-10,35.71,36.58,35.53,36.35,897332.0,36.19,6173
2020-08-11,37.59,38.0,36.59,36.62,971394.0,37.108,6188
2020-08-12,37.68,37.7,35.96,36.44,1479713.0,36.548,9318
2020-08-13,35.91,36.53,35.61,36.32,637705.0,36.122,4215
2020-08-14,35.85,37.13,35.79,36.93,881767.0,36.815,5935
2020-08-17,36.79,36.98,36.48,36.82,1123463.0,36.785,6481
2020-08-18,36.8,37.25,36.12,36.24,1149988.0,36.642,8108
2020-08-19,36.16,36.75,36.1,36.52,1070965.0,36.429,7892
2020-08-20,35.94,36.5,35.66,35.9,478457.0,36.016,3535
2020-08-21,35.74,36.03,35.11,35.37,868809.0,35.528,6014
2020-08-24,35.68,37.1,35.42,37.1,911016.0,36.644,4020
2020-08-25,37.69,38.0,36.84,37.38,775876.0,37.204,5079
2020-08-26,37.33,37.44,36.51,36.93,537711.0,36.859,3559
2020-08-27,37.02,37.85,36.88,37.22,763106.0,37.311,5180
2020-08-28,37.61,37.61,36.8,37.38,716866.0,37.148,5183
2020-08-31,37.36,37.56,36.15,36.56,988091.0,36.512,6561
2020-09-01,36.27,37.05,35.9,36.26,998106.0,36.427,6527
2020-09-02,36.31,36.54,35.72,36.14,985751.0,36.205,5735
2020-09-03,36.39,37.48,35.22,35.5,1197654.0,35.824,7094
2020-09-04,36.53,37.64,35.85,37.29,1045652.0,36.967,6302
2020-09-08,36.69,36.81,35.62,35.99,939643.0,36.265,6242
2020-09-09,36.46,36.85,35.56,36.4,752090.0,36.321,5741
2020-09-10,36.72,37.44,35.54,35.7,879150.0,36.122,5928
2020-09-11,35.71,36.0,35.38,35.76,452567.0,35.686,3538
2020-09-14,36.27,36.73,35.84,36.43,457287.0,36.332,3048
2020-09-15,36.52,36.61,35.68,35.87,764618.0,35.995,5398
2020-09-16,36.04,37.26,35.77,36.34,505326.0,36.56,3775
2020-09-17,35.63,36.22,35.18,35.77,813785.0,35.814,4859
2020-09-18,35.61,35.76,35.0,35.0,626997.0,35.284,3924
2020-09-21,33.77,34.53,33.09,33.73,1112220.0,33.707,7448
2020-09-22,33.91,34.54,33.53,33.84,535658.0,33.86,4002
2020-09-23,33.96,34.79,33.0,33.0,551629.0,33.813,3797
2020-09-24,33.02,33.57,32.19,33.0,1290712.0,32.811,7773
2020-09-25,32.57,33.54,32.43,33.3,860416.0,33.152,4515
2020-09-28,34.39,35.18,34.22,34.87,639872.0,34.909,4377
2020-09-29,34.6,34.82,33.66,34.0,625487.0,34.09,4717
2020-09-30,34.15,34.53,33.56,34.08,885588.0,34.107,6066
2020-10-01,35.11,35.8,34.55,35.64,1383110.0,35.24,8225
2020-10-02,34.86,36.45,34.65,36.22,3241093.0,35.715,6321
2020-10-05,36.78,37.59,36.71,37.0,729614.0,37.066,4415
2020-10-06,37.38,37.38,35.97,36.29,832791.0,36.81,5793
2020-10-07,36.88,37.28,36.43,36.86,428457.0,36.907,2719
2020-10-08,37.08,37.6,36.73,37.39,561274.0,37.253,4187
2020-10-09,37.77,38.0,36.82,37.01,462508.0,37.183,3094
2020-10-12,37.01,37.37,36.82,37.02,540591.0,37.142,2690
2020-10-13,36.61,36.64,35.76,35.92,584311.0,36.15,4158
2020-10-14,35.87,36.66,35.64,35.7,453510.0,35.893,3534
2020-10-15,35.11,35.87,35.03,35.72,453859.0,35.628,3259
2020-10-16,35.96,36.24,35.12,35.29,562700.0,35.416,4085
2020-10-19,35.29,35.87,34.27,34.46,700788.0,34.703,4535
2020-10-20,34.92,35.35,34.38,34.48,882684.0,34.797,5599
2020-10-21,34.52,34.55,33.81,34.01,824191.0,34.106,5843
2020-10-22,34.0,34.0,33.39,33.77,1113101.0,33.706,7634
2020-10-23,34.0,34.51,33.65,34.24,640938.0,34.241,4587
2020-10-26,33.59,33.75,32.79,33.31,644745.0,33.181,4410
2020-10-27,33.13,33.2,31.95,31.97,733438.0,32.369,5254
2020-10-28,31.12,31.91,30.78,30.8,641260.0,31.13,5153
2020-10-29,30.57,31.91,30.05,31.67,797144.0,31.305,5988
2020-10-30,31.52,32.09,31.11,32.08,985016.0,31.683,6862
2020-11-02,32.44,32.74,32.11,32.42,1010354.0,32.44,7591
2020-11-03,34.23,36.0,34.15,34.99,2253197.0,35.024,14320
2020-11-04,34.84,35.03,33.53,33.82,1242428.0,34.296,7231
2020-11-05,34.0,35.63,34.0,35.18,986622.0,35.278,6090
2020-11-06,35.59,35.68,34.49,34.91,791922.0,35.079,5207
2020-11-09,38.39,41.48,38.05,40.58,1975930.0,40.188,12056
2020-11-10,40.83,41.33,40.28,40.91,1517685.0,40.835,8135
2020-11-11,41.14,41.74,40.18,41.71,1312737.0,41.207,9318
2020-11-12,40.78,41.38,39.62,40.38,739965.0,40.385,4646
2020-11-13,40.79,42.2,40.68,41.87,877415.0,41.651,5624
2020-11-16,43.29,43.4,42.26,42.96,730836.0,42.693,5147
2020-11-17,42.22,43.54,41.84,43.22,597143.0,43.033,4433
2020-11-18,43.53,43.81,43.12,43.2,944656.0,43.464,6115
2020-11-19,42.59,43.13,41.96,43.02,524344.0,42.631,3982
2020-11-20,42.93,43.2,42.37,42.97,274742.0,42.789,2118
2020-11-23,43.65,44.85,43.57,44.72,692285.0,44.476,4964
2020-11-24,45.68,47.11,45.47,46.84,971516.0,46.587,6912
2020-11-25,46.3,46.43,45.15,46.18,504902.0,46.009,3595
2020-11-27,46.15,46.56,45.4,45.92,236223.0,45.994,1728
2020-11-30,45.52,45.73,44.34,44.35,714516.0,45.006,4860
2020-12-01,45.56,45.97,44.46,45.05,977954.0,45.134,4000
2020-12-02,45.14,45.97,44.72,45.8,722953.0,45.642,3989
2020-12-03,45.67,46.41,45.2,45.75,421687.0,45.967,2560
2020-12-04,46.29,46.64,45.78,45.88,781013.0,46.016,5580
2020-12-07,45.11,45.31,43.53,43.74,1173598.0,43.914,8283
2020-12-08,43.08,43.92,43.04,43.66,698413.0,43.588,4742
2020-12-09,44.17,44.32,42.95,43.28,1093912.0,43.413,4925
2020-12-10,42.46,43.66,42.37,43.34,853922.0,43.278,4438
2020-12-11,42.53,43.06,42.11,42.42,562254.0,42.509,3776
2020-12-14,43.31,43.41,41.65,41.75,444397.0,42.086,3057
2020-12-15,42.15,42.66,41.35,42.39,703842.0,42.147,4841
2020-12-16,42.65,42.97,42.03,42.4,604271.0,42.503,4843
2020-12-17,42.77,42.92,41.76,42.51,561013.0,42.405,4104
2020-12-18,42.77,43.21,41.33,42.03,859172.0,41.912,5995
2020-12-21,42.39,42.39,40.9,41.63,681833.0,41.658,4340
2020-12-22,42.04,42.17,41.04,41.08,409283.0,41.394,2982
2020-12-23,41.6,42.65,41.55,42.29,428297.0,42.316,3113
2020-12-24,42.28,42.43,41.63,42.38,106743.0,42.151,828
2020-12-28,42.74,43.02,42.21,42.28,245937.0,42.642,1829
2020-12-29,42.48,42.65,41.67,41.86,337526.0,41.927,2351
2020-12-30,41.89,42.75,41.68,42.51,512346.0,42.488,3724
2020-12-31,42.57,43.35,42.18,43.14,335124.0,43.047,2391
2021-01-04,43.57,43.77,41.89,41.99,431636.0,42.433,2632
2021-01-05,41.76,43.63,41.61,42.87,655789.0,42.925,3852
2021-01-06,44.13,46.46,43.96,46.01,1268641.0,45.904,7222
2021-01-07,46.76,46.85,45.94,46.21,1258038.0,46.423,8856
2021-01-08,45.38,45.89,44.51,45.16,585839.0,45.175,4299
2021-01-11,44.47,45.31,44.29,44.45,469783.0,44.664,3573
2021-01-12,44.99,45.55,44.48,44.72,787148.0,45.073,5304
2021-01-13,44.66,45.19,44.0,44.78,876359.0,44.429,4343
2021-01-14,44.98,46.13,44.68,45.52,487793.0,45.698,3136
2021-01-15,44.74,44.94,43.94,44.37,567718.0,44.544,3529
2021-01-19,44.83,45.36,44.19,44.66,345867.0,44.9,2510
2021-01-20,45.89,45.89,44.57,44.67,507911.0,44.853,3442
2021-01-21,44.74,45.0,43.66,43.69,626514.0,44.008,4793
2021-01-22,43.0,43.68,42.7,43.29,531714.0,43.165,3316
2021-01-25,42.93,43.21,42.0,42.71,477832.0,42.535,3433
2021-01-26,43.08,43.44,42.21,42.69,789257.0,42.783,4807
2021-01-27,41.98,42.32,41.33,41.51,1276796.0,41.935,9349
2021-01-28,41.88,43.33,41.5,42.49,695792.0,42.617,4644
2021-01-29,42.25,42.34,40.21,40.89,661536.0,40.92,4480
2021-02-01,41.23,41.52,40.23,41.16,594618.0,40.89,3413
2021-02-02,41.99,42.99,41.76,42.37,694734.0,42.389,3536
2021-02-03,42.23,42.9,42.17,42.9,426089.0,42.645,3296
2021-02-04,43.16,44.68,43.12,44.61,770190.0,44.287,4620
2021-02-05,45.0,45.03,44.03,44.45,526725.0,44.441,3426
2021-02-08,44.6,45.37,44.44,45.27,442861.0,45.009,2727
2021-02-09,45.24,45.28,44.58,44.74,410762.0,44.898,2711
2021-02-10,44.86,44.87,44.01,44.3,351976.0,44.435,2584
2021-02-11,44.39,44.78,43.82,44.73,686187.0,44.265,3139
2021-02-12,44.6,45.81,44.52,45.17,521166.0,45.113,3901
2021-02-16,45.87,46.34,45.32,45.87,1072007.0,45.869,6996
2021-02-17,48.0,48.07,44.93,45.3,1783176.0,45.943,10918
2021-02-18,44.63,45.47,43.94,45.15,810362.0,44.733,5112
2021-02-19,45.55,46.43,45.22,45.39,912002.0,45.583,4734
2021-02-22,45.23,47.2,45.14,46.64,1053566.0,46.374,6518
2021-02-23,46.97,46.97,45.09,45.59,936843.0,45.541,5730
2021-02-24,45.81,48.3,45.81,47.78,892279.0,47.264,5890
2021-02-25,48.3,48.59,45.93,46.05,777174.0,46.937,5559
2021-02-26,45.71,46.44,44.37,45.59,730919.0,45.501,4906
2021-03-01,46.61,47.3,46.51,46.74,619383.0,46.895,3989
2021-03-02,46.64,47.55,46.29,46.79,498247.0,46.77,3472
2021-03-03,47.6,49.04,47.05,48.3,1008837.0,48.363,6570
2021-03-04,48.03,49.18,46.59,47.78,1049110.0,47.86,6757
2021-03-05,48.71,49.09,46.88,48.88,675169.0,48.292,4394
2021-03-08,54.26,55.39,51.64,51.8,7021183.0,52.58,48650
2021-03-09,51.01,52.25,49.86,49.93,3182331.0,50.851,19946
2021-03-10,50.15,51.09,49.51,49.8,2938391.0,49.982,18119
2021-03-11,49.6,51.29,49.42,50.8,2689361.0,50.303,13745
2021-03-12,51.0,51.38,50.06,50.14,2331413.0,50.594,13069
2021-03-15,50.0,51.06,49.8,51.05,3390945.0,50.43,21328
2021-03-16,50.68,51.62,50.24,50.24,1961570.0,50.965,13497
2021-03-17,50.58,50.97,50.25,50.7,2714440.0,50.547,14901
2021-03-18,51.01,51.63,49.92,50.19,2662017.0,51.041,15754
2021-03-19,50.03,50.29,49.35,49.64,2771444.0,49.861,12186
2021-03-22,49.41,52.35,49.28,52.05,3289901.0,51.064,17365
2021-03-23,51.59,52.17,51.33,52.06,1773512.0,51.787,10441
2021-03-24,52.53,53.37,50.19,50.19,1289534.0,51.38,8915
2021-03-25,49.94,50.57,49.02,49.89,1605971.0,49.91,10973
2021-03-26,50.3,50.41,48.52,49.56,1617626.0,49.253,10699
2021-03-29,48.9,49.91,48.65,49.47,1046692.0,49.292,7342
2021-03-30,49.5,51.23,49.46,50.29,1231907.0,50.362,6961
2021-03-31,50.3,51.23,50.3,50.4,1135830.0,50.622,6100
2021-04-01,50.5,51.31,50.5,51.13,834977.0,51.073,5391
2021-04-05,50.79,51.64,50.79,51.06,975520.0,51.292,6145
2021-04-06,51.07,51.47,50.82,51.1,474355.0,51.108,2920
2021-04-07,51.03,51.29,50.3,50.47,887822.0,50.623,6571
2021-04-08,50.34,50.83,49.31,49.87,790880.0,50.084,4563
2021-04-09,50.15,50.51,49.7,50.45,1039250.0,50.21,5678
2021-04-12,50.6,51.11,50.19,50.8,1744414.0,50.781,6627
2021-04-13,50.51,50.94,49.95,50.88,1421429.0,50.691,6126
2021-04-14,50.96,53.74,50.88,53.35,2500431.0,53.106,11007
2021-04-15,53.5,54.21,53.39,54.14,1361683.0,53.986,6809
2021-04-16,54.59,55.5,54.48,55.45,962250.0,55.027,5882
