date,open,high,low,close,volume,average,barCount
2020-07-13,76.98,79.18,76.36,76.68,1415281.0,77.699,11209
2020-07-14,77.07,78.41,75.35,78.19,913463.0,77.307,6862
2020-07-15,80.28,82.22,79.25,81.78,1106082.0,80.764,8552
2020-07-16,80.72,82.41,79.81,82.27,1081074.0,81.791,8445
2020-07-17,82.73,82.79,81.18,81.78,1009439.0,82.073,7579
2020-07-20,81.46,82.23,80.17,81.94,854999.0,81.612,6226
2020-07-21,83.29,83.8,81.53,81.87,865152.0,82.416,6085
2020-07-22,81.68,82.8,81.18,82.72,1095561.0,82.176,7376
2020-07-23,83.04,83.53,81.32,82.33,960571.0,82.515,7669
2020-07-24,80.8,83.16,80.76,82.25,865813.0,82.113,6520
2020-07-27,82.25,84.35,81.75,83.55,853331.0,83.386,6662
2020-07-28,83.67,84.27,82.08,82.17,625691.0,82.796,4774
2020-07-29,82.21,83.72,82.21,83.67,1174232.0,83.11,8038
2020-07-30,82.5,82.84,79.91,80.46,1513611.0,81.212,10515
2020-07-31,80.27,80.4,76.18,77.75,1577097.0,77.465,11445
2020-08-03,78.25,80.45,78.25,79.72,1061008.0,79.5,5709
2020-08-04,81.81,81.81,80.26,81.02,842350.0,80.836,6032
2020-08-05,81.28,83.94,81.08,83.84,1535680.0,83.183,9240
2020-08-06,83.16,85.18,83.16,84.53,1100682.0,84.397,7032
2020-08-07,83.67,84.81,82.92,83.86,797152.0,83.651,4830
2020-08-10,84.63,86.81,84.23,86.44,870583.0,86.163,6489
2020-08-11,88.0,90.82,87.99,88.84,1804639.0,89.578,11488
2020-08-12,90.81,91.51,88.21,89.5,1308404.0,89.412,8352
2020-08-13,88.62,89.33,88.35,88.63,608591.0,88.813,4551
2020-08-14,88.52,88.93,87.62,88.34,445562.0,88.27,3322
2020-08-17,88.91,89.31,87.73,88.16,880625.0,88.296,5303
2020-08-18,88.19,89.11,87.19,87.24,451974.0,87.668,3431
2020-08-19,86.88,87.05,84.77,85.42,1036471.0,85.45,8112
2020-08-20,84.21,84.87,83.74,84.49,622205.0,84.416,4591
2020-08-21,84.76,84.81,83.68,83.88,376274.0,84.18,2528
2020-08-24,84.55,85.87,84.38,85.5,1082621.0,85.374,7600
