date,open,high,low,close,volume,average,barCount
2020-07-13,161.63,163.14,159.86,160.84,327521.0,161.934,2718
2020-07-14,160.85,164.0,160.02,163.47,353494.0,163.164,2786
2020-07-15,165.56,165.81,162.87,163.73,373136.0,164.171,3005
2020-07-16,163.05,164.59,161.68,163.03,331695.0,162.795,2781
2020-07-17,163.97,167.27,162.81,166.75,276625.0,165.56,1955
2020-07-20,165.99,167.03,164.37,165.27,261710.0,165.599,2029
2020-07-21,166.01,166.94,165.21,165.74,337353.0,165.908,2839
2020-07-22,164.7,169.63,164.44,168.89,458374.0,168.523,3826
2020-07-23,168.18,170.0,166.64,168.52,441302.0,168.694,3397
2020-07-24,168.14,169.06,166.82,168.55,348781.0,168.17,2875
2020-07-27,167.8,170.63,165.81,170.36,315954.0,168.453,2574
2020-07-28,172.24,175.42,170.67,173.79,629323.0,173.597,5151
2020-07-29,174.07,177.64,174.07,176.06,577836.0,175.925,4114
2020-07-30,174.54,176.56,173.83,176.13,235728.0,175.401,1902
2020-07-31,175.47,177.63,173.41,177.55,406032.0,175.632,2572
2020-08-03,176.43,177.24,174.62,176.33,275728.0,175.999,2108
2020-08-04,176.35,177.7,175.2,176.49,247889.0,176.35,2120
2020-08-05,176.79,177.15,173.44,174.62,298546.0,174.379,2545
2020-08-06,173.8,175.54,172.96,174.38,382962.0,174.076,2725
2020-08-07,173.92,176.11,173.92,175.65,194920.0,175.399,1623
2020-08-10,175.65,176.92,174.27,174.98,266823.0,175.065,2349
2020-08-11,176.06,176.58,171.0,172.05,276023.0,173.179,2392
2020-08-12,172.57,174.36,172.16,173.3,287979.0,173.086,2416
2020-08-13,172.0,174.11,170.5,170.7,199972.0,171.74,1640
2020-08-14,170.62,172.16,169.59,170.22,168380.0,170.939,1409
2020-08-17,170.56,174.13,169.84,173.42,231431.0,172.836,1846
2020-08-18,173.19,174.19,172.12,173.76,270431.0,173.394,2166
2020-08-19,174.0,174.0,171.11,171.42,253006.0,172.369,1699
2020-08-20,171.37,173.49,170.95,171.45,140856.0,172.026,1251
2020-08-21,172.43,172.9,169.61,170.69,237981.0,170.676,1705
2020-08-24,169.99,171.21,168.43,171.21,224352.0,169.744,1846
2020-08-25,171.32,172.04,169.72,170.74,230534.0,170.377,1828
2020-08-26,170.78,170.87,169.18,170.39,202450.0,170.07,1761
2020-08-27,170.39,172.04,170.39,170.52,131738.0,170.939,1136
2020-08-28,170.82,171.56,167.64,169.71,234620.0,168.753,1953
2020-08-31,169.55,169.67,167.5,168.38,452749.0,168.277,3886
2020-09-01,167.6,168.69,166.23,166.54,282424.0,167.272,2464
2020-09-02,166.48,170.97,165.73,170.37,329941.0,168.703,2672
2020-09-03,171.25,173.35,167.59,169.58,419488.0,169.631,3601
2020-09-04,169.58,170.8,164.45,166.43,269037.0,166.757,2383
2020-09-08,165.23,165.38,160.26,161.99,501413.0,161.975,4339
2020-09-09,162.68,165.7,161.62,162.88,413094.0,163.019,3501
2020-09-10,162.34,162.67,160.09,160.35,269150.0,161.206,2311
2020-09-11,160.63,160.63,157.0,158.36,238587.0,158.589,1967
2020-09-14,159.42,163.89,158.83,163.68,366665.0,162.934,3026
2020-09-15,163.68,165.78,163.25,163.65,317040.0,164.357,2764
2020-09-16,164.93,166.55,163.39,164.64,308205.0,165.277,2771
2020-09-17,163.07,164.45,161.23,162.04,468819.0,162.149,3907
2020-09-18,160.47,162.35,157.6,159.35,918737.0,159.458,6558
2020-09-21,157.68,157.96,154.18,155.89,387230.0,155.972,3323
2020-09-22,156.09,159.92,156.09,159.15,398728.0,158.921,3106
2020-09-23,158.93,160.15,156.05,156.53,397152.0,157.697,2996
2020-09-24,156.74,159.83,155.6,156.58,310682.0,157.37,2588
2020-09-25,155.75,158.79,155.7,158.5,247309.0,157.624,1946
2020-09-28,160.54,162.45,159.85,161.35,346763.0,161.453,2698
2020-09-29,159.89,161.96,159.0,159.93,317352.0,159.929,2576
2020-09-30,160.94,163.14,158.3,160.0,613901.0,160.442,4325
2020-10-01,160.6,163.22,160.04,163.19,278587.0,161.671,2511
2020-10-02,161.67,165.3,160.56,164.71,294245.0,163.841,2338
2020-10-05,166.06,167.14,163.4,167.0,220151.0,165.89,1839
2020-10-06,167.37,167.88,164.32,165.1,229239.0,165.727,1928
2020-10-07,165.29,165.85,163.09,163.12,287204.0,164.24,2261
2020-10-08,163.59,166.99,163.29,166.09,200852.0,165.685,1574
2020-10-09,167.11,167.11,164.56,165.15,189390.0,165.166,1628
2020-10-12,165.29,167.32,164.49,166.9,295853.0,166.159,2618
2020-10-13,166.35,168.09,165.08,165.62,342350.0,166.208,2857
2020-10-14,165.36,165.71,162.06,162.27,242829.0,163.041,1919
2020-10-15,161.0,162.98,160.51,161.93,183646.0,162.09,1537
2020-10-16,162.01,163.46,161.52,162.06,376086.0,162.455,2888
2020-10-19,162.69,162.96,158.42,158.54,468023.0,159.434,3486
2020-10-20,159.62,160.68,158.98,160.02,305547.0,159.862,2421
2020-10-21,160.0,161.26,158.9,160.08,188169.0,160.321,1566
2020-10-22,159.8,161.07,159.46,160.16,199558.0,160.224,1178
2020-10-23,161.25,161.42,159.8,160.54,137707.0,160.408,1050
2020-10-26,159.27,159.85,155.83,156.83,390465.0,156.977,3148
