date,open,high,low,close,volume,average,barCount
2020-07-13,99.59,100.68,99.02,99.69,332557.0,99.882,2873
2020-07-14,99.75,101.04,99.2,100.43,300002.0,100.175,2592
2020-07-15,101.38,102.37,100.47,100.64,367630.0,101.346,2964
2020-07-16,100.63,101.33,100.09,100.55,358055.0,100.508,3151
2020-07-17,101.03,101.66,100.46,101.06,383757.0,100.953,3240
2020-07-20,100.81,101.32,99.48,99.81,651795.0,100.092,4063
2020-07-21,100.42,102.32,99.88,102.15,403693.0,101.673,3423
2020-07-22,101.83,104.35,101.26,104.03,418296.0,103.683,3326
2020-07-23,104.05,104.5,102.95,103.7,306381.0,103.485,2785
2020-07-24,104.04,104.8,102.48,103.0,416991.0,103.314,3158
2020-07-27,102.98,103.74,102.21,102.57,379630.0,102.824,3208
2020-07-28,102.2,105.14,102.2,104.6,390303.0,104.514,3388
2020-07-29,105.03,105.98,105.03,105.66,400827.0,105.46,3334
2020-07-30,104.81,105.77,104.7,105.42,319411.0,105.358,2718
2020-07-31,105.32,106.67,104.64,105.99,491193.0,105.514,3955
2020-08-03,105.61,105.65,104.05,105.31,296822.0,104.868,2498
2020-08-04,104.13,105.61,104.12,104.81,505405.0,104.77,4366
2020-08-05,104.8,105.98,103.25,103.69,451719.0,104.136,3886
2020-08-06,106.1,106.1,103.35,104.7,405261.0,104.644,3515
2020-08-07,103.89,106.61,103.89,105.71,315038.0,105.631,2750
2020-08-10,106.43,107.02,105.58,106.04,307009.0,106.357,2577
2020-08-11,106.67,106.67,103.3,103.53,336117.0,104.409,2831
2020-08-12,104.1,106.0,104.05,104.96,390866.0,105.234,3341
2020-08-13,104.46,105.08,103.84,104.62,356840.0,104.45,3112
2020-08-14,104.73,105.22,103.52,104.5,325829.0,104.631,2513
2020-08-17,104.51,105.07,103.98,104.12,400190.0,104.38,3204
2020-08-18,103.85,104.29,102.94,103.0,522491.0,103.46,3611
2020-08-19,103.28,103.71,102.3,102.64,698986.0,102.849,3748
2020-08-20,102.21,103.01,101.61,101.7,418534.0,102.161,3481
2020-08-21,101.18,101.2,99.08,100.84,663716.0,100.629,4566
2020-08-24,100.86,101.92,99.59,101.91,284252.0,101.01,2318
2020-08-25,102.24,102.24,99.72,100.44,239965.0,100.542,1888
2020-08-26,100.12,100.12,98.5,99.3,315319.0,99.387,2509
2020-08-27,99.82,100.18,98.53,98.98,377829.0,99.063,3186
2020-08-28,99.39,99.65,98.06,99.58,273733.0,98.993,2286
2020-08-31,99.51,100.21,99.12,99.82,273233.0,99.637,2203
2020-09-01,99.42,99.42,97.13,97.43,493227.0,97.559,3552
2020-09-02,97.51,99.03,97.16,98.43,821054.0,98.285,7084
2020-09-03,98.95,99.93,97.38,98.09,429676.0,98.517,3157
2020-09-04,98.5,98.63,96.47,97.22,508715.0,97.388,4032
2020-09-08,97.63,97.63,95.12,96.12,555316.0,96.281,3935
2020-09-09,96.69,97.71,96.32,96.65,420682.0,97.019,2950
2020-09-10,96.45,96.45,94.26,94.27,335190.0,94.941,2705
2020-09-11,94.56,94.56,92.75,93.21,299721.0,93.354,2261
2020-09-14,93.96,94.2,93.04,93.32,389697.0,93.527,2971
2020-09-15,93.64,94.59,91.9,92.35,499778.0,93.101,3306
2020-09-16,92.5,94.5,92.11,93.89,756968.0,93.692,4756
2020-09-17,93.83,94.19,92.96,93.42,338978.0,93.359,2393
2020-09-18,93.19,93.67,91.79,92.0,824999.0,92.503,4635
2020-09-21,91.33,92.48,90.48,92.27,858895.0,91.862,4700
2020-09-22,92.33,94.29,92.23,93.72,618863.0,93.673,3731
2020-09-23,93.58,94.16,92.72,92.87,465131.0,93.299,2980
2020-09-24,92.81,94.22,92.51,93.59,405192.0,93.308,2623
2020-09-25,93.23,95.51,92.89,95.25,633079.0,94.741,2942
2020-09-28,95.3,95.76,94.65,95.04,320101.0,95.293,2532
2020-09-29,95.17,95.93,94.89,95.1,294274.0,95.44,2251
2020-09-30,95.82,95.95,94.69,95.59,326899.0,95.463,2519
2020-10-01,95.61,96.34,94.82,95.47,492717.0,95.432,2703
2020-10-02,94.95,97.0,94.59,96.02,835907.0,95.845,3894
2020-10-05,96.59,96.59,94.94,95.22,564969.0,95.483,3313
2020-10-06,95.36,97.88,95.36,96.98,533262.0,96.461,3935
2020-10-07,97.07,97.42,95.62,96.38,573778.0,96.443,3797
