date,open,high,low,close,volume,average,barCount
2020-07-13,32.17,32.35,31.06,31.13,11964370.0,31.7984,8608
2020-07-14,30.9,31.62,30.52,31.51,8897260.0,31.1536,6579
2020-07-15,31.57,31.78,31.02,31.38,8135530.0,31.3754,6283
2020-07-16,31.06,31.39,30.93,31.13,7043240.0,31.1448,5708
2020-07-17,31.42,31.52,31.0,31.27,6809130.0,31.3366,4947
2020-07-20,31.19,31.76,31.03,31.71,8312640.0,31.3852,5809
2020-07-21,31.92,31.92,31.27,31.43,7174530.0,31.5292,5230
2020-07-22,31.5,31.57,31.04,31.38,6657350.0,31.3113,5264
2020-07-23,31.35,31.61,30.84,30.97,10637990.0,31.2075,7708
2020-07-24,30.66,31.09,30.42,30.58,8567710.0,30.7384,6095
2020-07-27,30.83,31.3,30.75,31.27,11985740.0,31.0147,8450
2020-07-28,31.12,31.21,30.62,30.74,8038570.0,30.844,6165
2020-07-29,30.91,31.12,30.74,30.89,8573570.0,30.9036,6311
2020-07-30,30.62,31.29,30.6,31.21,10592190.0,30.9476,7171
2020-07-31,31.47,31.84,31.14,31.68,13210180.0,31.4883,9694
2020-08-03,31.8,32.35,31.73,32.12,9409400.0,32.1032,7056
2020-08-04,32.05,32.86,32.04,32.84,13768670.0,32.5326,9305
2020-08-05,32.8,33.16,32.58,32.95,13279380.0,32.8455,9502
2020-08-06,32.78,33.09,32.54,32.92,7302670.0,32.837,5329
2020-08-07,32.84,32.97,32.15,32.59,7573850.0,32.5396,5597
2020-08-10,32.32,32.93,32.32,32.74,5935300.0,32.6765,4213
2020-08-11,32.76,33.33,32.28,32.4,11964350.0,32.8721,7964
2020-08-12,32.62,33.59,32.54,33.36,9866710.0,33.3077,6154
2020-08-13,33.22,33.34,32.79,32.94,8701450.0,33.0479,5648
2020-08-14,32.8,32.99,32.6,32.78,5216950.0,32.7586,3821
2020-08-17,32.99,33.18,32.9,33.03,4805810.0,33.0531,3039
2020-08-18,33.19,33.32,32.81,32.86,4361530.0,32.9616,3312
2020-08-19,32.95,33.31,32.82,32.92,5529080.0,33.0957,3856
2020-08-20,32.77,33.0,32.61,32.88,4186070.0,32.849,3159
2020-08-21,32.82,33.05,32.5,33.0,5790370.0,32.8121,3402
2020-08-24,33.2,33.62,33.11,33.4,6139520.0,33.3234,4377
2020-08-25,33.58,33.71,33.3,33.61,6035580.0,33.5289,4008
2020-08-26,33.47,34.15,33.35,33.97,7865700.0,33.9131,5575
2020-08-27,34.05,34.13,33.61,33.91,7055900.0,33.9246,5112
2020-08-28,33.91,34.48,33.77,34.48,7454830.0,34.1719,5508
2020-08-31,34.4,35.06,34.35,34.71,11985500.0,34.7042,7810
2020-09-01,34.99,36.21,34.74,35.95,16275980.0,35.7682,11365
2020-09-02,36.63,37.9,36.36,37.5,23557020.0,37.2051,15428
2020-09-03,36.6,36.89,35.02,35.21,20717820.0,35.7239,14437
2020-09-04,36.11,37.25,35.35,36.3,37499180.0,36.3781,23809
2020-09-08,35.2,36.27,35.0,35.05,14232700.0,35.5683,10062
2020-09-09,35.62,36.19,35.11,36.0,12589850.0,35.8086,8858
2020-09-10,36.21,36.78,35.44,35.71,10762440.0,36.1914,7487
2020-09-11,36.05,36.43,35.47,35.97,8705080.0,35.9475,6211
2020-09-14,36.5,36.59,35.93,36.22,8510800.0,36.2759,6031
2020-09-15,36.62,37.11,36.54,36.69,9033820.0,36.8666,6193
2020-09-16,36.77,37.2,36.64,36.7,8942970.0,36.872,6486
2020-09-17,35.58,37.01,35.5,36.59,10959030.0,36.3689,7953
2020-09-18,36.77,36.78,35.51,35.97,16038900.0,36.2842,8750
2020-09-21,35.01,35.2,34.35,35.18,12675150.0,34.8147,8485
2020-09-22,35.64,36.18,35.3,36.16,9752280.0,35.7444,6791
2020-09-23,36.03,36.12,35.0,35.16,8056480.0,35.5996,5700
2020-09-24,35.07,35.76,34.91,35.25,7301860.0,35.3803,4804
2020-09-25,35.19,35.77,34.83,35.68,10572960.0,35.3888,6630
2020-09-28,36.15,36.84,35.9,36.73,10933840.0,36.4924,7447
2020-09-29,36.75,37.08,36.4,36.43,8011230.0,36.6801,5915
2020-09-30,36.27,37.1,36.17,36.43,9192480.0,36.6114,6521
2020-10-01,36.83,37.07,36.48,36.86,8152680.0,36.7516,5860
2020-10-02,36.0,36.49,35.62,35.68,8640110.0,35.9865,6039
2020-10-05,36.08,36.69,35.99,36.61,8518290.0,36.4295,5904
2020-10-06,36.61,37.2,36.2,36.4,6980130.0,36.7404,5033
2020-10-07,36.83,36.99,36.61,36.67,5815120.0,36.7479,4388
2020-10-08,36.92,37.43,36.83,37.33,7401370.0,37.2073,5071
2020-10-09,37.53,38.0,37.4,37.67,9164000.0,37.7164,6172
2020-10-12,38.18,38.51,37.98,38.24,9970300.0,38.2504,6922
2020-10-13,38.44,38.78,37.86,38.15,8891320.0,38.2588,6060
2020-10-14,38.35,38.37,37.79,38.03,10368000.0,38.153,4647
2020-10-15,37.48,38.05,37.48,37.99,7001820.0,37.828,5311
2020-10-16,38.33,38.33,37.82,37.87,5475540.0,38.0852,3386
2020-10-19,38.25,38.36,37.52,37.58,6117420.0,37.9113,4546
2020-10-20,37.7,38.11,37.56,37.7,7343760.0,37.8008,5416
2020-10-21,37.61,37.69,37.03,37.21,6759930.0,37.3946,4387
2020-10-22,37.13,37.43,36.71,37.34,8361940.0,37.1801,5244
2020-10-23,37.33,37.39,37.08,37.27,4364510.0,37.2477,3179
2020-10-26,36.96,37.0,35.76,36.3,8420610.0,36.2472,6006
2020-10-27,36.49,36.52,35.92,35.96,4437110.0,36.144,3282
2020-10-28,35.4,35.49,34.55,34.72,9792980.0,34.877,7168
2020-10-29,34.8,35.94,34.54,35.5,7551660.0,35.3899,5532
2020-10-30,34.94,35.3,34.44,34.96,7515400.0,34.7977,5832
2020-11-02,35.52,35.56,34.83,35.13,5037230.0,35.1553,3740
2020-11-03,35.55,35.92,34.67,35.38,8081050.0,35.5578,5519
2020-11-04,36.07,36.9,35.71,36.46,8839420.0,36.4386,6560
2020-11-05,37.36,38.27,37.2,38.09,12020390.0,37.8554,8365
2020-11-06,37.98,38.37,37.72,38.06,6341010.0,38.136,4436
2020-11-09,38.83,39.39,37.5,37.55,12294650.0,38.4904,8516
2020-11-10,37.01,37.32,36.04,36.31,13847920.0,36.504,9146
2020-11-11,37.07,37.71,36.86,37.59,7467410.0,37.5035,5316
2020-11-12,37.72,37.86,36.83,37.02,6038290.0,37.2606,4343
2020-11-13,37.5,37.73,37.16,37.35,5649860.0,37.3658,4240
2020-11-16,37.48,38.14,37.4,38.08,5870250.0,37.7979,4286
2020-11-17,37.87,38.24,37.7,38.06,6221240.0,38.0254,4494
2020-11-18,37.99,38.49,37.96,38.06,6229140.0,38.2398,4594
2020-11-19,37.77,38.48,37.44,38.43,8343460.0,37.9224,5858
2020-11-20,38.4,38.89,38.27,38.33,8888610.0,38.6491,6287
2020-11-23,38.54,38.92,38.3,38.7,6503750.0,38.6408,4376
2020-11-24,38.86,39.28,38.62,39.22,6535510.0,39.0307,4909
2020-11-25,39.29,39.55,38.9,39.08,7067120.0,39.0579,4353
2020-11-27,39.29,39.92,39.29,39.49,3772100.0,39.6509,2621
2020-11-30,39.35,40.22,39.27,40.16,6464730.0,39.7384,4488
2020-12-01,40.3,40.67,40.01,40.46,7618550.0,40.3719,5467
2020-12-02,40.39,40.54,40.11,40.37,3933750.0,40.3674,2846
2020-12-03,40.45,40.66,39.81,39.98,8406640.0,40.344,5522
2020-12-04,40.41,41.24,40.24,41.17,12304060.0,40.9566,8738
2020-12-07,41.62,42.29,41.36,42.09,9754490.0,41.9493,6947
2020-12-08,41.99,42.67,41.82,42.34,10550120.0,42.272,7619
2020-12-09,41.95,42.61,41.37,41.62,8650300.0,41.9308,6122
