date,open,high,low,close,volume,average,barCount
2020-07-13,112.2,114.09,111.7,112.15,650314.0,112.741,5493
2020-07-14,112.12,115.82,111.44,115.82,552773.0,114.332,3838
2020-07-15,118.05,119.61,117.32,118.99,517756.0,118.705,4002
2020-07-16,118.89,120.58,118.39,119.42,325621.0,119.42,2482
2020-07-17,120.27,121.66,118.8,121.26,395840.0,120.777,3095
2020-07-20,120.5,121.01,119.66,119.89,170373.0,120.276,1499
2020-07-21,120.11,121.41,120.0,120.49,223665.0,120.433,1900
2020-07-22,120.13,122.2,119.93,122.2,207257.0,121.663,1774
2020-07-23,122.26,123.6,120.4,120.91,221545.0,121.311,1835
2020-07-24,121.04,122.71,119.91,120.41,1150371.0,121.021,5720
2020-07-27,120.77,120.9,113.62,115.86,829077.0,115.631,6397
2020-07-28,117.25,118.39,116.29,117.6,665195.0,117.651,5317
2020-07-29,118.2,119.37,117.26,117.96,505645.0,118.348,4369
2020-07-30,116.34,117.01,114.6,115.13,299103.0,115.305,2501
2020-07-31,114.7,115.03,112.1,113.34,214488.0,112.848,1910
2020-08-03,114.04,114.39,112.54,112.81,255072.0,113.344,2192
2020-08-04,112.32,114.18,111.8,113.84,386645.0,113.417,3287
2020-08-05,114.47,116.82,114.47,116.09,321779.0,116.228,2766
2020-08-06,115.94,116.85,114.13,114.45,315599.0,115.01,2533
2020-08-07,113.72,115.83,113.39,115.82,201726.0,114.895,1532
2020-08-10,116.36,117.19,115.33,116.18,201831.0,116.254,1603
2020-08-11,118.18,119.95,117.83,118.35,401505.0,118.925,2897
2020-08-12,119.65,120.82,119.11,120.46,237671.0,120.28,2108
2020-08-13,119.11,119.18,117.86,118.43,166716.0,118.567,1294
2020-08-14,117.5,117.97,116.36,116.59,219616.0,117.079,1922
2020-08-17,117.43,117.43,115.43,115.86,139442.0,116.165,1206
2020-08-18,115.7,115.9,114.15,114.34,234450.0,114.898,2036
2020-08-19,115.04,116.08,113.75,114.25,162442.0,114.798,1275
2020-08-20,113.09,113.6,112.21,113.44,268878.0,112.769,1430
2020-08-21,113.31,115.05,112.69,114.58,191887.0,114.32,1388
2020-08-24,115.48,116.31,114.78,115.38,136615.0,115.458,711
2020-08-25,116.1,116.3,114.44,115.91,243208.0,115.634,1754
2020-08-26,115.63,116.03,114.62,115.75,202969.0,115.481,1294
2020-08-27,115.31,117.13,115.26,116.29,210892.0,116.409,1503
2020-08-28,116.64,118.36,115.42,118.18,175751.0,117.408,1257
2020-08-31,118.18,118.18,114.65,115.39,315300.0,115.655,1901
2020-09-01,114.16,117.71,113.06,117.66,284763.0,115.99,1667
2020-09-02,117.78,121.53,117.57,121.16,241021.0,119.901,1861
2020-09-03,121.21,121.33,117.03,119.08,283134.0,118.82,2081
2020-09-04,120.42,120.69,117.65,119.08,326730.0,119.468,1882
2020-09-08,118.52,118.52,113.56,114.06,338363.0,114.483,2780
2020-09-09,114.59,117.02,114.59,116.35,265360.0,116.013,1975
2020-09-10,117.2,118.05,115.91,116.04,357549.0,117.034,2300
2020-09-11,117.23,120.82,116.91,119.79,530912.0,119.68,4013
2020-09-14,121.29,123.84,121.11,121.81,408686.0,122.218,3113
2020-09-15,123.17,128.72,123.17,128.02,591174.0,127.128,4249
2020-09-16,128.36,129.74,128.02,128.33,721103.0,129.054,4002
2020-09-17,127.0,129.73,124.66,128.69,349265.0,128.284,2816
2020-09-18,128.04,128.78,124.57,125.48,338206.0,126.357,2314
2020-09-21,123.06,124.26,119.55,121.2,351504.0,121.378,2751
2020-09-22,120.91,122.59,120.85,122.01,432248.0,122.066,3380
2020-09-23,122.29,122.43,118.22,118.71,422075.0,119.528,3472
2020-09-24,118.01,119.62,116.74,117.36,334100.0,117.939,2930
2020-09-25,116.2,119.75,115.76,119.3,241669.0,118.431,1991
2020-09-28,120.76,123.86,120.52,123.01,358144.0,122.865,2689
2020-09-29,123.64,125.34,123.24,124.59,447912.0,124.472,3933
2020-09-30,125.36,129.4,125.05,127.84,561710.0,128.137,4714
2020-10-01,128.71,129.5,124.31,124.65,400380.0,125.986,3339
2020-10-02,122.79,125.7,122.56,124.33,330945.0,124.501,2203
2020-10-05,125.69,128.72,125.69,128.22,490439.0,127.139,2804
2020-10-06,129.28,130.6,125.75,126.34,389504.0,127.932,3205
2020-10-07,128.11,131.46,127.96,129.56,178199.0,129.717,1466
2020-10-08,130.03,132.18,130.03,132.06,211670.0,131.511,1716
2020-10-09,133.04,133.22,130.18,130.5,275751.0,131.113,2109
2020-10-12,131.6,131.87,129.08,129.31,395278.0,130.11,3132
2020-10-13,129.0,130.76,128.46,129.44,178114.0,129.536,1477
2020-10-14,129.39,131.67,129.39,131.18,204466.0,130.994,1807
2020-10-15,129.79,133.56,129.66,132.86,251806.0,132.325,1863
2020-10-16,133.72,134.48,133.36,134.02,247024.0,133.851,1491
2020-10-19,133.93,136.19,133.53,133.74,432696.0,134.881,2991
2020-10-20,135.41,137.5,133.91,134.34,362507.0,135.199,2757
2020-10-21,134.49,145.45,134.49,142.56,1045407.0,141.627,7637
2020-10-22,138.59,142.84,137.58,140.87,478490.0,140.353,3707
2020-10-23,142.7,143.8,140.46,141.74,418630.0,141.687,2975
2020-10-26,140.49,140.65,137.55,139.25,193048.0,138.866,1512
2020-10-27,139.44,140.19,138.15,138.15,265931.0,139.108,2078
2020-10-28,135.18,136.99,134.5,135.15,249203.0,135.611,2057
2020-10-29,135.63,140.84,135.29,139.81,348413.0,139.42,2945
2020-10-30,138.34,140.29,136.68,138.39,329896.0,138.588,2805
2020-11-02,140.09,142.28,139.43,141.7,273291.0,141.386,2392
2020-11-03,143.88,146.02,143.12,145.21,286432.0,144.966,2522
2020-11-04,145.29,145.89,142.51,143.38,269316.0,143.755,2256
2020-11-05,145.4,148.9,145.0,147.04,197499.0,147.507,1612
2020-11-06,147.12,148.82,146.92,148.26,172172.0,147.947,1378
2020-11-09,153.99,156.83,150.98,152.35,543063.0,153.584,4581
2020-11-10,151.24,152.73,147.7,150.7,892089.0,150.154,5970
2020-11-11,151.82,153.23,150.33,151.78,220700.0,151.858,1751
2020-11-12,150.4,151.35,146.59,147.62,307862.0,148.198,2424
2020-11-13,148.99,151.07,148.33,149.58,421426.0,149.344,3071
2020-11-16,151.9,153.98,150.86,152.6,330515.0,152.17,2572
2020-11-17,151.06,152.23,149.1,149.44,356676.0,150.301,2791
2020-11-18,150.16,151.5,147.41,147.43,256564.0,148.918,1882
2020-11-19,146.84,147.5,145.35,147.03,320221.0,146.497,2609
2020-11-20,146.86,147.85,146.11,147.5,186802.0,147.136,1477
2020-11-23,148.81,149.69,146.63,147.48,175288.0,147.495,1456
2020-11-24,149.27,153.5,148.58,153.06,281146.0,152.121,2080
2020-11-25,152.25,152.97,150.85,151.56,164866.0,151.994,1402
2020-11-27,151.4,152.24,149.44,150.3,94510.0,150.392,762
