date,open,high,low,close,volume,average,barCount
2020-07-13,132.82,134.41,132.17,132.97,603325.0,133.204,4831
2020-07-14,133.43,135.23,132.85,134.84,649064.0,134.317,4215
2020-07-15,135.0,135.85,133.4,134.06,536558.0,134.416,4240
2020-07-16,134.03,138.39,133.56,138.32,744382.0,137.094,5963
2020-07-17,138.92,141.53,138.42,141.22,473082.0,140.034,3393
2020-07-20,140.86,142.84,138.99,139.71,443569.0,140.382,3799
2020-07-21,139.8,141.87,139.32,141.18,309251.0,140.908,2649
2020-07-22,140.93,144.48,140.21,143.79,347448.0,143.506,2886
2020-07-23,144.59,145.81,143.91,144.89,431987.0,144.762,3548
2020-07-24,145.0,145.97,143.2,144.52,490468.0,144.376,4035
2020-07-27,145.0,145.91,143.7,144.33,495959.0,144.86,4154
2020-07-28,143.88,146.27,143.88,145.36,365754.0,145.345,3209
2020-07-29,145.94,148.16,145.92,147.99,530624.0,147.427,4447
2020-07-30,146.82,147.98,145.85,146.63,337226.0,146.612,2799
2020-07-31,146.21,148.51,145.48,147.27,403894.0,146.823,3321
2020-08-03,147.0,147.37,145.4,147.06,306250.0,146.564,2521
2020-08-04,146.49,147.69,145.95,147.5,394899.0,146.738,3449
2020-08-05,148.19,148.22,145.65,147.25,267334.0,147.184,2284
2020-08-06,146.32,147.96,145.01,146.97,475667.0,146.817,3776
2020-08-07,147.0,150.04,146.09,149.79,428997.0,148.598,3288
2020-08-10,150.21,150.47,148.44,149.11,287295.0,149.198,2398
2020-08-11,148.23,148.5,141.71,142.42,422706.0,143.719,3570
2020-08-12,143.13,147.08,142.8,145.87,340192.0,146.018,2885
2020-08-13,145.28,147.17,144.29,146.51,308159.0,146.296,2577
2020-08-14,146.28,146.68,144.79,145.31,179205.0,145.525,1438
2020-08-17,146.0,148.12,145.09,146.56,355888.0,147.235,2545
2020-08-18,146.14,147.2,145.29,146.0,267442.0,146.142,2218
2020-08-19,146.76,147.2,143.59,143.92,345315.0,144.851,2871
2020-08-20,143.55,145.31,143.17,144.28,227593.0,144.271,1984
2020-08-21,144.38,144.79,142.61,143.64,283217.0,143.698,2114
2020-08-24,143.62,144.32,142.21,143.88,183451.0,143.185,1458
2020-08-25,143.98,143.98,142.34,143.53,158745.0,143.435,1282
2020-08-26,142.38,142.97,140.78,140.9,299534.0,141.417,2549
2020-08-27,141.88,142.77,140.37,141.37,417130.0,141.318,3456
2020-08-28,141.23,141.23,138.85,140.79,480943.0,139.824,3844
2020-08-31,142.15,142.68,140.87,141.34,314273.0,141.437,2469
2020-09-01,141.78,142.0,139.5,140.17,238372.0,140.247,1786
2020-09-02,140.4,144.93,139.75,144.15,564966.0,143.342,4325
2020-09-03,144.64,146.3,141.3,142.48,410929.0,143.481,3445
2020-09-04,142.7,144.02,141.63,143.17,538137.0,142.936,4037
2020-09-08,143.0,143.21,140.14,140.77,355192.0,141.144,2940
2020-09-09,142.02,145.12,142.02,143.2,324424.0,143.748,2737
2020-09-10,143.09,143.42,140.71,140.77,244150.0,141.551,2052
2020-09-11,141.56,141.77,140.28,141.1,227541.0,141.149,1937
2020-09-14,142.14,143.82,141.25,142.88,271475.0,143.06,2275
2020-09-15,144.16,144.84,142.85,143.59,485413.0,143.698,3877
2020-09-16,143.85,145.51,142.59,142.77,314563.0,144.117,2502
2020-09-17,142.33,142.97,139.7,141.02,310367.0,140.69,2731
2020-09-18,140.75,141.84,138.0,138.28,588711.0,139.634,3547
2020-09-21,137.94,140.08,137.01,139.72,352243.0,138.848,2815
2020-09-22,140.24,141.47,138.91,140.17,326025.0,140.129,2614
2020-09-23,140.65,141.21,138.04,138.05,292431.0,139.371,2511
2020-09-24,138.79,141.95,138.5,140.66,362361.0,140.383,3168
2020-09-25,139.65,144.37,139.54,144.23,379771.0,142.947,3190
2020-09-28,144.47,146.06,143.65,144.55,301399.0,144.965,2301
2020-09-29,144.75,145.1,142.88,143.7,320812.0,143.953,2865
