date,open,high,low,close,volume,average,barCount
2020-07-13,72.38,72.97,71.49,71.63,1005592.0,72.191,7511
2020-07-14,71.63,73.75,71.2,73.61,996107.0,72.78,7498
2020-07-15,74.42,74.77,68.77,69.52,3513499.0,71.367,24271
2020-07-16,70.03,70.04,68.39,69.47,2303884.0,69.202,15587
2020-07-17,69.95,70.53,69.56,70.29,1277478.0,70.172,8186
2020-07-20,70.11,73.68,70.0,72.76,2937855.0,72.434,13904
2020-07-21,73.05,73.46,71.7,72.68,1303933.0,72.48,9261
2020-07-22,73.3,73.57,72.75,73.18,1220612.0,73.203,7275
2020-07-23,73.27,74.13,72.78,72.99,1315364.0,73.314,8503
2020-07-24,73.08,73.78,72.78,73.16,1072219.0,73.138,7495
2020-07-27,73.4,75.53,73.19,74.57,1716881.0,74.771,12421
2020-07-28,74.42,75.0,73.48,74.08,932684.0,74.447,6600
2020-07-29,74.38,74.69,73.61,73.77,1165656.0,73.972,8715
2020-07-30,73.11,73.74,72.56,73.45,1151468.0,73.303,7746
2020-07-31,73.09,73.67,72.52,73.63,1068417.0,72.954,7426
2020-08-03,74.0,75.03,73.37,74.18,1085975.0,74.38,8304
2020-08-04,73.84,75.39,73.58,75.13,1191387.0,74.944,9146
2020-08-05,75.5,75.97,74.82,75.04,1277323.0,75.255,9265
2020-08-06,75.5,75.56,73.54,74.44,1905816.0,74.573,12645
2020-08-07,74.78,76.0,74.5,75.53,1377478.0,75.533,8558
2020-08-10,75.5,75.94,75.25,75.33,1209815.0,75.461,7812
2020-08-11,75.26,76.08,73.59,73.95,1012503.0,74.366,7477
2020-08-12,74.41,74.72,73.9,74.38,560371.0,74.292,3916
2020-08-13,74.1,75.44,74.02,75.23,654752.0,75.026,3883
2020-08-14,75.0,75.93,75.0,75.5,505455.0,75.535,3803
2020-08-17,75.91,76.24,75.41,76.21,741276.0,75.889,4605
2020-08-18,76.46,76.97,75.8,76.36,738539.0,76.269,4770
2020-08-19,77.0,77.29,75.63,75.88,593095.0,76.298,4023
2020-08-20,75.56,76.47,75.0,75.76,599835.0,75.857,4491
2020-08-21,75.53,76.95,75.26,76.62,868242.0,76.32,5885
2020-08-24,76.92,77.49,76.92,77.25,546591.0,77.212,3951
2020-08-25,77.41,77.52,76.82,77.47,651874.0,77.195,4654
2020-08-26,77.91,79.15,77.08,78.92,1084173.0,78.42,7025
2020-08-27,78.96,79.85,78.92,79.34,808871.0,79.51,5669
2020-08-28,79.21,80.54,78.68,80.27,925245.0,79.901,5426
2020-08-31,80.21,80.78,80.09,80.37,720405.0,80.382,4979
2020-09-01,80.2,81.98,80.09,81.97,1031582.0,81.258,6710
2020-09-02,82.0,84.65,81.49,84.59,1438568.0,83.584,9541
2020-09-03,84.47,84.73,82.06,83.24,1061435.0,83.025,7966
2020-09-04,83.79,83.79,80.86,82.47,898692.0,82.137,6834
2020-09-08,81.47,81.65,79.75,80.55,906606.0,80.655,6589
2020-09-09,81.3,82.93,81.04,81.62,906360.0,82.058,6981
2020-09-10,81.78,82.3,80.58,81.0,660727.0,81.494,5015
2020-09-11,81.57,81.96,81.02,81.68,872464.0,81.601,6277
2020-09-14,82.3,83.59,82.23,83.28,482696.0,83.142,3591
2020-09-15,83.88,85.09,83.74,84.43,648391.0,84.661,4591
2020-09-16,84.69,85.68,83.97,84.67,839812.0,84.929,5836
2020-09-17,83.99,84.38,82.94,84.1,654155.0,83.936,4780
2020-09-18,83.54,84.35,82.62,82.89,903656.0,83.324,4723
2020-09-21,81.78,81.88,79.89,81.03,655827.0,80.635,4995
2020-09-22,81.34,82.03,81.0,81.58,953371.0,81.589,6237
2020-09-23,81.53,81.9,79.61,79.85,1277010.0,80.615,7733
2020-09-24,79.53,81.39,78.58,80.1,1287427.0,80.135,7148
2020-09-25,79.79,81.74,79.24,81.47,598661.0,80.917,4591
2020-09-28,82.24,82.8,81.29,82.24,499392.0,82.262,3714
2020-09-29,82.22,82.92,81.75,82.36,531707.0,82.404,4022
2020-09-30,82.77,84.0,82.2,83.12,710000.0,83.265,5279
2020-10-01,83.63,84.29,82.48,82.6,882774.0,83.373,6830
2020-10-02,81.67,83.25,81.43,82.67,669868.0,82.708,4854
2020-10-05,83.82,86.4,83.58,85.37,898681.0,85.212,5815
2020-10-06,85.57,86.19,83.99,84.31,859673.0,85.049,6466
2020-10-07,85.75,86.87,85.51,86.55,715801.0,86.328,4896
2020-10-08,88.13,89.4,87.68,89.0,1160975.0,88.84,7900
2020-10-09,89.45,90.89,89.2,90.26,881179.0,90.193,5468
2020-10-12,90.93,91.0,89.64,89.68,697845.0,90.298,4672
2020-10-13,89.59,90.77,89.31,90.26,636090.0,90.03,4252
2020-10-14,90.61,90.92,89.95,90.06,567891.0,90.398,3958
2020-10-15,88.97,91.19,88.76,90.81,699832.0,90.33,4261
2020-10-16,91.41,91.99,90.97,91.42,664919.0,91.535,3990
2020-10-19,91.59,92.02,90.71,91.18,651383.0,91.445,3813
2020-10-20,91.84,93.36,91.38,91.39,994132.0,92.308,7006
2020-10-21,91.81,93.49,91.66,92.78,851699.0,92.84,6129
2020-10-22,92.11,92.74,90.66,91.13,1004239.0,91.32,7250
2020-10-23,92.0,92.79,91.03,92.72,617833.0,92.076,4597
2020-10-26,91.74,92.37,90.63,91.56,735789.0,91.207,5029
2020-10-27,91.75,92.33,91.06,91.1,649957.0,91.652,4715
2020-10-28,89.71,90.54,88.67,88.73,1074134.0,89.182,8173
2020-10-29,88.54,89.97,88.23,89.22,1021379.0,88.969,7518
2020-10-30,89.04,89.94,87.98,89.0,617061.0,88.779,4777
2020-11-02,90.19,91.66,89.08,90.2,1317315.0,90.159,9432
2020-11-03,91.26,93.95,91.09,93.75,1076506.0,93.086,7863
2020-11-04,94.0,97.03,93.36,94.11,1503920.0,95.222,9429
2020-11-05,96.74,97.8,95.01,97.16,1087747.0,96.795,6966
2020-11-06,97.67,98.87,96.85,97.46,1070451.0,97.658,7564
2020-11-09,100.35,102.76,92.83,92.98,2608977.0,95.903,19126
2020-11-10,92.9,95.07,91.98,94.98,1518063.0,93.843,10641
2020-11-11,95.52,95.87,94.53,95.81,841454.0,95.306,6147
2020-11-12,95.24,95.84,93.73,94.2,997547.0,94.421,6284
2020-11-13,94.95,95.34,93.98,94.65,1111231.0,94.483,7510
2020-11-16,95.73,96.8,94.69,96.76,848417.0,95.929,5988
2020-11-17,96.19,97.55,95.89,97.14,885209.0,96.915,6907
2020-11-18,97.5,98.35,96.47,96.56,1461049.0,97.251,9338
2020-11-19,96.06,98.61,95.51,97.91,1269163.0,97.471,9480
2020-11-20,98.01,98.88,96.98,97.25,1083680.0,97.543,8050
2020-11-23,97.26,98.2,95.17,95.44,690742.0,95.871,5057
2020-11-24,95.62,96.29,95.51,96.11,975249.0,95.956,7278
2020-11-25,96.52,96.8,95.77,96.3,660908.0,96.292,4770
2020-11-27,95.91,96.46,95.1,96.36,321622.0,95.85,2179
2020-11-30,96.58,97.26,95.35,96.01,889169.0,96.034,6480
2020-12-01,97.29,97.96,95.94,96.82,1487471.0,96.844,10967
2020-12-02,96.56,97.25,93.42,94.0,1007251.0,94.405,7541
2020-12-03,93.75,94.38,92.39,92.64,906670.0,93.253,6454
2020-12-04,93.0,94.63,92.73,94.16,1243783.0,93.867,9221
2020-12-07,94.86,96.05,94.62,95.5,695454.0,95.446,4932
2020-12-08,94.72,96.89,94.7,95.89,746882.0,95.958,4852
2020-12-09,95.94,96.16,92.83,93.36,1020020.0,93.736,6393
2020-12-10,93.17,94.13,92.58,93.26,870108.0,93.422,6339
2020-12-11,92.54,93.04,91.43,92.58,898853.0,92.239,6484
2020-12-14,93.02,93.79,90.13,90.3,1371349.0,91.436,8939
2020-12-15,91.0,93.29,90.64,92.04,874606.0,92.196,6242
2020-12-16,92.1,92.29,90.23,90.43,897695.0,90.898,6974
2020-12-17,90.98,92.62,90.81,91.98,731043.0,91.796,4954
2020-12-18,92.47,92.69,91.02,92.19,1097982.0,91.986,6325
2020-12-21,90.92,92.95,90.16,92.73,821690.0,92.097,6406
2020-12-22,92.47,93.28,92.1,92.49,616746.0,92.592,4393
2020-12-23,92.38,92.88,91.38,91.61,600981.0,91.897,4597
2020-12-24,91.99,92.42,91.65,92.34,237695.0,92.028,1638
2020-12-28,92.79,93.0,91.08,91.37,573646.0,91.617,4115
2020-12-29,91.95,93.48,91.93,92.24,612420.0,92.607,4510
2020-12-30,93.01,93.63,92.81,92.86,483407.0,93.087,3500
2020-12-31,93.1,93.33,91.58,93.18,535239.0,92.531,3966
2021-01-04,91.73,92.25,88.71,89.76,2469016.0,89.986,18000
2021-01-05,89.75,90.99,89.64,90.62,774065.0,90.415,4977
2021-01-06,91.3,92.96,90.71,91.67,1017148.0,91.968,7498
2021-01-07,91.93,92.1,90.28,90.68,864139.0,90.777,5469
2021-01-08,90.94,91.18,89.71,90.57,859347.0,90.26,5456
2021-01-11,90.24,90.99,90.2,90.56,658456.0,90.593,4792
2021-01-12,90.24,90.82,89.79,90.24,781587.0,90.292,5536
2021-01-13,90.67,91.83,89.9,91.09,725069.0,91.112,4790
2021-01-14,91.43,91.54,89.86,89.93,742942.0,90.434,5583
