date,open,high,low,close,volume,average,barCount
2020-07-13,85.51,86.0,83.24,83.46,2160767.0,84.753,15130
2020-07-14,82.97,84.67,82.88,84.65,2488867.0,83.638,15201
2020-07-15,85.84,87.52,85.38,87.09,1895350.0,86.831,11345
2020-07-16,87.11,87.11,85.5,85.81,786072.0,85.915,6022
2020-07-17,86.3,87.8,86.02,87.56,925138.0,87.151,6014
2020-07-20,87.51,88.0,86.85,87.82,905633.0,87.628,7273
2020-07-21,87.93,88.93,87.82,88.67,943032.0,88.532,7441
2020-07-22,88.67,89.44,88.25,89.2,874720.0,88.987,6274
2020-07-23,89.09,90.81,89.09,89.49,1338753.0,89.925,7422
2020-07-24,89.32,89.42,88.33,89.26,1468236.0,88.848,11545
2020-07-27,89.33,90.36,89.03,89.29,864971.0,89.476,6751
2020-07-28,89.37,89.79,88.87,89.26,769459.0,89.377,6226
2020-07-29,89.42,91.45,89.28,90.73,1489154.0,90.785,10912
2020-07-30,85.25,86.11,82.92,86.01,7215830.0,84.864,43760
2020-07-31,85.68,86.64,84.76,86.38,2872481.0,85.841,18621
2020-08-03,86.96,87.12,83.12,83.16,3253332.0,84.616,18859
2020-08-04,82.77,83.24,80.93,81.08,4132897.0,81.736,25377
2020-08-05,81.45,82.11,80.07,80.46,4088526.0,81.069,25941
2020-08-06,80.21,80.39,78.68,80.37,3743529.0,79.495,25070
2020-08-07,80.49,81.11,79.99,80.73,2618347.0,80.402,13942
2020-08-10,80.84,83.36,80.37,83.1,3627331.0,82.538,22973
2020-08-11,83.5,84.29,82.72,82.94,2956179.0,83.508,16914
2020-08-12,83.17,83.82,82.42,83.48,2375017.0,83.003,14107
2020-08-13,83.18,84.92,83.16,84.64,2092205.0,84.524,12691
2020-08-14,84.49,84.73,83.18,83.5,2092575.0,83.976,10242
2020-08-17,83.37,84.49,83.37,83.7,1756798.0,84.073,9296
2020-08-18,84.0,84.52,83.78,84.27,1303537.0,84.117,8978
2020-08-19,84.33,84.5,82.66,82.89,2508128.0,83.33,13533
2020-08-20,82.55,83.24,82.41,82.89,1799321.0,82.852,11227
2020-08-21,83.0,83.14,82.13,83.09,1718013.0,82.8,9360
