date,open,high,low,close,volume,average,barCount
2020-07-13,85.71,88.33,85.4,85.6,1373026.0,86.856,10166
2020-07-14,85.6,87.08,84.42,86.89,1336121.0,85.977,9228
2020-07-15,88.95,88.98,87.03,88.42,1407606.0,88.135,9739
2020-07-16,88.23,89.71,87.85,88.35,1073261.0,88.63,7256
2020-07-17,88.83,88.83,87.43,87.96,785508.0,87.958,5731
2020-07-20,87.69,88.98,86.48,88.38,1797746.0,88.283,9878
2020-07-21,88.84,91.13,88.6,90.28,1601472.0,90.117,10080
2020-07-22,95.47,99.42,95.33,97.36,6218300.0,97.416,34218
2020-07-23,97.12,98.53,95.98,96.08,2117629.0,96.977,14207
2020-07-24,95.82,97.75,95.55,96.99,1406275.0,96.887,9876
2020-07-27,96.87,98.31,96.34,97.92,1483908.0,97.611,10426
2020-07-28,97.84,98.8,97.06,97.19,979800.0,97.943,6972
2020-07-29,97.61,98.88,97.26,98.1,908348.0,98.328,6676
2020-07-30,97.14,100.68,96.8,100.03,1663827.0,99.584,11066
2020-07-31,100.25,100.47,98.29,99.59,975103.0,99.162,7241
2020-08-03,100.07,101.99,99.75,100.89,1062554.0,101.2,7485
2020-08-04,100.59,101.58,99.85,100.51,870765.0,100.526,6397
2020-08-05,101.42,102.04,99.93,101.91,1270370.0,101.04,7145
2020-08-06,101.89,102.79,100.62,102.75,1225030.0,101.947,7110
2020-08-07,102.88,103.72,101.91,102.9,1327770.0,102.702,8644
2020-08-10,103.76,105.43,102.9,104.22,1278590.0,104.469,8600
2020-08-11,105.0,105.59,103.72,104.12,1002215.0,104.599,6094
2020-08-12,104.56,105.54,104.1,104.98,783241.0,104.814,5077
2020-08-13,105.58,108.44,105.5,107.9,1737654.0,107.557,11110
2020-08-14,108.34,110.32,108.0,109.49,1843770.0,109.361,12037
2020-08-17,110.99,111.39,109.88,110.79,1418411.0,110.786,9247
2020-08-18,111.89,112.15,110.32,110.52,1536546.0,111.04,10117
2020-08-19,110.66,113.67,110.66,111.96,2318266.0,112.29,14735
2020-08-20,111.42,112.07,110.44,111.7,1444176.0,111.478,9828
2020-08-21,112.0,114.45,111.95,114.0,2894735.0,113.417,16474
2020-08-24,118.3,119.48,114.8,117.37,4126534.0,117.344,21919
2020-08-25,113.5,113.86,108.6,112.64,8198136.0,111.162,42630
2020-08-26,113.41,114.19,111.58,112.31,2851260.0,112.402,18389
2020-08-27,112.55,112.55,110.23,111.22,1962287.0,111.527,12967
2020-08-28,111.68,111.7,110.11,111.23,1720267.0,110.951,11512
2020-08-31,111.49,112.17,109.85,110.91,1493690.0,110.801,9785
2020-09-01,110.99,114.43,110.73,113.5,1543866.0,113.346,10164
2020-09-02,113.94,114.2,111.67,114.02,1538154.0,113.14,11093
2020-09-03,114.0,114.0,107.85,108.7,1572998.0,109.552,10605
2020-09-04,109.49,110.44,104.32,106.31,1630290.0,106.762,11983
2020-09-08,104.3,106.82,102.82,105.26,1858338.0,105.233,13416
2020-09-09,106.28,109.27,105.18,108.85,1395598.0,108.22,9087
2020-09-10,109.13,110.0,107.1,107.38,1467096.0,108.715,10049
2020-09-11,108.57,109.07,106.17,107.11,805434.0,107.54,5899
2020-09-14,108.35,109.13,106.69,107.7,1655596.0,107.936,11231
2020-09-15,108.54,109.39,107.42,107.96,978032.0,108.317,6738
2020-09-16,108.99,109.13,106.8,107.08,976235.0,107.84,7199
2020-09-17,106.0,107.02,104.56,105.63,1079309.0,105.824,8329
2020-09-18,105.42,107.38,104.64,105.58,1069470.0,105.78,6257
2020-09-21,104.04,105.97,103.49,105.97,1331321.0,104.714,10486
2020-09-22,106.41,108.25,105.9,107.63,1110080.0,107.323,6644
2020-09-23,108.07,109.78,106.39,106.49,1229062.0,107.996,8101
2020-09-24,106.12,106.86,104.11,104.77,1709352.0,105.528,11730
