date,open,high,low,close,volume,average,barCount
2020-07-13,250.86,255.65,249.43,250.95,837328.9568160836,252.4084343,5763
2020-07-14,250.59,257.18,250.33,256.79,719906.6570930352,254.6594784,5938
2020-07-15,258.35,261.42,257.48,260.26,876865.3195199508,259.830348,6845
2020-07-16,260.2,261.64,258.22,258.4,905893.9378397784,259.5583509,6454
2020-07-17,260.04,262.34,257.51,260.28,776110.3702943891,260.0097296,6105
2020-07-20,261.25,261.79,258.38,261.13,598377.2694635347,260.5556736,4978
2020-07-21,262.26,269.48,262.25,264.5,913276.233459842,266.8057575,6766
2020-07-22,264.89,267.86,264.11,266.58,730087.1884295825,265.8825272,5017
2020-07-23,267.22,269.23,264.89,265.86,454785.1061647348,266.9422435,3582
2020-07-24,265.7,266.13,262.25,265.07,374998.4613806544,264.207649,2940
2020-07-27,263.48,268.76,262.3,268.27,600359.0111806339,267.2863832,4081
2020-07-28,267.66,268.46,265.36,266.15,525460.0471843266,266.5659321,4202
2020-07-29,266.85,270.93,266.85,269.46,527289.9784593291,269.4711341,4261
2020-07-30,266.48,268.23,263.25,266.97,565236.4345061032,265.9302973,4588
2020-07-31,267.19,274.29,266.39,274.28,918128.0131295517,270.8476929,6791
2020-08-03,275.87,277.42,272.97,276.56,710194.8917837726,276.2388899,5825
2020-08-04,275.93,276.77,274.43,275.76,482761.3088521899,275.4833424,3419
2020-08-05,273.26,277.82,273.26,276.32,630191.8145450815,276.2749612,4881
2020-08-06,259.32,261.22,249.93,253.09,1815420.0430813415,253.6085362,11539
2020-08-07,253.67,255.25,248.6,249.97,1489226.5873422914,251.543698,10799
2020-08-10,252.99,252.99,248.65,250.31,1675507.2315109242,250.8310461,11131
2020-08-11,252.78,254.02,248.55,248.6,994815.8785516463,250.5278522,6440
2020-08-12,249.47,253.04,249.47,250.76,784545.0815468252,251.6636107,4878
2020-08-13,250.47,256.26,250.04,255.75,575937.0191814544,254.4206279,4477
2020-08-14,254.98,255.73,250.22,251.69,705902.1438096215,253.0021484,4430
2020-08-17,252.39,254.11,251.52,253.51,578859.3701918145,253.3189909,3908
2020-08-18,254.96,258.25,252.66,257.24,1222451.5334906143,255.4579215,5509
2020-08-19,258.35,259.51,254.01,255.42,445049.7486921735,255.6100059,3164
2020-08-20,253.74,255.4,251.62,252.43,460051.2873115191,253.4233052,3455
2020-08-21,251.63,252.85,249.05,251.25,623726.53605498,251.2327049,4040
2020-08-24,252.36,253.06,248.0,248.55,540640.0656477588,249.2448838,4006
2020-08-25,249.68,250.87,247.79,249.37,610333.3675248743,249.5578267,4826
2020-08-26,248.29,248.7,243.77,247.61,668930.146681711,246.8212824,5291
2020-08-27,232.53,242.03,226.18,240.38,2862933.634218894,236.0340139,18361
2020-08-28,240.93,241.17,234.85,236.71,1231613.4988203917,236.5565603,9117
2020-08-31,237.73,238.34,235.76,236.68,880433.8906554518,237.0752071,6764
2020-09-01,237.85,239.71,232.73,234.79,938910.6575033336,234.6730535,5540
2020-09-02,234.54,240.09,234.0,240.01,823536.7730023592,238.0676553,5594
2020-09-03,239.83,240.49,228.2,229.16,1078094.163503949,232.9318821,7921
2020-09-04,230.92,232.18,226.6,228.2,1040667.7607959791,228.9630642,6880
2020-09-08,228.86,229.63,224.72,228.19,934644.5789311724,227.7190918,6881
2020-09-09,230.23,233.05,228.7,229.66,767728.9978459328,230.602846,5172
2020-09-10,229.1,229.8,225.49,228.3,1475634.4240434915,227.6917946,9759
2020-09-11,228.94,230.8,227.88,229.86,763486.5114370704,229.5528787,4539
2020-09-14,230.96,232.49,229.94,229.98,646914.5553390092,231.1302669,4578
2020-09-15,230.08,230.52,220.38,220.47,1786688.891168325,223.5942899,11908
2020-09-16,220.44,224.1,218.58,221.33,1654827.1617601805,221.6181676,11598
2020-09-17,220.67,223.43,218.78,222.08,1188363.9347625398,221.6259668,8160
2020-09-18,220.48,228.07,220.48,226.08,2124405.580059493,224.8421619,10011
2020-09-21,225.58,225.58,219.7,222.71,726256.0262591034,221.9369599,4350
2020-09-22,221.87,222.36,217.16,218.18,1322560.2625910349,218.7626855,8410
2020-09-23,220.25,223.95,218.87,219.93,1120602.1130372346,221.7848755,6312
2020-09-24,220.33,220.79,214.51,215.61,1080374.3973740896,215.8662576,6488
2020-09-25,214.53,218.93,213.99,218.46,950514.924607652,216.2318451,5017
2020-09-28,220.73,222.19,219.07,219.35,590472.8690122063,220.4970326,4354
2020-09-29,220.42,221.28,219.28,219.77,555221.0483126474,220.2191861,3901
2020-09-30,221.6,229.66,221.11,226.84,1365371.8330085136,226.6330532,9390
2020-10-01,228.53,230.88,222.91,225.06,708898.348548569,225.7819655,5556
2020-10-02,226.08,229.1,225.2,226.82,586762.7448969125,227.180947,4184
2020-10-05,228.29,232.52,228.25,232.16,583877.3207508462,231.3203724,4117
2020-10-06,232.03,234.29,229.13,229.54,557769.0019489179,231.753228,4135
2020-10-07,230.34,231.76,228.18,229.78,576554.5184121449,230.5667747,4300
2020-10-08,229.85,231.42,228.56,230.28,662924.4025028208,229.8638718,4120
2020-10-09,231.56,232.15,228.54,231.35,1052254.590214381,230.505356,5491
2020-10-12,232.1,234.46,230.77,232.38,428899.37429479946,232.8850869,2957
2020-10-13,231.47,233.72,229.49,230.77,565163.606523746,231.4363855,4151
2020-10-14,230.84,232.86,227.25,227.82,524204.53379833826,228.6462217,3759
2020-10-15,226.34,230.54,225.69,229.11,795535.9524053748,228.506811,5690
2020-10-16,229.89,233.17,228.75,231.04,731164.2219714843,231.4061636,4967
2020-10-19,231.56,234.71,230.54,231.42,658700.3795261052,232.9611291,5251
2020-10-20,231.95,232.5,230.08,230.33,490986.76787362806,231.2696776,3696
2020-10-21,232.24,233.0,227.18,230.47,775236.4345061032,230.3016019,4996
2020-10-22,229.71,235.36,229.57,235.04,704142.9890245153,233.4924496,4165
2020-10-23,234.79,236.53,233.22,234.25,583528.5670325161,234.5336428,3930
2020-10-26,233.28,236.78,232.58,235.93,593487.5371833008,234.6574551,4339
2020-10-27,236.86,239.7,236.33,238.11,620766.2324340958,238.2177899,4862
2020-10-28,234.07,235.3,229.45,229.97,598340.342599241,231.1946103,4609
2020-10-29,229.92,230.81,225.08,226.64,609736.3832187917,227.6021038,4612
2020-10-30,226.53,228.09,222.1,225.33,684773.8229562006,224.2698956,4801
2020-11-02,227.75,231.2,226.22,228.9,553483.4341983793,228.2699103,4237
2020-11-03,230.54,233.67,229.04,231.75,710078.9824597394,231.3847158,4896
2020-11-04,234.53,239.06,230.72,230.85,922289.465586214,234.3289138,7327
2020-11-05,233.98,238.33,226.61,228.76,1523284.439429685,230.115396,10695
2020-11-06,229.29,235.57,228.83,230.68,817842.8556775054,231.7493284,6584
2020-11-09,240.62,241.61,233.87,234.28,1294559.4419940505,237.427146,8821
2020-11-10,234.99,237.28,233.61,234.27,1461648.3741922248,234.7403216,9720
2020-11-11,237.5,237.8,234.77,237.06,1072705.9185557493,236.3684046,7648
2020-11-12,236.8,237.57,233.13,234.18,924549.1845317468,234.7598196,6389
2020-11-13,235.41,238.09,234.03,236.72,1215866.242691558,236.2016967,8308
2020-11-16,240.23,240.31,235.68,236.48,1099141.4504051697,237.1960947,6829
2020-11-17,235.68,239.06,234.43,236.33,753151.0924197353,236.7915112,5551
2020-11-18,236.1,236.18,227.45,227.61,1317841.829931275,230.4673349,7782
2020-11-19,228.37,229.58,226.06,227.05,835248.7434608678,227.6557233,6272
2020-11-20,226.78,228.84,225.25,226.05,659245.0507744384,226.5189899,4616
2020-11-23,225.96,227.55,221.97,222.75,964018.873730639,223.4383059,7044
2020-11-24,223.25,223.99,221.18,223.53,1501423.735767771,222.9479312,10362
2020-11-25,224.69,225.19,221.08,221.76,1084612.7807980306,222.1007431,6882
2020-11-27,222.57,223.74,220.47,223.21,605359.524053749,222.1738606,3508
2020-11-30,224.3,228.99,224.2,228.95,3110024.6179095292,226.5092409,6875
2020-12-01,230.19,232.74,229.66,232.66,902287.4140937532,231.1556143,6505
2020-12-02,232.66,240.31,232.45,235.8,1490631.8596779157,235.2170477,8774
2020-12-03,235.2,235.28,231.53,232.52,1540011.2832085341,232.8431662,7073
2020-12-04,232.5,236.71,232.41,236.67,1875684.6856087802,234.765669,8843
2020-12-07,236.63,237.12,229.94,230.52,698814.2373576777,231.6898595,5104
2020-12-08,229.21,234.33,228.72,234.21,743315.2118165966,232.2553015,4812
2020-12-09,234.01,234.74,231.64,233.94,768744.4866140117,233.3705871,4235
2020-12-10,234.4,237.2,234.01,236.25,818611.139604062,235.8361092,5021
2020-12-11,235.19,236.84,234.02,236.6,596136.0139501487,235.5056181,4339
2020-12-14,237.35,240.55,233.86,233.98,693064.9297363831,237.5129372,5018
2020-12-15,234.4,239.43,233.82,238.0,742755.1543748076,237.7137666,4396
2020-12-16,238.8,240.87,236.17,239.13,579487.1268848086,239.4276408,4069
2020-12-17,240.26,243.36,239.84,242.46,573693.7121756077,242.06767,4602
2020-12-18,242.21,246.87,240.8,245.76,944111.1908913734,243.5699909,4967
2020-12-21,243.1,244.11,239.11,241.64,534289.67073546,241.0167278,3588
2020-12-22,241.2,242.24,239.07,239.73,553158.272643348,240.70281,3784
2020-12-23,240.88,241.02,238.05,238.12,624901.015488768,239.2550835,4055
2020-12-24,238.75,242.99,238.75,241.77,249820.49440968304,241.5421989,1846
2020-12-28,242.56,243.6,241.08,241.92,403163.40137449995,242.2889723,3003
2020-12-29,243.15,244.46,241.07,242.12,482347.93312134576,242.3620898,2998
2020-12-30,242.37,243.08,240.4,240.49,363199.3024925633,241.2068333,2483
2020-12-31,241.02,244.49,240.57,243.94,341017.5402605395,242.5668188,2550
2021-01-04,244.7,245.39,240.56,244.41,536702.2258693199,243.3311404,3948
2021-01-05,244.94,246.36,241.21,244.73,668846.0354908195,244.1061859,4565
2021-01-06,244.01,248.23,243.73,247.27,898289.0552877218,246.7286669,5674
2021-01-07,248.07,249.45,244.9,247.14,690016.411939686,247.1917444,5022
2021-01-08,248.17,250.23,247.25,248.66,662978.767053031,248.6404458,4098
2021-01-11,249.21,251.33,248.6,250.66,448673.7101241153,250.3611443,3174
2021-01-12,255.17,260.66,253.08,256.48,1398594.7276643757,256.0496858,8245
2021-01-13,255.85,259.51,255.42,256.41,608240.8452148938,257.6826433,4401
2021-01-14,256.02,256.39,250.96,251.3,856603.7542312031,252.2544001,5990
2021-01-15,251.39,255.49,251.11,255.17,760529.2850548774,253.6026868,4927
2021-01-19,257.35,258.57,252.79,254.22,663743.9737408964,255.4364737,4633
