date,open,high,low,close,volume,average,barCount
2020-07-13,21.33,21.4,20.77,20.86,2755406.0,21.061,17731
2020-07-14,20.55,20.85,20.33,20.76,1566241.0,20.656,10743
2020-07-15,21.31,21.58,20.86,21.52,1897561.0,21.291,12545
2020-07-16,21.3,21.84,21.14,21.31,1302537.0,21.424,8676
2020-07-17,21.38,21.61,20.98,21.05,1639337.0,21.188,10094
2020-07-20,20.87,20.9,20.3,20.4,2532509.0,20.458,15657
2020-07-21,20.54,21.26,20.51,21.26,3076629.0,20.94,18043
2020-07-22,21.18,21.33,20.78,20.91,2239503.0,21.002,14455
2020-07-23,20.75,20.98,20.46,20.8,2716451.0,20.782,18124
2020-07-24,20.87,21.1,20.54,20.6,2252292.0,20.683,14597
2020-07-27,20.45,21.17,20.42,21.02,3421196.0,20.902,21262
2020-07-28,20.76,20.79,19.78,20.56,5787901.0,20.208,33818
2020-07-29,20.77,21.18,20.54,21.12,3852842.0,20.9,21669
2020-07-30,20.69,20.86,20.47,20.67,2566199.0,20.631,17342
2020-07-31,20.62,21.06,20.5,21.05,3757796.0,20.783,22727
2020-08-03,21.05,21.61,20.91,21.47,2238178.0,21.44,15171
2020-08-04,21.3,21.51,21.05,21.21,1609453.0,21.229,10639
2020-08-05,21.37,22.24,21.37,22.18,2485992.0,22.027,14392
2020-08-06,22.05,22.23,21.8,21.85,1801225.0,21.955,11737
2020-08-07,21.69,22.38,21.63,22.31,1591019.0,22.06,10240
2020-08-10,22.41,22.47,22.1,22.38,1648910.0,22.307,10553
2020-08-11,22.71,23.27,22.55,22.67,3331787.0,22.917,14762
2020-08-12,23.02,23.29,21.79,22.01,2944302.0,22.248,16363
2020-08-13,21.81,22.22,21.67,21.88,1557196.0,21.959,9186
2020-08-14,21.76,22.07,21.51,21.95,1145478.0,21.916,7085
2020-08-17,21.9,22.06,21.56,21.8,1554647.0,21.771,8853
2020-08-18,21.8,22.03,21.69,21.72,1592907.0,21.814,10311
2020-08-19,21.68,21.98,21.56,21.67,1288891.0,21.739,7362
2020-08-20,21.45,21.56,21.16,21.17,1457874.0,21.302,7953
2020-08-21,21.12,21.32,20.78,20.99,2108140.0,20.975,11218
2020-08-24,21.04,21.58,20.94,21.57,2052013.0,21.445,10820
2020-08-25,21.77,21.88,21.39,21.46,870567.0,21.495,6203
2020-08-26,21.4,21.43,21.17,21.3,1281280.0,21.292,7954
2020-08-27,21.32,21.58,21.08,21.35,1925494.0,21.333,11165
2020-08-28,21.52,21.52,21.06,21.33,1591607.0,21.241,9125
2020-08-31,21.37,21.37,20.89,21.06,1856520.0,21.14,12237
2020-09-01,20.87,21.12,20.75,21.02,1481045.0,20.924,8862
2020-09-02,21.0,21.87,20.92,21.77,2911956.0,21.554,17023
2020-09-03,21.79,22.2,21.39,21.52,2062014.0,21.674,13927
2020-09-04,21.82,21.97,21.29,21.3,2157780.0,21.53,13425
2020-09-08,21.13,21.19,20.43,20.56,2335355.0,20.638,15279
2020-09-09,20.68,20.71,20.27,20.4,2166716.0,20.432,11903
2020-09-10,20.27,20.43,20.01,20.07,2968474.0,20.208,15763
2020-09-11,20.09,20.38,20.04,20.23,2335007.0,20.212,11950
2020-09-14,20.33,20.63,20.22,20.37,1915817.0,20.405,8819
2020-09-15,20.42,20.6,20.37,20.39,1998713.0,20.439,10454
2020-09-16,20.41,21.38,20.37,21.06,1556387.0,21.043,10331
2020-09-17,20.77,21.03,20.63,21.0,1354173.0,20.895,8559
2020-09-18,20.95,21.4,20.89,21.22,2297298.0,21.151,12657
2020-09-21,20.69,21.01,20.02,20.1,3257063.0,20.321,17897
2020-09-22,20.06,20.29,19.56,19.87,1987046.0,19.828,11134
2020-09-23,19.9,20.37,19.58,19.58,1882241.0,19.926,11440
2020-09-24,19.53,19.62,19.1,19.27,2126709.0,19.308,12627
2020-09-25,19.16,19.74,19.15,19.64,2040416.0,19.48,13474
2020-09-28,20.0,20.58,19.99,20.47,2030236.0,20.386,11769
2020-09-29,20.09,20.18,19.78,20.04,1611126.0,20.013,9459
2020-09-30,20.13,20.55,20.07,20.35,1532677.0,20.343,9735
2020-10-01,20.31,20.39,19.83,19.99,1609318.0,20.009,9765
2020-10-02,19.74,20.59,19.71,20.52,1979345.0,20.38,13149
2020-10-05,20.78,21.1,20.72,20.8,1869330.0,20.856,11586
2020-10-06,20.99,21.59,20.82,20.91,2592049.0,21.176,15860
2020-10-07,20.9,21.85,20.86,21.74,2666966.0,21.638,12937
2020-10-08,22.22,22.7,22.17,22.32,5798080.0,22.421,27430
2020-10-09,23.17,23.3,22.47,22.59,5364682.0,22.804,26097
2020-10-12,22.59,23.03,22.53,22.97,2420304.0,22.818,12472
2020-10-13,22.97,23.53,22.92,23.16,2137873.0,23.185,13303
2020-10-14,23.1,23.73,23.09,23.41,2290521.0,23.461,14499
2020-10-15,23.09,23.66,22.96,23.62,2117849.0,23.433,13006
2020-10-16,23.67,23.83,23.38,23.49,1898879.0,23.599,11800
2020-10-19,23.97,23.97,23.1,23.2,2798355.0,23.432,17838
2020-10-20,23.46,23.48,22.97,22.98,2454259.0,23.174,16432
2020-10-21,22.92,23.08,22.7,22.76,2321762.0,22.86,15450
