date,open,high,low,close,volume,average,barCount
2020-07-13,279.28,282.86,275.9,276.52,432832.0,280.032,3501
2020-07-14,275.15,281.76,274.14,281.27,441010.0,278.316,3251
2020-07-15,282.13,284.69,280.39,282.96,526369.0,282.829,4035
2020-07-16,282.22,282.32,276.81,279.54,353312.0,279.159,2938
2020-07-17,280.34,283.48,279.26,281.88,439970.0,282.13,3134
2020-07-20,281.14,284.23,281.14,283.4,394352.0,283.004,3294
2020-07-21,285.01,285.01,280.03,280.19,478654.0,282.265,3622
2020-07-22,285.36,286.48,279.1,280.81,828182.0,282.952,6314
2020-07-23,282.26,282.26,277.53,278.51,518267.0,279.203,4123
2020-07-24,277.26,277.32,270.66,272.33,473533.0,272.861,3624
2020-07-27,282.6,287.25,279.55,286.19,1250700.0,283.916,7965
2020-07-28,286.27,287.0,280.16,280.35,500478.0,282.531,3763
2020-07-29,281.0,283.42,274.88,277.36,444681.0,277.47,3383
2020-07-30,273.02,277.44,272.94,274.86,376890.0,275.175,3012
2020-07-31,273.44,274.71,269.31,274.69,615040.0,271.772,5203
2020-08-03,274.7,279.91,274.7,278.16,500185.0,277.979,4146
2020-08-04,278.08,278.6,275.25,276.08,445324.0,276.373,3761
2020-08-05,276.65,278.63,274.42,276.17,414901.0,275.875,3482
2020-08-06,275.41,279.0,274.95,277.66,375331.0,276.64,3293
2020-08-07,311.08,312.0,299.28,305.71,2867674.0,305.085,19513
2020-08-10,308.0,308.5,298.42,300.26,920600.0,302.018,7407
2020-08-11,300.27,301.5,289.17,289.94,780743.0,293.796,6427
2020-08-12,290.69,296.27,290.69,293.22,519048.0,294.479,4235
2020-08-13,291.36,294.09,287.33,288.54,466303.0,289.981,3795
2020-08-14,287.99,290.55,287.79,289.45,306235.0,289.374,2537
2020-08-17,289.85,294.94,288.32,289.16,465858.0,290.999,3882
2020-08-18,289.51,291.19,285.05,288.88,545195.0,288.609,4461
2020-08-19,284.67,286.95,279.46,279.98,823820.0,282.428,6402
2020-08-20,278.39,279.34,275.06,277.52,529213.0,277.039,4284
2020-08-21,277.52,278.22,274.64,277.07,452947.0,276.477,3414
2020-08-24,277.48,279.72,274.89,276.56,581413.0,276.749,4975
2020-08-25,276.5,281.11,275.63,279.03,472300.0,278.509,4015
2020-08-26,279.14,281.6,276.0,279.17,464409.0,278.336,3801
2020-08-27,280.15,282.39,278.37,279.26,503791.0,280.301,3790
2020-08-28,279.24,281.77,278.89,281.46,435892.0,280.349,3432
2020-08-31,281.11,287.95,280.61,287.64,565147.0,285.246,4567
2020-09-01,287.48,287.62,277.31,279.75,674882.0,281.097,5155
2020-09-02,280.42,288.03,280.36,285.6,514719.0,285.94,4148
2020-09-03,286.22,287.37,274.02,276.15,716828.0,278.048,5927
2020-09-04,278.16,280.48,274.08,276.0,634425.0,276.972,5101
2020-09-08,274.2,275.14,268.04,268.9,646602.0,270.246,5334
2020-09-09,270.14,274.78,268.54,272.51,435781.0,272.191,3814
2020-09-10,271.31,274.17,265.79,266.51,454982.0,269.811,3857
2020-09-11,267.93,271.0,266.68,269.91,377661.0,269.352,3188
2020-09-14,271.28,279.4,271.27,278.29,567505.0,276.768,4650
2020-09-15,280.04,283.29,276.45,278.45,595112.0,280.414,4685
2020-09-16,280.99,285.0,274.26,276.39,777779.0,279.424,6189
2020-09-17,272.5,277.55,272.16,275.37,414049.0,275.063,3540
2020-09-18,275.64,276.01,269.87,274.48,835928.0,273.917,5581
2020-09-21,272.23,272.7,265.05,268.3,606574.0,267.44,5041
2020-09-22,269.0,273.55,267.42,272.76,423602.0,270.441,3350
2020-09-23,273.11,278.38,271.21,272.2,500096.0,274.587,3968
2020-09-24,271.0,272.08,267.59,270.04,365669.0,270.109,3122
2020-09-25,268.36,274.26,267.5,273.28,327206.0,270.933,2660
2020-09-28,279.94,287.95,279.18,282.04,970063.0,283.404,7697
2020-09-29,280.94,285.45,280.23,282.35,453675.0,283.171,3697
2020-09-30,283.87,284.85,280.79,283.68,531603.0,283.298,4490
2020-10-01,284.96,286.17,280.59,285.57,440261.0,283.997,3901
2020-10-02,281.65,285.47,276.06,277.64,511524.0,279.023,4282
2020-10-05,278.67,285.92,277.35,284.18,412425.0,283.196,3206
2020-10-06,283.99,285.9,279.39,281.15,356089.0,282.425,3014
2020-10-07,282.24,287.08,280.9,285.75,277803.0,285.08,2310
2020-10-08,287.4,288.44,285.35,286.92,246260.0,286.9,2026
2020-10-09,287.62,289.0,285.17,286.54,513572.0,286.952,3784
2020-10-12,289.28,293.34,285.78,291.48,504885.0,290.621,3850
2020-10-13,289.13,292.77,287.13,291.46,316635.0,291.274,2541
2020-10-14,292.99,292.99,286.0,289.02,556684.0,289.252,4546
2020-10-15,284.45,286.38,280.1,280.63,435863.0,281.864,3424
2020-10-16,282.43,284.49,279.51,280.01,436711.0,281.423,2971
2020-10-19,279.27,280.05,268.21,268.77,631311.0,272.396,4790
2020-10-20,270.04,271.98,266.09,267.12,664345.0,268.381,5307
2020-10-21,264.99,271.04,260.3,268.91,1151100.0,266.184,7290
2020-10-22,268.75,269.19,262.5,266.8,722083.0,265.577,5737
2020-10-23,267.23,267.23,262.17,265.0,589403.0,264.747,4352
2020-10-26,263.51,264.18,255.83,256.76,654475.0,258.971,4771
2020-10-27,256.33,258.7,254.92,255.3,451579.0,256.813,3371
2020-10-28,251.03,253.21,244.18,244.26,775530.0,247.776,5578
2020-10-29,244.97,247.94,243.25,245.48,668622.0,245.978,5187
2020-10-30,246.75,252.21,243.73,252.07,777778.0,247.995,5746
2020-11-02,253.64,255.8,248.26,248.99,920004.0,251.342,5779
2020-11-03,250.52,251.8,243.57,247.01,915910.0,247.012,6423
2020-11-04,252.97,363.92,251.74,355.63,10707613.0,338.323,60097
2020-11-05,346.71,348.0,321.5,328.9,3452995.0,330.813,22560
2020-11-06,328.9,328.9,328.9,328.9,0.0,328.9,0
2020-11-09,230.49,239.5,223.25,236.26,6383530.0,231.776,36201
2020-11-10,241.24,244.84,234.56,236.34,1998713.0,239.151,13660
2020-11-11,239.8,249.44,238.08,244.03,1545905.0,245.123,10680
2020-11-12,244.71,246.74,240.7,241.55,993792.0,244.033,7653
2020-11-13,243.65,249.13,241.89,248.59,857816.0,245.668,6257
2020-11-16,250.29,254.27,247.06,250.96,890798.0,250.989,6598
2020-11-17,251.18,254.42,247.91,248.81,822682.0,250.739,6366
2020-11-18,249.0,251.51,240.77,240.98,1081716.0,246.185,7704
2020-11-19,241.42,245.55,240.5,244.01,716259.0,243.474,5155
2020-11-20,243.62,246.48,243.0,244.15,700659.0,244.568,5177
2020-11-23,245.23,245.72,241.17,243.38,727977.0,243.515,5170
2020-11-24,243.39,244.86,240.07,242.51,937381.0,242.182,7044
2020-11-25,243.1,244.47,239.73,241.75,608365.0,241.205,4263
2020-11-27,242.0,244.33,241.0,243.78,370044.0,242.809,2465
2020-11-30,243.27,244.19,239.56,240.17,789681.0,240.712,5662
2020-12-01,241.38,244.37,240.51,243.16,584167.0,242.734,4366
2020-12-02,246.72,249.75,244.8,246.92,757081.0,247.335,5497
2020-12-03,248.38,249.21,243.2,244.09,481033.0,244.651,3498
2020-12-04,244.86,248.96,244.1,245.87,532525.0,245.939,3718
2020-12-07,246.89,247.98,243.17,243.68,504198.0,244.94,3411
2020-12-08,244.63,246.88,243.53,246.43,676592.0,244.923,4930
2020-12-09,248.0,249.45,242.84,244.75,597341.0,245.136,4677
2020-12-10,247.45,247.45,242.0,242.98,664579.0,244.1,5023
2020-12-11,242.64,245.99,240.35,241.43,601868.0,242.35,4344
2020-12-14,243.49,250.88,242.98,245.25,906387.0,247.447,6646
2020-12-15,247.34,249.78,244.04,248.73,660002.0,247.272,4789
2020-12-16,249.07,251.23,246.19,248.19,620920.0,248.042,4377
2020-12-17,247.01,251.61,245.66,250.24,659860.0,249.246,5270
2020-12-18,251.3,254.0,248.5,249.62,839135.0,250.798,5518
2020-12-21,246.75,249.0,242.58,248.32,697923.0,246.139,5441
2020-12-22,246.61,249.38,244.6,247.87,518522.0,247.294,3918
2020-12-23,247.0,253.41,247.0,251.2,558580.0,250.868,4236
2020-12-24,250.43,251.2,247.51,248.89,233061.0,249.252,1738
2020-12-28,248.72,249.11,243.03,244.15,772729.0,245.251,5153
2020-12-29,245.36,246.24,242.54,243.46,577841.0,244.194,4277
2020-12-30,244.5,245.06,242.36,243.58,440500.0,243.655,3079
2020-12-31,243.47,245.19,241.1,244.86,479821.0,242.872,3267
2021-01-04,245.3,246.4,238.4,242.95,739722.0,241.011,5188
2021-01-05,243.92,247.26,240.34,246.39,601980.0,244.418,4809
2021-01-06,244.7,248.04,243.02,247.75,675990.0,246.423,4799
2021-01-07,247.45,251.44,247.06,250.44,552170.0,249.898,4211
2021-01-08,250.04,252.64,248.79,252.54,499446.0,250.425,3541
2021-01-11,255.62,275.49,253.31,267.52,1794296.0,266.509,11645
2021-01-12,268.78,268.78,263.33,267.39,588016.0,266.189,4225
2021-01-13,269.47,269.73,265.03,266.67,436157.0,266.924,3340
2021-01-14,269.49,280.49,268.0,280.29,938520.0,276.483,6693
2021-01-15,280.0,282.6,275.42,275.84,793284.0,278.255,5684
2021-01-19,276.89,282.43,272.57,273.84,653770.0,277.233,4921
2021-01-20,274.31,274.54,267.66,270.28,718565.0,270.577,5506
2021-01-21,270.25,270.68,267.77,270.12,418427.0,269.15,3162
2021-01-22,270.34,272.71,268.48,269.44,357243.0,269.902,2655
2021-01-25,271.79,277.03,271.0,275.54,438313.0,274.526,3141
2021-01-26,274.6,275.75,268.29,271.67,415846.0,271.468,3217
2021-01-27,267.7,268.66,262.99,265.15,602624.0,265.592,4610
2021-01-28,264.34,270.89,264.34,267.87,472115.0,267.86,3739
2021-01-29,294.43,296.38,281.5,282.61,2897949.0,290.418,19122
2021-02-01,283.2,284.75,274.72,278.46,798514.0,279.223,5708
2021-02-02,281.3,282.5,276.83,277.72,595753.0,278.456,4289
2021-02-03,269.99,278.55,262.08,263.25,1611459.0,267.259,11593
2021-02-04,262.16,270.39,260.97,267.39,1057367.0,265.854,6975
2021-02-05,268.56,268.56,263.89,265.09,604200.0,265.38,4543
2021-02-08,266.56,270.17,265.0,268.93,541300.0,267.99,4107
2021-02-09,268.2,269.39,265.9,269.31,380592.0,267.967,2735
2021-02-10,271.45,277.25,268.46,275.0,835046.0,273.053,5955
2021-02-11,278.51,282.75,276.69,278.81,784992.0,279.918,6116
2021-02-12,278.12,280.22,274.83,278.03,571443.0,276.676,4340
2021-02-16,276.36,283.0,275.0,279.32,655647.0,280.3,5033
2021-02-17,275.48,280.06,273.7,276.67,493996.0,276.134,3908
2021-02-18,274.85,277.97,272.0,275.9,490118.0,275.025,3971
2021-02-19,277.98,281.45,275.86,278.35,791235.0,279.231,5466
2021-02-22,276.99,288.08,274.53,284.63,798675.0,282.046,6209
2021-02-23,281.52,284.87,275.67,279.08,756298.0,279.89,6175
2021-02-24,277.98,285.71,276.67,282.74,451822.0,282.508,3516
2021-02-25,284.26,284.52,274.71,277.26,513722.0,278.762,4125
2021-02-26,278.77,278.92,269.31,272.88,547302.0,273.186,4481
2021-03-01,274.42,275.65,271.39,273.24,529388.0,273.246,4309
2021-03-02,273.48,275.64,269.5,269.85,522559.0,271.75,4590
2021-03-03,267.68,269.28,263.8,266.6,516856.0,266.835,4222
2021-03-04,266.57,270.3,262.48,263.57,640797.0,265.483,5221
2021-03-05,265.27,273.33,262.44,270.71,517815.0,268.453,4185
2021-03-08,270.7,278.87,267.48,270.01,554349.0,273.464,4518
2021-03-09,272.59,278.24,266.38,266.49,1059411.0,270.188,6975
2021-03-10,269.52,269.52,262.6,262.61,1137916.0,264.319,7573
2021-03-11,263.12,268.0,260.55,267.44,979479.0,264.105,7262
2021-03-12,267.06,267.49,261.72,266.13,583591.0,264.867,4457
2021-03-15,268.02,271.43,250.42,260.13,1855274.0,258.59,12649
2021-03-16,261.71,265.99,258.07,259.92,851055.0,261.104,6502
2021-03-17,258.5,267.29,257.22,264.15,585816.0,263.451,4646
2021-03-18,262.01,267.03,261.52,262.27,425486.0,264.259,3430
2021-03-19,261.43,269.35,261.11,267.07,745681.0,266.072,5434
2021-03-22,267.34,273.86,266.0,272.34,569901.0,271.38,4290
2021-03-23,272.72,273.1,266.0,267.21,454103.0,268.451,3506
2021-03-24,267.03,270.75,265.66,265.69,460125.0,267.746,3472
