date,open,high,low,close,volume,average,barCount
2020-07-13,15.22,15.47,14.86,15.06,3568730.0,15.19,20796
2020-07-14,14.99,15.63,14.83,15.56,3738206.0,15.429,23125
2020-07-15,15.99,16.03,15.56,15.6,4656564.0,15.708,22211
2020-07-16,15.3,15.69,15.1,15.39,2578282.0,15.486,13255
2020-07-17,15.49,15.6,15.25,15.27,2939414.0,15.376,15840
2020-07-20,15.24,15.35,14.78,15.05,4511334.0,15.114,23559
2020-07-21,15.4,16.39,15.32,16.31,5184042.0,16.089,28039
2020-07-22,15.98,16.85,15.82,16.46,7757354.0,16.444,40802
2020-07-23,16.53,16.8,16.07,16.69,5899068.0,16.407,30125
2020-07-24,16.74,17.18,16.34,16.37,6341777.0,16.579,29031
2020-07-27,16.38,16.49,15.96,16.33,3503871.0,16.219,20617
2020-07-28,16.16,16.27,15.77,15.87,3858557.0,15.946,23462
2020-07-29,15.84,15.9,15.07,15.81,7449621.0,15.579,37824
2020-07-30,15.41,15.53,14.86,15.33,7310288.0,15.225,36702
2020-07-31,15.09,15.69,15.09,15.49,9353779.0,15.358,49032
2020-08-03,15.35,15.89,15.05,15.63,4371056.0,15.591,24474
2020-08-04,15.46,16.22,15.46,16.19,3083745.0,16.0,17730
2020-08-05,16.55,17.01,16.22,16.76,6113240.0,16.763,29608
2020-08-06,16.69,16.85,16.51,16.77,4260587.0,16.733,24565
2020-08-07,16.38,16.59,16.17,16.57,4414024.0,16.39,20696
2020-08-10,16.64,17.41,16.6,17.26,4918063.0,17.216,27437
2020-08-11,17.54,17.78,17.12,17.18,6404022.0,17.478,31232
2020-08-12,17.48,17.64,17.21,17.53,3797061.0,17.402,20280
2020-08-13,17.32,17.42,17.02,17.12,3868468.0,17.19,17745
2020-08-14,16.96,17.35,16.93,17.23,2924141.0,17.191,14992
2020-08-17,17.08,17.13,16.32,16.67,4464481.0,16.625,21844
2020-08-18,16.54,17.01,16.4,16.46,3518766.0,16.652,19253
2020-08-19,16.37,16.6,16.19,16.33,2789744.0,16.377,15526
2020-08-20,16.14,16.14,15.7,15.73,3682519.0,15.841,19589
2020-08-21,15.6,15.63,15.22,15.45,4233378.0,15.405,18692
2020-08-24,15.49,16.15,15.49,15.91,2664374.0,15.848,14143
2020-08-25,16.12,16.24,15.63,15.65,2590643.0,15.798,12999
2020-08-26,15.53,15.59,14.96,15.05,4168474.0,15.163,19474
2020-08-27,15.06,15.15,14.68,14.73,5427264.0,14.839,25364
2020-08-28,14.78,14.92,14.64,14.8,3294625.0,14.767,16464
2020-08-31,14.89,14.94,14.12,14.28,6645391.0,14.324,29775
2020-09-01,14.06,14.19,13.76,13.88,4745454.0,13.922,21914
2020-09-02,13.85,14.19,13.59,14.11,6028647.0,14.016,30165
2020-09-03,14.55,14.85,14.3,14.55,9909200.0,14.543,39365
2020-09-04,14.72,14.92,14.37,14.53,8399204.0,14.585,36545
2020-09-08,14.25,14.33,13.61,13.99,9943280.0,13.916,47258
2020-09-09,14.17,14.22,13.88,14.12,5063160.0,14.049,27317
2020-09-10,14.1,14.17,13.78,13.87,6751282.0,13.975,37104
2020-09-11,13.89,13.97,13.54,13.95,5238953.0,13.832,28863
2020-09-14,13.91,14.81,13.64,14.63,6572381.0,14.495,33082
2020-09-15,14.64,14.93,14.55,14.71,5986083.0,14.763,30055
2020-09-16,14.75,15.24,14.55,15.01,6550177.0,15.026,30286
2020-09-17,14.8,15.25,14.48,15.19,5135057.0,15.031,26743
2020-09-18,15.02,15.61,15.01,15.17,5040594.0,15.208,22705
2020-09-21,14.77,14.81,14.13,14.33,4364288.0,14.322,23165
2020-09-22,14.43,14.59,14.21,14.4,2840760.0,14.431,14751
2020-09-23,14.39,14.49,13.5,13.53,5210291.0,13.819,26284
2020-09-24,13.35,13.61,13.1,13.32,5484280.0,13.335,29749
2020-09-25,13.12,13.25,13.01,13.13,5170669.0,13.127,21270
2020-09-28,13.43,13.68,13.34,13.47,4505737.0,13.543,21298
2020-09-29,13.43,13.58,12.96,13.13,3482026.0,13.168,17128
2020-09-30,13.17,13.54,13.15,13.29,4118434.0,13.321,22525
2020-10-01,13.0,13.17,12.57,12.76,3862620.0,12.793,20510
2020-10-02,12.29,12.86,12.13,12.65,4937878.0,12.613,23404
2020-10-05,12.86,13.07,12.76,12.96,5476620.0,12.921,23543
2020-10-06,13.23,13.31,12.74,12.76,4386053.0,13.081,21757
2020-10-07,12.81,13.03,12.6,12.97,4433199.0,12.845,21499
2020-10-08,13.15,13.42,13.0,13.38,4587577.0,13.282,23334
2020-10-09,13.42,13.61,13.11,13.2,3407943.0,13.242,19551
2020-10-12,13.13,13.22,12.9,13.13,4055912.0,13.049,17501
2020-10-13,13.05,13.09,12.74,12.86,5354965.0,12.852,26673
2020-10-14,12.87,13.64,12.81,13.15,7634184.0,13.372,36146
2020-10-15,12.89,13.55,12.83,13.45,5820494.0,13.307,28717
2020-10-16,13.33,13.46,13.12,13.14,6770727.0,13.255,34257
2020-10-19,13.38,13.63,13.08,13.11,6053092.0,13.34,30950
2020-10-20,13.34,13.71,13.28,13.63,8383461.0,13.572,43934
2020-10-21,13.4,14.34,13.28,14.04,9118409.0,14.022,47210
2020-10-22,14.17,14.52,13.97,14.46,6336055.0,14.268,37335
2020-10-23,14.59,14.68,14.06,14.29,4589824.0,14.306,23650
2020-10-26,14.06,14.06,13.7,13.9,3155571.0,13.87,18257
