date,open,high,low,close,volume,average,barCount
2020-07-13,20.25,20.4,19.28,19.34,510393.0,19.711,3894
2020-07-14,19.27,20.82,19.11,20.72,742948.0,20.351,5514
2020-07-15,21.21,22.33,21.11,22.02,770072.0,21.714,5869
2020-07-16,21.98,22.41,21.68,22.35,460797.0,22.18,3323
2020-07-17,22.28,22.46,21.93,22.05,327895.0,22.124,2256
2020-07-20,21.86,22.17,21.62,21.9,256635.0,21.823,1833
2020-07-21,22.43,22.53,21.96,22.27,509389.0,22.276,3890
2020-07-22,22.11,23.54,22.04,23.29,545968.0,23.128,3932
2020-07-23,23.41,24.0,22.94,23.26,714349.0,23.488,4988
2020-07-24,23.14,23.48,22.67,23.1,537725.0,23.156,3690
2020-07-27,23.07,23.86,23.01,23.81,647858.0,23.429,4700
2020-07-28,23.77,23.88,22.5,22.56,813059.0,22.88,5745
2020-07-29,22.84,23.76,22.7,23.7,671463.0,23.456,5047
2020-07-30,23.39,23.55,22.52,23.43,735719.0,23.236,4564
2020-07-31,25.46,26.0,22.62,23.69,2030001.0,23.632,11532
2020-08-03,25.01,27.43,24.73,27.27,1997648.0,26.534,12180
2020-08-04,26.54,26.98,26.07,26.22,1036021.0,26.437,6306
2020-08-05,26.71,26.86,26.41,26.53,906319.0,26.567,5974
2020-08-06,26.47,26.72,26.31,26.49,744376.0,26.525,5034
2020-08-07,26.33,26.96,26.33,26.92,717797.0,26.778,4923
2020-08-10,27.08,28.11,26.86,27.78,990767.0,27.759,6699
2020-08-11,28.28,28.38,26.83,27.06,1119508.0,27.643,7799
2020-08-12,30.81,31.18,29.15,30.36,6080869.0,30.007,38938
2020-08-13,30.36,31.98,30.13,31.38,5982210.0,31.331,33272
2020-08-14,31.09,31.69,29.91,30.27,4500995.0,30.717,30384
2020-08-17,30.3,30.92,29.82,30.02,1806611.0,30.153,12881
2020-08-18,30.04,30.23,29.24,29.49,1492258.0,29.589,10513
2020-08-19,29.39,29.58,28.71,28.81,1076370.0,29.041,8014
2020-08-20,28.51,28.68,27.94,28.17,1176279.0,28.238,7778
2020-08-21,28.17,28.64,27.95,28.62,945349.0,28.395,6487
2020-08-24,29.02,29.29,27.75,28.13,887093.0,28.135,6187
2020-08-25,28.86,28.86,27.63,28.03,533977.0,28.048,3940
2020-08-26,28.02,28.19,27.65,27.91,452859.0,27.921,3152
2020-08-27,30.0,30.77,28.96,30.24,8791900.0,29.948,55058
2020-08-28,31.21,32.47,30.89,31.67,7168549.0,31.904,44201
2020-08-31,31.47,31.74,30.48,30.62,2725955.0,30.852,17068
2020-09-01,30.37,31.27,30.01,30.98,2744335.0,30.51,21307
2020-09-02,31.09,31.56,30.08,31.52,2347064.0,31.139,17594
2020-09-03,30.83,31.24,29.91,30.16,2627630.0,30.385,20005
2020-09-04,30.66,30.7,28.43,30.02,2362327.0,29.623,17420
2020-09-08,29.43,31.24,29.0,30.02,2562615.0,30.443,19701
2020-09-09,30.21,31.24,29.92,30.92,1994132.0,30.787,15823
2020-09-10,31.15,31.85,30.95,31.22,2100561.0,31.432,14922
2020-09-11,31.38,32.1,31.15,31.9,2320785.0,31.741,14938
2020-09-14,32.25,33.0,31.85,32.85,1850886.0,32.407,10801
2020-09-15,33.05,33.17,32.49,32.58,1353700.0,32.744,8977
2020-09-16,33.03,33.45,32.41,33.17,2380174.0,33.125,12463
2020-09-17,32.43,33.11,31.95,32.28,2857839.0,32.576,15410
2020-09-18,32.37,32.55,31.11,31.71,2547042.0,31.883,14418
2020-09-21,30.63,30.9,29.47,30.05,2036304.0,30.052,13805
2020-09-22,30.22,30.88,29.73,30.83,1304112.0,30.328,9719
2020-09-23,30.85,31.01,29.32,29.6,1562682.0,29.929,11496
2020-09-24,29.67,30.8,29.26,30.03,1057691.0,30.166,7007
2020-09-25,29.78,30.75,29.58,30.59,1137458.0,30.397,6603
2020-09-28,31.44,32.38,31.32,32.3,1447133.0,32.112,10716
2020-09-29,32.26,32.52,31.95,32.0,994628.0,32.224,8063
2020-09-30,32.23,33.21,32.15,32.62,1431554.0,32.725,10702
2020-10-01,32.96,33.28,32.48,33.16,1329248.0,32.892,10504
2020-10-02,32.2,33.88,32.2,33.69,1895240.0,33.466,13713
2020-10-05,34.15,34.42,32.83,33.39,1588194.0,33.461,13023
2020-10-06,33.41,34.36,33.26,33.42,1929491.0,33.697,16255
2020-10-07,34.18,34.38,33.46,33.84,828869.0,33.778,6821
2020-10-08,34.38,34.4,33.36,33.87,787671.0,33.793,5923
2020-10-09,34.33,34.49,33.48,34.0,815408.0,33.895,6288
2020-10-12,34.4,34.67,34.03,34.54,787717.0,34.459,5945
2020-10-13,34.26,34.53,33.66,34.18,1042851.0,34.155,8038
2020-10-14,34.45,34.69,33.83,33.91,417171.0,34.094,3261
2020-10-15,33.35,34.42,33.0,34.18,901965.0,33.876,6436
2020-10-16,34.28,34.46,33.43,33.5,817123.0,33.775,5636
2020-10-19,33.62,33.9,32.54,32.68,931543.0,33.227,6176
2020-10-20,32.75,34.49,32.68,33.66,1284610.0,33.895,8837
2020-10-21,33.67,34.06,32.45,32.55,603565.0,32.835,4629
2020-10-22,32.75,32.9,31.59,32.25,974235.0,32.118,7272
2020-10-23,32.61,33.07,32.06,32.66,771395.0,32.562,6219
2020-10-26,31.82,32.13,31.07,31.69,927634.0,31.634,6838
2020-10-27,31.53,32.18,30.94,31.35,1352651.0,31.57,10103
2020-10-28,30.21,31.39,30.15,30.51,969849.0,30.701,8071
2020-10-29,30.44,30.62,29.73,30.01,1222749.0,30.078,10076
2020-10-30,32.0,32.97,30.05,30.3,3304941.0,30.93,22973
2020-11-02,31.12,32.93,30.78,32.67,2447967.0,32.423,17654
2020-11-03,34.17,34.22,31.73,32.68,1556841.0,32.452,12250
2020-11-04,32.44,34.49,32.31,34.1,1129989.0,33.84,8980
2020-11-05,34.7,36.07,34.49,34.65,1588254.0,35.15,12408
2020-11-06,34.65,34.77,33.64,34.09,1600703.0,34.02,9508
2020-11-09,35.86,36.88,32.14,32.21,2612806.0,33.588,16461
2020-11-10,33.3,34.14,32.47,33.8,1610078.0,33.378,10641
2020-11-11,33.99,34.44,33.24,34.38,1203293.0,33.767,7887
2020-11-12,34.16,34.7,33.49,33.83,809841.0,34.065,5111
2020-11-13,34.17,35.02,33.92,34.84,867862.0,34.669,5322
2020-11-16,36.02,36.24,35.15,35.86,973586.0,35.645,6918
2020-11-17,35.25,36.19,35.04,35.81,1279316.0,35.597,8493
2020-11-18,34.64,36.46,34.58,36.05,918131.0,35.907,6518
2020-11-19,36.0,36.85,35.58,36.74,847442.0,36.497,6766
2020-11-20,36.49,36.5,35.44,35.76,1255601.0,35.949,8049
2020-11-23,36.08,37.15,35.95,36.78,1052238.0,36.632,6304
2020-11-24,37.1,37.26,36.11,37.09,1279461.0,36.947,8512
2020-11-25,37.13,37.52,36.53,37.33,682556.0,37.088,5013
2020-11-27,37.33,38.09,37.25,37.93,616567.0,37.919,3913
2020-11-30,37.81,38.09,36.68,37.41,1648560.0,37.555,9472
2020-12-01,38.4,38.48,35.72,35.93,1249369.0,36.894,8914
2020-12-02,35.67,35.97,34.71,35.23,1118957.0,35.233,8407
2020-12-03,35.24,36.33,34.9,35.93,694415.0,35.801,5790
2020-12-04,35.95,36.22,34.42,35.3,1687908.0,35.301,10442
2020-12-07,35.75,37.34,35.24,37.0,1144743.0,36.772,7087
2020-12-08,36.76,36.97,35.21,35.3,1367870.0,35.659,9127
2020-12-09,35.5,36.2,35.11,35.48,996852.0,35.601,6604
2020-12-10,35.1,36.1,34.76,36.03,650014.0,35.767,4654
2020-12-11,35.84,36.08,35.3,35.77,608933.0,35.705,4970
2020-12-14,36.04,36.39,35.4,35.44,1000082.0,35.919,5279
2020-12-15,35.75,36.64,35.32,36.4,1659686.0,36.229,9555
2020-12-16,36.76,36.77,35.45,35.78,734188.0,35.888,5260
2020-12-17,36.39,38.28,36.1,38.17,1116393.0,37.516,7406
2020-12-18,38.83,39.94,37.96,39.44,1905645.0,39.23,10530
2020-12-21,38.39,40.76,38.28,40.73,1616757.0,40.075,11080
2020-12-22,40.83,41.14,40.06,41.05,1226207.0,40.767,8461
2020-12-23,41.22,41.73,40.62,41.56,1222453.0,41.31,8109
2020-12-24,41.6,42.28,41.36,42.27,451125.0,41.85,3330
2020-12-28,42.69,42.78,41.35,41.92,1708966.0,41.831,8927
2020-12-29,41.96,42.49,40.78,41.91,2274073.0,41.607,15787
2020-12-30,42.09,42.84,41.74,42.28,1755103.0,42.399,13706
2020-12-31,42.12,42.3,40.52,40.81,3011919.0,41.239,22165
2021-01-04,41.23,41.57,38.7,39.83,2058675.0,39.842,14838
2021-01-05,39.7,40.34,39.04,39.7,1916425.0,39.532,13249
2021-01-06,39.7,40.98,38.37,40.94,2492437.0,39.992,17753
2021-01-07,41.3,42.45,40.21,42.39,1596849.0,41.759,11403
2021-01-08,42.47,42.55,40.07,40.17,2217128.0,40.697,11392
2021-01-11,39.64,40.39,39.31,39.63,1422258.0,39.727,9007
2021-01-12,39.83,39.89,39.05,39.5,1940081.0,39.364,10980
2021-01-13,39.85,40.07,38.5,38.6,1286313.0,38.924,8464
2021-01-14,39.25,40.5,39.17,40.25,2427745.0,40.105,13867
2021-01-15,39.91,41.63,39.65,40.87,2830322.0,40.826,16304
2021-01-19,41.17,41.47,40.25,40.4,2000547.0,40.543,10934
2021-01-20,40.66,41.5,40.16,41.47,2674000.0,40.611,13030
2021-01-21,41.59,43.48,41.47,42.6,1721346.0,42.688,10512
2021-01-22,42.23,42.94,41.62,42.88,1487591.0,42.453,8604
2021-01-25,42.82,43.15,40.77,41.93,1259223.0,41.77,8829
2021-01-26,42.28,42.47,40.23,40.36,1069013.0,40.682,6668
2021-01-27,39.43,39.64,37.65,37.94,1925270.0,38.462,11216
2021-01-28,38.3,39.27,37.79,38.89,1536716.0,38.764,11028
2021-01-29,39.06,39.24,37.46,38.25,1085580.0,38.291,7945
2021-02-01,38.63,39.54,37.74,39.42,1038335.0,38.803,7786
2021-02-02,40.1,40.24,39.03,39.96,693046.0,39.778,5053
2021-02-03,39.81,40.87,39.51,40.37,977369.0,40.287,6843
2021-02-04,40.28,41.6,40.09,41.55,1036384.0,41.223,5945
2021-02-05,41.96,42.63,41.4,42.59,1005809.0,42.203,7309
2021-02-08,42.86,43.78,42.55,43.41,1356517.0,43.416,9236
2021-02-09,43.26,43.99,42.61,43.49,1234959.0,43.453,6452
2021-02-10,43.58,43.83,42.12,42.69,852912.0,42.902,6527
2021-02-11,43.15,43.49,42.42,43.42,1005785.0,42.947,6319
2021-02-12,43.09,44.13,42.85,43.42,689622.0,43.52,4805
2021-02-16,43.96,43.97,41.5,41.71,945179.0,42.036,5805
2021-02-17,41.41,41.67,40.64,41.22,910523.0,41.139,5929
2021-02-18,40.96,41.27,39.7,40.05,1475423.0,40.273,10077
2021-02-19,40.5,41.62,40.16,40.91,1259876.0,41.036,8964
2021-02-22,40.74,42.09,40.22,41.38,1184589.0,41.605,7933
2021-02-23,41.09,42.08,39.2,41.73,1142027.0,41.009,8410
2021-02-24,41.89,42.54,40.87,42.4,2043677.0,41.998,11936
2021-02-25,42.13,42.26,40.23,40.61,1398259.0,40.9,9817
2021-02-26,41.18,44.71,40.68,43.27,2612804.0,43.405,16456
2021-03-01,44.63,45.92,43.27,44.84,1962644.0,44.921,13608
2021-03-02,44.51,44.62,43.44,43.71,1199105.0,43.935,8772
2021-03-03,43.95,44.24,42.55,43.25,1406429.0,43.573,8472
2021-03-04,43.09,43.39,41.1,42.32,1741691.0,42.101,12431
2021-03-05,42.74,43.66,40.55,43.52,1989696.0,41.924,12897
2021-03-08,43.82,44.75,43.33,44.33,1483635.0,44.387,9061
2021-03-09,45.06,45.46,44.64,44.82,864111.0,45.066,5919
2021-03-10,45.5,47.31,45.11,47.08,1389646.0,46.656,9437
2021-03-11,47.4,47.5,46.19,47.05,964251.0,46.789,7534
2021-03-12,46.52,47.44,46.23,46.74,841687.0,46.71,5716
2021-03-15,46.87,47.26,45.51,47.02,1568835.0,46.592,9296
2021-03-16,46.65,47.07,45.35,45.8,951175.0,45.971,7029
2021-03-17,45.74,47.74,45.24,47.5,1805614.0,46.552,10447
2021-03-18,47.25,47.6,45.64,45.68,875807.0,46.592,6095
2021-03-19,45.79,46.35,44.27,45.9,2210472.0,45.652,9795
2021-03-22,46.07,46.34,44.44,44.87,1072717.0,44.986,7281
2021-03-23,44.34,44.4,42.11,42.28,2266747.0,42.94,15532
2021-03-24,42.85,44.27,42.36,42.37,1783277.0,43.237,12070
2021-03-25,42.01,44.35,41.1,44.05,1239154.0,43.092,8892
2021-03-26,44.77,46.69,43.74,46.62,1895831.0,45.522,11636
2021-03-29,46.94,46.94,44.32,44.76,1254898.0,45.153,9122
2021-03-30,44.64,45.94,44.34,45.91,789308.0,45.359,5829
2021-03-31,46.31,47.01,46.0,46.37,1009590.0,46.528,6973
2021-04-01,46.72,48.06,46.65,47.37,2036686.0,47.44,11904
2021-04-05,48.59,49.04,47.14,47.59,770828.0,47.691,5674
2021-04-06,47.91,48.38,47.36,48.05,805741.0,47.941,6066
2021-04-07,48.1,48.22,46.77,46.95,869573.0,47.262,6476
2021-04-08,47.25,47.5,46.25,47.34,603810.0,46.906,4416
2021-04-09,47.18,48.81,47.12,48.59,910635.0,48.155,6217
2021-04-12,48.9,49.62,48.25,49.3,1241165.0,49.272,7413
2021-04-13,49.19,49.34,47.4,48.32,837209.0,48.151,6497
2021-04-14,48.24,48.89,47.7,47.82,1728802.0,48.326,10114
2021-04-15,48.06,48.88,48.06,48.5,1076726.0,48.545,8346
2021-04-16,49.14,50.19,49.04,49.81,1476746.0,49.727,10146
2021-04-19,50.0,50.48,49.03,49.81,1294869.0,49.67,8997
2021-04-20,49.47,49.97,46.98,47.71,1301196.0,47.903,9072
2021-04-21,47.48,48.41,47.3,48.17,1019983.0,47.986,7037
2021-04-22,48.44,48.96,47.23,47.76,1137734.0,47.842,8016
2021-04-23,48.16,49.13,47.78,48.77,963658.0,48.778,7014
2021-04-26,49.19,49.83,49.02,49.6,1354289.0,49.528,6051
2021-04-27,49.87,50.83,49.53,49.96,850517.0,50.15,5950
2021-04-28,49.81,49.87,48.85,49.05,804792.0,49.177,5702
2021-04-29,49.95,50.51,49.14,49.97,1147589.0,49.825,7605
2021-04-30,49.52,49.97,48.39,48.67,1231940.0,48.851,8823
2021-05-03,49.35,49.81,48.88,49.3,1379062.0,49.334,9710
2021-05-04,48.77,49.48,48.24,48.81,1347269.0,48.783,8673
2021-05-05,48.73,49.33,47.68,49.06,1819320.0,48.705,11274
2021-05-06,52.0,52.91,49.92,52.0,3119935.0,51.5,18977
2021-05-07,52.36,52.88,50.97,52.36,2418054.0,52.0,15211
2021-05-10,53.15,53.99,52.23,52.3,2426046.0,53.138,15995
2021-05-11,50.76,51.38,49.17,50.4,2248119.0,50.489,14253
2021-05-12,49.71,49.87,46.41,46.64,3322466.0,47.877,20276
2021-05-13,47.0,48.62,46.73,47.96,2268671.0,47.73,14756
2021-05-14,48.5,48.87,47.37,47.93,2738031.0,47.931,14771
2021-05-17,47.63,48.05,46.13,47.95,1681850.0,47.248,10893
2021-05-18,48.16,48.44,45.76,45.85,2046418.0,46.557,15296
2021-05-19,44.93,45.4,43.7,44.62,3259921.0,44.416,19454
2021-05-20,44.95,45.02,44.0,44.78,1663404.0,44.612,11083
2021-05-21,45.23,46.09,43.92,43.96,1866528.0,44.489,12866
2021-05-24,44.56,44.88,44.06,44.48,1513789.0,44.543,9400
2021-05-25,44.7,46.14,44.61,44.86,1941102.0,45.494,11756
2021-05-26,44.8,45.57,44.4,45.17,1249063.0,45.238,8505
2021-05-27,45.78,46.0,45.0,45.15,1176408.0,45.356,8256
2021-05-28,45.35,45.46,43.73,44.54,1346841.0,44.438,9248
2021-06-01,45.08,45.43,44.24,44.47,1283779.0,44.668,9322
2021-06-02,44.64,44.64,42.67,42.88,2443567.0,43.183,15376
2021-06-03,42.52,42.77,41.74,42.25,2321137.0,42.211,15490
2021-06-04,42.52,43.32,41.95,42.7,1952677.0,42.334,9164
2021-06-07,42.79,42.88,41.89,41.93,1471901.0,42.171,9180
2021-06-08,41.85,42.43,41.23,42.26,2934605.0,41.964,11134
2021-06-09,43.19,44.36,42.95,43.76,4842376.0,43.771,20766
2021-06-10,43.45,43.82,42.31,42.68,5310849.0,42.757,25582
2021-06-11,43.09,44.13,43.08,43.86,2141215.0,43.699,12731
2021-06-14,43.74,43.89,41.91,42.61,3491544.0,42.83,18609
2021-06-15,42.46,43.67,42.35,43.36,1977840.0,43.039,11587
2021-06-16,42.96,43.65,42.51,43.33,1784392.0,43.204,10789
2021-06-17,43.27,44.07,42.11,43.03,1940319.0,42.953,12578
2021-06-18,42.3,43.33,41.9,42.22,2216656.0,42.384,11979
2021-06-21,42.73,43.95,42.38,43.88,1472964.0,43.605,9830
2021-06-22,43.91,44.5,43.22,44.43,2118737.0,44.136,11778
2021-06-23,44.36,44.63,43.7,44.15,1259808.0,44.13,8480
2021-06-24,44.6,44.9,43.93,44.84,1958279.0,44.452,12321
2021-06-25,44.84,45.86,44.61,45.21,3936291.0,45.322,21432
2021-06-28,45.56,45.67,45.1,45.24,2882742.0,45.369,16345
2021-06-29,45.42,45.46,42.5,42.57,3653739.0,43.409,20640
2021-06-30,42.68,43.03,41.75,42.66,2541329.0,42.453,15291
2021-07-01,42.84,43.94,42.55,43.68,2116659.0,43.447,14266
2021-07-02,43.7,43.84,43.16,43.26,898409.0,43.402,6629
2021-07-06,43.05,43.09,41.06,42.17,2106420.0,42.026,13667
2021-07-07,41.96,43.1,41.65,43.01,1869397.0,42.737,11064
2021-07-08,41.38,42.49,40.93,41.75,2946220.0,41.652,16412
2021-07-09,42.45,42.87,42.25,42.77,1266789.0,42.621,8436
2021-07-12,42.62,43.9,42.57,43.75,1304984.0,43.438,8137
2021-07-13,43.5,43.59,42.08,42.33,1499317.0,42.433,9110
2021-07-14,42.5,42.93,41.47,41.95,2104184.0,41.907,9507
2021-07-15,41.68,42.68,41.62,41.84,1567907.0,42.1,11069
2021-07-16,41.89,42.07,40.88,40.98,1417085.0,41.418,7981
2021-07-19,39.87,41.02,39.24,40.47,1867243.0,40.217,11921
2021-07-20,40.43,42.27,40.24,41.95,1995285.0,41.848,11942
2021-07-21,43.43,45.29,43.41,44.94,4384909.0,44.727,22574
2021-07-22,44.52,44.85,43.87,44.55,1643359.0,44.469,11390
2021-07-23,44.93,45.69,44.55,45.36,1342576.0,45.316,9597
