date,open,high,low,close,volume,average,barCount
2020-07-13,126.93,127.47,124.64,125.12,273966.0,126.128,2289
2020-07-14,124.81,126.81,123.87,126.78,210260.0,125.627,1856
2020-07-15,127.59,129.47,127.31,128.75,276646.0,128.532,2272
2020-07-16,128.26,128.39,127.12,127.46,265659.0,127.695,2169
2020-07-17,128.28,129.43,128.0,129.1,243785.0,128.77,2004
2020-07-20,128.72,129.84,128.33,129.32,243805.0,129.236,2089
2020-07-21,129.97,131.39,129.14,129.95,305223.0,130.104,2462
2020-07-22,129.72,131.7,129.55,131.29,246251.0,130.696,1946
2020-07-23,131.93,133.34,129.3,129.71,213640.0,130.937,1750
2020-07-24,130.59,131.32,128.62,131.28,269350.0,130.514,1643
2020-07-27,131.59,134.04,130.63,133.81,208166.0,133.21,1764
2020-07-28,133.41,134.07,131.85,132.55,235511.0,132.878,2003
2020-07-29,132.95,134.28,132.16,134.01,200696.0,133.536,1759
2020-07-30,132.55,134.18,132.31,133.89,214052.0,133.412,1712
2020-07-31,133.81,134.41,132.71,134.34,360502.0,133.727,2723
2020-08-03,135.47,137.42,135.01,137.04,300731.0,136.424,2217
2020-08-04,136.58,137.34,135.76,137.28,282001.0,136.694,2213
2020-08-05,137.22,137.84,134.53,135.01,290422.0,135.685,2468
2020-08-06,134.95,136.06,134.18,135.36,276195.0,135.116,2332
2020-08-07,134.84,136.16,134.3,135.25,513128.0,135.066,3632
2020-08-10,135.74,137.05,135.3,136.6,329320.0,136.482,2742
2020-08-11,138.83,144.5,138.74,142.11,640720.0,142.58,4750
2020-08-12,141.7,142.37,138.89,139.12,409165.0,139.762,3575
2020-08-13,138.58,140.25,138.12,138.84,312100.0,139.088,2456
2020-08-14,138.98,140.03,138.47,138.88,134347.0,139.29,1115
2020-08-17,139.7,140.32,137.68,138.14,315473.0,138.686,2637
2020-08-18,138.48,139.83,138.48,139.24,168633.0,139.305,1375
2020-08-19,139.55,139.94,136.99,137.3,234236.0,138.07,1696
2020-08-20,136.8,138.02,136.8,137.3,145610.0,137.375,1273
2020-08-21,137.59,137.59,136.46,136.87,164342.0,137.003,1131
2020-08-24,138.1,138.82,136.92,138.37,162201.0,137.704,1387
2020-08-25,138.83,139.39,137.37,138.27,190792.0,138.107,1527
