date,open,high,low,close,volume,average,barCount
2020-07-13,35.09,35.24,34.27,34.44,8267144.0,34.723,49288
2020-07-14,34.38,35.27,34.24,35.22,8756972.0,34.691,46992
2020-07-15,35.94,36.84,35.86,36.7,7733139.0,36.471,42777
2020-07-16,36.87,37.05,36.19,36.37,6661917.0,36.614,33202
2020-07-17,36.5,37.92,36.28,37.71,6983378.0,37.401,39338
2020-07-20,37.57,37.9,36.79,37.17,6361163.0,37.297,33552
2020-07-21,37.26,37.86,37.17,37.48,3857848.0,37.598,23287
2020-07-22,37.57,38.76,37.51,38.39,6537159.0,38.452,37547
2020-07-23,38.29,38.82,38.14,38.43,5385835.0,38.564,26228
2020-07-24,38.53,38.66,38.11,38.6,5437408.0,38.473,29168
2020-07-27,38.61,38.68,38.16,38.35,7660301.0,38.463,29332
2020-07-28,38.23,38.68,37.95,38.27,7238895.0,38.303,39325
2020-07-29,40.0,40.5,39.15,39.81,13049922.0,39.726,57558
2020-07-30,39.16,39.33,38.38,38.94,6159262.0,38.734,28299
2020-07-31,38.84,38.9,37.95,38.57,5364045.0,38.336,29579
2020-08-03,38.69,38.88,37.98,38.0,4734392.0,38.283,27247
2020-08-04,37.78,37.99,37.08,37.15,6191202.0,37.491,32095
2020-08-05,37.3,38.02,37.17,37.73,5085406.0,37.672,26982
2020-08-06,37.72,37.94,37.35,37.89,3509602.0,37.648,20160
2020-08-07,37.77,38.99,37.63,38.97,7064324.0,38.612,35707
2020-08-10,38.99,39.15,38.78,38.98,3382503.0,38.979,19775
2020-08-11,39.46,39.87,39.24,39.31,6685676.0,39.587,33622
2020-08-12,39.46,40.23,39.36,39.96,5055674.0,39.913,26624
2020-08-13,39.74,39.93,39.32,39.75,3567805.0,39.711,21537
2020-08-14,39.37,39.51,38.94,39.16,4099998.0,39.131,18489
2020-08-17,39.12,39.75,39.12,39.35,3312983.0,39.404,17482
2020-08-18,39.5,39.6,39.14,39.33,2685107.0,39.324,14672
2020-08-19,39.41,39.74,39.26,39.35,4453635.0,39.498,22281
2020-08-20,39.0,39.32,38.81,38.86,3688046.0,38.999,20179
2020-08-21,38.71,38.72,37.94,38.43,6119747.0,38.259,31117
2020-08-24,38.6,38.97,38.41,38.94,5576687.0,38.71,24900
2020-08-25,39.32,39.74,39.11,39.64,7033432.0,39.449,27760
2020-08-26,39.69,39.69,38.7,39.35,3574272.0,39.147,19626
2020-08-27,39.4,41.01,39.4,40.78,7542359.0,40.587,38668
2020-08-28,40.71,41.05,40.43,41.03,3375767.0,40.741,19607
2020-08-31,40.93,41.24,40.74,41.02,4891921.0,40.985,24599
2020-09-01,40.7,41.49,40.7,41.47,6371918.0,41.166,30151
2020-09-02,41.5,42.29,41.47,42.23,8264712.0,41.988,31918
2020-09-03,42.15,42.37,41.14,41.49,8305268.0,41.677,42805
2020-09-04,41.59,41.96,40.85,41.48,7426595.0,41.408,42975
2020-09-08,41.06,41.3,40.61,40.92,5339787.0,40.996,29985
2020-09-09,41.27,41.94,41.14,41.53,4193790.0,41.622,23575
2020-09-10,41.58,41.86,40.85,40.97,3752488.0,41.347,25096
2020-09-11,40.95,41.05,39.98,40.29,5523953.0,40.481,29912
2020-09-14,40.65,41.34,40.59,41.12,3774392.0,41.003,23675
2020-09-15,41.33,41.56,40.87,41.02,2881053.0,41.233,19735
2020-09-16,41.24,41.28,39.93,40.19,6590473.0,40.453,40362
2020-09-17,39.92,39.92,39.09,39.67,7734600.0,39.514,44511
2020-09-18,39.6,39.99,38.39,38.48,6589895.0,39.041,36108
2020-09-21,37.83,38.55,37.52,38.55,7992423.0,38.062,41932
2020-09-22,38.51,38.64,37.9,38.6,5038533.0,38.314,27549
2020-09-23,38.66,38.76,37.64,37.72,6099945.0,38.116,28888
2020-09-24,37.43,37.54,36.86,37.12,7949699.0,37.122,37487
2020-09-25,36.89,37.65,36.8,37.34,6291397.0,37.276,30966
2020-09-28,38.07,38.45,37.98,38.0,4559064.0,38.191,25758
2020-09-29,38.18,38.26,37.54,37.76,4279019.0,37.86,24391
2020-09-30,37.83,38.71,37.73,38.21,5462829.0,38.254,29084
2020-10-01,38.56,38.94,38.18,38.42,4570134.0,38.52,27549
2020-10-02,37.8,38.66,37.76,38.48,5020413.0,38.336,27675
2020-10-05,38.75,39.34,38.66,39.24,2296163.0,39.165,14644
2020-10-06,39.8,40.4,39.25,39.33,6356513.0,39.823,33809
2020-10-07,39.58,40.44,39.58,40.18,4114363.0,40.216,24526
2020-10-08,40.25,40.57,40.19,40.49,3098895.0,40.368,19347
2020-10-09,40.99,41.25,40.69,41.14,4683662.0,41.024,23900
2020-10-12,41.44,42.13,41.22,41.97,5659185.0,41.729,34103
2020-10-13,41.82,41.92,40.69,40.92,5836252.0,41.08,30062
2020-10-14,40.77,40.91,40.19,40.62,9419694.0,40.632,39040
2020-10-15,40.17,40.67,38.5,39.0,13205952.0,39.526,62391
2020-10-16,39.13,39.18,38.42,38.44,10417852.0,38.795,44397
2020-10-19,38.51,38.64,37.71,37.77,9274943.0,38.186,43960
2020-10-20,37.98,38.12,37.54,37.54,6223052.0,37.84,29322
2020-10-21,37.51,37.72,37.12,37.15,7908904.0,37.425,37424
2020-10-22,37.19,37.54,36.73,36.86,12304279.0,37.058,57949
2020-10-23,37.0,37.41,36.71,37.17,9204030.0,37.083,43776
2020-10-26,36.69,37.26,36.28,36.86,7858986.0,36.759,40317
2020-10-27,36.86,36.99,35.99,36.05,10152662.0,36.252,49441
2020-10-28,35.75,35.99,33.9,34.07,15260287.0,34.621,66128
2020-10-29,33.98,34.25,33.14,33.5,22152500.0,33.66,94353
2020-10-30,33.31,34.66,33.31,34.27,15813130.0,34.128,73438
2020-11-02,34.66,34.91,34.34,34.55,12111152.0,34.598,50397
2020-11-03,35.06,35.64,34.8,35.15,7129547.0,35.303,39832
2020-11-04,35.5,35.75,34.24,35.29,12195784.0,35.453,50946
2020-11-05,36.0,36.09,35.1,35.21,7907952.0,35.419,38121
2020-11-06,35.31,35.87,35.09,35.7,8709852.0,35.567,35491
2020-11-09,38.5,39.5,38.16,38.21,17790036.0,38.703,77374
2020-11-10,38.25,38.53,37.92,38.2,8473545.0,38.192,37549
2020-11-11,38.15,38.35,37.18,37.4,8199164.0,37.588,39060
2020-11-12,37.14,37.39,36.53,36.74,13121656.0,36.849,46724
2020-11-13,36.95,38.15,36.75,37.98,16559841.0,37.689,42542
2020-11-16,38.67,38.77,37.7,38.03,5958975.0,38.042,28842
2020-11-17,35.49,35.5,33.98,35.03,31430285.0,34.736,113643
2020-11-18,35.21,35.21,33.86,34.26,19823381.0,34.535,81933
2020-11-19,34.33,34.5,33.96,34.21,12886770.0,34.246,54619
2020-11-20,34.08,34.32,33.64,33.7,13121964.0,33.92,50111
2020-11-23,33.7,33.89,32.99,33.33,16025886.0,33.29,67178
2020-11-24,33.69,34.08,33.61,33.79,15360738.0,33.858,58739
2020-11-25,33.87,33.99,33.5,33.55,7283877.0,33.65,31881
2020-11-27,33.9,33.9,33.44,33.6,5426039.0,33.561,20410
2020-11-30,33.61,33.62,33.01,33.15,9303978.0,33.187,39689
2020-12-01,33.5,33.95,33.37,33.65,8622213.0,33.701,43056
2020-12-02,33.6,34.27,33.26,34.15,12422764.0,33.835,44690
2020-12-03,34.15,34.21,33.7,33.81,13220862.0,33.951,49067
2020-12-04,33.8,34.42,33.57,34.41,14543311.0,34.148,47649
2020-12-07,34.45,34.54,33.9,34.25,8656005.0,34.176,41365
2020-12-08,34.05,34.16,33.68,33.97,11729420.0,33.921,45906
2020-12-09,34.03,34.34,33.71,34.13,11894303.0,34.06,53997
2020-12-10,34.05,34.27,33.95,34.0,7728400.0,34.101,34935
2020-12-11,33.76,34.14,33.43,33.6,9981992.0,33.647,43356
2020-12-14,33.93,34.26,33.42,33.45,6455525.0,33.772,31306
2020-12-15,33.8,34.97,33.75,34.67,10438517.0,34.527,46283
2020-12-16,34.76,35.65,34.58,35.13,8866182.0,35.267,41357
2020-12-17,35.19,35.41,35.02,35.39,7684507.0,35.232,33831
2020-12-18,35.55,36.13,35.3,35.45,11732236.0,35.625,48223
2020-12-21,34.93,35.0,34.16,34.82,7649465.0,34.597,37002
2020-12-22,34.79,34.94,34.19,34.36,7765641.0,34.517,34777
2020-12-23,34.51,34.91,34.36,34.37,4913563.0,34.641,23450
2020-12-24,34.45,34.63,34.22,34.59,2136294.0,34.481,10959
2020-12-28,34.76,35.07,34.7,34.92,4052114.0,34.867,20650
2020-12-29,35.2,35.73,35.08,35.5,6674852.0,35.449,31713
2020-12-30,35.5,35.73,35.38,35.55,5579843.0,35.579,25402
2020-12-31,35.6,36.01,35.37,35.95,4594743.0,35.7,21838
