date,open,high,low,close,volume,average,barCount
2020-07-13,88.19,91.65,87.43,90.22,871761.0,89.894,6759
2020-07-14,90.22,93.21,90.04,92.45,1103257.0,91.885,8459
2020-07-15,93.82,94.63,92.05,93.18,1576675.0,92.987,12503
2020-07-16,92.02,93.07,91.19,91.28,665186.0,91.871,5250
2020-07-17,91.47,93.21,90.67,93.07,735259.0,92.376,5626
2020-07-20,91.99,92.65,89.39,89.53,1001900.0,89.807,7747
2020-07-21,89.92,92.34,89.92,91.54,818690.0,91.566,4871
2020-07-22,90.64,93.29,90.4,93.14,808941.0,92.757,6535
2020-07-23,92.5,93.29,90.03,91.48,880846.0,91.294,6181
2020-07-24,91.41,92.29,89.93,90.67,1188911.0,90.696,6571
2020-07-27,89.51,89.95,86.86,89.73,1218187.0,88.233,8550
2020-07-28,89.68,91.47,88.78,91.13,911767.0,90.507,7566
2020-07-29,91.0,91.0,87.1,90.59,1146686.0,89.008,8678
2020-07-30,88.35,88.72,86.12,88.27,981072.0,87.647,7484
2020-07-31,88.18,89.2,86.64,89.09,1051004.0,87.701,7851
2020-08-03,88.01,88.2,85.88,86.24,658841.0,86.38,4130
2020-08-04,86.24,87.74,86.12,87.21,643080.0,87.168,5127
2020-08-05,88.04,88.38,86.05,86.63,794086.0,86.57,5999
2020-08-06,86.19,88.44,86.1,88.3,723519.0,87.791,5073
2020-08-07,87.28,90.06,86.95,90.04,762918.0,89.128,5207
2020-08-10,90.39,92.31,89.99,90.95,881839.0,91.194,6525
2020-08-11,92.16,93.12,89.66,89.96,844671.0,91.13,6855
2020-08-12,90.69,91.06,88.0,88.17,902560.0,88.481,6527
2020-08-13,87.52,88.75,86.19,86.24,1312628.0,86.863,8105
2020-08-14,86.0,87.37,85.68,86.43,1079109.0,86.686,7535
2020-08-17,86.43,86.43,84.93,86.26,571375.0,85.718,4250
2020-08-18,86.03,86.03,84.66,85.63,586525.0,85.365,4233
2020-08-19,85.5,86.03,83.9,84.17,880182.0,84.729,6623
2020-08-20,83.71,85.58,83.42,85.27,579664.0,85.104,4339
2020-08-21,85.42,85.76,83.97,84.26,720995.0,84.405,4897
2020-08-24,83.86,87.2,83.16,87.13,1002802.0,85.788,7765
2020-08-25,87.36,88.52,86.19,88.41,968773.0,87.663,6509
2020-08-26,88.37,88.37,85.26,85.95,626833.0,86.089,5105
2020-08-27,86.16,88.61,86.16,88.48,599112.0,88.15,4420
2020-08-28,88.4,89.31,87.54,88.94,616304.0,88.446,4907
2020-08-31,88.62,88.85,86.12,86.87,581493.0,86.906,4755
2020-09-01,85.95,86.43,85.2,85.36,482426.0,85.729,3964
2020-09-02,85.35,87.19,84.88,87.01,713648.0,86.288,5276
2020-09-03,87.45,90.25,86.71,87.63,552284.0,88.189,4143
2020-09-04,87.8,89.01,86.22,87.81,629739.0,87.819,4436
2020-09-08,87.43,87.75,86.27,86.58,1219834.0,86.809,8577
2020-09-09,86.98,87.88,85.18,85.51,945120.0,86.1,5772
2020-09-10,85.24,86.35,84.16,84.5,1349918.0,84.863,8618
2020-09-11,84.54,84.63,82.5,83.21,697420.0,83.237,5602
2020-09-14,83.99,86.53,83.99,85.91,626228.0,85.845,4670
2020-09-15,86.25,89.56,86.25,87.77,695162.0,88.331,4612
2020-09-16,87.76,90.68,86.43,89.93,957079.0,89.276,7815
2020-09-17,88.94,89.91,87.39,87.87,662097.0,88.296,5405
2020-09-18,86.97,87.54,84.71,84.87,945567.0,85.872,5751
2020-09-21,84.0,84.37,80.79,81.11,1303068.0,81.815,9306
2020-09-22,81.05,83.36,80.2,80.5,1324007.0,81.218,9305
2020-09-23,80.1,81.82,78.94,79.0,1066049.0,80.061,7644
2020-09-24,79.19,80.43,78.43,79.38,604944.0,79.436,4749
2020-09-25,78.61,80.48,78.41,80.38,483301.0,79.899,3792
2020-09-28,82.22,84.04,81.89,82.73,653297.0,83.0,4982
2020-09-29,81.31,81.77,79.0,80.28,601009.0,80.339,4059
2020-09-30,80.82,82.11,79.28,80.3,675719.0,80.482,4984
2020-10-01,80.9,82.9,80.37,82.83,454136.0,81.677,3661
2020-10-02,81.24,85.54,80.71,85.27,543387.0,84.039,4141
2020-10-05,85.92,86.34,83.32,84.5,535536.0,84.188,4232
2020-10-06,85.09,85.71,82.61,82.94,736142.0,83.979,5582
2020-10-07,83.19,83.99,82.02,82.38,711113.0,82.779,4236
2020-10-08,83.07,84.75,82.74,84.17,1164073.0,83.688,7742
2020-10-09,84.5,84.5,82.0,82.78,641109.0,82.824,4517
2020-10-12,82.78,83.23,81.85,82.7,525673.0,82.683,3882
2020-10-13,81.58,81.81,79.1,79.76,781331.0,79.943,5596
2020-10-14,79.76,80.4,79.13,79.61,623297.0,79.661,4001
2020-10-15,79.0,80.29,78.8,79.5,462919.0,79.586,3102
2020-10-16,79.16,79.21,77.24,77.67,754600.0,78.131,4453
2020-10-19,76.83,77.51,75.78,76.0,757462.0,76.392,5235
2020-10-20,77.2,77.66,75.96,76.14,479263.0,76.542,3620
2020-10-21,75.68,76.32,74.9,76.05,561696.0,75.899,3667
2020-10-22,76.08,77.48,75.81,77.22,341730.0,76.763,2601
2020-10-23,77.85,78.24,76.82,77.67,278359.0,77.463,2078
2020-10-26,77.0,77.03,74.64,75.41,626084.0,75.314,4615
2020-10-27,74.97,75.55,73.54,73.74,777173.0,74.11,5685
2020-10-28,73.02,73.02,70.59,71.15,1369969.0,71.779,9607
2020-10-29,70.73,72.23,69.69,71.64,987549.0,71.567,7409
2020-10-30,71.5,72.55,71.01,72.41,618374.0,71.766,4088
2020-11-02,73.26,76.12,72.32,76.05,745050.0,74.934,5680
2020-11-03,76.9,78.33,76.28,77.9,606791.0,77.666,4428
2020-11-04,77.77,77.77,74.41,74.49,655946.0,75.492,4723
2020-11-05,74.66,75.79,74.14,74.74,1216260.0,75.015,8115
2020-11-06,75.35,75.85,72.53,73.41,901106.0,73.578,5293
2020-11-09,83.28,96.45,83.28,88.77,3547056.0,89.746,23828
2020-11-10,89.09,93.34,88.63,92.53,2754043.0,91.742,19270
2020-11-11,91.99,91.99,88.26,90.8,1186649.0,90.343,8497
2020-11-12,89.88,90.23,86.33,87.09,995298.0,87.979,7388
2020-11-13,88.01,91.71,87.95,91.62,1279475.0,90.05,7193
2020-11-16,96.05,97.36,94.27,96.6,1228133.0,96.045,8522
2020-11-17,95.15,99.37,94.22,98.46,1402015.0,97.862,8611
2020-11-18,98.71,99.89,96.12,96.12,1072322.0,98.361,6957
