date,open,high,low,close,volume,average,barCount
2020-07-13,54.03,54.55,53.23,53.52,2363497.0,53.967,14809
2020-07-14,53.35,54.67,53.08,54.53,2163588.0,54.181,11321
2020-07-15,55.69,56.22,54.86,56.01,1772378.0,55.656,10593
2020-07-16,55.54,55.64,55.05,55.4,1612923.0,55.36,10099
2020-07-17,55.74,56.19,55.07,55.97,1285787.0,55.743,7370
2020-07-20,55.84,56.36,55.63,56.14,1921880.0,56.027,11253
2020-07-21,56.28,57.95,56.28,57.62,2449429.0,57.45,13173
2020-07-22,57.21,58.0,56.94,58.0,2103997.0,57.757,11093
2020-07-23,58.04,58.9,56.02,56.67,3516101.0,57.379,19258
2020-07-24,56.34,56.44,55.02,55.7,3434278.0,55.783,15770
2020-07-27,55.43,55.69,54.82,55.25,1554009.0,55.202,9128
2020-07-28,54.95,55.15,54.09,54.15,1622661.0,54.406,9373
2020-07-29,54.44,55.36,54.37,55.14,1639241.0,55.016,9268
2020-07-30,54.33,54.79,53.88,54.67,1740718.0,54.429,10253
2020-07-31,54.41,54.48,52.62,53.28,2505420.0,53.253,13016
2020-08-03,53.34,53.83,52.42,53.06,1883925.0,53.162,9764
2020-08-04,52.76,52.99,51.81,52.16,3472026.0,52.296,18700
2020-08-05,52.42,53.2,52.05,52.94,3952799.0,52.556,22582
2020-08-06,52.82,53.59,52.7,53.0,2059642.0,53.126,12238
2020-08-07,52.86,53.15,52.35,52.52,1745544.0,52.659,9541
2020-08-10,52.7,52.72,51.77,52.33,3201653.0,52.156,16826
2020-08-11,52.59,53.74,52.41,52.51,3327039.0,53.124,18207
2020-08-12,53.29,53.71,52.7,52.86,1575249.0,53.146,9307
2020-08-13,52.55,53.36,52.55,53.18,1256809.0,53.083,7820
2020-08-14,53.05,53.3,52.71,52.74,1345505.0,53.0,7582
2020-08-17,52.84,53.64,52.74,53.38,1329316.0,53.341,7357
2020-08-18,53.39,53.99,53.37,53.56,1821529.0,53.729,9922
2020-08-19,53.95,54.55,53.68,53.99,1822668.0,54.166,10316
2020-08-20,53.65,53.93,52.44,52.49,2077240.0,52.848,9806
2020-08-21,52.67,53.35,52.56,52.97,1855326.0,53.029,9733
2020-08-24,53.32,53.6,52.76,53.3,1934325.0,53.355,9980
2020-08-25,53.66,53.66,52.66,53.03,1926327.0,52.951,9036
2020-08-26,53.03,54.19,52.67,54.08,2369560.0,53.396,10979
2020-08-27,53.93,54.28,53.41,53.54,2148297.0,53.853,11693
2020-08-28,53.7,53.75,52.81,52.95,2536456.0,53.095,12260
2020-08-31,53.04,53.45,52.69,52.95,2040839.0,53.142,11042
2020-09-01,53.3,53.74,52.94,53.72,2031968.0,53.405,11784
2020-09-02,53.99,54.82,53.18,54.46,1688391.0,54.062,9378
2020-09-03,54.46,54.85,52.49,53.86,3071006.0,53.427,14287
2020-09-04,54.18,54.75,52.37,52.99,1967179.0,53.236,11096
2020-09-08,51.85,52.04,50.85,51.14,2628282.0,51.428,14530
2020-09-09,51.68,51.98,51.19,51.61,2239952.0,51.637,14771
2020-09-10,51.7,52.48,51.34,51.43,1860884.0,51.915,11398
2020-09-11,51.56,52.06,50.66,51.47,2824767.0,51.31,16966
2020-09-14,52.06,52.83,51.74,52.67,1781873.0,52.489,9887
2020-09-15,52.85,53.87,52.38,53.2,2903042.0,53.267,17307
2020-09-16,53.44,54.26,53.07,53.53,1399707.0,53.879,8477
2020-09-17,52.54,52.71,51.57,52.2,3155296.0,52.077,19376
2020-09-18,52.33,52.96,52.12,52.7,2192825.0,52.581,13390
2020-09-21,51.83,52.09,51.13,51.73,1958481.0,51.569,10929
2020-09-22,51.8,52.36,50.64,51.3,2054090.0,51.177,13236
2020-09-23,51.44,52.36,50.65,50.79,1583007.0,51.489,8118
2020-09-24,50.58,50.85,49.26,49.95,2867164.0,50.045,15776
2020-09-25,49.77,51.47,49.75,51.15,1993309.0,50.807,11959
