date,open,high,low,close,volume,average,barCount
2020-07-13,36.46,36.57,35.5,35.64,1960413.0,35.962,14355
2020-07-14,35.62,36.8,35.61,36.77,2422020.0,36.546,18135
2020-07-15,36.81,37.09,36.24,36.6,1782523.0,36.748,11670
2020-07-16,36.56,37.12,36.43,36.6,1429954.0,36.678,9166
2020-07-17,36.7,36.84,36.32,36.58,2101639.0,36.525,13354
2020-07-20,36.42,36.53,35.75,36.2,2027811.0,36.063,12601
2020-07-21,36.23,36.92,36.23,36.34,1530326.0,36.536,10061
2020-07-22,36.29,36.67,35.94,36.51,1345117.0,36.341,9213
2020-07-23,36.42,37.2,36.42,36.82,1646278.0,36.837,9894
2020-07-24,36.79,37.19,36.37,36.61,1360728.0,36.591,9459
2020-07-27,36.49,36.97,36.43,36.97,1339139.0,36.762,9036
2020-07-28,36.92,37.61,36.87,37.29,1574912.0,37.304,10790
2020-07-29,37.27,37.82,37.27,37.63,1681035.0,37.631,11739
2020-07-30,37.39,37.65,37.1,37.37,1561804.0,37.352,10390
2020-07-31,37.33,37.76,36.91,37.45,1607677.0,37.304,10629
2020-08-03,37.19,37.73,37.18,37.56,1485279.0,37.491,10194
2020-08-04,37.38,38.07,37.38,38.06,2067705.0,37.85,13073
2020-08-05,37.94,38.04,37.31,37.58,1494400.0,37.516,9108
2020-08-06,37.51,37.92,37.3,37.47,1157502.0,37.517,7593
2020-08-07,37.34,37.91,37.19,37.84,1143834.0,37.672,8250
2020-08-10,37.9,38.12,37.64,37.74,831942.0,37.845,5531
2020-08-11,37.98,37.98,37.14,37.25,1070843.0,37.423,7671
2020-08-12,37.52,38.1,37.52,37.84,1142654.0,37.91,8245
2020-08-13,37.88,37.95,37.61,37.7,1156333.0,37.76,7856
2020-08-14,37.7,38.11,37.54,37.78,840521.0,37.815,5893
2020-08-17,37.76,38.24,37.58,38.05,1356408.0,38.058,8547
2020-08-18,38.12,38.36,37.83,38.18,1395273.0,38.148,9491
2020-08-19,38.17,38.24,37.72,37.94,1211339.0,37.965,8797
2020-08-20,37.79,38.15,37.77,37.97,1272941.0,37.992,8440
2020-08-21,38.03,38.03,37.47,37.82,1516393.0,37.828,9189
2020-08-24,37.87,38.32,37.59,38.26,1306597.0,38.075,7785
2020-08-25,38.54,38.79,38.21,38.74,1739122.0,38.515,10468
2020-08-26,38.66,38.85,38.52,38.73,1712189.0,38.692,10413
2020-08-27,39.0,39.34,38.76,38.77,1511440.0,39.009,10588
2020-08-28,38.77,38.84,37.72,38.16,2057927.0,38.049,14513
2020-08-31,38.02,38.55,38.02,38.36,1578548.0,38.354,11402
2020-09-01,38.45,38.45,37.56,37.83,2082318.0,37.88,13057
2020-09-02,37.78,38.41,37.75,38.25,2428993.0,38.172,14830
2020-09-03,38.01,38.71,37.01,37.41,1924590.0,37.692,13483
2020-09-04,37.41,37.52,36.43,37.13,1617589.0,36.944,10725
2020-09-08,37.08,37.08,35.04,35.15,3256875.0,35.521,20511
2020-09-09,35.48,36.19,35.38,35.81,1880645.0,35.809,13194
2020-09-10,35.74,35.85,34.62,34.7,2368787.0,35.09,16405
2020-09-11,34.79,34.9,34.24,34.47,2063008.0,34.593,13540
2020-09-14,34.6,34.86,34.36,34.59,1656341.0,34.65,11672
2020-09-15,34.66,34.84,34.21,34.57,2062005.0,34.621,14261
2020-09-16,34.71,35.13,34.58,34.79,1575228.0,34.892,11312
2020-09-17,34.66,34.83,34.15,34.8,1838894.0,34.545,11507
2020-09-18,34.8,35.22,34.31,34.55,2530687.0,34.651,15614
2020-09-21,34.42,35.04,34.25,35.04,1906262.0,34.708,13044
2020-09-22,35.0,35.9,34.94,35.15,3864707.0,35.534,19564
2020-09-23,35.38,35.41,33.8,33.86,2449432.0,34.338,16475
2020-09-24,33.92,34.64,33.65,34.63,1496167.0,34.374,10854
2020-09-25,34.6,35.2,34.43,35.12,1270205.0,34.926,9061
2020-09-28,35.32,35.75,35.16,35.46,1508025.0,35.496,10327
2020-09-29,35.43,35.75,35.1,35.48,1861529.0,35.471,13302
2020-09-30,35.5,35.99,35.34,35.71,2670367.0,35.71,18078
2020-10-01,36.16,36.51,34.53,35.87,4595252.0,35.359,26509
2020-10-02,36.11,37.18,36.05,36.88,4050667.0,36.793,23063
2020-10-05,36.75,37.17,36.63,37.1,1446944.0,36.966,10264
2020-10-06,37.05,37.2,36.63,36.85,1347114.0,36.958,10029
2020-10-07,37.0,37.56,36.85,37.38,2087163.0,37.243,13891
2020-10-08,37.43,37.73,37.08,37.25,1198622.0,37.302,8589
2020-10-09,37.43,37.75,37.2,37.32,1604659.0,37.484,10191
2020-10-12,37.52,38.13,37.25,38.01,1734486.0,37.831,10720
2020-10-13,37.86,38.42,37.73,37.94,1710800.0,37.958,10277
2020-10-14,38.03,38.23,37.57,37.69,993107.0,37.806,7702
2020-10-15,37.41,37.84,37.3,37.79,1248948.0,37.643,8522
2020-10-16,37.85,38.08,37.73,37.91,1214669.0,37.92,7895
2020-10-19,37.91,38.26,37.38,37.47,2357880.0,37.757,14557
2020-10-20,37.72,38.01,37.06,37.12,1498494.0,37.365,10656
2020-10-21,37.09,37.43,36.94,37.09,1743332.0,37.19,9868
2020-10-22,37.11,37.77,36.86,37.65,1952273.0,37.444,13466
2020-10-23,37.84,38.03,37.54,38.0,1211740.0,37.812,8578
2020-10-26,37.79,38.15,37.31,37.55,1937798.0,37.674,14657
2020-10-27,37.54,37.7,36.94,36.96,1758991.0,37.269,13071
