date,open,high,low,close,volume,average,barCount
2020-07-13,49.61,50.66,49.26,49.87,1145831.0,50.046,7382
2020-07-14,49.63,51.0,49.51,50.93,965556.0,50.308,7392
2020-07-15,51.49,52.28,51.19,52.09,995273.0,51.871,7642
2020-07-16,51.92,52.72,51.58,52.42,700235.0,52.31,4803
2020-07-17,52.6,53.35,52.38,53.13,697479.0,53.036,5147
2020-07-20,53.26,53.42,52.52,53.15,2364810.0,53.074,13335
2020-07-21,53.76,56.05,53.54,55.99,2008112.0,55.45,13483
2020-07-22,56.0,56.33,55.52,56.16,1023267.0,56.052,7723
2020-07-23,56.27,57.05,56.04,56.55,910485.0,56.614,6719
2020-07-24,56.83,57.63,56.14,56.5,1028288.0,56.601,7803
2020-07-27,56.27,57.52,55.74,57.48,1086682.0,57.042,8747
2020-07-28,57.34,57.59,56.49,56.58,981794.0,56.928,7329
2020-07-29,56.88,57.99,56.53,57.7,1306621.0,57.503,8996
2020-07-30,56.81,57.0,55.6,56.48,1855544.0,56.319,14149
2020-07-31,56.43,56.5,53.91,54.62,2119791.0,54.719,17449
2020-08-03,55.55,58.31,55.54,58.04,2038177.0,57.639,14939
2020-08-04,57.76,58.34,57.03,57.83,1257158.0,57.88,9567
2020-08-05,58.64,58.97,57.09,57.6,2073725.0,57.619,14010
2020-08-06,52.5,55.45,52.11,53.11,4129562.0,53.145,26378
2020-08-07,52.62,52.74,51.61,52.58,2156242.0,52.039,13832
2020-08-10,52.58,53.81,52.35,53.06,1189323.0,53.089,8166
2020-08-11,53.36,53.92,52.85,53.04,1279462.0,53.413,8663
2020-08-12,53.48,54.17,53.26,53.82,1058323.0,53.792,8536
2020-08-13,53.42,53.65,52.26,52.43,2050110.0,52.487,11881
2020-08-14,52.2,53.7,51.92,53.68,1479586.0,53.095,9734
2020-08-17,53.7,53.78,52.6,52.73,874196.0,52.965,6066
2020-08-18,52.7,53.29,51.93,52.05,1001384.0,52.418,6975
2020-08-19,51.98,52.63,51.51,51.64,828289.0,51.856,6034
2020-08-20,51.37,51.53,50.04,50.16,1139829.0,50.502,8481
2020-08-21,49.95,50.32,49.59,49.85,1136047.0,49.839,7339
2020-08-24,50.23,50.27,49.44,49.8,966722.0,49.754,6730
2020-08-25,49.85,50.6,49.46,50.56,1316182.0,50.308,7808
2020-08-26,50.21,51.1,49.94,50.95,1545538.0,50.569,9245
2020-08-27,51.19,51.46,50.26,50.67,1399500.0,50.695,9672
2020-08-28,50.6,50.79,49.98,50.5,691448.0,50.301,4918
2020-08-31,50.25,51.23,50.22,50.76,1174874.0,50.874,7993
2020-09-01,50.52,50.74,48.57,49.34,1404000.0,49.278,8735
2020-09-02,49.62,51.28,49.33,50.99,1663036.0,50.776,10284
2020-09-03,51.35,51.9,49.46,50.02,1681048.0,50.384,11034
2020-09-04,50.17,50.21,49.0,49.72,1326377.0,49.694,9322
2020-09-08,49.67,49.93,48.82,49.27,1955286.0,49.418,12673
2020-09-09,49.56,50.04,48.96,49.54,930367.0,49.618,7006
2020-09-10,49.31,49.55,48.51,48.54,1268243.0,48.989,9653
2020-09-11,48.84,48.84,47.86,48.38,957198.0,48.37,6945
2020-09-14,48.61,48.99,46.93,47.05,3540410.0,47.494,21078
