date,open,high,low,close,volume,average,barCount
2020-07-13,25.14,25.21,23.26,24.28,6852339.0,24.615,26881
2020-07-14,24.3,25.17,24.23,25.15,5597171.0,24.834,20668
2020-07-15,25.58,26.57,25.54,26.45,4968550.0,26.039,18189
2020-07-16,26.12,26.99,25.92,26.61,4112408.0,26.54,11720
2020-07-17,26.89,26.9,26.33,26.48,2463752.0,26.577,10901
2020-07-20,26.22,26.54,26.06,26.41,1737342.0,26.364,9688
2020-07-21,26.29,26.8,26.16,26.57,4216374.0,26.541,16873
2020-07-22,26.34,27.06,26.32,26.6,2605605.0,26.755,12394
2020-07-23,26.66,27.63,26.52,27.35,4589448.0,27.27,17634
2020-07-24,27.25,27.26,26.54,26.58,7560542.0,26.763,17571
2020-07-27,26.5,26.78,26.08,26.25,4217501.0,26.333,21237
2020-07-28,26.07,26.4,25.85,26.07,9074465.0,26.056,20888
2020-07-29,26.11,27.72,26.11,27.18,10054093.0,27.288,31504
2020-07-30,25.85,27.5,25.6,26.9,5622324.0,26.771,25285
2020-07-31,26.85,27.36,26.63,27.24,4913102.0,27.093,18959
2020-08-03,27.29,27.89,27.01,27.62,3216687.0,27.575,16467
2020-08-04,27.4,27.87,27.16,27.77,3462496.0,27.593,16369
2020-08-05,27.66,28.18,27.66,28.11,2850171.0,27.964,13686
2020-08-06,28.02,28.54,27.94,28.27,2872280.0,28.251,14627
2020-08-07,28.72,29.03,28.44,28.97,2742564.0,28.804,16339
2020-08-10,29.02,29.57,28.91,29.46,2530298.0,29.302,12137
2020-08-11,30.16,30.32,29.44,29.49,4152075.0,29.948,20319
2020-08-12,29.87,30.19,29.62,29.79,2883669.0,29.847,13420
2020-08-13,29.9,30.28,29.37,29.54,2377980.0,29.791,12326
2020-08-14,29.71,30.05,29.28,29.52,3883779.0,29.596,16959
2020-08-17,29.5,30.19,29.14,29.84,3280329.0,29.807,18073
2020-08-18,29.72,30.05,29.37,29.46,2496597.0,29.689,14544
2020-08-19,29.54,29.69,29.12,29.25,2759327.0,29.27,13745
2020-08-20,29.02,29.41,28.75,29.01,2225869.0,29.08,10608
2020-08-21,29.16,29.82,29.08,29.52,2312367.0,29.514,11179
2020-08-24,29.76,30.44,29.74,30.38,2469968.0,30.177,13670
2020-08-25,30.5,30.81,30.41,30.47,2588367.0,30.62,13593
2020-08-26,30.51,31.24,30.41,31.03,2448420.0,30.946,14246
2020-08-27,31.07,31.24,30.16,30.28,3109195.0,30.477,16941
2020-08-28,30.38,30.48,29.95,30.3,2444514.0,30.204,13612
2020-08-31,30.19,30.46,29.83,29.85,2125638.0,30.108,12355
2020-09-01,29.66,30.36,29.17,30.3,1882156.0,29.992,12049
2020-09-02,30.01,30.95,29.84,30.78,2546670.0,30.479,14849
2020-09-03,30.5,30.69,28.96,29.33,3379626.0,29.456,21106
2020-09-04,29.43,30.1,28.83,30.0,3087987.0,29.64,16545
2020-09-08,29.4,30.25,29.2,29.57,3420121.0,29.786,18349
2020-09-09,29.93,30.35,29.55,30.13,2968285.0,30.027,16553
2020-09-10,29.9,30.01,28.58,29.14,7257334.0,29.122,37988
2020-09-11,29.17,29.65,29.01,29.24,3195804.0,29.272,19867
2020-09-14,29.4,29.44,28.82,29.15,2788310.0,29.121,18251
2020-09-15,29.48,30.04,29.3,29.69,2910171.0,29.857,16324
2020-09-16,30.16,30.54,29.52,30.25,3579090.0,30.137,17436
2020-09-17,29.77,30.7,29.37,30.66,3267434.0,30.282,19411
2020-09-18,30.5,31.2,30.5,30.79,4390613.0,30.799,20244
2020-09-21,30.27,30.77,29.22,29.51,2889944.0,29.677,16941
2020-09-22,29.51,30.33,29.49,30.26,2180918.0,30.053,13054
2020-09-23,30.4,30.42,29.1,29.11,2284519.0,29.74,13922
2020-09-24,29.12,29.97,28.79,29.88,3240474.0,29.675,19262
2020-09-25,29.46,30.5,29.35,30.49,2179875.0,30.091,12127
2020-09-28,30.75,31.56,30.43,30.74,5761744.0,30.955,19715
2020-09-29,30.51,30.69,30.08,30.5,3763324.0,30.509,19662
2020-09-30,30.61,31.24,30.35,30.54,3562528.0,30.756,20371
2020-10-01,30.72,31.06,30.55,30.77,2677068.0,30.787,15168
2020-10-02,30.34,31.52,30.26,31.23,1718758.0,31.172,8862
2020-10-05,31.64,32.47,31.64,32.08,2818481.0,31.975,14894
2020-10-06,32.34,32.39,31.45,31.51,1769624.0,31.99,10315
2020-10-07,31.93,32.29,31.89,32.12,1276723.0,32.127,7596
2020-10-08,32.31,32.47,31.63,31.95,1569274.0,31.866,8019
2020-10-09,31.91,32.55,31.71,32.23,1768807.0,32.194,9691
2020-10-12,32.59,33.16,32.2,33.0,2505526.0,32.83,11769
2020-10-13,33.3,33.47,32.04,32.49,2258926.0,32.584,12732
2020-10-14,32.68,33.05,32.43,32.51,2217992.0,32.648,12795
2020-10-15,32.09,32.66,32.01,32.6,1979364.0,32.456,10758
2020-10-16,32.92,33.27,32.42,32.76,2331187.0,32.724,12060
2020-10-19,32.8,33.0,32.07,32.32,4308293.0,32.52,19742
2020-10-20,32.45,33.8,32.35,33.23,2957564.0,33.219,13829
2020-10-21,33.05,33.44,32.9,33.35,2061292.0,33.246,11095
2020-10-22,33.15,34.13,33.15,33.89,2879331.0,33.88,15573
2020-10-23,33.9,34.96,33.86,34.93,3922737.0,34.499,17978
2020-10-26,34.45,34.45,33.27,33.71,3998624.0,33.734,21025
2020-10-27,33.83,33.94,33.11,33.6,3266354.0,33.468,14414
2020-10-28,32.93,33.76,32.76,33.3,5047004.0,33.301,27230
2020-10-29,33.77,34.78,32.93,34.07,9408596.0,33.784,41498
2020-10-30,33.97,34.88,33.0,33.39,3782697.0,33.65,22288
2020-11-02,34.0,35.13,33.87,35.1,4958207.0,34.516,24209
2020-11-03,35.45,37.01,35.43,36.95,5402246.0,36.44,25484
2020-11-04,35.63,37.4,35.5,36.78,6631860.0,36.835,29079
2020-11-05,37.51,38.3,37.38,38.2,3627925.0,38.022,18893
2020-11-06,38.53,39.03,38.14,38.95,2333476.0,38.617,13866
2020-11-09,40.74,41.3,38.68,38.8,4993803.0,39.2,28327
2020-11-10,39.03,39.35,37.58,37.81,4462696.0,38.2,26881
2020-11-11,38.49,38.73,37.89,38.06,3265895.0,38.119,17364
2020-11-12,38.0,38.94,37.78,37.96,6663062.0,38.457,28954
