date,open,high,low,close,volume,average,barCount
2020-07-13,129.42,132.09,128.85,130.57,2651867.0,130.844,18172
2020-07-14,130.32,137.31,129.23,136.88,4310339.0,134.633,30293
2020-07-15,140.17,140.17,137.11,138.36,3600583.0,138.711,22437
2020-07-16,138.3,140.99,137.59,138.56,2723027.0,139.211,16791
2020-07-17,137.87,138.43,136.52,136.9,1611001.0,137.262,10000
2020-07-20,135.76,136.95,134.25,134.63,1550151.0,134.947,9507
2020-07-21,134.77,137.19,134.43,135.87,1835984.0,135.843,12459
2020-07-22,135.25,137.87,135.19,136.98,1473261.0,137.146,9746
2020-07-23,136.9,137.53,135.71,136.6,1064684.0,136.565,7678
2020-07-24,137.2,138.69,136.85,137.58,1324463.0,137.787,8602
2020-07-27,137.15,140.34,137.06,139.89,1648785.0,139.401,11153
2020-07-28,138.94,139.99,137.92,138.03,1178298.0,138.862,8394
2020-07-29,138.58,141.09,137.8,140.53,1497421.0,139.845,10147
2020-07-30,139.08,139.1,135.97,136.73,2222754.0,137.038,15408
2020-07-31,132.43,135.15,130.21,132.88,4978787.0,132.101,31098
2020-08-03,132.3,133.0,131.1,131.78,1879770.0,132.026,12989
2020-08-04,131.37,132.44,130.67,131.52,1559005.0,131.43,10393
2020-08-05,132.78,135.94,132.61,134.97,1882491.0,134.685,12531
2020-08-06,134.52,135.21,133.69,134.39,1189603.0,134.347,7827
2020-08-07,134.0,135.11,132.51,134.92,1443369.0,133.932,9632
2020-08-10,135.73,142.16,135.67,142.02,3370385.0,140.4,19990
2020-08-11,144.02,146.2,142.29,142.53,3133721.0,144.193,20165
2020-08-12,144.02,144.17,141.33,142.57,1718660.0,142.342,11976
2020-08-13,141.6,142.74,139.77,140.67,1816531.0,141.074,12953
2020-08-14,139.45,140.89,138.77,139.96,1296232.0,140.129,8446
2020-08-17,140.15,140.61,138.3,138.72,1027010.0,139.002,6459
2020-08-18,138.95,140.11,138.08,138.37,995888.0,138.939,6421
2020-08-19,138.5,139.92,137.46,138.02,1071633.0,138.515,6816
2020-08-20,136.02,137.98,135.65,137.48,1287802.0,137.086,8056
2020-08-21,136.8,139.0,136.8,138.43,1390993.0,138.284,8513
2020-08-24,139.76,142.25,139.08,141.68,2003912.0,141.037,12976
2020-08-25,142.67,144.93,140.54,141.15,1736787.0,142.38,11727
2020-08-26,140.48,142.44,139.8,141.83,1374624.0,141.292,8895
2020-08-27,142.13,144.34,141.28,143.37,2037963.0,142.91,14263
2020-08-28,144.28,145.85,142.69,143.63,1875046.0,144.094,12502
2020-08-31,143.5,143.6,142.27,142.31,1629891.0,142.734,12091
2020-09-01,141.59,146.12,140.91,146.05,1561154.0,144.413,9888
2020-09-02,146.87,149.55,146.4,149.27,3101592.0,148.381,20400
2020-09-03,148.59,151.2,145.3,146.76,3116885.0,147.473,19843
2020-09-04,148.7,150.78,146.04,148.18,3710412.0,148.715,21764
2020-09-08,147.0,150.76,145.72,148.52,2973695.0,148.706,17574
2020-09-09,149.8,155.48,149.21,152.69,3860459.0,153.426,23053
2020-09-10,152.04,153.25,148.75,149.86,2564670.0,150.596,15536
2020-09-11,150.48,154.4,150.24,153.83,2310444.0,152.963,14702
2020-09-14,154.0,154.8,152.2,153.51,1564439.0,153.434,10549
2020-09-15,154.2,154.47,148.35,148.6,2920887.0,149.981,18416
2020-09-16,150.0,151.98,148.37,151.11,2174806.0,150.543,15352
2020-09-17,149.85,156.25,149.15,153.87,3349589.0,154.164,18982
2020-09-18,153.45,156.21,152.06,152.39,3058042.0,154.023,16365
2020-09-21,148.56,149.5,143.87,145.33,3040135.0,145.719,19567
2020-09-22,145.01,147.5,144.5,147.15,1779587.0,146.414,11203
2020-09-23,147.48,148.91,143.6,144.38,1551620.0,145.841,10090
2020-09-24,144.02,147.44,142.73,145.14,1389126.0,145.176,9567
2020-09-25,143.89,146.7,143.01,145.91,1156189.0,145.208,7874
2020-09-28,148.0,150.31,147.41,147.68,1422706.0,148.683,9542
2020-09-29,148.37,148.97,146.21,147.41,1091133.0,147.597,7231
