date,open,high,low,close,volume,average,barCount
2020-07-13,44.54,44.81,43.19,43.19,1079971.0,43.69,7504
2020-07-14,42.89,43.62,42.54,43.35,943302.0,43.095,6954
2020-07-15,44.84,45.51,44.35,45.22,1316434.0,45.001,7022
2020-07-16,44.81,45.33,44.38,44.59,596395.0,44.803,3921
2020-07-17,44.97,45.49,44.77,44.95,942108.0,45.027,4941
2020-07-20,44.65,44.91,43.95,44.26,826784.0,44.247,5172
2020-07-21,44.48,45.04,43.77,43.94,682543.0,44.405,5429
2020-07-22,43.48,44.62,43.3,44.36,763073.0,44.201,5887
2020-07-23,44.14,44.45,43.48,43.92,1100333.0,44.0,7318
2020-07-24,43.97,44.33,42.97,43.16,709535.0,43.387,4755
2020-07-27,42.95,43.15,42.03,42.33,1645361.0,42.401,9454
2020-07-28,42.33,42.89,41.76,41.85,1579191.0,42.222,10234
2020-07-29,42.33,43.02,41.85,43.0,961964.0,42.625,6692
2020-07-30,42.2,43.36,41.62,43.27,1109771.0,42.686,7643
2020-07-31,43.41,43.99,42.17,43.81,2780147.0,43.1,14268
2020-08-03,43.62,43.66,41.26,41.35,2039024.0,41.734,12990
2020-08-04,41.15,41.84,41.02,41.49,1424913.0,41.412,8256
2020-08-05,41.99,42.86,41.46,42.83,1588322.0,42.362,10310
2020-08-06,42.55,42.86,42.01,42.25,1869174.0,42.437,6779
2020-08-07,42.22,44.2,42.08,44.02,1049713.0,43.595,7466
2020-08-10,44.02,45.86,43.97,45.37,1055135.0,45.138,7750
2020-08-11,46.42,47.8,46.29,47.2,1396135.0,47.276,9239
2020-08-12,47.34,48.58,47.1,47.28,1131824.0,47.678,8258
2020-08-13,46.87,47.09,45.76,46.03,483440.0,46.251,3640
2020-08-14,45.78,46.46,45.43,46.02,537142.0,45.94,3988
2020-08-17,45.93,46.01,44.93,45.09,1007891.0,45.264,5854
2020-08-18,45.16,45.43,44.57,44.66,605243.0,44.858,4185
2020-08-19,44.48,44.58,43.76,44.31,673749.0,44.314,4964
2020-08-20,43.88,44.61,43.63,44.08,837092.0,44.258,4518
2020-08-21,44.4,45.05,44.34,44.91,499042.0,44.712,3179
2020-08-24,45.08,47.06,44.94,47.01,762250.0,46.377,4931
2020-08-25,47.32,48.03,47.01,47.39,1005449.0,47.306,5836
2020-08-26,47.01,47.32,46.46,46.98,1085079.0,46.966,7058
2020-08-27,46.89,47.9,46.86,47.35,864064.0,47.255,5420
2020-08-28,47.55,47.9,46.96,47.85,553349.0,47.663,3392
2020-08-31,47.96,47.96,46.56,47.03,849210.0,46.988,5331
2020-09-01,46.8,47.91,46.41,47.77,583398.0,47.443,4209
2020-09-02,47.9,49.16,47.58,49.04,982251.0,48.627,5784
2020-09-03,48.86,49.99,47.92,48.62,1029256.0,48.678,6927
2020-09-04,49.31,49.42,47.67,48.22,737363.0,48.423,5407
2020-09-08,47.93,48.43,47.25,47.63,996108.0,47.884,6669
2020-09-09,47.73,49.07,47.56,48.53,976473.0,48.487,5799
2020-09-10,48.91,48.91,47.41,47.52,660683.0,48.072,4320
2020-09-11,47.92,47.98,46.37,46.91,893735.0,46.918,4692
2020-09-14,47.36,49.04,47.36,48.78,631207.0,48.561,3910
2020-09-15,49.21,50.23,49.05,49.63,862394.0,49.748,5368
2020-09-16,49.92,51.03,49.47,49.99,588206.0,50.244,4289
2020-09-17,49.48,49.91,48.95,49.57,541543.0,49.461,4090
2020-09-18,49.1,49.55,48.42,48.48,1155847.0,48.928,6397
2020-09-21,47.52,47.52,45.17,46.45,1187502.0,46.057,8407
2020-09-22,46.56,47.3,45.67,46.01,612616.0,46.11,4661
2020-09-23,46.14,46.6,44.64,45.0,803274.0,45.375,5941
2020-09-24,44.97,46.6,44.59,45.66,945883.0,45.678,5677
2020-09-25,45.3,46.72,45.19,46.32,498382.0,46.093,3155
2020-09-28,47.29,47.88,46.95,47.34,525021.0,47.445,3812
2020-09-29,47.14,47.36,46.21,46.77,587296.0,46.741,4174
2020-09-30,47.12,48.11,46.59,46.97,925914.0,47.276,5688
2020-10-01,47.41,48.2,46.81,47.4,1227450.0,47.247,8590
2020-10-02,46.44,48.28,46.1,48.07,737065.0,47.773,5243
2020-10-05,48.68,49.09,47.94,48.61,999519.0,48.386,6282
2020-10-06,48.87,49.99,48.34,48.57,958117.0,48.889,6496
2020-10-07,49.0,49.17,48.47,48.95,777183.0,48.844,5511
2020-10-08,49.21,51.0,49.05,50.99,544790.0,50.625,3954
2020-10-09,51.5,51.58,49.71,49.9,1121438.0,50.158,7518
2020-10-12,50.26,50.41,49.13,50.31,864240.0,49.769,6400
2020-10-13,49.88,50.1,49.01,49.05,581307.0,49.455,3488
2020-10-14,49.11,49.65,48.92,49.02,373070.0,49.216,2801
2020-10-15,48.49,49.38,48.33,49.04,796020.0,49.01,4856
2020-10-16,48.99,49.24,47.8,48.61,902744.0,48.581,6247
2020-10-19,48.61,48.93,47.48,47.58,673895.0,48.17,4683
2020-10-20,48.03,48.94,47.86,47.9,663850.0,48.387,4724
2020-10-21,47.52,47.79,46.74,47.05,594619.0,47.133,4240
2020-10-22,46.86,47.37,46.61,46.73,767533.0,46.888,5687
2020-10-23,46.99,47.36,46.38,46.66,766227.0,46.743,5624
2020-10-26,45.99,46.1,44.98,45.58,1098789.0,45.559,7059
2020-10-27,45.56,45.86,44.84,44.86,1146513.0,45.27,8827
2020-10-28,43.69,44.45,43.17,43.92,1102295.0,44.037,8055
2020-10-29,45.08,51.45,44.75,51.3,2756375.0,49.367,15617
2020-10-30,50.5,51.06,48.73,50.4,1414250.0,50.126,9735
2020-11-02,50.96,53.55,50.81,52.67,1274227.0,52.604,8577
2020-11-03,53.59,53.72,50.58,51.93,1128132.0,51.877,7663
