date,open,high,low,close,volume,average,barCount
2020-07-13,171.28,171.88,166.04,166.91,1404913.0,169.671,8531
2020-07-14,168.0,169.84,165.68,169.35,977564.0,167.854,7268
2020-07-15,171.14,171.62,167.34,168.0,1128074.0,168.508,6281
2020-07-16,166.96,168.02,164.6,165.74,1074761.0,165.861,7325
2020-07-17,166.74,170.15,165.64,168.96,804635.0,168.529,5582
2020-07-20,177.28,177.28,170.09,170.16,2037059.0,171.95,13027
2020-07-21,171.5,171.5,166.67,167.53,1388727.0,168.274,9013
2020-07-22,166.92,169.51,166.51,168.06,828766.0,168.079,6388
2020-07-23,167.54,168.79,164.72,166.76,864261.0,166.815,6304
2020-07-24,166.41,167.83,165.73,166.7,790498.0,166.807,5984
2020-07-27,167.0,169.19,166.33,168.44,963025.0,168.059,6558
2020-07-28,168.12,172.92,168.1,171.78,1483483.0,171.361,9738
2020-07-29,172.87,175.15,172.1,173.87,1621043.0,173.364,11155
2020-07-30,168.95,170.7,167.09,170.21,1904838.0,168.812,14776
2020-07-31,169.57,170.2,165.9,166.7,1919267.0,166.942,15355
2020-08-03,165.93,166.05,162.0,164.1,1478789.0,164.106,10672
2020-08-04,164.4,167.77,164.15,165.88,1287660.0,165.888,8938
2020-08-05,166.37,166.58,163.73,164.52,1053836.0,164.565,7043
2020-08-06,164.01,165.29,163.43,163.87,784868.0,164.266,5764
2020-08-07,163.91,169.36,163.8,168.19,1034022.0,167.723,7061
2020-08-10,168.06,168.23,164.92,166.18,738766.0,166.134,5620
2020-08-11,167.17,167.3,161.4,161.79,1085038.0,163.494,7617
2020-08-12,162.99,166.16,162.62,165.2,620125.0,165.095,4583
2020-08-13,164.7,165.39,163.6,164.36,626099.0,164.305,4774
2020-08-14,164.34,165.88,163.63,164.63,557048.0,164.915,4560
2020-08-17,164.76,166.32,164.41,166.06,628425.0,165.486,4461
2020-08-18,165.73,168.21,165.34,166.0,593552.0,166.602,3831
2020-08-19,167.13,167.41,162.28,162.64,855709.0,163.362,5603
2020-08-20,160.0,163.75,160.0,162.88,807101.0,162.428,5680
2020-08-21,163.5,163.62,161.43,163.17,656010.0,162.806,4513
2020-08-24,163.1,163.19,159.0,161.01,615154.0,160.29,4264
2020-08-25,161.06,161.6,159.69,160.69,938599.0,160.658,6503
2020-08-26,160.07,161.42,158.89,160.97,1170195.0,159.91,7508
2020-08-27,161.5,163.61,161.38,163.42,1140697.0,162.423,7120
2020-08-28,163.3,164.04,161.7,163.79,948050.0,162.816,6337
2020-08-31,163.11,164.03,162.53,163.25,670280.0,163.314,4603
2020-09-01,162.51,163.05,160.36,162.1,710086.0,161.338,3948
2020-09-02,161.16,166.72,160.51,166.28,993596.0,164.888,6555
2020-09-03,166.5,166.82,160.58,161.71,973258.0,162.538,6712
2020-09-04,161.28,162.27,157.0,160.59,1222434.0,159.974,8564
2020-09-08,159.81,161.44,157.62,158.5,1933317.0,159.695,10834
2020-09-09,159.91,163.53,159.74,161.29,920863.0,161.745,6620
2020-09-10,160.67,161.09,158.65,158.76,1181964.0,159.397,7488
2020-09-11,159.38,160.3,157.76,158.59,838073.0,159.321,5116
2020-09-14,158.24,160.86,158.22,160.16,625256.0,159.802,4821
2020-09-15,160.51,165.1,160.31,163.46,856430.0,163.846,6150
2020-09-16,164.94,167.79,164.16,166.17,971884.0,166.629,6714
2020-09-17,164.51,165.55,161.39,162.65,890083.0,162.793,5817
2020-09-18,162.23,162.62,158.92,159.68,1577969.0,160.957,8495
2020-09-21,159.23,159.5,156.07,157.58,1309047.0,157.791,8284
2020-09-22,157.1,160.89,157.05,159.98,1188870.0,159.87,7209
2020-09-23,158.6,158.99,155.01,155.62,1701436.0,157.058,9689
2020-09-24,156.53,159.26,155.65,157.4,1551423.0,157.723,9479
2020-09-25,156.4,161.86,156.12,161.71,1198552.0,159.419,7135
2020-09-28,163.89,164.75,161.83,163.59,936400.0,163.514,6977
2020-09-29,163.21,164.5,162.38,164.18,749403.0,163.684,5168
2020-09-30,164.8,167.0,164.35,166.5,1258134.0,166.013,8230
2020-10-01,166.75,168.3,164.93,168.01,835861.0,167.01,6546
2020-10-02,166.91,169.3,166.1,168.62,683579.0,168.245,5483
2020-10-05,168.62,169.0,165.28,168.66,673053.0,167.607,5398
2020-10-06,168.75,168.75,164.44,165.09,1109575.0,165.969,8319
2020-10-07,166.2,166.5,164.18,164.92,706756.0,165.246,4976
2020-10-08,165.75,169.31,165.34,165.78,634689.0,166.038,4459
2020-10-09,166.6,167.63,164.88,167.36,607758.0,166.453,4450
2020-10-12,168.23,168.5,166.52,168.23,612010.0,167.942,4715
2020-10-13,168.09,168.09,165.94,166.8,920318.0,167.106,4813
2020-10-14,167.17,167.49,164.5,165.03,657731.0,165.544,4434
2020-10-15,164.16,168.5,163.45,168.14,564219.0,167.253,4240
2020-10-16,167.04,168.45,166.36,166.9,668840.0,167.598,4479
2020-10-19,168.25,168.75,163.75,164.32,894499.0,165.93,6911
2020-10-20,164.67,165.64,162.26,164.46,1254392.0,164.573,8294
2020-10-21,162.92,165.45,162.75,163.79,888025.0,163.989,6472
2020-10-22,162.64,163.34,154.61,156.25,2381267.0,157.557,15237
2020-10-23,156.39,158.99,155.0,158.47,1009371.0,157.774,7603
2020-10-26,157.7,160.43,156.67,159.92,860202.0,159.146,6324
2020-10-27,160.19,162.35,160.12,160.61,1056621.0,161.385,7701
2020-10-28,158.5,160.08,156.5,156.85,895903.0,157.549,6300
2020-10-29,158.81,159.61,156.22,157.71,795022.0,157.699,5786
2020-10-30,156.64,157.59,154.08,156.2,690301.0,155.387,5030
2020-11-02,157.45,160.81,156.93,159.48,683673.0,159.16,5315
2020-11-03,160.79,162.4,159.14,160.35,706007.0,160.938,5297
2020-11-04,159.63,165.46,159.56,162.13,1017521.0,163.421,7224
2020-11-05,163.72,164.45,161.61,162.92,717423.0,163.093,5173
2020-11-06,163.41,165.28,162.11,164.07,498050.0,163.611,3763
2020-11-09,167.17,169.42,161.45,161.78,1326345.0,165.798,10107
2020-11-10,161.78,162.08,157.67,160.42,1598741.0,159.258,11364
2020-11-11,161.74,167.29,160.97,164.64,787413.0,165.28,5795
2020-11-12,164.32,167.13,164.0,166.95,1246193.0,166.111,8673
2020-11-13,167.75,168.37,165.64,168.01,852433.0,167.182,6068
2020-11-16,169.27,169.42,164.5,165.42,1464253.0,165.831,8787
2020-11-17,165.1,166.89,164.5,166.34,1295607.0,166.07,8401
2020-11-18,166.29,172.13,165.95,170.65,2094704.0,170.498,13054
2020-11-19,170.33,170.34,167.17,168.09,1207882.0,168.458,8170
2020-11-20,168.11,168.84,166.25,166.97,966438.0,167.464,7402
2020-11-23,167.5,167.89,165.09,166.36,1160270.0,166.572,7489
2020-11-24,167.8,168.27,164.01,164.25,1111181.0,165.996,7845
2020-11-25,164.25,166.5,163.51,164.96,875802.0,164.571,6414
2020-11-27,165.31,167.17,164.73,167.17,469388.0,166.364,3564
2020-11-30,167.0,167.75,164.01,167.57,969910.0,166.061,7581
2020-12-01,168.0,170.9,167.75,170.8,1635712.0,169.279,10116
2020-12-02,170.04,170.56,166.32,166.84,817969.0,167.699,5847
2020-12-03,166.2,168.58,166.2,167.44,1115764.0,167.233,6024
2020-12-04,167.92,167.95,163.03,163.5,1589888.0,164.698,10966
2020-12-07,164.2,164.78,161.35,162.45,1100665.0,162.445,7797
2020-12-08,162.8,163.75,161.02,161.33,1307750.0,161.808,8103
2020-12-09,160.54,160.94,156.88,158.39,1948575.0,158.02,11580
2020-12-10,158.15,159.55,156.5,157.22,1389200.0,157.76,8751
2020-12-11,158.44,158.9,156.14,157.68,1801947.0,157.229,11599
2020-12-14,157.91,158.9,154.92,155.19,1671658.0,156.365,10985
2020-12-15,155.58,156.01,154.35,155.41,2089627.0,154.906,12984
2020-12-16,155.88,157.25,153.52,154.12,3068015.0,154.418,15695
2020-12-17,156.28,157.53,155.02,155.75,3096057.0,155.914,17363
2020-12-18,154.94,155.8,152.08,153.81,2733008.0,153.463,14173
2020-12-21,152.45,153.6,151.21,153.26,1195301.0,152.758,7934
2020-12-22,153.0,154.3,152.0,153.49,995500.0,153.351,6715
2020-12-23,154.28,155.38,152.41,152.46,1134272.0,153.984,8133
2020-12-24,152.88,154.29,152.58,154.0,299731.0,153.467,2089
2020-12-28,154.34,156.32,153.43,156.25,1124309.0,155.371,6708
2020-12-29,157.0,157.98,155.18,155.81,1179577.0,156.142,7749
2020-12-30,155.99,157.19,155.69,156.39,733982.0,156.326,5188
2020-12-31,155.8,159.36,155.2,159.19,840753.0,157.481,5719
2021-01-04,158.35,159.06,154.37,155.0,1143792.0,155.938,8280
2021-01-05,155.21,157.04,154.9,155.61,1298758.0,156.0,8012
2021-01-06,154.84,154.84,151.34,151.43,1586561.0,152.626,9923
2021-01-07,151.11,153.26,150.76,152.45,1410948.0,152.506,8794
2021-01-08,153.82,155.13,153.35,154.06,1208342.0,154.141,8325
2021-01-11,153.76,154.74,151.96,153.06,1002766.0,153.026,6826
2021-01-12,152.41,152.99,149.13,150.46,1409645.0,150.453,9161
2021-01-13,150.41,152.95,150.35,152.69,954066.0,152.057,5883
2021-01-14,154.09,156.12,152.42,154.76,2187346.0,154.661,12192
2021-01-15,154.78,157.96,154.02,157.25,1644336.0,156.244,9319
2021-01-19,158.87,160.0,157.02,159.39,1877217.0,158.944,12037
2021-01-20,159.56,161.46,158.27,159.06,956004.0,159.923,6767
2021-01-21,158.15,159.79,157.11,159.34,835228.0,158.814,5696
2021-01-22,158.9,159.67,157.96,158.92,733861.0,159.14,5219
2021-01-25,160.05,162.31,159.51,160.89,1100427.0,160.978,7002
2021-01-26,160.56,164.3,159.62,163.45,1345954.0,162.954,8140
2021-01-27,162.77,163.0,159.11,159.88,1158673.0,160.786,7714
2021-01-28,157.45,160.92,156.87,158.13,1464536.0,158.685,9812
2021-01-29,156.13,159.9,155.11,159.26,1523442.0,157.706,10309
2021-02-01,160.0,164.54,158.04,164.27,1061962.0,163.007,7844
2021-02-02,165.08,167.11,164.25,165.61,895510.0,165.961,6329
2021-02-03,164.56,165.0,161.36,163.16,1054179.0,163.114,6804
2021-02-04,162.63,164.65,161.23,163.13,921346.0,163.479,6560
2021-02-05,163.5,163.58,161.92,162.26,1276851.0,162.561,8314
2021-02-08,161.98,162.04,157.2,160.9,1556120.0,159.62,10062
2021-02-09,161.43,164.37,161.11,163.99,2074774.0,163.254,12378
2021-02-10,164.81,165.48,162.88,163.08,879903.0,163.719,6107
2021-02-11,161.9,163.71,160.85,162.0,1754181.0,162.144,7382
2021-02-12,162.35,164.7,161.51,164.46,1516682.0,163.273,9151
2021-02-16,164.32,164.89,160.67,161.96,1928180.0,161.981,12785
2021-02-17,161.11,163.38,161.0,163.13,1016454.0,162.282,6674
2021-02-18,162.94,165.31,162.5,164.9,1156776.0,164.362,8515
2021-02-19,165.44,166.39,164.77,165.8,2496104.0,165.809,12928
2021-02-22,165.01,166.29,163.22,165.32,2353377.0,164.701,15396
2021-02-23,166.3,166.3,161.64,161.64,1842777.0,163.082,11864
2021-02-24,161.0,162.11,160.27,161.2,989725.0,161.199,6848
2021-02-25,161.02,162.7,157.89,159.61,1609472.0,159.871,12119
2021-02-26,160.0,160.5,155.63,155.75,1574273.0,157.799,10842
2021-03-01,156.34,157.98,153.61,153.73,1343606.0,155.327,9725
2021-03-02,153.82,154.5,151.77,153.16,1185247.0,153.422,8383
2021-03-03,153.37,153.44,148.5,148.52,1600729.0,150.445,11085
2021-03-04,148.96,152.83,148.55,149.13,1778109.0,150.118,13180
2021-03-05,149.94,151.01,146.14,150.15,2703518.0,148.639,16309
2021-03-08,150.1,150.89,146.43,146.77,2486925.0,148.896,15960
2021-03-09,148.39,151.76,148.2,151.04,1593269.0,150.542,10936
2021-03-10,151.44,152.64,150.0,151.94,1115381.0,151.799,7929
2021-03-11,152.5,156.63,152.22,155.74,1655541.0,155.265,11561
2021-03-12,153.83,158.86,152.96,158.68,1688634.0,156.734,10888
2021-03-15,158.24,162.02,157.75,161.54,1533209.0,160.59,10759
2021-03-16,161.99,165.62,161.16,165.05,1522141.0,164.422,10684
2021-03-17,164.79,166.0,163.26,164.96,1200916.0,164.635,8594
2021-03-18,163.9,165.71,162.1,165.19,1004395.0,164.147,7163
2021-03-19,165.45,168.34,164.49,165.62,2180004.0,166.778,13091
2021-03-22,165.62,169.8,165.61,167.89,1434037.0,168.223,10155
2021-03-23,167.91,170.16,166.68,168.69,1188823.0,168.872,8024
2021-03-24,168.08,169.0,165.57,167.68,843427.0,167.647,6559
2021-03-25,167.58,168.2,166.4,167.49,825312.0,167.277,5986
2021-03-26,169.29,173.48,167.82,173.29,1123727.0,170.869,7889
2021-03-29,173.29,175.34,171.73,175.03,1449873.0,174.23,9195
2021-03-30,173.85,173.85,170.75,170.99,1218380.0,171.508,7764
2021-03-31,170.99,172.89,169.81,172.13,1129242.0,171.634,8223
2021-04-01,173.01,174.59,171.68,174.46,946214.0,172.932,7315
2021-04-05,174.86,177.71,174.49,177.44,836528.0,176.173,6338
2021-04-06,177.44,177.44,174.88,176.62,672009.0,176.01,5109
2021-04-07,176.59,177.29,174.89,176.26,788345.0,175.93,5601
2021-04-08,177.31,178.12,175.68,175.75,788320.0,176.782,5723
2021-04-09,175.3,176.61,174.38,175.24,571385.0,175.231,4215
2021-04-12,175.5,177.62,174.78,177.54,732245.0,176.439,5131
2021-04-13,177.23,179.33,176.61,177.11,709842.0,177.533,5102
2021-04-14,177.12,178.67,175.35,175.69,789934.0,176.339,5873
2021-04-15,176.71,179.64,176.59,179.47,1245961.0,178.371,7948
