date,open,high,low,close,volume,average,barCount
2020-07-13,101.63,102.08,98.05,98.21,1416882.0,100.438,11556
2020-07-14,97.0,99.22,95.23,99.03,1241058.0,97.595,9763
2020-07-15,99.83,100.0,97.92,99.11,1018440.0,99.011,8745
2020-07-16,98.65,99.1,97.27,98.68,667917.0,98.376,5880
2020-07-17,99.04,100.68,98.25,100.23,1481628.0,99.586,8762
2020-07-20,100.67,104.34,99.91,103.7,1457554.0,102.785,10921
2020-07-21,106.54,106.54,102.64,103.58,1357080.0,104.038,10647
2020-07-22,104.28,105.14,102.8,103.67,810695.0,103.745,7000
2020-07-23,103.42,105.89,102.35,102.94,998220.0,103.962,8505
2020-07-24,101.99,103.36,100.63,102.59,1384926.0,102.172,10807
2020-07-27,103.62,105.41,103.32,105.27,854122.0,104.631,6840
2020-07-28,105.44,105.99,103.88,104.05,700266.0,104.849,5464
2020-07-29,104.38,107.0,104.38,105.97,1584283.0,106.02,10287
2020-07-30,104.41,108.04,104.41,107.65,933580.0,106.807,6910
2020-07-31,108.29,109.26,106.08,109.25,872059.0,107.808,7352
2020-08-03,109.75,112.32,109.7,111.77,1082981.0,111.385,8353
2020-08-04,111.53,112.0,108.45,109.14,1282410.0,109.671,9622
2020-08-05,109.84,110.93,109.17,109.65,629380.0,110.069,5364
2020-08-06,109.26,110.7,108.65,110.52,568262.0,109.977,4576
2020-08-07,110.41,110.8,107.38,108.53,774707.0,109.018,6471
2020-08-10,108.35,108.35,105.64,107.19,1198248.0,106.96,8851
2020-08-11,106.55,107.0,104.68,105.18,855016.0,105.909,6880
2020-08-12,105.37,108.14,104.8,107.28,687920.0,107.225,5161
2020-08-13,107.63,109.7,107.27,108.66,555083.0,108.793,4259
2020-08-14,108.99,109.65,107.53,108.0,386726.0,108.272,2682
2020-08-17,108.43,109.91,108.11,109.52,553380.0,109.308,4388
2020-08-18,109.78,110.46,108.42,109.15,579961.0,109.259,4007
2020-08-19,109.04,109.59,107.4,108.53,620433.0,108.574,4459
2020-08-20,108.12,111.63,107.97,111.26,597254.0,110.346,4618
2020-08-21,111.08,111.2,109.31,110.57,773962.0,110.368,5629
2020-08-24,111.78,113.04,110.59,111.28,539507.0,111.425,3798
2020-08-25,111.37,111.99,110.72,111.26,641936.0,111.2,5110
2020-08-26,112.0,113.97,111.56,112.67,712077.0,112.832,5738
2020-08-27,113.26,113.47,109.08,109.36,1242563.0,110.012,10564
2020-08-28,110.5,111.36,109.87,110.86,555292.0,110.608,4723
2020-08-31,110.35,112.0,110.21,110.91,699444.0,110.825,5430
2020-09-01,111.26,114.03,110.89,113.98,884589.0,112.822,6286
2020-09-02,114.58,117.59,113.59,117.09,978922.0,115.656,7514
2020-09-03,114.87,115.3,107.1,108.06,1498508.0,109.588,10370
2020-09-04,108.28,108.53,102.0,105.88,1263502.0,105.314,9724
2020-09-08,100.0,103.71,98.15,100.44,1228093.0,101.402,9758
2020-09-09,102.39,105.11,101.2,104.34,802149.0,103.332,6444
2020-09-10,104.7,105.81,101.54,102.22,635157.0,103.679,5141
2020-09-11,103.1,103.81,100.27,101.51,621656.0,101.947,4864
2020-09-14,102.88,104.04,102.03,103.23,736547.0,103.233,5924
2020-09-15,104.45,105.88,104.44,105.23,605134.0,105.189,4673
2020-09-16,105.72,106.21,102.44,102.55,512475.0,104.046,4577
2020-09-17,99.35,101.49,99.04,101.15,1291263.0,100.418,9998
2020-09-18,101.86,101.96,98.64,99.76,1501551.0,100.259,10102
2020-09-21,98.75,102.13,97.45,102.1,1267419.0,100.596,8632
2020-09-22,103.39,103.39,100.52,102.83,753029.0,101.852,5331
2020-09-23,102.31,102.83,99.23,99.72,525459.0,101.096,4563
2020-09-24,98.86,103.1,98.47,102.12,896669.0,101.825,7165
2020-09-25,102.0,104.13,100.88,103.72,1321970.0,103.09,9231
2020-09-28,105.05,105.33,103.83,105.25,823724.0,104.707,7034
2020-09-29,105.82,106.94,105.65,105.78,725831.0,106.239,6014
2020-09-30,105.35,107.96,105.3,106.63,727282.0,106.918,6627
2020-10-01,107.85,109.31,107.59,108.63,1052423.0,108.634,8684
2020-10-02,106.5,107.47,104.48,105.32,673237.0,105.826,5503
2020-10-05,105.96,107.65,105.96,107.46,425380.0,107.11,3328
2020-10-06,107.0,108.0,105.19,105.52,539170.0,106.534,4555
2020-10-07,106.66,108.99,105.79,108.44,540684.0,107.902,4030
2020-10-08,109.41,109.55,107.93,109.32,280278.0,108.959,2318
2020-10-09,110.07,112.3,109.85,111.93,467796.0,111.547,3526
2020-10-12,114.26,116.38,113.05,115.56,723106.0,114.979,5864
2020-10-13,116.46,117.87,115.29,116.77,613883.0,116.841,4645
2020-10-14,117.0,118.22,115.8,116.97,858713.0,117.039,6123
2020-10-15,115.0,116.55,114.0,115.96,875468.0,115.579,6567
2020-10-16,116.82,117.5,114.56,115.69,610485.0,116.191,4523
2020-10-19,115.51,117.1,112.91,113.56,760243.0,114.822,5607
2020-10-20,115.35,116.0,112.0,112.61,1258260.0,113.496,9799
2020-10-21,112.61,113.96,111.21,111.23,830150.0,112.24,6489
2020-10-22,111.67,112.06,108.75,109.32,798736.0,109.865,6420
2020-10-23,109.73,112.1,109.06,112.05,581455.0,111.057,4923
2020-10-26,110.31,112.22,108.11,109.88,468114.0,109.436,3727
2020-10-27,111.0,112.2,109.68,109.84,468066.0,110.645,3765
2020-10-28,108.05,109.39,105.93,107.64,1190258.0,107.702,9256
2020-10-29,107.65,111.51,107.58,110.21,726722.0,110.102,6219
2020-10-30,108.82,110.74,108.13,109.37,1284525.0,109.154,10911
2020-11-02,109.83,112.32,109.53,110.51,1041353.0,110.75,8185
2020-11-03,111.55,114.16,111.09,113.59,863227.0,113.532,7240
2020-11-04,117.45,121.4,115.8,120.99,1408199.0,119.685,10054
2020-11-05,123.79,124.68,122.35,124.07,1232107.0,123.551,7356
2020-11-06,124.15,126.27,122.25,125.5,837007.0,124.994,5353
2020-11-09,126.46,127.5,118.44,118.57,1293623.0,122.334,9088
2020-11-10,115.94,116.38,111.4,112.39,1166907.0,113.24,8918
2020-11-11,114.53,117.83,114.53,116.68,847617.0,116.712,5759
2020-11-12,117.14,118.14,114.04,114.56,831664.0,115.367,7033
2020-11-13,115.62,116.53,114.74,115.82,445646.0,115.52,3512
2020-11-16,115.0,116.37,113.95,114.86,651232.0,114.828,5018
2020-11-17,115.0,115.16,113.27,113.48,684368.0,113.74,4775
2020-11-18,113.25,113.44,110.84,111.03,839780.0,111.883,6318
2020-11-19,111.66,113.12,110.44,112.6,1394405.0,112.356,8597
2020-11-20,112.97,114.88,112.58,112.79,897088.0,113.696,5926
2020-11-23,113.52,113.98,109.65,111.25,541891.0,111.315,3646
2020-11-24,111.33,111.54,109.2,110.74,888818.0,110.543,6388
2020-11-25,112.07,113.27,111.41,113.04,674001.0,112.579,4450
2020-11-27,113.67,116.89,113.67,116.58,564127.0,115.928,4260
2020-11-30,116.97,117.34,114.66,116.3,921364.0,115.815,6640
2020-12-01,116.63,117.07,114.59,115.65,1125791.0,115.595,8258
2020-12-02,114.95,116.79,113.84,116.43,659832.0,115.916,4429
2020-12-03,115.92,118.58,115.3,116.68,747950.0,117.308,5251
2020-12-04,116.74,119.21,116.61,118.34,641410.0,118.278,4568
2020-12-07,118.85,120.16,118.51,119.02,516958.0,119.298,3841
2020-12-08,119.13,119.41,117.3,118.41,550068.0,117.97,4184
2020-12-09,120.72,121.78,114.82,115.49,704755.0,117.439,4957
2020-12-10,114.52,117.95,113.8,117.45,443129.0,116.83,3530
2020-12-11,117.23,118.83,116.66,118.52,476822.0,117.94,3585
2020-12-14,118.41,122.02,118.33,121.31,799316.0,121.2,5878
2020-12-15,122.05,124.22,122.05,122.82,1089754.0,122.953,8019
2020-12-16,123.86,125.97,123.79,125.4,897188.0,125.113,6758
2020-12-17,126.02,127.37,125.14,127.3,757178.0,126.54,5447
2020-12-18,127.32,132.26,126.58,132.02,1522783.0,129.82,9655
2020-12-21,130.88,131.9,128.1,131.73,716688.0,130.424,4851
2020-12-22,131.88,134.91,131.43,134.37,739625.0,133.867,5360
2020-12-23,134.86,135.99,132.72,133.06,669643.0,133.8,4594
2020-12-24,133.49,134.62,132.63,134.0,188375.0,133.621,1425
2020-12-28,135.58,136.0,133.53,134.76,424131.0,134.531,3114
2020-12-29,135.14,135.75,133.29,133.98,505567.0,134.152,3974
2020-12-30,134.71,136.06,134.07,135.25,562676.0,135.317,3844
2020-12-31,135.42,136.84,135.3,136.43,278660.0,136.055,2032
2021-01-04,136.85,138.31,133.51,135.76,1466285.0,136.144,10358
2021-01-05,136.74,137.33,135.0,136.14,834082.0,136.023,6928
2021-01-06,132.34,133.41,129.91,130.64,1201989.0,132.056,9189
2021-01-07,132.14,137.49,131.74,137.05,935316.0,135.435,6325
2021-01-08,136.65,138.55,134.1,136.19,1292086.0,135.934,7994
2021-01-11,133.9,136.31,132.83,134.69,1209094.0,134.864,8064
2021-01-12,134.9,135.05,132.63,133.72,779282.0,133.763,5826
2021-01-13,134.03,135.17,132.15,134.12,586872.0,133.96,4724
2021-01-14,134.38,136.02,133.82,135.4,918632.0,135.212,6955
2021-01-15,135.15,136.15,132.93,134.64,580519.0,134.739,3625
2021-01-19,135.83,137.98,134.85,137.62,470991.0,136.82,3637
2021-01-20,138.18,142.11,138.12,140.1,696228.0,140.633,4999
2021-01-21,140.95,141.25,138.2,138.62,630052.0,139.099,4784
2021-01-22,138.99,140.4,137.04,137.42,758024.0,138.624,5110
2021-01-25,138.81,139.4,134.31,135.9,567277.0,136.269,4375
2021-01-26,135.74,135.97,133.53,133.83,472340.0,134.618,3716
2021-01-27,132.41,133.96,127.55,128.43,1154693.0,130.663,9371
2021-01-28,129.74,135.07,129.55,132.95,843843.0,133.18,6376
2021-01-29,132.42,133.15,130.04,130.39,929127.0,131.476,7227
2021-02-01,131.98,134.98,130.97,134.4,753927.0,133.591,6088
2021-02-02,135.33,136.46,134.81,135.72,655703.0,135.757,5120
2021-02-03,136.0,136.32,134.07,134.82,884330.0,135.293,6652
2021-02-04,135.22,137.25,134.87,137.1,812416.0,136.046,6060
2021-02-05,137.44,138.95,135.52,135.8,1044919.0,136.366,7148
2021-02-08,137.17,138.43,136.66,137.58,576554.0,137.355,4414
2021-02-09,137.56,139.87,137.02,139.49,443160.0,138.948,3747
2021-02-10,140.2,140.97,137.52,137.86,618369.0,138.734,4825
2021-02-11,139.53,144.06,138.81,143.97,649840.0,142.439,4932
2021-02-12,143.52,145.92,142.63,145.68,720139.0,144.381,5046
2021-02-16,147.66,149.08,145.66,145.99,747346.0,147.282,5736
