date,open,high,low,close,volume,average,barCount
2020-07-13,115.11,115.12,112.46,112.58,432466.0,113.533,3600
2020-07-14,111.26,114.56,110.98,114.4,328489.0,113.312,2819
2020-07-15,115.69,118.27,114.92,117.7,344099.0,116.968,2973
2020-07-16,117.12,117.41,116.12,116.7,293813.0,116.773,2402
2020-07-17,117.16,119.62,116.55,118.51,325476.0,118.399,2369
2020-07-20,117.74,118.36,115.75,118.18,275515.0,117.327,2305
2020-07-21,117.38,119.72,116.22,117.0,362568.0,117.688,2820
2020-07-22,117.8,119.72,117.61,119.08,299943.0,118.74,1640
2020-07-23,119.28,121.48,118.28,118.79,234257.0,119.742,1971
2020-07-24,118.02,118.29,113.72,114.56,644622.0,115.176,3632
2020-07-27,115.28,116.54,114.26,116.3,458183.0,115.452,2921
2020-07-28,115.54,116.79,113.68,113.85,280035.0,115.126,2005
2020-07-29,113.76,116.01,113.36,115.64,314396.0,114.425,2390
2020-07-30,113.36,115.84,112.4,115.69,288549.0,114.664,2498
2020-07-31,115.32,116.4,113.55,116.25,339513.0,114.998,2985
2020-08-03,116.68,118.42,116.05,117.46,280292.0,117.665,2297
2020-08-04,116.96,119.83,116.69,119.52,705282.0,118.833,4282
2020-08-05,121.93,121.93,115.46,116.75,898694.0,117.123,5848
2020-08-06,115.9,117.95,114.42,114.79,461631.0,115.537,3463
2020-08-07,113.74,114.85,112.85,114.77,375305.0,114.066,3186
2020-08-10,114.23,115.01,112.98,113.0,417164.0,113.591,3042
2020-08-11,114.41,119.95,113.91,117.21,711871.0,117.503,5226
2020-08-12,118.5,118.5,116.28,116.61,415439.0,116.902,2922
2020-08-13,115.89,116.02,113.8,114.58,247479.0,114.589,2037
2020-08-14,113.59,113.86,112.81,113.52,303448.0,113.423,2012
2020-08-17,114.01,115.12,113.39,113.62,205714.0,114.165,1562
2020-08-18,113.98,114.33,110.77,110.98,409085.0,111.52,3173
2020-08-19,110.86,112.94,110.79,111.99,336220.0,111.642,2431
2020-08-20,111.31,113.14,111.03,112.32,318047.0,112.479,2727
2020-08-21,112.0,112.07,110.53,111.15,290813.0,111.204,2121
2020-08-24,111.69,113.39,111.35,112.29,318527.0,112.303,2269
2020-08-25,112.52,113.49,111.16,112.15,285157.0,111.722,2291
2020-08-26,111.98,112.24,110.09,111.17,318840.0,111.12,2568
2020-08-27,112.65,115.56,111.83,114.84,653664.0,114.24,5253
2020-08-28,114.87,115.84,113.76,115.34,302157.0,114.975,2502
2020-08-31,115.01,115.01,112.71,113.65,285532.0,113.67,2523
2020-09-01,112.74,113.48,110.13,112.59,685278.0,112.166,5327
2020-09-02,114.29,117.86,112.95,117.53,695551.0,115.819,5437
