date,open,high,low,close,volume,average,barCount
2020-07-13,29.42,30.21,29.25,29.75,2134737.0,29.793,14161
2020-07-14,29.58,30.07,29.07,29.64,1814677.0,29.441,12603
2020-07-15,30.39,31.19,30.27,30.64,1621813.0,30.794,11086
2020-07-16,30.47,30.63,29.82,29.96,1065299.0,30.081,7577
2020-07-17,30.08,30.87,30.07,30.36,1175142.0,30.44,8180
2020-07-20,30.2,30.36,29.08,29.16,1067343.0,29.407,7706
2020-07-21,29.34,30.12,29.34,29.8,1279477.0,29.882,8541
2020-07-22,29.56,30.3,29.39,30.23,1108853.0,30.104,7367
2020-07-23,30.16,30.97,29.67,30.38,1090236.0,30.413,7968
2020-07-24,30.49,30.98,30.17,30.58,1087611.0,30.537,7875
2020-07-27,30.54,31.75,30.51,31.36,1644199.0,31.213,9905
2020-07-28,31.03,31.12,30.03,30.22,1679418.0,30.332,11017
2020-07-29,30.48,31.48,30.36,31.36,1927927.0,31.145,13558
2020-07-30,30.78,31.13,30.09,30.81,1757491.0,30.797,11160
2020-07-31,30.74,31.58,30.56,31.33,4003830.0,31.08,24992
2020-08-03,31.43,31.94,31.38,31.45,2581458.0,31.673,17430
2020-08-04,31.94,32.84,31.76,32.38,2953341.0,32.472,17331
2020-08-05,32.86,33.2,32.63,32.92,2880726.0,32.95,17422
2020-08-06,33.81,34.48,33.34,33.39,2809006.0,33.828,17034
2020-08-07,34.25,34.25,32.68,33.13,3240388.0,33.092,22542
2020-08-10,33.6,35.14,33.45,34.88,3039646.0,34.576,19480
2020-08-11,35.67,36.12,35.12,35.49,2277567.0,35.649,16085
2020-08-12,35.91,36.11,34.59,34.88,1685629.0,34.989,12000
2020-08-13,34.59,35.17,34.43,34.96,1306257.0,34.925,9456
2020-08-14,34.64,35.12,34.48,35.1,1567224.0,34.912,10344
2020-08-17,35.18,35.48,34.3,34.38,1451833.0,34.529,9132
2020-08-18,34.33,34.88,33.94,34.49,1460712.0,34.334,10317
2020-08-19,34.35,34.62,33.4,33.58,1528549.0,33.791,10811
