date,open,high,low,close,volume,average,barCount
2020-07-13,82.88,84.79,81.76,82.13,1844049.0,82.948,11756
2020-07-14,82.06,84.5,82.06,84.48,1372699.0,83.694,9863
2020-07-15,84.48,85.31,83.89,84.6,870794.0,84.643,6515
2020-07-16,83.39,84.66,81.74,84.2,1318633.0,83.737,9340
2020-07-17,84.63,85.36,84.21,84.87,1106725.0,84.916,8315
2020-07-20,84.7,85.07,83.9,84.29,683626.0,84.34,4572
2020-07-21,84.65,85.4,83.73,84.5,1036588.0,84.549,8440
2020-07-22,84.9,85.16,83.96,85.14,649365.0,84.688,5273
2020-07-23,85.78,86.95,85.69,86.22,908828.0,86.464,7071
2020-07-24,86.27,86.59,85.13,85.87,710806.0,85.816,5751
2020-07-27,86.18,87.5,85.92,87.17,701254.0,86.927,4387
2020-07-28,87.45,88.81,87.11,88.21,704659.0,88.265,5024
2020-07-29,88.22,89.56,87.81,89.31,856944.0,89.043,7040
2020-07-30,89.3,90.45,88.68,90.06,1702907.0,90.005,7570
2020-07-31,93.77,96.4,92.04,96.33,3014272.0,94.626,16977
2020-08-03,95.19,95.86,91.86,93.41,2178844.0,93.707,15137
2020-08-04,92.96,96.4,92.56,96.05,1278636.0,95.14,8814
2020-08-05,96.1,96.72,95.44,95.83,713893.0,95.931,5682
2020-08-06,95.75,96.19,94.85,95.12,684485.0,95.262,5043
2020-08-07,95.14,95.8,94.14,94.96,789775.0,94.736,6091
2020-08-10,95.0,95.19,94.15,94.78,475536.0,94.719,3266
2020-08-11,94.54,94.54,92.25,92.71,762867.0,92.81,5155
2020-08-12,93.27,95.34,92.95,94.83,558983.0,94.752,3865
2020-08-13,94.32,94.81,93.61,94.75,494159.0,94.395,3644
2020-08-14,94.94,94.94,93.99,94.26,395065.0,94.398,2297
2020-08-17,94.22,96.25,93.75,95.79,1009155.0,95.7,5935
2020-08-18,96.03,96.68,95.34,96.46,1300255.0,96.279,5838
2020-08-19,96.61,97.15,95.78,96.29,548342.0,96.553,4241
2020-08-20,96.14,96.72,95.55,96.54,413588.0,96.436,3249
2020-08-21,96.89,96.99,95.95,96.5,603260.0,96.481,4114
2020-08-24,96.17,96.64,95.6,96.63,341439.0,96.235,2504
2020-08-25,96.8,96.83,95.92,96.1,432615.0,96.324,3078
2020-08-26,95.69,96.45,95.14,95.91,474979.0,96.013,3868
2020-08-27,96.35,97.02,95.77,96.1,505781.0,96.33,3654
2020-08-28,95.64,96.35,94.08,94.91,673328.0,94.719,5172
