date,open,high,low,close,volume,average,barCount
2020-07-13,82.67,82.68,81.78,82.06,856665.0,82.279,6457
2020-07-14,82.48,83.94,82.11,83.79,783634.0,83.296,6447
2020-07-15,84.24,85.59,84.0,84.91,930200.0,84.996,7873
2020-07-16,84.35,86.08,84.23,85.91,824792.0,85.397,6413
2020-07-17,85.6,86.96,84.87,86.28,926674.0,86.311,7426
2020-07-20,86.29,86.67,85.03,85.3,662065.0,85.712,5035
2020-07-21,85.37,86.19,85.26,85.58,486254.0,85.746,4201
2020-07-22,85.54,86.25,84.72,85.2,496102.0,85.254,4097
2020-07-23,85.28,85.64,84.74,85.23,492085.0,85.152,4323
2020-07-24,85.53,86.37,85.01,86.07,565882.0,86.018,4586
2020-07-27,85.97,88.37,85.97,87.7,1033762.0,87.77,8100
2020-07-28,87.84,88.49,87.04,87.15,1604161.0,87.714,11599
2020-07-29,92.31,99.22,91.75,95.28,4035002.0,96.314,27775
2020-07-30,94.38,96.56,92.45,93.56,1584579.0,93.619,12983
2020-07-31,93.54,93.89,91.81,93.72,1093563.0,93.034,8274
2020-08-03,93.71,94.5,91.86,93.54,1126432.0,93.374,8109
2020-08-04,92.97,95.79,92.17,95.46,1612997.0,94.515,12234
2020-08-05,96.24,96.49,94.42,95.51,832709.0,95.339,6679
2020-08-06,94.63,95.47,94.2,95.16,381200.0,95.018,3122
2020-08-07,95.16,96.67,94.01,95.79,850399.0,95.591,6095
2020-08-10,96.35,96.98,95.72,96.64,528103.0,96.382,3824
2020-08-11,96.98,97.49,95.11,95.3,565630.0,95.999,4694
2020-08-12,96.17,96.86,95.51,95.68,826172.0,96.17,5997
2020-08-13,95.42,95.8,94.46,95.12,602477.0,94.996,4798
2020-08-14,95.62,96.01,94.69,95.08,587062.0,95.23,4567
2020-08-17,93.73,95.93,93.53,95.28,619830.0,95.02,4854
2020-08-18,95.49,95.65,94.6,94.96,457709.0,95.16,3483
2020-08-19,95.2,95.89,94.67,95.43,389221.0,95.443,3021
2020-08-20,95.2,96.64,94.92,96.53,689195.0,96.052,4921
2020-08-21,96.17,96.85,95.68,96.49,578097.0,96.371,4352
2020-08-24,96.95,97.19,95.75,96.98,454157.0,96.554,3483
2020-08-25,97.33,97.75,96.21,96.55,391272.0,96.651,3118
2020-08-26,96.27,97.5,95.95,97.28,399153.0,97.075,3039
2020-08-27,97.91,98.98,97.15,98.26,917916.0,98.468,6896
2020-08-28,98.31,98.88,97.6,98.73,664297.0,98.361,5213
2020-08-31,98.69,99.67,97.8,98.3,735532.0,98.315,4952
2020-09-01,98.26,99.34,97.59,99.22,472946.0,98.823,3676
2020-09-02,99.31,99.93,98.83,99.67,660144.0,99.369,5112
2020-09-03,98.95,99.0,96.72,97.61,586054.0,97.615,4888
2020-09-04,98.01,98.29,96.23,97.9,761717.0,97.568,6074
2020-09-08,97.33,97.33,95.69,95.72,609919.0,96.287,4927
2020-09-09,96.45,99.53,96.45,99.01,554027.0,98.933,4638
2020-09-10,99.69,101.07,98.39,98.55,1014981.0,99.529,6994
2020-09-11,98.62,99.54,97.79,98.66,658606.0,98.723,5185
2020-09-14,99.41,101.27,99.0,100.71,1416011.0,100.589,9269
2020-09-15,101.19,104.87,100.92,104.06,1954211.0,103.78,12929
2020-09-16,104.94,105.71,103.34,103.49,1648497.0,104.421,10999
2020-09-17,102.07,104.48,101.95,103.57,585114.0,103.467,4745
2020-09-18,103.29,104.84,102.52,103.13,957886.0,103.521,6897
2020-09-21,102.37,102.71,100.29,101.95,679791.0,101.546,5528
2020-09-22,102.61,103.57,101.92,102.56,550713.0,102.822,4276
2020-09-23,102.43,103.49,101.07,101.17,728817.0,102.111,5820
2020-09-24,100.5,102.71,99.31,101.8,632016.0,101.578,5008
2020-09-25,101.19,102.83,100.97,102.36,455340.0,102.264,3747
2020-09-28,103.5,104.54,102.68,103.25,419711.0,103.369,3329
2020-09-29,103.5,104.95,102.95,103.7,646373.0,104.054,4661
2020-09-30,104.11,105.6,101.73,102.19,729445.0,103.343,5495
2020-10-01,103.09,103.71,100.84,101.22,477698.0,101.855,3913
2020-10-02,100.13,101.69,99.0,100.87,805707.0,100.804,5971
2020-10-05,102.21,104.34,101.88,104.0,529102.0,103.543,4127
2020-10-06,103.4,104.27,102.25,103.59,697995.0,103.769,4313
2020-10-07,104.62,106.47,104.2,106.16,608857.0,105.689,4383
2020-10-08,106.22,106.75,105.61,106.14,467482.0,106.235,3163
2020-10-09,106.6,106.61,104.82,105.45,524894.0,105.53,4021
2020-10-12,106.02,106.29,104.48,105.02,495921.0,105.186,3398
2020-10-13,104.96,105.86,104.48,104.61,496699.0,105.084,3281
2020-10-14,105.14,105.53,104.19,104.82,566812.0,104.887,4159
2020-10-15,104.08,105.21,103.54,105.12,443635.0,104.743,3655
2020-10-16,103.62,104.32,100.04,100.23,1296400.0,101.398,8373
2020-10-19,100.34,101.43,99.49,100.0,890617.0,100.422,6092
2020-10-20,100.67,102.1,99.97,100.51,596640.0,101.072,4818
2020-10-21,100.44,102.47,99.97,100.77,713903.0,101.259,5031
2020-10-22,100.62,101.04,99.0,99.58,645749.0,99.815,4291
2020-10-23,99.8,100.74,99.17,100.54,532882.0,99.954,4453
2020-10-26,100.32,100.43,98.09,99.59,864434.0,99.016,7119
2020-10-27,99.41,101.61,99.25,100.03,1001238.0,100.589,7745
2020-10-28,94.43,95.03,88.35,88.58,3124176.0,91.193,21528
2020-10-29,88.01,91.37,88.0,90.08,1239180.0,89.754,10216
2020-10-30,89.36,90.0,86.8,88.43,1058741.0,88.069,8742
2020-11-02,89.97,90.04,86.78,87.34,964436.0,87.708,7600
2020-11-03,88.49,89.6,87.53,89.22,874988.0,88.527,6871
2020-11-04,89.13,90.76,88.01,88.11,684392.0,89.442,5292
2020-11-05,89.68,89.93,87.97,88.8,746189.0,88.901,5425
2020-11-06,88.84,90.97,88.03,90.62,840482.0,90.157,6016
2020-11-09,95.23,96.33,91.48,93.92,1595936.0,93.883,12810
2020-11-10,93.45,94.72,92.5,93.89,831452.0,93.683,6654
2020-11-11,93.8,94.55,91.99,93.33,714634.0,92.949,5895
2020-11-12,93.46,93.67,89.81,90.54,864191.0,91.208,7349
2020-11-13,91.19,92.62,91.18,91.97,433996.0,92.098,3656
2020-11-16,93.15,93.99,91.67,92.92,490441.0,92.811,3876
2020-11-17,92.81,93.96,91.3,93.55,527539.0,92.936,4350
2020-11-18,93.22,93.97,92.24,92.88,1122502.0,93.261,8812
2020-11-19,92.4,94.02,91.37,93.77,707079.0,93.249,5959
2020-11-20,94.51,94.86,91.97,92.59,717415.0,93.139,5197
2020-11-23,92.44,93.52,91.18,92.17,648319.0,92.019,5032
2020-11-24,92.71,95.06,92.17,94.42,619476.0,94.243,5178
2020-11-25,94.01,94.21,92.79,93.03,548171.0,93.263,4638
2020-11-27,92.96,93.25,91.8,92.72,308664.0,92.713,2409
2020-11-30,93.11,94.04,92.63,93.97,663818.0,93.329,5311
2020-12-01,94.02,95.4,93.56,93.83,547588.0,94.013,4408
2020-12-02,93.56,93.82,91.25,92.3,464997.0,92.209,3659
2020-12-03,92.11,93.53,92.11,92.53,424927.0,92.951,3161
2020-12-04,92.64,93.35,92.01,92.93,465756.0,92.772,3488
2020-12-07,92.85,93.26,92.53,93.22,339886.0,92.911,2759
2020-12-08,93.05,94.66,92.96,94.28,387207.0,94.155,3141
2020-12-09,94.31,95.14,93.95,95.08,572684.0,94.63,4635
2020-12-10,93.99,94.93,92.38,92.72,523452.0,93.16,4394
2020-12-11,92.54,93.66,92.21,93.17,401372.0,93.159,3279
2020-12-14,94.08,94.35,91.34,91.78,611092.0,92.387,4960
2020-12-15,92.02,92.86,90.21,90.25,943821.0,90.845,7580
2020-12-16,90.65,91.87,90.45,91.44,302685.0,91.35,2599
2020-12-17,91.94,92.84,91.35,92.29,510422.0,92.113,4316
2020-12-18,91.98,92.94,91.23,92.6,644709.0,92.283,4315
2020-12-21,91.95,94.42,91.22,93.48,486273.0,93.314,4043
2020-12-22,93.58,94.99,93.12,94.39,512461.0,94.253,4036
2020-12-23,94.08,95.2,93.26,93.79,501907.0,94.104,3870
2020-12-24,94.72,95.0,93.92,94.66,265995.0,94.482,1869
2020-12-28,94.43,95.57,94.26,94.67,338825.0,94.949,2421
2020-12-29,94.88,95.46,93.3,93.72,709189.0,94.065,4403
2020-12-30,93.91,94.4,92.77,93.04,390823.0,93.391,2800
2020-12-31,93.24,93.91,92.76,93.87,280717.0,93.373,2119
2021-01-04,93.65,93.97,91.8,92.37,674795.0,92.544,4715
2021-01-05,91.93,93.58,90.58,91.5,833655.0,91.446,6521
2021-01-06,91.71,95.4,91.71,95.24,876672.0,94.488,6887
2021-01-07,95.49,96.33,94.44,96.16,627217.0,95.739,4616
2021-01-08,96.27,98.65,96.11,97.36,723320.0,97.538,5243
2021-01-11,97.18,97.2,94.46,96.53,684762.0,95.98,4419
2021-01-12,96.36,98.18,95.25,97.9,589693.0,97.284,4641
2021-01-13,97.59,98.03,95.48,95.71,473601.0,96.016,3766
2021-01-14,96.49,97.72,95.84,97.37,471977.0,97.303,3601
2021-01-15,97.11,97.9,94.69,95.21,536961.0,95.78,3940
2021-01-19,96.06,97.99,95.56,96.44,644172.0,96.917,4986
2021-01-20,97.36,100.5,96.58,98.8,1365949.0,99.386,9363
2021-01-21,98.44,99.9,97.94,97.95,442574.0,98.688,3509
2021-01-22,96.55,98.37,96.51,97.8,462688.0,97.694,3867
