date,open,high,low,close,volume,average,barCount
2020-07-13,73.63,74.13,73.25,73.46,2159635.0,73.676,14668
2020-07-14,73.3,74.92,73.28,74.85,2048686.0,74.344,15275
2020-07-15,75.0,75.49,74.36,74.69,2159696.0,74.957,15137
2020-07-16,74.8,75.12,74.2,74.98,1759593.0,74.78,11679
2020-07-17,74.92,75.29,74.38,75.2,1902433.0,75.066,11482
2020-07-20,74.97,75.18,73.89,74.2,1549497.0,74.411,10693
2020-07-21,74.36,74.85,73.97,74.04,1809852.0,74.426,12648
2020-07-22,73.59,74.21,72.61,74.14,2380316.0,73.519,15333
2020-07-23,74.85,75.18,74.16,74.23,2583027.0,74.569,15859
2020-07-24,74.73,75.24,73.97,74.32,1845504.0,74.447,12308
2020-07-27,74.1,74.73,74.0,74.65,2189909.0,74.429,14881
2020-07-28,74.93,75.99,74.75,75.71,1892625.0,75.584,12893
2020-07-29,75.58,76.48,75.53,76.2,2125576.0,76.183,14490
2020-07-30,75.87,77.19,75.72,76.87,3606418.0,76.78,20998
2020-07-31,76.61,77.46,75.81,77.2,2613074.0,76.751,17738
2020-08-03,76.7,77.27,76.49,76.57,2081104.0,76.74,14506
2020-08-04,76.53,76.88,76.03,76.77,2376352.0,76.504,16644
2020-08-05,76.79,77.1,75.95,76.18,1969268.0,76.347,13195
2020-08-06,75.92,76.1,75.6,75.86,2324592.0,75.84,14565
2020-08-07,75.83,76.27,75.6,76.24,1919834.0,75.914,12499
2020-08-10,76.5,76.9,76.26,76.65,1700839.0,76.573,11113
2020-08-11,76.71,76.95,75.81,75.96,2202272.0,76.123,15615
2020-08-12,76.36,77.78,76.26,77.24,2745422.0,77.138,17775
2020-08-13,76.98,77.19,76.52,76.98,1907454.0,76.896,12985
2020-08-14,76.89,77.36,76.66,77.05,1466224.0,77.111,9148
2020-08-17,76.92,77.77,76.83,77.21,1674105.0,77.274,11117
2020-08-18,77.23,78.19,76.94,77.65,3118001.0,77.773,16692
2020-08-19,77.86,78.2,77.68,77.95,1637711.0,78.007,11702
2020-08-20,77.83,78.31,77.55,78.25,1375788.0,78.101,8476
2020-08-21,78.36,78.84,77.88,78.69,1854420.0,78.457,12038
2020-08-24,78.81,79.2,78.63,79.13,1517802.0,78.936,10027
2020-08-25,79.3,79.31,78.47,78.59,1584298.0,78.709,10856
2020-08-26,78.28,79.17,78.01,78.65,2104972.0,78.702,12213
2020-08-27,78.99,79.48,78.83,79.06,1580214.0,79.238,11383
2020-08-28,79.0,79.51,78.44,79.37,2218451.0,79.099,14264
2020-08-31,79.2,79.49,78.92,79.26,2244607.0,79.243,13270
2020-09-01,79.15,79.17,77.8,78.09,2218409.0,78.234,14945
2020-09-02,78.13,79.79,78.01,79.47,2431624.0,79.214,16812
2020-09-03,79.62,80.1,77.08,77.67,3274336.0,78.386,20413
2020-09-04,77.53,78.42,76.34,77.21,2520749.0,77.201,17865
2020-09-08,76.87,77.32,75.56,75.64,3214192.0,76.073,23997
2020-09-09,76.46,78.37,76.46,77.57,2058499.0,77.662,14981
2020-09-10,77.11,77.78,76.26,76.41,2184076.0,77.054,15652
2020-09-11,76.74,77.26,76.41,76.75,1730050.0,76.813,12659
2020-09-14,76.97,77.69,76.95,77.15,1677486.0,77.359,12156
2020-09-15,77.22,77.72,76.91,76.94,1472471.0,77.261,10931
2020-09-16,77.23,77.76,76.87,76.91,1378006.0,77.354,10617
2020-09-17,76.58,77.21,76.17,76.71,1536807.0,76.637,9697
2020-09-18,76.3,76.94,75.28,75.83,2669162.0,75.995,13184
2020-09-21,75.32,75.93,74.35,75.19,1991261.0,74.924,13007
2020-09-22,75.24,76.57,75.22,76.07,1814692.0,76.225,12869
2020-09-23,76.17,76.23,75.03,75.14,1862480.0,75.546,13583
2020-09-24,75.3,76.27,74.96,75.76,1657917.0,75.67,12235
2020-09-25,75.46,76.11,75.33,75.95,1932021.0,75.786,12001
2020-09-28,76.67,77.51,76.42,76.61,1743226.0,76.907,12046
2020-09-29,76.67,76.78,75.85,76.22,1397941.0,76.318,10590
2020-09-30,76.58,77.45,76.41,77.15,1667247.0,76.994,11798
2020-10-01,77.53,77.73,76.73,77.06,2486306.0,77.114,16892
2020-10-02,76.59,77.96,76.46,77.4,2487957.0,77.323,16471
2020-10-05,77.5,78.49,77.43,78.42,1940923.0,78.091,13153
2020-10-06,78.55,78.63,77.2,77.54,1715548.0,77.878,13376
2020-10-07,77.83,78.39,77.69,78.13,1112204.0,78.075,8260
2020-10-08,78.23,78.84,78.08,78.74,1296534.0,78.567,8920
2020-10-09,79.09,80.13,78.89,79.77,1565611.0,79.636,9614
2020-10-12,79.69,80.96,79.62,80.63,1436532.0,80.544,9131
2020-10-13,80.5,80.99,79.85,80.26,1573134.0,80.404,9703
2020-10-14,80.44,80.63,79.42,79.86,1332130.0,80.001,9985
2020-10-15,79.42,80.14,79.28,79.71,1783734.0,79.676,11519
2020-10-16,80.12,80.59,80.02,80.31,1813815.0,80.235,11696
2020-10-19,80.45,80.9,79.01,79.21,1707962.0,79.752,12245
2020-10-20,79.99,80.76,79.71,79.83,1998494.0,80.158,14169
2020-10-21,79.52,80.74,79.52,80.2,2199491.0,80.203,13650
2020-10-22,79.38,79.68,78.68,79.29,1577886.0,79.278,10469
2020-10-23,79.55,80.0,79.32,79.34,1541938.0,79.583,11463
2020-10-26,78.86,79.22,78.12,78.69,2347659.0,78.57,16153
2020-10-27,79.22,79.64,78.79,78.85,1993267.0,79.295,13488
2020-10-28,77.42,78.18,76.7,76.86,2892739.0,77.443,19369
2020-10-29,76.54,77.44,75.56,76.67,2697781.0,76.727,19299
2020-10-30,79.94,81.09,77.67,78.89,4693995.0,78.957,31965
2020-11-02,80.18,81.02,79.51,80.16,2672653.0,80.166,19467
2020-11-03,80.88,83.42,80.83,83.11,3886886.0,82.614,23681
2020-11-04,83.35,85.64,83.09,83.86,3651718.0,84.79,22475
2020-11-05,84.75,84.75,82.98,83.01,2598341.0,83.738,17452
2020-11-06,83.08,83.55,82.45,83.03,2321816.0,82.975,14263
2020-11-09,83.8,84.57,81.54,81.78,4016846.0,82.849,28009
2020-11-10,81.89,83.76,81.39,83.35,3031177.0,83.227,19979
2020-11-11,84.0,85.25,83.44,84.93,2674656.0,84.603,14138
2020-11-12,84.99,85.12,84.2,84.73,2284394.0,84.616,13848
2020-11-13,84.78,85.41,84.69,85.36,2339116.0,85.131,12630
2020-11-16,85.38,85.94,85.21,85.93,1936481.0,85.526,11811
2020-11-17,85.39,86.06,85.28,85.35,2142748.0,85.685,11523
2020-11-18,85.64,85.94,84.6,84.61,2492858.0,85.357,13261
2020-11-19,84.99,85.64,84.7,85.38,3135684.0,85.22,17748
2020-11-20,85.52,86.41,85.12,85.16,2383035.0,85.515,13442
2020-11-23,85.23,85.23,83.97,84.54,1857002.0,84.597,11356
2020-11-24,84.95,85.65,84.11,84.71,2693907.0,84.593,16569
2020-11-25,85.07,85.47,84.44,84.75,1713535.0,84.931,9938
2020-11-27,84.95,85.06,84.3,84.9,1453625.0,84.709,7828
2020-11-30,84.99,85.66,84.2,85.64,1990565.0,84.786,12563
2020-12-01,85.9,86.34,85.38,86.26,2068369.0,85.904,12789
2020-12-02,86.07,86.38,85.25,85.74,1612195.0,85.807,10016
2020-12-03,85.52,85.73,84.41,85.19,2181771.0,85.02,13888
2020-12-04,85.24,85.68,84.42,85.03,1892745.0,84.832,12943
2020-12-07,85.0,85.86,84.86,85.39,1340440.0,85.244,9344
2020-12-08,84.47,85.44,84.19,85.17,1737572.0,84.953,11327
2020-12-09,85.16,85.34,84.39,84.75,1568830.0,84.739,10171
2020-12-10,84.89,85.35,84.39,84.59,1654316.0,84.748,10114
2020-12-11,84.1,85.09,84.1,84.68,1539536.0,84.684,9561
2020-12-14,85.08,85.45,84.14,84.19,1535877.0,84.557,9812
2020-12-15,84.51,85.07,84.21,84.75,1404966.0,84.643,10214
2020-12-16,85.14,85.76,84.64,85.04,1518656.0,85.088,9760
2020-12-17,85.5,86.05,85.34,85.66,1965554.0,85.612,11198
2020-12-18,85.66,86.2,84.96,85.93,2172706.0,85.489,10459
2020-12-21,85.05,85.49,84.37,85.31,1631630.0,85.039,10102
2020-12-22,85.22,85.42,84.27,84.4,1548271.0,84.691,10542
2020-12-23,84.59,84.96,84.2,84.43,1558559.0,84.583,9960
2020-12-24,84.62,85.1,84.49,85.04,507623.0,84.789,2887
2020-12-28,85.28,85.68,84.98,85.41,811827.0,85.237,5111
2020-12-29,85.83,86.21,84.92,85.03,1062869.0,85.445,7147
2020-12-30,85.18,85.34,84.55,84.73,1108646.0,84.835,6995
2020-12-31,84.96,85.6,84.53,85.51,999641.0,85.014,6664
2021-01-04,84.78,85.56,83.53,84.33,1908351.0,84.365,12629
2021-01-05,84.33,84.82,83.37,84.52,1369648.0,84.269,9929
2021-01-06,84.16,84.79,81.87,82.25,6459709.0,83.01,30169
2021-01-07,81.91,82.56,81.14,81.8,2843282.0,81.923,18298
2021-01-08,82.09,82.61,81.82,82.35,3542352.0,82.209,20880
2021-01-11,82.26,83.06,82.1,82.14,2566900.0,82.504,16401
2021-01-12,81.88,82.75,81.85,82.26,3084287.0,82.369,19573
2021-01-13,82.25,82.93,82.25,82.49,2665072.0,82.678,15827
2021-01-14,82.77,82.78,81.62,81.94,2243661.0,82.123,15736
2021-01-15,81.94,82.44,81.69,81.88,3310173.0,81.972,16831
2021-01-19,82.55,82.55,80.74,80.85,2510432.0,81.223,16075
2021-01-20,79.5,80.45,78.9,80.2,4967962.0,79.875,25371
2021-01-21,80.18,80.43,78.76,79.28,4251910.0,79.381,23679
2021-01-22,78.78,78.92,77.9,78.19,3239350.0,78.338,18023
2021-01-25,78.21,79.1,78.15,78.61,5365372.0,78.621,31940
2021-01-26,78.87,79.09,77.93,78.75,4695439.0,78.702,23016
2021-01-27,78.55,78.99,77.84,78.03,4219590.0,78.3,24112
2021-01-28,78.04,79.83,78.03,79.15,6287514.0,79.427,36196
2021-01-29,78.91,80.2,77.84,78.0,4582728.0,78.845,28116
2021-02-01,78.64,79.7,78.32,78.52,4724700.0,78.872,28590
2021-02-02,78.85,79.75,78.56,78.85,3701219.0,79.216,23579
2021-02-03,79.0,79.41,78.53,78.88,2542750.0,78.914,16226
2021-02-04,78.77,79.28,78.45,78.93,2534539.0,78.947,16435
2021-02-05,79.16,80.07,79.11,79.87,2200982.0,79.657,12754
2021-02-08,80.0,80.13,79.27,79.7,2318419.0,79.618,15615
2021-02-09,79.64,79.66,78.36,78.7,2543843.0,78.78,15397
2021-02-10,79.0,79.47,78.26,79.11,2822835.0,78.944,17887
2021-02-11,79.25,79.3,78.34,78.41,1786539.0,78.701,11802
2021-02-12,78.33,78.5,77.78,78.43,1660970.0,78.131,10812
2021-02-16,78.05,78.22,77.06,78.19,3406843.0,77.68,18879
2021-02-17,77.9,78.92,77.86,78.44,2030038.0,78.452,12280
2021-02-18,78.34,78.86,78.09,78.72,1744479.0,78.559,10997
2021-02-19,78.62,78.75,77.1,77.2,2816685.0,77.857,14249
2021-02-22,77.22,77.44,76.87,77.27,1639009.0,77.196,10585
2021-02-23,77.8,78.44,77.0,77.49,2678739.0,77.683,17802
2021-02-24,77.09,77.64,76.62,76.64,2964402.0,76.945,17683
