date,open,high,low,close,volume,average,barCount
2020-07-13,40.46,41.1,40.18,40.54,13290838.0,40.667,67486
2020-07-14,39.9,41.29,39.83,41.18,15688120.0,40.799,83403
2020-07-15,41.09,42.08,41.05,41.96,16235235.0,41.841,78033
2020-07-16,41.68,42.18,41.66,42.14,10324747.0,41.923,55694
2020-07-17,42.26,42.48,41.9,42.18,11831365.0,42.201,56256
2020-07-20,42.0,42.11,41.76,41.95,10005812.0,41.93,44315
2020-07-21,42.14,42.77,42.06,42.57,11756848.0,42.584,57215
2020-07-22,42.52,42.76,42.41,42.57,10091017.0,42.595,45703
2020-07-23,42.67,42.96,42.33,42.49,15833965.0,42.599,72255
2020-07-24,43.43,43.9,42.7,43.35,18525596.0,43.082,76495
2020-07-27,43.2,43.64,43.15,43.56,13998105.0,43.347,57911
2020-07-28,42.86,43.57,42.8,43.21,14215327.0,43.251,59257
2020-07-29,43.33,44.11,43.26,43.9,22000337.0,43.861,75014
2020-07-30,44.38,45.26,43.12,43.67,14310437.0,43.865,77632
2020-07-31,43.54,43.64,41.96,42.8,16839713.0,42.667,90561
2020-08-03,42.61,43.14,42.41,42.88,8313574.0,42.889,47202
2020-08-04,42.59,43.24,42.54,43.21,8396314.0,42.984,43961
2020-08-05,43.29,43.47,42.24,42.29,12060939.0,42.563,61181
2020-08-06,42.04,42.89,42.02,42.87,10085750.0,42.517,53374
2020-08-07,42.63,42.92,42.47,42.81,7141601.0,42.657,39830
2020-08-10,42.57,43.22,42.56,43.02,10362513.0,43.003,49058
2020-08-11,43.25,44.0,42.92,42.99,11746141.0,43.409,69019
2020-08-12,42.99,43.73,42.97,43.34,7128597.0,43.468,42055
2020-08-13,43.11,43.43,42.98,43.39,10115769.0,43.244,48883
2020-08-14,43.62,44.18,43.2,43.77,10332894.0,43.859,47799
2020-08-17,43.87,43.95,43.3,43.53,7327185.0,43.603,37767
2020-08-18,43.74,43.74,43.28,43.54,6082686.0,43.551,32656
2020-08-19,43.66,43.76,43.16,43.32,7038629.0,43.463,34320
2020-08-20,43.23,43.44,42.9,43.27,7962653.0,43.27,37539
2020-08-21,42.97,43.23,42.72,43.07,8000388.0,43.031,38731
2020-08-24,42.89,43.82,42.85,43.8,11355019.0,43.567,55623
2020-08-25,43.82,43.82,43.18,43.41,6455465.0,43.375,33935
2020-08-26,43.03,44.36,42.91,44.2,10534932.0,43.926,52855
2020-08-27,44.56,44.8,44.24,44.54,10502293.0,44.566,57303
2020-08-28,44.53,44.57,43.93,44.56,8290150.0,44.248,40457
2020-08-31,44.35,45.13,44.25,44.81,17597151.0,44.842,72652
2020-09-01,44.43,45.09,44.24,45.05,12886219.0,44.783,59021
2020-09-02,45.1,45.93,45.01,45.17,12577306.0,45.311,63805
2020-09-03,45.61,45.94,44.09,44.44,13513446.0,44.828,78602
2020-09-04,44.93,44.97,43.9,44.43,13023535.0,44.45,81037
2020-09-08,43.81,44.26,43.12,43.81,15180984.0,43.684,91334
2020-09-09,43.99,44.99,43.71,44.6,10062969.0,44.469,60505
2020-09-10,44.52,45.01,43.86,44.02,11544475.0,44.417,66940
2020-09-11,44.09,44.74,43.97,44.67,13625822.0,44.419,78449
2020-09-14,45.0,45.49,44.71,45.27,7662871.0,45.201,44095
2020-09-15,45.16,46.74,45.05,46.46,14560376.0,46.263,78533
2020-09-16,47.05,47.5,46.7,46.81,13574724.0,47.091,75822
2020-09-17,45.96,46.43,45.02,45.58,12251630.0,45.595,76906
2020-09-18,45.48,45.85,44.29,45.26,22209715.0,45.174,92371
2020-09-21,44.92,45.44,43.41,44.68,21572710.0,44.264,101252
2020-09-22,44.88,46.48,44.84,46.19,22728336.0,45.926,98348
2020-09-23,46.19,46.38,45.24,45.36,14568868.0,45.77,75047
2020-09-24,45.19,46.08,44.9,45.7,10529903.0,45.623,61080
2020-09-25,45.35,46.33,45.22,46.15,8501247.0,45.874,50438
2020-09-28,46.89,47.07,46.24,46.76,11362219.0,46.658,64881
2020-09-29,46.77,46.87,46.17,46.2,8800020.0,46.521,45939
2020-09-30,46.54,46.72,45.75,46.26,16529847.0,46.414,76969
2020-10-01,46.46,46.77,46.17,46.44,9169795.0,46.47,52446
2020-10-02,45.8,45.99,45.11,45.15,12222929.0,45.525,74007
2020-10-05,45.27,45.93,45.02,45.81,8739994.0,45.571,47438
2020-10-06,45.22,45.52,44.37,44.51,9941297.0,44.999,62031
2020-10-07,45.03,45.11,44.26,44.96,10072066.0,44.7,57448
