date,open,high,low,close,volume,average,barCount
2020-07-13,63.02,64.77,62.93,63.53,2043006.0,64.064,14451
2020-07-14,63.15,65.32,63.11,65.28,1702335.0,64.483,12054
2020-07-15,65.77,66.37,64.52,65.6,2083465.0,65.534,15537
2020-07-16,65.55,66.93,65.47,66.03,1651762.0,66.244,12276
2020-07-17,66.54,66.91,66.18,66.27,1285331.0,66.492,8249
2020-07-20,66.43,66.44,64.39,64.86,1721553.0,64.854,10767
2020-07-21,65.19,66.16,64.79,65.87,1881358.0,65.775,12923
2020-07-22,65.95,67.09,65.46,66.82,1371527.0,66.45,9623
2020-07-23,66.69,68.45,66.69,67.74,2187280.0,67.833,14449
2020-07-24,67.88,68.04,66.83,67.51,1980841.0,67.445,13206
2020-07-27,66.84,67.37,65.82,67.27,2704371.0,66.969,13927
2020-07-28,66.0,66.71,63.83,64.23,6107678.0,65.092,30693
2020-07-29,64.57,66.76,64.52,66.34,2127706.0,66.113,15619
2020-07-30,65.13,66.86,64.28,66.81,1789723.0,66.179,11092
2020-07-31,66.58,66.64,64.45,65.25,1553845.0,65.261,11813
2020-08-03,65.53,65.92,62.76,63.1,3544276.0,63.392,22632
2020-08-04,63.02,63.74,62.31,62.64,2741243.0,62.965,16473
2020-08-05,63.17,64.1,62.7,63.98,1687834.0,63.458,12917
2020-08-06,63.58,64.28,62.93,63.72,1209495.0,63.317,9337
2020-08-07,63.72,64.86,63.63,64.28,1176948.0,64.215,9001
2020-08-10,64.38,64.45,62.78,63.0,2577031.0,63.369,15686
2020-08-11,64.05,64.44,62.72,62.88,2040100.0,63.55,12716
2020-08-12,63.52,65.34,63.52,65.05,2073978.0,64.793,11183
2020-08-13,64.67,64.91,63.77,64.68,1084479.0,64.402,6490
2020-08-14,64.19,64.94,63.75,64.64,1499539.0,64.466,9085
2020-08-17,64.54,64.99,63.98,64.12,764607.0,64.324,5566
2020-08-18,64.33,64.4,62.92,63.14,1176561.0,63.352,7157
2020-08-19,63.41,64.15,63.02,63.47,1500342.0,63.737,6907
2020-08-20,63.41,63.41,62.04,62.4,1467782.0,62.449,8600
2020-08-21,62.53,62.93,61.9,62.47,1606054.0,62.35,9474
2020-08-24,62.8,62.8,60.1,60.28,2284478.0,60.691,12128
2020-08-25,60.69,60.81,59.75,60.79,2506484.0,60.187,14853
2020-08-26,60.65,60.65,58.37,59.38,3414248.0,59.262,18008
2020-08-27,59.83,61.15,58.97,60.49,2743887.0,60.35,16324
2020-08-28,60.62,61.7,60.13,60.48,1425593.0,60.825,9374
2020-08-31,60.38,62.03,60.13,61.32,2221792.0,61.44,15527
2020-09-01,61.12,61.79,60.72,61.37,2192085.0,61.1,11227
2020-09-02,61.46,62.14,60.67,61.98,1604096.0,61.727,10813
2020-09-03,62.05,62.78,59.73,60.23,1866092.0,60.868,11285
2020-09-04,60.5,60.65,58.56,59.67,1608674.0,59.409,11352
2020-09-08,59.34,59.47,56.97,57.16,1932980.0,57.811,12846
2020-09-09,57.7,57.91,56.6,57.35,1867475.0,57.261,11187
2020-09-10,57.43,57.84,56.72,57.1,2635879.0,57.146,14378
2020-09-11,57.31,57.4,55.67,56.44,1620371.0,56.38,10773
2020-09-14,56.7,58.77,56.7,58.22,2249351.0,58.274,15235
2020-09-15,58.59,58.96,57.75,58.18,1944496.0,58.339,12174
2020-09-16,58.56,60.17,58.42,59.9,3177536.0,59.78,18735
2020-09-17,59.41,60.53,59.1,60.42,2071479.0,60.101,12722
2020-09-18,60.21,61.34,60.11,61.13,2589331.0,60.782,14252
2020-09-21,58.0,58.03,55.12,55.99,5674034.0,56.013,35375
2020-09-22,56.06,56.4,53.94,54.34,5466043.0,54.751,33178
2020-09-23,54.22,55.37,53.6,54.94,4572581.0,54.647,28894
2020-09-24,54.81,55.47,53.84,54.3,2869019.0,54.47,17960
2020-09-25,54.3,55.56,54.0,55.41,2675047.0,54.966,14241
2020-09-28,56.21,56.84,55.25,55.52,2594948.0,55.723,15696
2020-09-29,55.74,56.18,55.24,55.86,1799527.0,55.72,11492
2020-09-30,56.26,58.89,56.21,58.33,2522155.0,58.096,13864
2020-10-01,58.38,58.94,57.69,58.82,2199584.0,58.421,12965
2020-10-02,58.3,60.91,57.6,59.98,2849664.0,60.026,13513
2020-10-05,60.49,62.7,60.28,62.26,2549519.0,62.084,13951
2020-10-06,62.33,63.67,61.74,62.25,3396497.0,62.57,14812
2020-10-07,62.76,65.14,62.58,64.62,1843765.0,64.561,11917
2020-10-08,65.0,65.26,63.84,64.68,1456526.0,64.474,8045
2020-10-09,64.99,65.23,63.55,64.2,1589160.0,64.1,9051
2020-10-12,64.69,65.83,64.47,65.3,1468664.0,65.327,8637
2020-10-13,64.7,66.39,64.51,65.37,2280676.0,65.722,10857
2020-10-14,65.24,65.7,63.89,65.19,1446926.0,65.06,9343
2020-10-15,64.11,66.12,64.01,65.86,1680610.0,65.63,10519
2020-10-16,66.0,66.85,65.2,66.21,1268931.0,66.367,7877
2020-10-19,66.3,66.75,65.44,65.73,927285.0,66.028,6507
2020-10-20,65.92,66.51,65.25,65.56,1184873.0,65.781,8098
2020-10-21,65.37,66.55,65.21,65.98,1056225.0,66.045,5986
2020-10-22,66.02,67.31,66.02,66.94,1103818.0,66.764,7958
2020-10-23,67.31,68.64,67.06,67.42,1652200.0,67.59,8954
2020-10-26,66.67,67.01,65.63,66.39,1928290.0,66.191,12981
2020-10-27,62.69,64.96,61.02,64.14,3055538.0,63.915,18335
2020-10-28,62.76,63.31,61.03,61.16,2188818.0,61.727,14175
2020-10-29,60.96,61.15,58.33,58.33,3165392.0,59.224,19992
2020-10-30,58.18,59.58,58.18,59.1,3026206.0,58.693,19329
2020-11-02,60.14,62.54,59.84,62.38,4888127.0,61.359,25286
2020-11-03,63.35,65.45,62.88,64.64,3261882.0,64.409,18740
2020-11-04,64.0,65.84,63.41,63.99,7364175.0,64.634,35138
2020-11-05,64.81,68.18,64.31,67.88,4992926.0,67.491,24337
2020-11-06,68.0,68.3,66.5,67.93,2630433.0,67.829,15426
2020-11-09,69.85,71.09,68.68,68.82,3066749.0,69.899,18933
2020-11-10,69.76,72.31,67.85,71.12,5065549.0,70.733,27078
2020-11-11,72.0,72.24,69.39,69.4,3111461.0,70.694,17614
2020-11-12,69.04,70.07,68.26,68.83,1166009.0,69.013,7928
2020-11-13,69.13,69.67,68.65,69.05,1710161.0,69.037,10694
2020-11-16,69.85,69.85,67.45,67.67,2205718.0,68.047,14541
2020-11-17,67.28,67.75,66.27,67.29,1829919.0,67.023,11274
2020-11-18,68.19,68.19,65.93,65.96,1229772.0,66.827,8417
2020-11-19,65.53,65.58,63.32,63.61,2332281.0,63.921,14866
2020-11-20,63.38,63.68,62.23,62.96,2055600.0,63.02,12778
2020-11-23,63.25,64.22,63.13,63.92,1788341.0,63.743,10398
2020-11-24,64.32,65.14,63.25,63.39,1680910.0,63.978,10944
2020-11-25,63.66,63.88,61.9,62.19,1822600.0,62.29,10438
2020-11-27,62.11,63.35,62.11,63.17,851970.0,62.937,5150
2020-11-30,63.28,63.28,61.42,61.65,1937522.0,62.044,12974
2020-12-01,62.52,64.31,62.48,62.87,2273351.0,63.613,12806
2020-12-02,62.83,64.46,62.79,63.84,946770.0,63.79,6485
2020-12-03,63.39,64.3,62.93,63.68,1914526.0,63.785,10798
2020-12-04,63.77,64.61,63.52,64.6,1574725.0,64.181,10456
2020-12-07,64.65,64.89,63.8,64.57,1233857.0,64.335,7471
2020-12-08,64.06,65.55,63.87,65.01,1508459.0,64.94,8341
2020-12-09,65.17,65.35,62.95,63.45,1481955.0,63.62,9985
2020-12-10,63.21,63.23,61.27,61.31,2427216.0,62.064,14846
2020-12-11,61.16,61.51,59.97,60.71,2512178.0,60.669,13436
2020-12-14,61.4,61.41,59.55,59.73,2396523.0,60.229,13155
2020-12-15,60.17,60.38,59.53,60.38,3619119.0,59.841,18746
2020-12-16,60.7,61.75,60.0,61.03,2354239.0,61.114,15251
