date,open,high,low,close,volume,average,barCount
2020-07-13,19.3,19.51,19.13,19.21,4656253.0,19.323,23994
2020-07-14,19.23,19.58,19.18,19.28,8109026.0,19.329,30901
2020-07-15,19.56,19.86,19.28,19.3,4094601.0,19.458,22725
2020-07-16,19.3,19.47,19.05,19.29,3959485.0,19.246,20567
2020-07-17,19.38,19.94,19.29,19.86,5705237.0,19.639,24019
2020-07-20,19.86,19.98,19.05,19.18,3839987.0,19.327,18931
2020-07-21,19.25,19.42,19.06,19.4,5094409.0,19.318,23103
2020-07-22,19.29,20.12,19.21,20.01,5639849.0,19.882,23495
2020-07-23,19.96,20.59,19.88,20.21,4362629.0,20.308,20712
2020-07-24,20.24,20.35,19.62,19.74,3035456.0,19.868,16162
2020-07-27,19.65,19.74,18.86,19.07,5112868.0,19.17,26180
2020-07-28,19.01,19.57,19.0,19.35,3135074.0,19.385,15174
2020-07-29,19.4,19.47,19.11,19.43,3566934.0,19.256,15100
2020-07-30,19.2,19.22,18.77,19.13,6259494.0,19.0,30144
2020-07-31,19.16,19.3,18.4,19.01,8019800.0,18.811,38993
2020-08-03,18.94,19.55,18.76,19.32,4459503.0,19.256,24262
2020-08-04,19.26,19.92,19.26,19.49,7362507.0,19.523,30453
2020-08-05,19.68,19.83,18.9,19.02,6153580.0,19.12,26032
2020-08-06,19.05,20.51,19.05,20.27,10327910.0,20.041,43988
2020-08-07,20.19,20.7,20.15,20.41,5992874.0,20.487,30764
2020-08-10,20.58,21.04,20.49,20.98,3558047.0,20.887,19931
2020-08-11,21.22,21.42,20.59,20.61,3993425.0,20.875,22926
2020-08-12,20.83,20.95,20.39,20.4,4770652.0,20.588,23986
2020-08-13,20.26,20.87,20.26,20.74,4384076.0,20.67,20014
2020-08-14,20.64,20.65,20.27,20.54,3199385.0,20.487,16512
2020-08-17,20.54,20.84,20.46,20.65,3510294.0,20.686,18418
2020-08-18,20.66,20.77,20.11,20.24,5567732.0,20.311,23812
2020-08-19,20.14,20.48,20.11,20.25,2746261.0,20.258,15280
2020-08-20,20.13,20.19,19.81,19.82,3777163.0,19.961,18565
2020-08-21,19.91,20.08,19.7,19.79,3321133.0,19.844,15789
2020-08-24,19.83,20.26,19.81,20.22,3339291.0,20.069,15322
