date,open,high,low,close,volume,average,barCount
2021-04-14,381.0,429.54,310.0,328.28,55182393.0,369.898,246911
2021-04-15,348.9,349.2,317.27,322.75,24474016.0,332.691,141689
2021-04-16,327.5,345.99,321.03,342.0,14461703.0,334.863,77448
2021-04-19,337.26,341.01,326.79,333.0,7169516.0,332.828,40074
2021-04-20,333.0,334.83,312.02,320.82,9003989.0,321.617,52509
2021-04-21,312.52,327.47,302.1,311.92,6512036.0,315.543,34767
2021-04-22,305.76,313.5,287.2,293.45,8652262.0,300.588,48041
2021-04-23,282.75,303.0,282.07,291.6,6110022.0,294.143,31704
2021-04-26,304.31,306.1,296.9,304.54,3819573.0,302.266,20621
2021-04-27,306.7,306.7,299.5,302.0,2387797.0,303.329,14396
2021-04-28,301.01,302.9,298.05,298.05,1704338.0,299.866,9228
2021-04-29,298.45,300.0,292.1,294.77,1595778.0,296.004,9494
2021-04-30,293.0,302.74,291.0,297.64,2430055.0,297.71,13448
2021-05-03,304.0,305.03,293.94,294.21,2067617.0,300.819,11702
2021-05-04,292.06,292.19,275.61,280.66,3440949.0,281.143,19300
2021-05-05,284.95,289.15,269.0,273.0,3210709.0,280.324,16551
2021-05-06,271.15,272.14,250.51,256.76,5152765.0,258.631,29347
2021-05-07,261.15,267.08,258.38,263.7,2764008.0,262.949,14192
2021-05-10,266.4,297.5,259.37,293.45,6908603.0,283.618,35951
2021-05-11,281.05,303.32,276.51,303.0,4876244.0,294.354,27799
2021-05-12,299.54,306.98,280.79,283.61,4562313.0,295.807,25575
2021-05-13,276.46,285.0,252.26,265.1,6539496.0,264.548,35378
2021-05-14,280.37,280.64,256.35,258.37,7503654.0,264.424,42899
2021-05-17,250.0,250.25,238.25,248.24,5278756.0,243.662,28245
2021-05-18,238.83,252.17,238.5,239.0,5239975.0,244.538,26316
2021-05-19,212.93,229.0,208.0,224.8,10864155.0,220.014,54248
2021-05-20,236.1,238.8,226.26,233.4,6826454.0,232.429,36381
2021-05-21,235.97,238.97,223.9,224.35,5030459.0,228.803,28313
2021-05-24,227.28,231.0,224.04,225.3,6766407.0,226.832,34418
2021-05-25,230.0,243.99,228.0,242.41,8198456.0,236.622,39399
2021-05-26,247.5,249.39,239.37,241.52,4316097.0,243.815,22192
2021-05-27,245.21,247.24,240.32,247.09,3415157.0,245.367,15746
2021-05-28,243.57,244.63,236.54,236.54,2842077.0,239.654,14500
2021-06-01,238.67,244.71,238.1,238.93,2512232.0,241.349,13124
2021-06-02,242.8,243.9,238.71,240.48,2145364.0,241.055,10950
2021-06-03,241.77,241.77,233.5,233.66,1859695.0,237.248,10061
2021-06-04,230.0,233.36,227.5,228.79,2439919.0,229.963,13412
2021-06-07,229.92,232.56,226.5,231.45,1637135.0,230.175,8941
2021-06-08,227.16,229.33,217.4,220.66,3866075.0,222.084,20777
2021-06-09,222.8,229.79,217.4,224.32,4659542.0,223.803,24456
2021-06-10,226.22,229.79,221.47,221.85,2601307.0,224.799,13451
2021-06-11,223.34,225.74,221.96,223.92,1613068.0,223.762,7767
2021-06-14,231.43,239.76,229.76,239.1,4324361.0,236.013,20997
2021-06-15,236.23,237.67,230.96,232.21,2042783.0,233.983,10583
2021-06-16,231.4,234.68,226.28,228.05,1870919.0,230.154,10140
2021-06-17,226.88,233.23,226.35,230.66,1678090.0,229.994,9500
2021-06-18,226.92,232.69,226.5,229.29,1697120.0,229.957,10414
2021-06-21,223.14,224.99,218.76,222.6,2716382.0,221.506,15891
2021-06-22,216.25,223.15,210.77,222.47,4094158.0,216.066,21705
2021-06-23,225.54,230.53,224.5,226.01,2290877.0,227.517,11470
2021-06-24,228.46,230.04,226.66,229.93,1983295.0,228.623,9978
2021-06-25,226.97,227.82,223.22,224.54,1612069.0,224.507,9210
2021-06-28,227.64,248.06,226.13,246.69,5230378.0,238.905,27032
2021-06-29,250.09,261.15,250.01,254.9,5354741.0,256.954,27422
2021-06-30,248.75,254.67,247.0,253.3,2603357.0,250.334,13838
2021-07-01,251.21,255.15,240.53,241.44,2481957.0,246.912,13213
2021-07-02,242.0,246.81,238.88,240.72,1557931.0,242.416,8099
2021-07-06,243.0,243.0,234.02,235.41,1427765.0,238.398,7074
2021-07-07,238.96,252.99,232.33,251.97,3195820.0,243.958,16921
2021-07-08,239.0,246.6,233.61,244.29,3027264.0,241.306,15215
2021-07-09,245.0,256.99,244.21,253.88,3125874.0,252.607,15450
2021-07-12,253.56,254.89,246.83,247.67,1474502.0,249.397,7614
2021-07-13,245.51,249.15,242.93,243.31,2344376.0,246.047,12128
2021-07-14,244.9,247.45,229.16,229.94,3169160.0,234.803,17238
2021-07-15,229.7,234.47,220.37,224.63,2309246.0,225.654,13011
2021-07-16,227.2,231.3,220.66,225.01,2272576.0,226.596,11058
2021-07-19,216.92,221.89,213.22,220.61,1891063.0,217.515,9924
2021-07-20,216.71,226.89,213.23,224.96,2104950.0,219.661,10866
2021-07-21,231.7,237.15,229.19,230.87,2441794.0,233.659,12577
2021-07-22,232.0,232.32,224.5,226.08,1744260.0,227.577,9677
2021-07-23,226.22,227.35,222.73,224.92,955391.0,225.025,5106
2021-07-26,240.26,249.8,237.88,245.45,5167076.0,244.244,26425
2021-07-27,243.16,243.21,229.12,235.08,3820988.0,236.281,18702
2021-07-28,240.18,242.87,238.03,241.75,1339389.0,240.499,6498
2021-07-29,241.8,245.16,235.33,235.78,1670442.0,240.468,8118
2021-07-30,233.28,238.07,231.89,236.58,1353322.0,235.277,6420
2021-08-02,237.28,240.38,233.8,235.4,1465890.0,237.633,7652
2021-08-03,233.88,235.69,226.91,230.18,1999898.0,230.196,10029
2021-08-04,231.01,245.47,229.85,244.36,2396353.0,238.323,13328
2021-08-05,239.76,258.31,237.59,255.5,4145807.0,251.295,21736
2021-08-06,255.5,263.9,250.23,258.26,3947372.0,258.495,20133
2021-08-09,267.3,282.43,267.3,280.47,6057848.0,276.893,29958
2021-08-10,280.75,281.5,264.25,269.67,4243793.0,269.796,20985
2021-08-11,282.34,294.0,274.35,278.4,9638081.0,284.945,45990
2021-08-12,266.39,267.75,255.2,256.5,5612515.0,260.323,26809
2021-08-13,262.83,266.5,259.97,261.25,2980747.0,263.305,14843
2021-08-16,265.63,265.63,253.6,256.83,2188176.0,258.381,10924
2021-08-17,253.23,260.74,246.23,250.8,2028535.0,253.713,10417
2021-08-18,249.0,254.4,243.76,244.39,1632740.0,249.158,8860
2021-08-19,241.03,249.77,239.21,248.24,2057298.0,244.986,12049
2021-08-20,252.01,260.62,251.42,257.32,2580388.0,257.436,13939
2021-08-23,263.27,266.5,255.0,256.0,3934578.0,259.564,20374
2021-08-24,256.99,260.25,253.2,259.28,2677607.0,257.955,13430
2021-08-25,256.86,262.11,256.0,256.77,1755911.0,258.668,9658
2021-08-26,253.21,255.2,248.5,248.54,1996943.0,250.748,11155
2021-08-27,249.4,259.67,248.08,259.12,2074989.0,255.652,11474
2021-08-30,256.3,263.34,256.25,262.66,1816105.0,260.849,9647
2021-08-31,260.02,263.4,257.18,259.0,1671984.0,259.491,9507
2021-09-01,260.02,272.1,258.63,265.9,3257369.0,267.277,17741
2021-09-02,272.54,275.66,266.0,268.18,2394316.0,270.885,13355
2021-09-03,272.01,280.61,270.03,278.44,2903400.0,276.492,17032
2021-09-07,276.82,278.87,262.6,266.81,3408516.0,269.595,18853
2021-09-08,257.0,262.95,253.88,258.2,2749216.0,258.012,14586
2021-09-09,260.3,263.81,255.7,256.42,2033937.0,258.659,10176
2021-09-10,257.31,258.87,247.4,248.32,2037864.0,252.381,11302
2021-09-13,246.56,251.88,239.7,242.84,2589415.0,243.403,14657
2021-09-14,247.25,248.79,241.27,243.0,1817205.0,244.962,9931
2021-09-15,243.75,249.47,242.05,247.07,1360825.0,246.349,7963
2021-09-16,247.38,247.46,239.61,243.21,1667057.0,242.622,8576
2021-09-17,243.39,245.63,238.75,245.19,1627075.0,242.292,9929
2021-09-20,234.45,237.36,231.15,236.53,2664042.0,233.907,14050
2021-09-21,237.01,240.26,234.26,238.46,1323770.0,237.702,7240
2021-09-22,239.91,243.2,237.76,241.85,1064614.0,241.133,5960
2021-09-23,244.22,245.8,237.07,237.5,2182158.0,239.256,12629
2021-09-24,231.0,235.31,229.17,231.82,2355743.0,232.59,12230
2021-09-27,231.87,233.4,227.35,232.24,2287156.0,229.805,10957
2021-09-28,229.68,232.52,227.52,229.84,2198436.0,230.017,9813
2021-09-29,231.01,233.77,225.04,225.28,1703244.0,228.064,8014
