date,open,high,low,close,volume,average,barCount
2020-07-13,40.13,40.51,39.0,39.66,4150416.0,39.853,25153
2020-07-14,39.44,41.34,39.27,41.31,3477068.0,40.714,21957
2020-07-15,42.19,42.42,41.05,41.62,4220993.0,41.513,25587
2020-07-16,41.29,42.06,40.66,41.59,3412846.0,41.492,20317
2020-07-17,41.35,41.67,39.77,39.96,5117624.0,40.356,26928
2020-07-20,39.96,40.34,39.24,39.33,5063720.0,39.639,31214
2020-07-21,40.1,42.09,40.0,41.66,5716359.0,41.415,31633
2020-07-22,41.07,41.25,40.32,40.89,3776123.0,40.847,23459
2020-07-23,40.53,41.13,40.22,40.46,4112333.0,40.539,25259
2020-07-24,40.74,41.36,40.16,40.28,4260740.0,40.608,25949
2020-07-27,39.92,40.48,39.44,39.77,3963208.0,39.812,22776
2020-07-28,39.57,39.96,38.8,38.96,4061771.0,39.217,20755
2020-07-29,38.97,39.94,38.6,39.94,4719169.0,39.274,25753
2020-07-30,38.12,38.47,35.9,37.64,11203212.0,37.33,57606
2020-07-31,37.05,37.6,36.7,37.39,5674630.0,37.126,34603
2020-08-03,37.27,37.39,36.69,36.71,6292698.0,36.981,35273
2020-08-04,36.66,38.07,36.47,37.64,4514485.0,37.55,24675
2020-08-05,38.5,38.69,37.71,38.02,5338983.0,38.176,28929
2020-08-06,37.64,38.43,37.61,38.05,4833659.0,38.005,27590
2020-08-07,37.86,38.39,37.35,38.3,3069529.0,37.884,20007
2020-08-10,38.51,39.67,38.45,39.64,3966539.0,39.262,22460
2020-08-11,40.52,41.15,39.58,39.71,6070764.0,40.539,34302
2020-08-12,40.37,41.68,40.25,41.66,9898724.0,41.236,46357
2020-08-13,41.15,41.83,40.62,40.63,6847158.0,41.192,37381
2020-08-14,40.22,41.0,39.96,40.82,2428419.0,40.69,16052
2020-08-17,40.75,40.98,39.91,40.7,4707225.0,40.39,26170
2020-08-18,40.57,41.33,40.13,40.33,4355470.0,40.483,24115
2020-08-19,40.11,40.32,39.52,39.65,3476692.0,39.906,19779
2020-08-20,39.06,39.31,38.73,38.77,2799022.0,38.937,15320
2020-08-21,38.64,38.81,37.94,38.16,3445060.0,38.29,18095
2020-08-24,38.34,39.56,38.08,38.87,4045025.0,38.81,23040
2020-08-25,39.41,39.45,38.45,38.85,2764566.0,38.843,16441
2020-08-26,38.83,38.96,37.52,37.56,5052330.0,38.013,25019
2020-08-27,37.77,38.28,37.5,38.15,4955160.0,37.895,29131
2020-08-28,38.33,38.46,37.88,38.38,3774451.0,38.245,22967
2020-08-31,38.35,38.45,37.57,37.89,3936506.0,37.995,23685
2020-09-01,37.42,37.6,36.61,37.16,4971500.0,37.176,28416
2020-09-02,37.0,37.17,36.37,36.38,5724202.0,36.659,30062
2020-09-03,35.82,36.87,35.82,35.99,7095617.0,36.269,38441
2020-09-04,36.36,36.69,35.67,35.86,6131960.0,36.068,38590
2020-09-08,35.3,35.3,33.74,34.06,7064980.0,34.281,41957
2020-09-09,34.85,34.85,34.21,34.46,4847085.0,34.56,28341
2020-09-10,34.43,34.52,32.86,32.92,6216894.0,33.559,33572
2020-09-11,32.88,33.44,32.64,33.11,5384924.0,33.129,28830
2020-09-14,33.24,33.87,33.01,33.52,3940966.0,33.557,25190
2020-09-15,33.73,34.22,33.61,33.8,6668607.0,33.827,35366
2020-09-16,34.12,35.53,33.65,35.08,7120459.0,34.829,35715
2020-09-17,34.4,36.11,34.16,36.09,10499987.0,35.546,52830
2020-09-18,35.8,36.45,35.4,35.87,7682959.0,35.821,37730
2020-09-21,34.81,35.08,34.09,34.36,7298387.0,34.338,38018
2020-09-22,34.34,34.81,34.01,34.3,6337162.0,34.319,30251
2020-09-23,34.36,34.59,32.88,32.92,5895151.0,33.416,29749
2020-09-24,32.81,34.26,32.46,33.6,5590724.0,33.396,32130
2020-09-25,33.09,33.99,32.98,33.7,4029813.0,33.488,22529
2020-09-28,34.34,34.74,33.61,33.71,7130282.0,34.016,37266
2020-09-29,33.72,33.78,32.17,32.46,5255799.0,32.709,28926
2020-09-30,32.73,33.29,32.54,32.84,5112621.0,32.91,27974
2020-10-01,32.23,32.74,31.69,32.43,6285549.0,32.15,35195
2020-10-02,31.58,33.29,31.45,33.07,5648298.0,32.773,32165
2020-10-05,33.56,34.31,33.23,34.28,4402925.0,33.97,23810
2020-10-06,34.88,35.08,33.12,33.3,5252919.0,34.055,28077
2020-10-07,33.47,34.53,33.31,34.33,4817347.0,33.937,28495
2020-10-08,34.5,35.62,34.3,35.53,5375436.0,35.081,30860
2020-10-09,35.94,35.97,34.83,35.13,4350184.0,35.146,23934
2020-10-12,35.07,35.84,34.73,35.59,4586158.0,35.416,22867
2020-10-13,35.53,36.0,34.7,34.88,6757690.0,35.081,36279
2020-10-14,34.04,35.53,34.04,34.53,7914061.0,34.956,40312
2020-10-15,33.87,35.47,33.67,35.4,6676354.0,34.884,33680
2020-10-16,34.81,34.97,33.75,33.77,6569733.0,34.338,30622
2020-10-19,33.97,34.2,32.68,32.7,17240334.0,33.476,104793
2020-10-20,32.88,33.05,32.07,32.58,15664453.0,32.548,87217
2020-10-21,32.23,32.41,30.58,30.64,15324151.0,31.264,79276
2020-10-22,30.62,31.97,30.47,31.91,12001713.0,31.419,70767
2020-10-23,32.27,33.19,31.92,32.54,11953740.0,32.605,72371
2020-10-26,31.76,31.93,30.08,30.32,8886047.0,30.654,50300
2020-10-27,30.16,30.69,29.96,30.26,9014250.0,30.365,47088
2020-10-28,29.36,29.81,28.55,28.79,10107918.0,29.121,59192
2020-10-29,28.12,29.19,27.53,29.16,12754043.0,28.687,63588
2020-10-30,28.93,28.97,27.63,28.62,11558856.0,28.263,61956
2020-11-02,29.42,30.55,28.51,30.23,9822925.0,29.819,56813
2020-11-03,30.72,30.74,29.14,29.31,8948212.0,29.672,46013
2020-11-04,29.59,30.63,29.21,30.38,12021031.0,30.226,64014
2020-11-05,30.1,30.91,30.04,30.12,7912613.0,30.45,48345
2020-11-06,30.13,30.65,29.03,29.19,8330305.0,29.5,41640
2020-11-09,33.16,34.83,32.87,33.38,13352174.0,33.71,74376
2020-11-10,34.35,35.54,33.59,35.53,16209764.0,34.745,86398
2020-11-11,35.96,36.2,35.06,35.28,14330196.0,35.648,70802
2020-11-12,34.6,35.22,33.6,34.01,8274252.0,34.397,45338
2020-11-13,34.35,35.56,34.25,35.36,9029831.0,34.951,51150
2020-11-16,36.95,38.13,36.4,38.08,14936333.0,37.435,71561
2020-11-17,37.52,39.13,37.23,38.85,11427829.0,38.358,62278
2020-11-18,38.96,40.87,38.65,39.18,19897215.0,39.981,95474
2020-11-19,38.71,39.61,38.38,39.47,9667536.0,39.087,54946
2020-11-20,39.31,39.93,39.14,39.65,9833372.0,39.632,52833
2020-11-23,40.36,42.84,40.27,42.71,10821395.0,41.743,56279
2020-11-24,44.08,45.36,43.78,44.41,12622041.0,44.473,65506
2020-11-25,44.0,44.44,43.35,43.63,11830286.0,44.003,57107
2020-11-27,43.4,43.91,42.4,42.78,3681150.0,42.902,21215
2020-11-30,41.93,42.04,39.54,39.56,11040279.0,40.597,59487
2020-12-01,40.9,40.95,39.21,39.27,9578840.0,39.817,52457
2020-12-02,39.21,40.97,38.83,39.97,9117514.0,40.169,53425
2020-12-03,40.05,42.15,39.63,41.2,12570760.0,41.213,57913
2020-12-04,42.29,44.35,42.11,44.27,10208041.0,43.685,55919
2020-12-07,43.89,44.08,42.53,42.82,7863145.0,42.926,46269
2020-12-08,42.0,43.44,41.7,42.68,7882185.0,42.583,44568
2020-12-09,43.28,43.5,41.72,42.7,8640039.0,42.456,53005
2020-12-10,42.61,44.22,42.45,44.0,10841230.0,43.679,55616
2020-12-11,43.61,43.82,43.17,43.48,11322416.0,43.453,61012
2020-12-14,44.08,44.25,42.26,42.32,11617462.0,42.77,54131
2020-12-15,42.66,42.98,41.7,42.8,7757340.0,42.41,36884
2020-12-16,42.85,42.94,42.13,42.32,6733006.0,42.493,36503
2020-12-17,42.74,42.77,41.62,41.97,7330578.0,41.865,36761
2020-12-18,41.99,42.2,40.73,40.98,8919804.0,41.236,45147
2020-12-21,39.7,40.92,38.93,40.24,8363765.0,40.195,49762
2020-12-22,40.2,40.28,38.88,39.03,6677755.0,39.555,36971
2020-12-23,39.45,40.71,39.33,40.08,4378314.0,40.133,26145
2020-12-24,40.01,40.01,38.96,39.49,2858170.0,39.37,15138
