date,open,high,low,close,volume,average,barCount
2020-07-13,97.28,98.83,97.06,97.27,764847.0,97.899,6241
2020-07-14,96.85,99.47,96.85,99.33,419794.0,98.353,3504
2020-07-15,100.38,102.42,99.01,101.9,637758.0,101.519,4848
2020-07-16,101.82,103.33,101.05,102.74,517412.0,102.721,4152
2020-07-17,103.31,105.08,102.79,104.45,887351.0,104.425,6427
2020-07-20,104.4,104.87,101.68,102.19,465030.0,102.367,3765
2020-07-21,102.27,104.25,102.21,104.15,737102.0,103.44,5730
2020-07-22,103.85,104.3,102.62,103.81,338993.0,103.543,2665
2020-07-23,103.76,104.93,103.63,104.03,304930.0,104.22,2444
2020-07-24,104.42,104.88,103.41,103.76,333183.0,104.037,2673
2020-07-27,103.38,104.37,102.54,104.0,319973.0,103.857,2501
2020-07-28,104.0,104.54,101.93,102.11,429862.0,102.941,3631
2020-07-29,102.6,103.82,101.3,103.31,377700.0,103.123,3257
2020-07-30,102.17,102.49,101.11,102.17,411629.0,101.938,3477
2020-07-31,102.01,102.02,98.69,100.19,477865.0,99.794,4039
2020-08-03,100.81,104.86,100.81,104.48,852381.0,103.827,5814
2020-08-04,104.0,105.21,102.98,104.7,752286.0,104.596,5099
2020-08-05,104.0,106.45,103.11,103.5,1035234.0,104.112,7600
2020-08-06,103.71,103.81,100.95,101.61,479648.0,101.997,3893
2020-08-07,101.25,102.2,100.53,102.1,422199.0,101.505,3517
2020-08-10,102.26,103.74,101.65,103.04,405162.0,103.075,2824
2020-08-11,103.45,103.9,101.06,101.38,395587.0,102.061,3128
2020-08-12,101.85,104.1,101.85,103.55,352544.0,103.417,2544
2020-08-13,103.11,103.11,101.35,102.73,317291.0,102.334,2651
2020-08-14,101.94,104.25,101.6,103.75,326098.0,103.51,2527
2020-08-17,104.21,104.28,103.1,103.42,257202.0,103.586,1884
2020-08-18,104.0,104.4,102.41,102.84,436851.0,103.022,3694
2020-08-19,102.5,103.01,101.63,101.71,218866.0,102.172,1687
2020-08-20,101.72,102.2,99.04,99.04,624053.0,99.779,4548
2020-08-21,99.0,99.02,97.17,98.15,637301.0,98.041,4682
2020-08-24,99.31,99.31,96.26,97.57,541040.0,97.143,4245
2020-08-25,97.93,98.28,97.02,98.28,344082.0,97.735,2699
