date,open,high,low,close,volume,average,barCount
2020-07-13,326.31,329.12,321.5,322.92,1420845.0,326.323,10711
2020-07-14,321.32,328.66,320.45,328.0,897976.0,325.42,6450
2020-07-15,328.18,329.32,325.62,326.7,931412.0,327.517,6589
2020-07-16,326.89,327.9,324.06,326.27,722691.0,325.716,5645
2020-07-17,326.64,327.8,324.58,324.79,924891.0,326.001,6654
2020-07-20,324.61,327.44,322.66,326.51,1091291.0,325.381,8235
2020-07-21,327.0,331.49,326.5,327.74,1088593.0,329.299,7749
2020-07-22,329.65,329.66,325.01,328.3,713391.0,327.204,5370
2020-07-23,328.4,330.38,325.33,326.11,759719.0,327.59,5955
2020-07-24,324.77,328.75,324.67,325.78,805146.0,326.214,6249
2020-07-27,325.68,329.0,325.18,327.6,848317.0,327.394,5926
2020-07-28,327.97,330.0,325.82,327.57,635185.0,328.318,4778
2020-07-29,327.05,328.04,325.38,326.14,729104.0,326.652,5277
2020-07-30,322.69,326.45,322.0,324.82,671881.0,324.547,5251
2020-07-31,324.82,326.31,322.55,325.53,953269.0,324.534,7665
2020-08-03,325.64,329.89,324.3,329.32,1089612.0,327.499,8640
2020-08-04,329.49,339.82,328.92,339.79,2184983.0,336.377,14729
2020-08-05,341.86,342.73,337.59,339.97,1332760.0,339.723,10434
2020-08-06,342.42,345.12,341.61,343.31,1204569.0,343.121,8729
2020-08-07,343.14,344.73,339.63,340.91,954741.0,341.691,7387
2020-08-10,340.71,341.07,338.58,340.0,727280.0,339.985,5771
2020-08-11,340.7,340.85,331.8,332.43,1110681.0,335.688,8423
2020-08-12,333.75,338.9,333.17,336.76,1005282.0,336.687,7856
2020-08-13,336.99,339.46,335.13,335.7,635696.0,336.628,5104
2020-08-14,336.54,338.76,335.6,336.28,652975.0,337.088,4923
2020-08-17,337.65,340.37,337.35,339.96,868038.0,339.703,6247
2020-08-18,341.0,342.8,336.81,340.75,721166.0,340.341,5746
2020-08-19,341.0,341.94,339.95,340.9,875079.0,340.937,6820
2020-08-20,339.68,341.66,338.74,340.87,704083.0,340.188,5509
2020-08-21,339.87,345.84,339.33,344.61,1244311.0,343.784,8439
2020-08-24,345.12,346.11,342.1,344.13,705679.0,343.817,5475
2020-08-25,344.9,344.95,341.46,344.71,567591.0,343.251,4340
2020-08-26,343.08,344.83,341.69,344.27,706581.0,343.601,5310
2020-08-27,345.54,347.75,342.55,346.36,1061868.0,346.025,8458
2020-08-28,347.29,349.06,345.5,348.37,664700.0,347.53,5344
2020-08-31,344.96,348.75,344.29,347.66,679970.0,346.702,5201
2020-09-01,346.99,351.49,345.41,351.38,873769.0,348.628,6287
2020-09-02,353.92,359.92,351.31,358.86,1239274.0,356.227,9016
2020-09-03,363.07,363.67,345.52,348.3,1881509.0,351.853,13305
2020-09-04,353.89,353.98,340.4,346.57,1286070.0,346.022,9111
2020-09-08,343.79,344.92,338.18,338.86,1083608.0,340.707,8160
2020-09-09,340.89,349.7,340.39,346.43,971695.0,345.671,7304
2020-09-10,346.27,348.0,338.76,339.53,919389.0,343.433,6979
2020-09-11,340.28,343.26,336.1,339.13,830127.0,339.665,6254
2020-09-14,340.81,344.84,340.47,342.92,740264.0,343.038,5962
2020-09-15,344.89,347.76,342.75,343.91,714805.0,345.129,5289
2020-09-16,347.27,348.76,343.25,343.73,818432.0,346.466,6363
2020-09-17,339.39,342.89,336.36,338.88,1417245.0,339.064,11249
2020-09-18,340.2,341.22,331.2,335.96,1796448.0,337.344,10110
2020-09-21,335.57,339.62,333.71,339.57,1150111.0,336.289,8507
2020-09-22,340.04,344.9,339.59,344.45,1207205.0,342.791,8605
2020-09-23,347.83,348.25,344.06,344.63,2117727.0,345.839,15038
2020-09-24,345.0,347.34,338.3,347.0,3238178.0,344.572,20207
2020-09-25,340.6,343.77,335.36,342.58,4770595.0,339.887,28375
2020-09-28,343.23,349.77,343.1,349.62,2146919.0,347.074,13780
2020-09-29,348.95,354.29,347.1,352.14,1393083.0,351.212,10058
2020-09-30,352.39,357.7,351.17,355.0,1237634.0,354.846,8913
2020-10-01,356.26,359.69,354.82,358.46,1048010.0,357.794,7879
2020-10-02,354.73,357.84,352.85,355.01,1192305.0,355.541,8434
2020-10-05,355.33,358.98,355.33,358.58,721491.0,357.448,5026
2020-10-06,362.22,363.0,357.03,358.35,1373654.0,360.487,9787
2020-10-07,360.27,364.74,359.66,363.02,906425.0,362.62,6268
2020-10-08,364.8,365.97,361.75,365.09,1033840.0,364.281,6465
2020-10-09,366.0,369.75,365.7,369.46,826578.0,367.949,5642
2020-10-12,371.0,380.66,370.77,376.48,1301408.0,376.169,9594
2020-10-13,377.56,382.29,376.48,380.68,894823.0,379.924,6567
2020-10-14,381.21,383.88,376.7,378.34,1002826.0,380.13,6495
2020-10-15,377.22,378.36,373.06,376.58,928848.0,376.163,6171
2020-10-16,380.5,384.87,379.12,381.54,1299797.0,382.414,8036
2020-10-19,382.11,383.09,374.71,375.56,1006745.0,378.39,6905
2020-10-20,377.69,382.08,376.12,378.31,612478.0,379.388,4208
2020-10-21,379.08,381.28,377.02,377.82,655933.0,379.039,4607
2020-10-22,377.35,378.38,372.03,375.75,952026.0,374.59,6281
2020-10-23,375.59,376.52,373.56,374.6,588535.0,374.782,4732
2020-10-26,367.01,372.63,366.12,370.71,1229634.0,368.909,7675
2020-10-27,369.32,374.92,368.77,372.72,788933.0,372.472,4987
2020-10-28,367.33,372.41,364.67,364.96,917047.0,367.847,6740
2020-10-29,363.35,369.09,362.51,364.86,739998.0,365.727,5325
2020-10-30,361.51,363.85,355.79,357.62,1305244.0,358.463,9817
2020-11-02,361.5,365.66,360.71,364.39,842826.0,363.555,6228
2020-11-03,368.94,374.8,367.89,371.96,889681.0,371.846,6507
2020-11-04,374.02,381.64,374.0,376.17,1091185.0,377.827,8065
2020-11-05,382.49,386.58,379.5,385.23,1213156.0,384.667,7711
2020-11-06,382.52,386.8,380.89,385.66,1126917.0,383.848,7429
2020-11-09,389.7,389.7,364.76,365.0,2318632.0,375.257,17073
2020-11-10,364.33,371.54,360.59,366.62,1415475.0,366.547,10133
2020-11-11,369.68,374.7,368.16,372.92,879155.0,372.276,6464
2020-11-12,376.95,378.24,373.5,375.71,791746.0,376.123,5400
2020-11-13,377.0,379.83,374.99,378.84,607604.0,377.279,3757
2020-11-16,376.91,381.28,376.91,379.79,821147.0,379.199,5728
2020-11-17,387.32,388.48,381.79,381.92,1792911.0,385.458,11868
2020-11-18,382.59,388.05,381.73,382.23,1090015.0,385.086,6976
2020-11-19,383.68,384.71,380.31,383.54,893740.0,383.015,6334
2020-11-20,383.94,385.51,381.01,381.12,800221.0,382.755,4843
2020-11-23,383.0,383.06,380.34,381.71,801219.0,381.623,5582
2020-11-24,383.54,386.05,380.71,384.22,1120683.0,383.384,7644
2020-11-25,385.79,388.34,385.55,387.75,1138992.0,386.875,6128
2020-11-27,389.74,390.67,387.75,388.39,743101.0,389.024,4983
2020-11-30,392.25,393.15,385.23,391.77,1742991.0,389.13,10280
2020-12-01,384.56,388.07,381.17,387.56,1499648.0,385.369,9147
2020-12-02,385.31,386.88,381.57,383.5,1112138.0,383.428,7329
2020-12-03,377.86,378.73,373.28,374.05,2060217.0,375.846,14083
2020-12-04,375.25,375.31,371.89,373.43,1399074.0,373.12,9932
2020-12-07,374.27,376.5,372.65,373.33,1379623.0,373.969,10349
2020-12-08,373.46,379.53,370.75,377.6,1340364.0,376.605,9670
2020-12-09,379.88,381.0,372.8,374.29,1157711.0,376.061,7793
2020-12-10,374.29,375.0,371.56,372.79,1306056.0,373.107,8153
2020-12-11,378.88,379.77,372.54,375.1,1987489.0,375.42,12567
2020-12-14,376.56,378.18,373.21,374.38,1317855.0,375.437,9047
2020-12-15,374.39,375.69,369.3,371.88,1086603.0,372.042,7487
2020-12-16,371.52,372.84,368.84,369.44,1249028.0,369.945,8228
2020-12-17,370.31,370.97,368.0,370.29,1104391.0,369.668,8007
2020-12-18,371.34,371.36,365.93,367.0,1754646.0,368.576,9212
2020-12-21,365.08,366.12,361.81,364.97,1139326.0,364.142,7909
2020-12-22,364.26,364.76,360.61,362.03,1049103.0,361.968,7064
2020-12-23,362.22,363.1,359.5,361.89,1000770.0,361.43,6767
2020-12-24,361.41,365.34,361.4,364.58,550004.0,363.763,3638
2020-12-28,365.5,371.69,365.07,371.06,1532662.0,369.235,10103
2020-12-29,372.0,373.26,370.26,372.72,1194542.0,371.82,8373
2020-12-30,374.2,375.86,373.28,374.45,950954.0,374.425,6685
2020-12-31,374.8,377.04,372.46,376.78,850189.0,374.442,5911
2021-01-04,377.24,381.55,374.81,380.15,1763288.0,378.693,12770
2021-01-05,378.86,380.21,375.25,375.74,1216965.0,376.716,8884
2021-01-06,373.68,375.8,369.64,370.02,1432249.0,372.737,10444
2021-01-07,371.01,371.65,366.79,367.92,1629003.0,368.49,10947
2021-01-08,367.81,370.26,364.29,369.94,1243211.0,367.096,8572
2021-01-11,368.42,371.0,363.86,364.01,1337718.0,365.841,8675
2021-01-12,363.99,365.07,360.25,364.2,1373382.0,362.924,10303
2021-01-13,364.37,368.74,363.0,366.95,1101928.0,366.758,7687
2021-01-14,366.0,366.5,361.55,362.35,1411388.0,362.98,9196
2021-01-15,361.05,364.91,360.8,362.16,1223166.0,362.687,7400
2021-01-19,362.36,362.95,352.44,354.47,2487720.0,354.944,15793
2021-01-20,354.73,361.9,353.41,361.3,1457353.0,358.872,10290
