date,open,high,low,close,volume,average,barCount
2020-07-13,50.32,50.47,49.71,49.83,1131282.0,50.103,7027
2020-07-14,49.51,50.5,49.51,50.31,1620570.0,50.227,9783
2020-07-15,50.51,50.7,49.08,49.21,1166763.0,49.644,7967
2020-07-16,49.17,49.84,49.17,49.55,1612806.0,49.597,7781
2020-07-17,49.8,49.96,49.49,49.6,1664005.0,49.704,9201
2020-07-20,49.5,49.59,48.87,49.22,851570.0,49.139,5210
2020-07-21,49.15,49.95,49.15,49.35,1507374.0,49.579,9325
2020-07-22,49.44,49.44,48.29,49.34,958295.0,48.901,6698
2020-07-23,49.25,49.9,49.1,49.63,1205337.0,49.607,7345
2020-07-24,49.63,50.23,49.21,49.4,588300.0,49.638,3905
2020-07-27,49.21,49.56,49.06,49.49,1027420.0,49.411,7107
2020-07-28,49.51,50.64,49.51,50.23,1664618.0,50.274,10364
2020-07-29,50.6,50.78,49.98,50.2,1160048.0,50.254,7653
2020-07-30,50.15,50.2,49.1,49.31,958246.0,49.565,6531
2020-07-31,49.3,49.87,48.96,49.57,1080260.0,49.409,5827
2020-08-03,49.68,50.21,49.44,49.71,1466901.0,49.8,9723
2020-08-04,49.66,50.54,49.61,50.45,1710132.0,50.316,10969
2020-08-05,50.29,50.46,49.4,49.74,1257474.0,49.698,7522
2020-08-06,49.75,50.0,49.31,49.88,856148.0,49.654,6114
2020-08-07,49.9,50.1,49.26,49.97,830878.0,49.78,5998
2020-08-10,50.18,50.46,49.79,50.4,679914.0,50.235,4515
2020-08-11,50.34,50.56,49.68,49.77,925121.0,49.967,6920
2020-08-12,50.0,51.27,49.92,50.96,919796.0,50.929,6170
2020-08-13,50.99,51.38,50.53,51.18,511054.0,51.097,3903
2020-08-14,51.29,51.95,51.04,51.63,702006.0,51.585,5028
2020-08-17,51.65,52.55,51.41,52.28,918854.0,52.203,6431
2020-08-18,52.26,52.82,51.84,52.44,943859.0,52.387,7045
2020-08-19,52.47,52.75,52.23,52.38,599419.0,52.456,4358
2020-08-20,52.14,52.84,52.04,52.4,843100.0,52.53,6384
2020-08-21,52.54,52.69,52.04,52.54,1028008.0,52.416,6792
2020-08-24,52.75,53.1,52.14,52.69,815989.0,52.668,6053
2020-08-25,53.0,53.18,52.54,53.03,961838.0,52.939,6859
2020-08-26,52.9,53.5,52.39,53.48,904128.0,53.069,6059
2020-08-27,53.51,54.08,53.26,53.29,999386.0,53.645,7107
2020-08-28,53.29,53.29,51.93,52.14,1086696.0,52.234,7879
2020-08-31,52.35,52.71,52.02,52.61,1220615.0,52.397,8962
2020-09-01,52.81,52.88,51.19,51.4,2145210.0,51.54,15012
2020-09-02,51.7,52.82,51.35,52.45,1988397.0,52.314,13370
2020-09-03,49.74,52.37,47.8,48.53,5002416.0,49.295,31863
2020-09-04,48.91,49.03,46.71,47.58,2903521.0,47.607,19235
2020-09-08,47.33,47.49,44.53,45.22,4496431.0,45.455,28540
