date,open,high,low,close,volume,average,barCount
2020-07-13,89.82,91.14,88.6,89.79,324046.0,90.045,2636
2020-07-14,89.78,91.1,89.3,90.7,310772.0,90.427,2726
2020-07-15,91.82,92.36,90.8,91.44,441228.0,91.47,2482
2020-07-16,91.14,91.35,89.86,89.97,365703.0,90.341,2637
2020-07-17,90.3,90.93,89.16,90.71,457010.0,90.132,2643
2020-07-20,90.04,90.81,88.37,88.85,472380.0,89.074,3505
2020-07-21,88.29,89.6,87.81,88.14,287786.0,88.83,1810
2020-07-22,87.74,90.57,87.55,90.57,353537.0,90.0,2547
2020-07-23,90.08,90.96,88.82,89.93,329704.0,89.879,2699
2020-07-24,90.16,90.16,88.97,89.53,394031.0,89.543,2988
2020-07-27,89.17,89.42,87.69,89.25,313635.0,88.644,2681
2020-07-28,89.11,91.13,88.75,90.59,275203.0,90.278,2368
2020-07-29,91.2,91.63,89.8,91.29,367023.0,90.578,3266
2020-07-30,89.97,93.23,89.68,92.97,483435.0,92.496,3978
2020-07-31,92.22,92.45,88.0,90.81,1659925.0,89.979,9708
2020-08-03,90.55,90.69,87.43,89.22,433749.0,88.623,3534
2020-08-04,88.77,89.69,87.26,89.36,350082.0,89.001,3010
2020-08-05,89.88,89.88,88.23,88.95,321071.0,88.951,2814
2020-08-06,88.36,90.12,88.25,89.65,219545.0,89.305,1889
2020-08-07,89.31,89.53,88.25,88.9,701909.0,88.842,5368
2020-08-10,88.95,90.02,88.15,88.88,342814.0,89.109,3083
2020-08-11,89.64,90.73,89.07,89.37,519417.0,89.891,4218
2020-08-12,89.77,90.56,88.92,90.4,417535.0,89.856,3354
2020-08-13,89.77,90.99,87.74,87.94,416361.0,89.114,3623
2020-08-14,87.59,89.24,87.38,88.18,205128.0,88.443,1692
2020-08-17,88.25,88.88,87.67,88.84,233901.0,88.419,2060
2020-08-18,88.91,89.14,87.73,88.4,211179.0,88.24,1739
2020-08-19,88.49,88.49,86.29,86.86,507541.0,87.166,4361
2020-08-20,86.46,88.92,86.4,87.76,237093.0,88.097,1846
2020-08-21,87.79,88.39,85.77,87.66,229837.0,87.197,1961
2020-08-24,87.67,88.24,85.74,88.16,260357.0,87.256,1938
2020-08-25,88.3,89.24,87.62,89.14,367343.0,88.417,3131
2020-08-26,88.75,88.75,86.24,86.73,206097.0,86.835,1429
2020-08-27,87.22,89.76,87.22,89.67,324186.0,89.135,2739
2020-08-28,89.94,91.11,88.44,91.08,639634.0,90.539,5574
2020-08-31,90.6,91.18,90.11,90.94,512774.0,90.712,4566
2020-09-01,90.3,91.02,89.36,91.0,418665.0,90.196,3242
2020-09-02,90.85,91.88,90.23,91.79,497907.0,91.368,4207
2020-09-03,92.17,93.8,91.03,92.15,436416.0,91.834,2941
2020-09-04,92.91,94.2,91.82,93.19,558151.0,93.237,4836
2020-09-08,92.19,92.99,90.1,91.04,575891.0,91.102,4883
2020-09-09,91.55,93.18,90.74,91.44,488268.0,91.594,4317
2020-09-10,91.37,91.65,90.07,90.44,437375.0,90.695,3146
2020-09-11,90.44,90.45,88.44,89.7,414960.0,89.299,3622
2020-09-14,90.38,93.93,90.38,93.2,383445.0,93.171,3458
2020-09-15,92.87,93.73,91.57,92.01,453199.0,92.694,3815
2020-09-16,92.57,93.9,91.96,92.51,255986.0,92.939,2154
2020-09-17,91.7,92.45,90.54,91.33,312340.0,91.401,2799
2020-09-18,90.87,91.07,88.8,88.97,425691.0,89.905,2695
2020-09-21,87.51,88.13,86.19,86.6,742205.0,86.83,6218
2020-09-22,86.71,89.38,86.71,88.62,410993.0,88.742,3561
2020-09-23,88.67,89.97,88.0,88.02,638865.0,88.663,4779
2020-09-24,88.0,88.99,87.3,88.22,748455.0,88.227,5261
2020-09-25,88.28,90.36,87.88,90.34,434289.0,89.471,3105
2020-09-28,91.87,92.5,90.9,90.97,368220.0,91.426,3063
2020-09-29,89.51,90.29,88.39,89.42,377848.0,89.099,3235
2020-09-30,90.12,90.43,88.1,88.98,394113.0,89.299,3175
2020-10-01,89.15,92.02,88.87,91.99,300110.0,90.535,2372
2020-10-02,90.74,95.23,89.77,94.84,419154.0,94.074,3239
2020-10-05,95.59,96.61,94.46,96.56,490422.0,95.886,3694
2020-10-06,97.08,98.01,95.66,96.87,526563.0,96.918,3874
2020-10-07,97.36,97.65,95.79,96.5,288598.0,96.504,2377
2020-10-08,97.02,98.14,96.36,98.06,238642.0,97.617,1860
2020-10-09,98.56,98.99,96.12,96.32,313990.0,96.665,2554
2020-10-12,96.57,97.67,96.03,97.12,461571.0,96.96,3497
2020-10-13,96.48,97.57,95.48,96.44,381452.0,96.457,2861
2020-10-14,96.15,96.38,95.0,95.19,415925.0,95.443,3096
2020-10-15,94.22,95.72,93.88,94.47,190522.0,94.969,1464
2020-10-16,94.17,94.17,91.83,92.18,407883.0,92.435,3298
2020-10-19,92.81,92.81,90.89,90.99,287660.0,91.584,2146
2020-10-20,91.69,92.33,90.81,91.28,341442.0,91.446,2457
2020-10-21,91.34,92.42,90.68,91.34,362389.0,91.631,2460
2020-10-22,91.45,93.04,91.44,92.2,218492.0,92.385,1847
2020-10-23,92.75,93.16,91.99,92.39,203084.0,92.477,1503
2020-10-26,91.78,91.78,89.66,90.82,227791.0,90.493,1883
2020-10-27,90.68,91.8,89.3,89.3,551021.0,90.057,3597
2020-10-28,88.0,88.4,87.1,88.18,1003520.0,88.047,7210
2020-10-29,87.91,89.63,86.78,87.8,794708.0,88.084,5570
2020-10-30,88.67,93.07,88.33,92.24,818266.0,91.934,6100
2020-11-02,92.8,94.68,91.88,94.51,397630.0,93.877,3459
2020-11-03,95.66,99.01,94.93,98.38,237985.0,97.799,1846
2020-11-04,98.27,98.95,96.98,97.38,428378.0,97.72,3611
2020-11-05,98.07,98.68,97.04,97.46,304139.0,97.923,2530
2020-11-06,97.34,97.77,95.09,95.6,627291.0,96.025,4967
2020-11-09,102.89,110.0,98.24,98.6,922821.0,101.179,7494
2020-11-10,97.49,103.09,97.49,101.4,739412.0,101.501,5480
2020-11-11,101.82,101.82,99.6,100.0,657030.0,100.08,5277
2020-11-12,99.13,100.2,98.11,99.91,367028.0,99.646,3157
2020-11-13,100.64,101.43,99.92,100.31,816849.0,100.636,5455
2020-11-16,102.7,103.88,100.25,101.76,302918.0,101.262,2618
2020-11-17,101.44,102.43,99.89,101.81,535287.0,101.183,3646
2020-11-18,101.93,102.07,97.89,97.92,387077.0,99.563,3148
2020-11-19,97.2,98.38,96.28,97.85,535321.0,97.297,4517
2020-11-20,97.83,100.14,96.92,99.7,767019.0,98.893,4889
