date,open,high,low,close,volume,average,barCount
2020-07-13,182.72,186.06,180.17,180.51,207686.0,182.697,1479
2020-07-14,179.61,188.24,179.57,187.45,257250.0,185.051,1459
2020-07-15,190.0,195.15,189.44,193.45,470234.0,193.278,3135
2020-07-16,193.03,193.21,190.02,190.7,252041.0,191.369,1745
2020-07-17,192.6,197.47,192.36,196.26,178639.0,195.787,1258
2020-07-20,196.5,198.8,195.29,197.94,226535.0,197.597,1686
2020-07-21,199.2,201.07,197.75,198.02,210357.0,199.53,1272
2020-07-22,197.78,200.66,196.66,198.16,113978.0,198.302,913
2020-07-23,198.78,202.95,197.02,198.2,190623.0,199.634,1453
2020-07-24,196.62,197.01,192.13,192.83,134744.0,193.432,1090
2020-07-27,194.2,200.44,193.44,199.93,126687.0,198.936,1026
2020-07-28,198.93,200.61,197.19,197.37,80726.0,199.016,613
2020-07-29,198.75,201.11,198.25,199.58,166164.0,199.47,1220
2020-07-30,197.09,203.26,197.09,201.31,170847.0,200.782,1171
2020-07-31,201.31,202.24,195.48,198.99,140301.0,197.635,1041
2020-08-03,201.8,208.44,201.0,207.57,218414.0,206.617,1778
2020-08-04,207.17,207.17,201.97,203.92,185442.0,203.908,1410
2020-08-05,206.68,220.01,204.56,217.97,492145.0,215.659,3492
2020-08-06,219.18,220.0,213.17,217.8,261508.0,217.0,2044
2020-08-07,217.3,221.64,215.71,221.6,361102.0,219.066,2553
2020-08-10,221.93,221.97,216.3,218.76,314084.0,218.426,2423
2020-08-11,218.88,220.62,210.09,210.24,381201.0,214.218,2983
2020-08-12,211.54,220.55,211.22,219.65,208503.0,218.249,1550
2020-08-13,218.11,219.91,215.93,217.36,119396.0,217.783,889
2020-08-14,215.68,217.69,212.84,214.49,75560.0,214.678,582
2020-08-17,215.97,219.58,215.97,218.45,85311.0,218.466,643
2020-08-18,218.82,219.25,216.11,217.15,145961.0,217.327,1073
2020-08-19,217.83,218.37,214.57,215.1,173204.0,216.332,1187
2020-08-20,213.51,216.6,213.51,214.71,94744.0,215.165,747
2020-08-21,214.43,216.63,212.95,216.37,112824.0,215.223,960
2020-08-24,218.41,218.98,215.12,215.41,117480.0,216.575,997
2020-08-25,215.13,217.36,213.71,217.06,101218.0,216.153,627
2020-08-26,218.11,218.98,215.15,218.6,123456.0,217.757,817
2020-08-27,217.76,218.39,214.72,217.15,116204.0,216.921,757
2020-08-28,216.66,218.24,216.2,217.46,69281.0,217.035,542
2020-08-31,218.27,220.74,215.95,218.95,96396.0,219.249,772
2020-09-01,219.4,219.4,215.87,216.05,240985.0,216.593,1301
2020-09-02,216.48,220.49,214.31,220.11,95622.0,218.666,745
2020-09-03,219.0,219.89,204.42,207.91,218800.0,208.942,1692
2020-09-04,209.29,210.12,197.33,204.64,250411.0,201.652,1697
2020-09-08,202.45,206.96,199.59,202.95,131412.0,204.353,1135
2020-09-09,206.44,211.2,205.4,209.89,155111.0,209.492,1225
2020-09-10,216.28,218.67,214.2,214.96,283899.0,216.278,2208
2020-09-11,216.39,220.0,215.05,217.51,143866.0,217.602,1277
2020-09-14,220.33,221.39,218.2,220.01,140886.0,219.809,1185
2020-09-15,221.96,228.86,221.89,225.3,234183.0,226.233,1786
2020-09-16,226.5,226.71,219.64,221.98,155748.0,222.94,1089
2020-09-17,219.4,221.17,215.6,218.15,327514.0,219.058,1077
2020-09-18,219.99,220.48,216.3,219.61,198603.0,219.266,1220
2020-09-21,214.44,218.43,210.04,217.93,159608.0,215.044,1248
2020-09-22,218.17,218.78,213.69,217.33,144450.0,216.956,1007
2020-09-23,216.81,218.81,212.16,212.55,98016.0,215.501,830
2020-09-24,210.86,212.47,205.97,211.83,129882.0,210.147,1029
2020-09-25,210.89,217.58,209.59,216.77,85529.0,215.594,632
2020-09-28,219.54,224.3,219.09,223.42,121800.0,222.206,787
2020-09-29,224.19,225.92,222.53,222.93,224140.0,224.06,1062
2020-09-30,222.08,227.44,221.55,226.45,104964.0,225.765,805
2020-10-01,228.02,230.64,227.14,230.46,110047.0,228.798,895
2020-10-02,226.87,231.97,226.62,228.87,100704.0,230.123,749
2020-10-05,232.07,235.99,231.94,234.97,75204.0,234.262,560
2020-10-06,235.67,236.35,231.55,233.38,136316.0,234.307,1055
2020-10-07,236.05,237.73,235.39,237.35,97790.0,236.792,599
2020-10-08,238.4,238.63,235.14,236.49,121597.0,236.397,727
2020-10-09,238.98,243.46,238.36,242.57,215439.0,241.221,1550
2020-10-12,244.99,244.99,241.16,243.27,153145.0,243.022,1219
2020-10-13,242.23,245.93,241.8,244.98,130250.0,244.476,991
2020-10-14,246.21,250.29,244.28,244.64,188383.0,246.682,1084
2020-10-15,241.79,245.95,240.9,242.15,145760.0,242.755,1068
2020-10-16,244.39,246.03,239.93,240.29,218358.0,241.921,1745
2020-10-19,241.2,242.79,232.56,233.13,258317.0,235.98,2043
2020-10-20,234.42,238.51,233.41,233.53,165613.0,235.661,1476
2020-10-21,234.9,235.12,228.94,229.09,150108.0,230.679,1228
2020-10-22,229.49,234.8,229.49,233.93,160153.0,232.995,1288
2020-10-23,234.28,235.6,230.19,232.81,106052.0,232.312,891
2020-10-26,229.98,232.03,227.4,230.18,65828.0,229.057,476
2020-10-27,231.04,234.19,228.75,229.26,85442.0,230.946,725
2020-10-28,225.0,225.25,221.9,222.0,128181.0,223.292,895
2020-10-29,221.2,234.71,219.79,228.94,325412.0,230.273,2686
2020-10-30,228.8,229.74,220.87,227.7,187379.0,225.296,1484
2020-11-02,230.56,234.98,230.56,232.82,191569.0,232.122,1579
2020-11-03,234.99,238.42,234.0,237.45,126508.0,236.726,945
2020-11-04,240.5,252.13,240.5,249.27,259646.0,249.193,1980
2020-11-05,253.79,254.45,249.8,251.58,127638.0,251.537,1055
2020-11-06,252.0,252.7,248.77,250.66,108899.0,251.174,784
2020-11-09,256.83,257.88,235.96,237.26,317326.0,242.621,2183
2020-11-10,236.0,236.0,224.31,228.74,258611.0,228.782,2089
2020-11-11,231.97,235.86,230.92,235.66,174930.0,234.104,1365
2020-11-12,236.58,238.15,235.55,237.46,238441.0,237.16,1515
2020-11-13,238.42,240.17,234.31,239.01,132022.0,238.275,1078
2020-11-16,238.18,242.0,236.73,238.0,118294.0,238.627,877
2020-11-17,237.39,237.8,233.2,235.98,102500.0,235.562,809
2020-11-18,236.5,237.29,233.83,234.11,107457.0,235.409,938
2020-11-19,234.47,235.88,232.6,233.46,87837.0,233.913,732
2020-11-20,232.81,235.74,231.44,232.54,132308.0,233.316,1143
2020-11-23,232.67,233.95,230.5,232.01,119866.0,231.805,886
2020-11-24,232.09,232.28,224.06,224.68,143975.0,227.659,1099
2020-11-25,225.25,226.85,224.52,226.35,107851.0,225.843,744
2020-11-27,226.35,230.16,226.07,230.16,30255.0,228.415,237
2020-11-30,232.19,236.17,230.48,234.52,159299.0,234.37,1353
2020-12-01,236.65,238.17,234.23,237.26,115698.0,236.364,1005
2020-12-02,236.07,236.86,232.82,235.46,101351.0,235.627,820
2020-12-03,235.09,238.78,234.54,234.99,120920.0,235.825,896
2020-12-04,235.26,238.45,234.11,237.42,115406.0,236.838,756
2020-12-07,239.5,239.82,235.9,236.37,121861.0,238.079,788
2020-12-08,237.41,242.8,235.01,242.09,188595.0,240.006,1420
2020-12-09,241.63,242.57,239.0,240.34,218395.0,240.527,1297
2020-12-10,239.5,243.1,238.15,239.77,158392.0,239.742,1093
2020-12-11,239.35,239.53,233.78,236.27,116025.0,236.664,907
2020-12-14,237.27,242.34,237.27,240.07,132965.0,239.988,961
