date,open,high,low,close,volume,average,barCount
2020-07-13,200.0,200.26,188.03,188.34,3722787.0,193.806,24138
2020-07-14,186.1,189.96,183.3,189.56,3669355.0,186.715,23270
2020-07-15,191.03,192.1,186.75,188.09,5581483.0,188.588,31439
2020-07-16,186.42,186.86,181.93,185.51,5735052.0,183.923,32523
2020-07-17,187.14,188.4,183.36,187.78,3201562.0,186.083,18743
2020-07-20,187.9,195.31,187.27,195.09,4339305.0,193.007,25173
2020-07-21,196.0,196.5,189.48,190.8,3924405.0,191.632,24223
2020-07-22,190.78,191.87,188.87,191.31,1729666.0,190.455,11445
2020-07-23,191.48,194.57,187.51,188.54,2293048.0,190.62,15625
2020-07-24,186.06,188.94,184.37,188.49,2374679.0,187.405,12685
2020-07-27,189.9,191.56,188.65,190.96,1788070.0,190.502,10549
2020-07-28,191.0,192.97,189.05,189.5,2077127.0,191.188,13350
2020-07-29,190.15,194.56,189.75,193.61,2416809.0,193.033,16136
2020-07-30,190.09,191.92,187.37,191.7,2384863.0,190.388,15940
2020-07-31,193.0,194.99,190.66,194.85,2112140.0,192.853,14239
2020-08-03,197.8,204.79,196.57,203.19,4454717.0,201.25,29092
2020-08-04,203.0,203.39,198.9,201.41,2192094.0,200.944,14696
2020-08-05,202.8,203.9,201.58,202.64,1391107.0,202.668,8965
2020-08-06,202.97,209.95,202.4,207.79,3479683.0,206.928,24528
2020-08-07,206.62,206.94,198.58,201.05,3109135.0,201.818,21599
2020-08-10,200.4,201.48,195.72,197.16,3108291.0,197.37,19676
2020-08-11,193.62,195.84,191.72,191.99,2997959.0,193.792,20432
2020-08-12,193.0,195.42,192.12,192.62,2682211.0,193.339,18186
2020-08-13,193.32,198.07,193.23,195.14,2917823.0,196.208,18170
2020-08-14,195.22,195.48,192.52,193.46,1814978.0,193.579,12466
2020-08-17,195.34,197.07,194.41,196.74,1858566.0,196.059,11579
2020-08-18,199.41,204.8,199.0,204.01,4355820.0,202.637,27990
2020-08-19,204.0,207.1,200.03,205.11,4265283.0,204.753,24837
2020-08-20,203.85,210.11,203.51,209.51,3500853.0,207.846,24208
2020-08-21,209.94,210.0,206.25,207.53,3364379.0,207.719,20834
2020-08-24,208.88,209.29,205.15,208.46,3402698.0,207.33,21808
2020-08-25,213.22,218.35,210.8,216.05,10527743.0,215.536,59323
2020-08-26,251.96,277.97,249.47,272.32,49438135.0,268.974,231304
2020-08-27,267.0,278.28,260.84,276.32,17717851.0,268.87,88655
2020-08-28,271.28,275.75,267.4,271.1,15175588.0,270.801,73195
2020-08-31,270.0,274.71,265.91,272.65,9972165.0,269.898,52547
2020-09-01,271.0,281.93,270.58,281.25,9621860.0,276.442,48809
2020-09-02,283.47,284.5,268.57,276.69,8224735.0,274.574,48069
2020-09-03,270.58,271.75,257.41,265.01,8812560.0,263.248,58300
2020-09-04,262.15,265.67,243.2,254.7,10210813.0,251.529,65040
2020-09-08,240.56,253.68,240.14,241.27,9987378.0,245.723,66971
2020-09-09,246.4,253.45,242.96,250.43,6057587.0,249.453,36155
2020-09-10,254.81,256.51,246.97,247.8,4054205.0,252.21,23681
2020-09-11,250.72,251.3,239.45,243.1,3582130.0,243.986,24425
2020-09-14,246.31,248.87,244.04,246.64,2624538.0,246.935,17990
2020-09-15,251.37,251.94,248.51,251.68,2537547.0,250.567,17051
2020-09-16,254.67,255.43,250.23,250.6,3206214.0,252.988,20914
2020-09-17,246.12,248.82,241.31,244.53,3243940.0,244.23,23604
2020-09-18,245.13,248.11,238.71,242.78,3466871.0,243.378,18709
2020-09-21,238.97,245.13,236.8,245.05,2873062.0,241.085,20041
2020-09-22,246.74,248.57,241.26,247.78,2345351.0,245.817,14709
2020-09-23,248.49,248.77,235.35,235.99,4667490.0,240.871,30877
2020-09-24,235.84,239.96,233.63,237.55,2626849.0,237.271,18192
2020-09-25,237.39,243.95,235.05,242.74,2479900.0,240.525,17863
2020-09-28,247.56,248.58,242.21,246.67,2397952.0,246.019,15715
2020-09-29,245.26,247.9,244.5,247.45,2669226.0,246.469,17535
2020-09-30,246.65,255.41,246.22,251.32,5326150.0,251.699,32145
2020-10-01,253.18,254.67,250.81,253.45,2401453.0,253.299,17326
2020-10-02,249.75,254.95,247.21,247.85,2789462.0,250.453,18769
2020-10-05,250.0,253.28,249.0,251.53,1996632.0,251.018,11551
2020-10-06,252.73,257.29,249.0,250.14,2932764.0,253.131,17598
2020-10-07,252.2,260.74,252.2,259.98,2920078.0,258.461,18834
2020-10-08,264.2,264.62,257.08,260.22,2612115.0,260.075,16815
2020-10-09,262.9,266.05,261.5,265.98,2208650.0,264.407,14252
2020-10-12,270.0,270.0,265.29,267.07,2446474.0,267.761,17875
2020-10-13,266.42,268.79,264.23,266.83,2503278.0,266.917,16911
2020-10-14,270.0,270.16,258.74,261.83,3166853.0,263.445,20065
2020-10-15,258.11,260.52,254.02,257.72,2950002.0,256.399,19133
2020-10-16,259.24,262.52,258.49,258.55,1904804.0,259.765,11485
2020-10-19,259.76,261.48,254.5,255.01,1763324.0,257.391,12163
2020-10-20,256.12,259.18,254.05,255.97,1685951.0,256.855,11122
2020-10-21,256.45,258.31,251.85,254.23,1638387.0,254.611,10750
2020-10-22,253.89,255.22,246.13,249.67,2317106.0,249.365,16419
2020-10-23,250.1,250.57,246.81,250.52,1893367.0,248.719,13062
2020-10-26,245.3,248.11,237.38,241.98,3482264.0,242.078,22576
2020-10-27,248.0,251.75,245.76,250.3,2799073.0,249.508,19570
2020-10-28,244.6,245.45,238.01,238.43,2671504.0,240.363,17465
2020-10-29,242.52,242.52,237.13,237.14,2685212.0,239.036,18628
2020-10-30,235.82,237.75,228.66,232.27,3268817.0,231.567,23323
2020-11-02,235.12,238.5,228.99,232.45,2337525.0,233.08,16649
2020-11-03,235.1,240.94,233.28,237.13,2273316.0,237.623,15419
2020-11-04,246.02,252.88,243.24,250.74,3989721.0,249.756,27702
2020-11-05,258.11,260.92,255.44,260.22,3138840.0,258.723,23589
2020-11-06,260.0,261.75,254.49,260.15,2022612.0,259.318,15077
2020-11-09,260.95,270.92,257.25,259.28,4364508.0,265.18,30780
2020-11-10,258.06,259.0,242.9,247.66,4513808.0,248.092,31555
2020-11-11,253.51,256.74,251.21,254.18,2427045.0,254.233,18283
2020-11-12,247.4,254.97,246.36,249.42,3404734.0,250.693,22657
2020-11-13,252.84,253.79,247.56,249.51,2354925.0,249.732,15844
2020-11-16,249.52,253.49,248.18,249.89,2763777.0,250.429,16921
2020-11-17,253.74,258.27,250.46,256.57,3155515.0,255.487,21429
2020-11-18,256.4,262.66,255.85,257.16,3754022.0,259.233,23466
2020-11-19,256.84,267.09,255.66,264.65,3860917.0,264.054,25624
2020-11-20,263.59,265.02,257.82,258.04,3307516.0,261.805,20567
2020-11-23,261.23,261.74,254.61,257.64,3067281.0,257.405,21722
2020-11-24,260.0,262.31,257.82,260.84,3148951.0,260.023,22455
