date,open,high,low,close,volume,average,barCount
2020-07-13,118.02,118.58,105.72,106.21,5233276.0,111.853,29742
2020-07-14,107.0,109.35,99.12,105.61,6936407.0,103.474,39071
2020-07-15,105.58,106.03,100.59,103.15,3479780.0,102.636,20468
2020-07-16,102.49,102.82,98.61,101.06,3640527.0,100.568,21406
2020-07-17,100.99,102.87,99.0,101.43,3356282.0,100.921,18460
2020-07-20,102.24,106.95,101.66,106.72,2756536.0,105.289,15232
2020-07-21,108.38,108.47,104.44,106.6,2624099.0,106.534,16267
2020-07-22,106.86,107.18,102.6,103.71,2573831.0,103.989,13641
2020-07-23,104.23,105.66,99.6,101.46,2666550.0,102.383,16086
2020-07-24,99.11,101.67,97.06,100.03,3090282.0,99.293,17606
2020-07-27,101.45,104.35,100.17,103.6,3482116.0,102.608,20657
2020-07-28,104.34,109.28,103.82,105.73,3690361.0,107.289,20710
2020-07-29,107.61,113.83,107.4,112.92,3951511.0,111.797,21302
2020-07-30,111.0,112.8,108.91,111.91,2104216.0,111.206,11840
2020-07-31,112.98,113.84,109.41,113.2,1936622.0,111.939,10553
2020-08-03,114.48,116.18,112.25,115.48,3000135.0,114.764,15512
2020-08-04,115.71,116.0,112.78,114.96,1611220.0,114.442,7977
2020-08-05,115.27,116.18,113.98,114.75,1872893.0,114.972,10638
2020-08-06,114.5,115.41,109.03,110.3,2849020.0,110.89,15216
2020-08-07,107.2,107.39,100.28,101.75,4978492.0,103.344,28611
2020-08-10,102.81,102.81,96.7,97.0,5234546.0,98.537,32153
2020-08-11,97.0,100.5,93.37,98.16,6407529.0,97.255,34614
2020-08-12,98.81,100.41,97.23,98.45,2335463.0,98.693,12581
2020-08-13,99.32,102.12,98.31,100.89,2296514.0,100.523,13256
2020-08-14,103.29,104.36,100.91,101.25,2004708.0,102.293,10577
2020-08-17,102.05,105.5,101.75,105.34,1850323.0,104.023,10973
2020-08-18,106.36,107.65,105.62,107.1,1573505.0,106.87,9629
2020-08-19,107.55,109.69,105.7,108.15,1619709.0,108.296,9194
2020-08-20,107.55,112.65,106.82,112.49,1988006.0,111.337,11467
2020-08-21,112.0,113.53,110.87,112.02,1602544.0,112.008,9397
2020-08-24,113.4,113.66,108.26,111.25,1930467.0,110.966,10838
2020-08-25,110.3,114.45,109.35,113.57,2079373.0,113.235,12286
2020-08-26,115.67,119.95,114.26,117.11,3664216.0,117.405,18940
2020-08-27,117.17,118.27,113.78,117.13,2396029.0,116.888,13115
2020-08-28,118.16,121.0,117.42,118.64,2817007.0,118.96,13203
2020-08-31,120.0,126.55,120.0,125.73,5179269.0,124.735,27274
2020-09-01,134.44,144.68,130.0,143.69,12080592.0,139.051,60536
2020-09-02,152.04,153.1,130.98,142.07,22834662.0,142.21,107830
2020-09-03,131.4,138.79,127.0,129.25,16611458.0,131.389,79181
2020-09-04,125.28,129.95,115.25,125.19,8133102.0,122.386,40509
2020-09-08,118.88,128.93,118.0,125.63,5198673.0,125.194,30063
2020-09-09,129.49,129.7,124.0,128.18,4042569.0,127.46,22630
2020-09-10,130.28,134.05,128.4,129.35,4574742.0,131.279,24494
2020-09-11,131.12,131.67,122.85,126.28,3209157.0,126.636,17968
2020-09-14,127.26,129.9,127.15,128.5,2311063.0,128.462,14241
2020-09-15,130.8,132.19,127.35,131.45,2597561.0,130.277,15896
2020-09-16,132.0,133.84,129.52,131.15,2539955.0,131.945,14754
2020-09-17,127.48,129.23,124.8,128.58,3400616.0,127.051,19871
2020-09-18,130.22,132.1,126.72,131.43,3439439.0,129.481,22859
2020-09-21,127.04,138.55,125.45,138.13,5418929.0,133.398,27684
2020-09-22,138.52,142.68,134.2,142.68,4022530.0,138.867,20804
2020-09-23,141.02,143.7,136.91,138.6,2889230.0,140.737,16329
2020-09-24,137.56,137.9,132.4,133.9,3030217.0,134.688,15803
2020-09-25,135.9,138.6,134.65,136.39,2479520.0,136.854,13748
2020-09-28,138.0,141.67,136.3,137.43,3115323.0,138.62,18193
2020-09-29,137.7,138.36,135.36,136.35,1499601.0,137.246,8123
2020-09-30,135.31,139.02,133.65,137.32,2668249.0,136.941,14796
2020-10-01,139.5,145.76,138.0,142.87,6054828.0,143.538,31357
2020-10-02,139.73,145.5,138.6,139.87,2476130.0,141.624,11441
2020-10-05,144.1,148.28,142.81,144.88,3749482.0,145.723,19460
2020-10-06,146.0,148.67,143.5,145.13,4222622.0,146.651,20683
2020-10-07,146.5,148.84,144.28,144.57,3204397.0,146.193,17447
2020-10-08,146.45,146.46,141.53,142.97,2492218.0,143.905,13450
2020-10-09,144.12,145.63,142.61,143.57,1648254.0,144.179,9754
2020-10-12,146.41,149.75,144.82,145.96,2576836.0,147.162,13754
2020-10-13,146.92,153.63,146.92,152.8,4082418.0,151.434,20878
2020-10-14,153.37,153.9,145.32,147.79,3521266.0,148.539,18900
2020-10-15,143.39,145.75,141.13,145.36,2593272.0,143.598,14238
2020-10-16,148.0,148.88,144.91,145.34,1948656.0,146.499,12241
2020-10-19,146.41,149.59,143.67,144.66,2104975.0,146.731,11724
2020-10-20,145.01,146.49,142.15,142.64,1696296.0,144.077,9080
2020-10-21,143.07,143.67,132.55,135.14,4489425.0,136.248,24280
2020-10-22,136.56,138.68,131.64,134.54,2962959.0,134.351,16447
2020-10-23,135.01,135.54,132.8,135.42,1370498.0,134.566,7725
2020-10-26,134.02,138.45,129.52,133.08,2282187.0,133.427,12305
2020-10-27,134.39,136.13,131.63,133.48,1691087.0,133.481,9091
2020-10-28,132.4,132.82,129.11,131.57,1800893.0,130.884,9958
2020-10-29,132.36,132.7,126.34,127.36,2029688.0,128.104,11434
