date,open,high,low,close,volume,average,barCount
2020-07-13,46.87,46.99,45.78,45.93,14041217.0,46.555,71365
2020-07-14,45.46,46.5,45.4,46.26,14329612.0,46.067,81504
2020-07-15,46.57,46.83,45.98,46.4,11675614.0,46.412,64348
2020-07-16,45.7,45.83,45.2,45.78,13737167.0,45.528,69636
2020-07-17,45.94,46.93,45.88,46.75,14660688.0,46.595,60550
2020-07-20,46.6,47.1,46.26,46.97,12738299.0,46.726,62916
2020-07-21,47.27,47.33,46.85,47.02,11597522.0,47.076,61197
2020-07-22,46.96,47.11,46.53,46.9,22166695.0,46.928,69544
2020-07-23,46.97,47.7,46.68,47.41,18904636.0,47.311,91455
2020-07-24,47.48,47.64,46.11,46.4,13737089.0,46.694,72012
2020-07-27,46.35,47.26,46.15,47.19,10351687.0,46.889,53782
2020-07-28,46.98,47.08,46.21,46.28,10783240.0,46.49,55454
2020-07-29,46.4,46.88,46.37,46.71,9026002.0,46.607,47605
2020-07-30,45.8,46.46,45.37,46.44,12553141.0,45.995,61965
2020-07-31,46.4,47.11,45.86,47.1,12238655.0,46.436,68541
2020-08-03,47.13,47.36,46.68,47.16,9460451.0,47.104,51750
2020-08-04,47.01,47.67,46.91,47.67,9414133.0,47.317,48460
2020-08-05,47.6,47.74,47.05,47.33,9555094.0,47.386,50955
2020-08-06,47.2,47.83,47.1,47.77,10758149.0,47.619,54958
2020-08-07,47.35,47.6,47.03,47.43,12280196.0,47.351,66069
2020-08-10,47.17,48.0,47.16,47.73,12279007.0,47.699,62602
2020-08-11,47.96,48.45,47.08,47.19,15636233.0,47.78,76259
2020-08-12,47.27,48.13,47.27,48.1,18220569.0,47.77,87367
2020-08-13,43.77,43.84,42.38,42.72,79370224.0,42.74,294631
2020-08-14,42.49,42.88,42.27,42.5,26456260.0,42.538,107821
2020-08-17,42.55,42.77,41.86,42.09,23557121.0,42.091,96320
2020-08-18,42.13,42.29,41.81,41.98,17239604.0,42.016,72698
2020-08-19,42.08,42.35,41.78,41.87,14999909.0,42.068,63953
2020-08-20,41.83,42.42,41.73,42.31,14383923.0,42.221,63389
2020-08-21,42.04,42.3,41.81,42.25,13536787.0,42.043,60138
2020-08-24,42.09,42.47,42.0,42.18,13392057.0,42.181,57255
2020-08-25,42.27,42.3,41.78,41.96,12330016.0,41.955,45169
2020-08-26,41.65,42.28,41.45,42.25,15291887.0,41.991,67352
2020-08-27,42.4,42.47,42.02,42.29,18266857.0,42.282,75771
2020-08-28,42.14,42.3,42.0,42.2,13452351.0,42.098,52860
2020-08-31,42.1,42.35,41.94,42.22,13954409.0,42.115,58787
2020-09-01,41.98,42.07,41.5,42.03,17189847.0,41.795,73026
2020-09-02,42.04,42.69,42.03,42.42,24100275.0,42.402,103791
2020-09-03,41.75,41.83,40.67,40.95,30921863.0,41.108,133797
2020-09-04,41.1,41.43,40.44,40.82,27707201.0,40.978,128698
2020-09-08,40.05,40.61,39.97,40.0,22920241.0,40.209,110529
2020-09-09,40.1,40.48,39.71,40.13,17274702.0,40.164,77913
2020-09-10,40.24,40.64,39.42,39.57,18999336.0,39.93,88190
2020-09-11,39.77,40.05,39.51,39.88,15341614.0,39.823,74723
2020-09-14,40.18,40.64,40.05,40.37,14571785.0,40.4,63007
2020-09-15,40.52,40.84,40.38,40.6,13601310.0,40.568,62155
2020-09-16,40.79,41.17,40.39,40.42,15363984.0,40.717,70933
2020-09-17,39.69,40.4,39.51,40.37,15197736.0,40.153,75072
2020-09-18,40.15,40.32,39.57,39.81,27587138.0,39.905,100442
2020-09-21,39.32,39.47,38.69,39.04,21091572.0,38.994,97274
2020-09-22,39.18,39.46,38.88,39.32,13438370.0,39.17,64989
2020-09-23,39.25,39.39,38.18,38.28,17827757.0,38.719,79974
2020-09-24,38.03,38.16,37.6,37.85,26177152.0,37.843,110169
2020-09-25,37.81,38.54,37.62,38.45,17404832.0,38.106,75382
2020-09-28,39.15,39.29,38.79,39.13,16692429.0,39.031,78380
2020-09-29,39.06,39.38,38.83,39.06,12396836.0,39.134,55686
2020-09-30,39.09,39.7,39.02,39.39,19388026.0,39.414,86358
2020-10-01,39.1,39.31,38.56,38.8,16141370.0,38.835,66250
2020-10-02,38.03,38.55,37.97,38.27,19368555.0,38.291,84500
2020-10-05,38.55,38.79,38.28,38.57,15154063.0,38.483,58838
2020-10-06,38.48,39.35,38.4,38.57,21957361.0,38.816,87588
2020-10-07,38.93,39.58,38.78,39.4,15375616.0,39.275,65448
2020-10-08,39.75,40.18,39.66,39.79,12891019.0,39.862,58600
2020-10-09,40.12,40.23,39.72,39.85,12868832.0,39.906,56939
2020-10-12,39.95,40.53,39.63,40.36,16125009.0,40.171,75148
2020-10-13,40.52,40.61,39.71,39.81,18247479.0,39.928,74304
2020-10-14,39.89,40.42,39.76,39.89,12573457.0,40.078,55659
2020-10-15,39.47,40.0,39.35,39.97,12110053.0,39.645,54180
2020-10-16,39.85,40.3,39.55,40.16,13917622.0,40.088,61023
2020-10-19,40.22,40.38,39.16,39.3,15580670.0,39.621,70335
2020-10-20,39.44,39.51,39.03,39.2,13650510.0,39.245,64128
2020-10-21,39.33,39.57,38.98,39.06,12718505.0,39.22,55656
2020-10-22,38.85,38.96,38.38,38.82,17272483.0,38.676,71314
2020-10-23,38.93,38.97,38.65,38.82,12898868.0,38.833,56443
2020-10-26,38.41,38.43,37.15,37.67,23544087.0,37.639,96365
2020-10-27,37.38,37.5,36.59,36.87,32869379.0,36.935,128254
2020-10-28,36.31,36.51,35.68,35.71,27200316.0,35.958,108323
2020-10-29,35.51,36.07,35.28,35.69,29440130.0,35.713,116991
2020-10-30,35.59,35.93,35.49,35.9,22200980.0,35.685,101266
2020-11-02,36.19,36.35,35.67,35.9,19561522.0,35.973,79761
2020-11-03,36.3,37.33,36.3,36.68,21386252.0,36.927,96387
2020-11-04,37.02,37.3,36.5,36.57,23997502.0,36.875,107430
2020-11-05,37.01,37.3,36.91,37.23,18681209.0,37.177,76751
2020-11-06,37.55,37.6,37.08,37.53,15149207.0,37.371,67968
2020-11-09,39.92,40.23,38.12,38.2,34088606.0,38.999,148369
2020-11-10,38.26,39.03,38.16,38.72,22556892.0,38.683,104658
2020-11-11,39.0,39.45,38.44,39.33,21649623.0,39.023,93490
2020-11-12,38.93,39.39,38.39,38.67,21424353.0,38.883,87483
2020-11-13,41.19,41.52,40.56,41.4,40992188.0,41.258,162424
2020-11-16,41.75,42.59,41.35,42.54,28800126.0,42.122,114210
2020-11-17,41.92,42.35,41.62,41.88,18609867.0,42.09,83218
2020-11-18,41.87,42.24,41.25,41.32,17220701.0,41.858,74953
2020-11-19,41.0,41.37,40.77,41.17,18024095.0,41.041,88220
2020-11-20,41.06,41.39,40.92,40.97,13343506.0,41.136,59510
2020-11-23,41.04,41.8,41.02,41.64,15887676.0,41.44,66168
2020-11-24,42.14,42.71,41.9,42.61,17506820.0,42.436,80279
2020-11-25,42.76,42.8,42.21,42.5,17096921.0,42.508,66461
2020-11-27,42.82,42.98,42.64,42.7,8593991.0,42.822,38196
2020-11-30,42.45,43.05,42.41,43.02,17991464.0,42.685,81954
2020-12-01,43.04,44.07,43.01,43.54,18249392.0,43.658,83638
2020-12-02,43.39,43.96,43.35,43.89,13687356.0,43.756,62305
2020-12-03,43.8,44.14,43.59,44.11,16803991.0,43.886,69070
2020-12-04,43.96,44.51,43.89,44.38,12295595.0,44.344,61373
