date,open,high,low,close,volume,average,barCount
2020-07-13,72.09,72.19,68.26,68.41,2209520.0,70.2894,1716
2020-07-14,67.67,68.39,66.2,68.0,1920010.0,67.0774,1657
2020-07-15,68.24,69.24,67.79,69.17,1213070.0,68.67,1155
2020-07-16,68.46,69.66,67.17,69.55,1781970.0,68.6678,1356
2020-07-17,70.1,71.45,68.91,70.62,3162410.0,70.5818,2592
2020-07-20,70.23,70.96,69.75,70.67,1015020.0,70.448,804
2020-07-21,71.67,71.67,70.05,70.83,1334390.0,70.7678,974
2020-07-22,71.01,71.12,70.06,70.5,674730.0,70.5632,615
2020-07-23,70.88,71.87,69.58,69.86,859770.0,70.4971,744
2020-07-24,69.58,70.56,68.31,70.38,1993330.0,69.958,1134
2020-07-27,70.79,72.16,69.74,71.92,1580580.0,71.1421,1089
2020-07-28,71.77,72.84,71.25,71.67,1580720.0,72.0393,1180
2020-07-29,93.9,93.9,78.54,82.91,4530660.0,82.2889,2782
2020-07-30,82.2,83.88,81.8,83.27,1226850.0,82.8803,1018
2020-07-31,83.1,85.41,82.6,84.98,1300540.0,83.9944,1071
2020-08-03,85.64,85.98,83.5,83.5,1180330.0,84.5307,997
2020-08-04,81.84,83.96,81.84,82.94,1134470.0,83.0796,920
2020-08-05,83.56,84.8,83.22,84.09,789360.0,84.1327,643
2020-08-06,84.07,84.39,82.25,83.15,775820.0,82.9581,682
2020-08-07,83.48,84.0,82.66,83.04,669130.0,83.1711,574
2020-08-10,82.88,83.62,82.02,83.15,687670.0,83.0003,574
2020-08-11,83.28,83.28,80.76,81.02,819170.0,82.0128,776
2020-08-12,81.29,83.46,80.38,82.47,504160.0,82.5184,440
2020-08-13,82.84,84.61,82.84,84.17,496360.0,84.1916,464
2020-08-14,83.99,83.99,82.33,83.04,553450.0,82.9897,408
2020-08-17,83.5,84.01,82.85,83.12,473090.0,83.2256,416
2020-08-18,83.37,84.12,82.71,82.83,372000.0,83.1868,293
2020-08-19,83.08,83.65,82.3,82.72,413720.0,82.8716,325
2020-08-20,82.24,84.17,82.24,83.59,574760.0,83.5456,516
2020-08-21,83.39,83.7,83.12,83.33,332540.0,83.4255,270
2020-08-24,83.89,85.55,83.44,85.3,612510.0,84.8127,530
