date,open,high,low,close,volume,average,barCount
2020-07-13,27.11,27.18,26.6,26.84,1865432.0,26.91,12122
2020-07-14,26.67,27.24,26.51,27.08,2555125.0,26.973,16687
2020-07-15,27.86,28.05,27.42,27.94,1873959.0,27.813,12828
2020-07-16,27.75,28.26,27.71,27.92,1389320.0,27.967,9634
2020-07-17,28.06,28.43,27.75,28.35,1907523.0,28.271,12322
2020-07-20,28.13,28.26,27.72,27.72,1098177.0,27.903,7386
2020-07-21,27.86,28.45,27.86,28.35,1850436.0,28.299,12723
2020-07-22,28.04,28.68,28.04,28.66,1338577.0,28.464,9475
2020-07-23,28.47,28.92,28.32,28.67,1639183.0,28.613,10682
2020-07-24,28.74,28.81,28.31,28.52,1231883.0,28.489,7405
2020-07-27,28.56,29.0,28.48,28.81,1354260.0,28.738,9227
2020-07-28,28.66,28.76,28.13,28.19,2114014.0,28.327,9336
2020-07-29,28.13,28.83,28.13,28.81,1798675.0,28.608,12152
2020-07-30,28.22,28.53,27.79,28.48,2590486.0,28.236,14059
2020-07-31,28.4,28.7,28.02,28.56,2336607.0,28.404,13802
2020-08-03,28.78,28.9,28.47,28.52,1925832.0,28.656,12979
2020-08-04,28.5,29.0,28.43,28.71,2384235.0,28.757,13618
2020-08-05,29.0,29.14,28.55,28.55,2910496.0,28.818,16772
2020-08-06,26.88,27.25,25.22,25.42,9683086.0,25.966,38630
2020-08-07,25.49,25.5,24.83,25.32,6489645.0,25.217,29299
2020-08-10,25.04,25.63,24.98,25.42,6216724.0,25.295,22697
2020-08-11,25.89,27.03,25.74,26.78,7121170.0,26.54,33023
2020-08-12,27.2,27.3,26.13,26.36,3990077.0,26.552,21776
2020-08-13,26.51,27.0,26.08,26.92,4617542.0,26.738,22468
2020-08-14,26.75,28.11,26.56,27.87,3951372.0,27.526,19303
2020-08-17,27.89,28.14,27.33,27.77,3471496.0,27.657,14559
2020-08-18,27.85,28.42,27.81,28.4,2244049.0,28.219,12715
2020-08-19,28.15,28.61,28.0,28.56,3270803.0,28.404,17439
2020-08-20,28.25,28.8,28.17,28.8,3266774.0,28.577,18952
2020-08-21,28.64,28.7,28.01,28.44,5528230.0,28.331,21457
2020-08-24,28.87,28.98,28.2,28.54,2131010.0,28.478,13413
2020-08-25,28.7,29.17,28.61,28.65,1709083.0,28.811,11005
2020-08-26,28.65,29.28,28.43,29.23,1732044.0,29.008,12395
2020-08-27,29.24,29.45,29.05,29.29,1314149.0,29.271,9565
2020-08-28,29.4,29.82,29.13,29.52,2323821.0,29.471,14137
2020-08-31,29.43,29.43,28.53,28.55,1952938.0,28.811,12986
2020-09-01,28.58,29.45,28.42,29.44,2388684.0,28.905,16196
2020-09-02,29.33,30.19,29.12,30.13,2228931.0,29.807,14879
2020-09-03,29.92,30.21,29.11,29.41,2225787.0,29.463,15741
2020-09-04,29.8,30.12,29.05,29.32,2893901.0,29.471,19637
2020-09-08,29.07,29.07,28.23,28.3,2865908.0,28.471,19707
2020-09-09,28.54,29.41,28.51,28.74,1832119.0,28.953,13013
2020-09-10,28.72,29.26,28.69,29.14,3261336.0,29.064,19908
