date,open,high,low,close,volume,average,barCount
2020-07-13,62.67,63.54,62.37,62.62,4742733.0,62.853,27054
2020-07-14,62.42,63.9,62.2,63.7,5065163.0,63.087,29200
2020-07-15,63.95,64.63,63.49,64.58,5555249.0,64.263,33344
2020-07-16,64.5,65.36,64.12,64.99,4538429.0,64.929,28074
2020-07-17,65.31,65.63,65.02,65.36,3936009.0,65.365,22958
2020-07-20,65.34,65.46,63.75,63.91,4346231.0,64.174,24108
2020-07-21,63.88,64.77,63.55,64.52,4708820.0,64.367,27305
2020-07-22,64.11,64.21,63.12,63.78,3587459.0,63.598,20577
2020-07-23,63.8,64.35,63.53,63.79,3707441.0,63.835,20727
2020-07-24,64.28,64.99,63.01,63.34,5032953.0,63.831,28814
2020-07-27,62.86,63.06,62.11,62.57,5342830.0,62.559,29821
2020-07-28,62.42,63.5,62.23,63.27,3835822.0,63.188,20803
2020-07-29,63.46,64.59,63.09,64.22,4476265.0,64.154,26473
2020-07-30,63.66,64.15,63.27,64.0,3360025.0,63.795,20116
2020-07-31,63.79,63.9,62.29,62.94,5890281.0,62.876,32834
2020-08-03,63.37,64.17,63.02,63.86,4641028.0,63.75,27063
2020-08-04,63.74,65.41,63.67,64.98,7341338.0,64.983,43009
2020-08-05,65.54,65.6,63.9,64.4,10149373.0,64.406,50482
2020-08-06,64.55,65.4,63.92,64.12,5366833.0,64.474,26357
2020-08-07,63.79,64.97,63.65,64.96,4526373.0,64.273,23446
2020-08-10,64.9,65.96,64.79,65.71,5027538.0,65.475,27358
2020-08-11,66.3,67.17,65.07,65.26,5570683.0,66.14,29848
2020-08-12,65.83,65.98,64.61,64.99,5254774.0,65.043,26001
2020-08-13,64.57,64.98,64.05,64.7,4347935.0,64.47,25362
2020-08-14,64.28,65.68,64.09,65.67,3758366.0,65.249,20314
2020-08-17,65.85,65.88,64.88,64.9,4004849.0,65.132,23212
2020-08-18,65.01,65.56,64.9,65.18,3454251.0,65.203,19548
2020-08-19,65.39,65.71,64.99,65.28,3692271.0,65.406,21483
2020-08-20,64.82,64.93,63.63,63.72,4401370.0,64.139,23588
2020-08-21,63.7,64.12,63.43,63.94,3659013.0,63.808,18699
2020-08-24,64.01,64.08,63.41,63.87,4158941.0,63.639,21520
2020-08-25,64.06,64.17,63.19,63.47,3259339.0,63.434,17928
2020-08-26,63.11,63.17,61.89,62.7,6555494.0,62.397,33887
2020-08-27,62.63,63.61,62.27,63.39,4013303.0,63.202,22887
2020-08-28,63.47,63.63,62.83,63.21,3899321.0,63.15,20955
2020-08-31,62.37,63.06,62.11,62.12,5835923.0,62.438,31689
2020-09-01,62.02,62.04,59.95,60.28,10000800.0,60.56,47001
2020-09-02,60.3,61.32,60.18,60.91,12545502.0,60.826,53829
2020-09-03,61.38,61.99,60.03,60.45,6922053.0,60.861,35829
2020-09-04,60.45,60.8,59.29,60.24,6584045.0,60.038,37810
2020-09-08,60.43,60.81,59.27,59.53,5969092.0,59.826,36731
2020-09-09,59.69,60.14,59.21,59.53,4561454.0,59.709,25760
2020-09-10,59.44,59.65,57.96,58.0,7956700.0,58.702,43287
2020-09-11,58.13,58.24,57.06,57.4,9617988.0,57.469,48407
2020-09-14,57.68,58.21,57.55,57.97,9266862.0,58.006,44694
2020-09-15,58.0,58.61,56.99,57.0,8436075.0,57.634,38282
2020-09-16,57.16,57.85,56.1,57.48,11207541.0,56.934,52610
2020-09-17,57.1,58.68,56.82,58.41,7967150.0,58.084,46995
2020-09-18,58.51,59.77,57.88,59.57,9138555.0,58.906,48068
2020-09-21,58.94,59.01,57.96,58.87,7586020.0,58.488,45575
2020-09-22,58.81,59.23,58.09,58.14,5395294.0,58.696,28972
2020-09-23,58.16,58.38,57.36,57.4,4946879.0,57.76,28147
2020-09-24,57.18,57.6,56.35,56.71,5488440.0,56.883,33098
2020-09-25,56.31,57.43,56.11,57.32,3581773.0,56.925,20948
2020-09-28,57.6,58.6,57.6,57.94,3773403.0,58.224,20954
2020-09-29,57.95,57.95,57.05,57.54,4517388.0,57.494,23598
2020-09-30,57.64,59.1,57.6,58.4,5507211.0,58.526,30773
2020-10-01,58.43,58.67,57.35,57.84,5891653.0,57.749,32413
