date,open,high,low,close,volume,average,barCount
2020-07-13,86.04,86.93,84.81,85.4,4722665.0,85.921,27210
2020-07-14,85.39,88.6,85.04,88.35,4549307.0,87.468,28307
2020-07-15,90.18,90.19,88.21,88.89,4130570.0,89.028,26475
2020-07-16,88.44,89.48,87.35,88.36,3153927.0,88.35,17338
2020-07-17,88.41,89.11,86.91,87.19,3982716.0,87.592,21611
2020-07-20,86.82,87.49,84.8,85.27,11307148.0,85.727,65090
2020-07-21,86.47,91.73,86.36,91.39,10629192.0,90.278,61960
2020-07-22,89.95,91.25,88.9,91.04,7671930.0,90.165,47141
2020-07-23,90.5,91.38,90.02,91.01,4620798.0,90.634,26769
2020-07-24,91.4,92.74,89.98,90.13,5108686.0,91.131,29429
2020-07-27,89.76,91.09,88.8,91.04,5036494.0,90.267,30098
2020-07-28,90.47,91.17,88.77,89.11,4711648.0,89.413,28424
2020-07-29,89.48,90.08,88.57,90.07,4570671.0,89.241,28386
2020-07-30,88.43,88.5,85.7,86.27,7089492.0,86.549,43195
2020-07-31,83.25,84.1,81.51,83.94,12923529.0,82.642,74795
2020-08-03,83.98,85.14,83.8,84.81,7537620.0,84.467,44599
2020-08-04,84.48,86.72,84.28,86.49,6236542.0,85.88,36424
2020-08-05,88.1,88.43,86.4,87.2,5412731.0,87.347,28326
2020-08-06,86.43,87.9,86.1,87.47,4807552.0,87.13,26114
2020-08-07,86.88,87.11,85.74,86.8,5136619.0,86.333,27575
2020-08-10,87.93,89.76,87.6,89.73,4907210.0,88.918,27733
2020-08-11,91.95,93.01,89.17,89.62,5992421.0,91.133,33114
2020-08-12,90.8,91.66,89.45,90.72,6424545.0,90.242,32067
2020-08-13,89.87,91.28,89.76,89.82,4779746.0,90.454,26020
2020-08-14,89.0,90.59,88.85,90.35,4566362.0,90.014,24721
2020-08-17,90.35,91.58,89.72,90.77,7421762.0,90.531,39392
2020-08-18,88.71,89.37,87.32,87.63,5564859.0,88.013,30337
2020-08-19,87.3,87.9,86.2,86.39,5748973.0,86.935,30239
2020-08-20,85.42,85.92,84.73,84.81,5593148.0,85.156,27277
2020-08-21,84.67,85.09,83.51,85.08,5862431.0,84.426,31223
2020-08-24,85.6,87.34,84.89,87.2,5755941.0,86.331,30359
2020-08-25,87.97,88.04,85.76,86.13,4920965.0,86.294,24528
2020-08-26,85.71,85.84,84.66,84.78,5366041.0,85.151,24984
2020-08-27,85.09,85.63,83.97,84.91,5476372.0,84.765,29087
2020-08-28,85.05,85.73,84.32,85.63,4884884.0,85.134,23736
2020-08-31,85.83,85.9,83.87,83.93,5922616.0,84.448,28653
2020-09-01,83.26,83.63,82.45,83.08,6751435.0,83.028,31090
2020-09-02,83.06,83.96,82.7,83.19,7272669.0,83.276,40788
2020-09-03,83.05,84.49,81.71,82.28,11809814.0,82.89,64673
2020-09-04,82.46,83.64,80.9,81.93,7364224.0,82.02,42341
2020-09-08,80.49,80.58,78.04,78.97,10732082.0,79.067,62899
2020-09-09,79.97,81.07,79.68,80.03,6204975.0,80.433,38116
2020-09-10,80.63,80.89,78.05,78.15,8852889.0,79.389,53532
2020-09-11,78.24,78.69,77.06,77.69,10462937.0,77.751,53526
2020-09-14,77.48,77.98,76.91,77.29,5694747.0,77.457,29961
2020-09-15,77.56,78.48,75.96,76.35,7438619.0,76.829,37200
2020-09-16,76.35,79.48,75.96,78.56,9078774.0,78.041,51856
2020-09-17,77.53,78.85,76.37,78.79,6638122.0,78.075,36943
2020-09-18,77.88,79.15,77.5,78.21,7875905.0,78.118,37160
2020-09-21,76.24,76.66,74.68,76.3,11385385.0,75.413,59772
2020-09-22,76.15,77.53,75.35,75.53,6570932.0,76.005,34070
2020-09-23,75.59,75.91,71.85,71.95,13033015.0,73.655,57771
2020-09-24,71.1,73.03,70.5,71.8,11942087.0,71.608,60288
2020-09-25,71.01,72.48,70.77,71.83,8631967.0,71.507,47140
2020-09-28,73.64,74.76,73.15,73.93,9619932.0,73.97,50608
2020-09-29,74.0,74.14,71.11,71.9,7922259.0,72.03,41174
2020-09-30,72.25,72.89,71.61,72.0,6884536.0,72.179,36991
2020-10-01,71.51,71.88,70.03,70.42,11331960.0,70.675,60704
2020-10-02,68.92,71.67,68.82,71.19,7358636.0,70.612,36898
2020-10-05,71.52,72.73,70.71,72.7,8188136.0,71.757,39852
2020-10-06,73.84,74.32,72.24,72.3,12411573.0,73.348,64291
2020-10-07,72.17,73.92,71.56,73.78,8199845.0,72.794,41618
2020-10-08,74.39,75.55,73.99,75.22,8198575.0,74.919,41882
2020-10-09,75.86,76.09,73.98,74.0,7220144.0,74.724,35881
2020-10-12,73.63,74.95,73.2,74.51,6368341.0,74.285,32419
2020-10-13,74.74,74.74,72.78,73.4,6669948.0,73.441,35172
2020-10-14,73.28,74.44,72.91,72.95,5389731.0,73.7,31731
2020-10-15,71.99,73.72,71.39,73.51,5936376.0,72.816,35004
2020-10-16,73.52,74.03,72.27,72.89,6244304.0,73.29,32212
2020-10-19,73.11,73.34,71.19,71.28,6121504.0,72.241,32532
2020-10-20,71.91,72.29,71.04,71.68,6089593.0,71.657,32866
2020-10-21,71.13,71.59,70.73,70.87,7641302.0,71.05,40928
2020-10-22,70.88,73.49,70.57,73.4,7078166.0,72.161,39496
2020-10-23,73.93,74.37,71.82,72.57,6402716.0,72.762,37203
2020-10-26,71.73,71.89,70.24,70.94,7579046.0,70.929,39496
2020-10-27,70.42,70.6,69.49,69.51,9893177.0,69.927,54057
2020-10-28,67.7,68.08,66.32,66.88,12350332.0,67.142,67190
2020-10-29,66.13,69.14,65.16,68.8,8788483.0,67.614,53152
2020-10-30,69.9,70.11,68.08,69.5,10473309.0,69.132,58380
2020-11-02,70.7,73.08,69.4,72.15,8164017.0,71.619,48928
2020-11-03,73.18,73.3,71.05,71.74,6195581.0,72.005,36608
2020-11-04,70.78,73.59,69.89,71.77,7059519.0,72.361,39910
2020-11-05,71.9,72.97,71.76,72.14,7978889.0,72.374,43352
2020-11-06,72.5,73.27,70.83,71.15,6067162.0,71.786,33733
2020-11-09,80.0,84.27,78.26,79.4,17031606.0,80.397,97386
2020-11-10,81.14,83.15,79.7,83.07,11096895.0,81.636,61561
2020-11-11,84.1,84.49,81.8,82.46,7549146.0,82.713,41752
2020-11-12,80.98,82.24,79.9,80.67,6507345.0,80.978,35217
2020-11-13,81.15,83.35,81.03,83.03,7099611.0,82.578,34374
2020-11-16,86.24,89.18,85.54,88.96,14558973.0,87.761,69500
2020-11-17,86.4,87.53,84.83,87.04,9452237.0,86.48,45095
2020-11-18,87.37,87.9,84.25,84.28,8047913.0,86.155,40691
2020-11-19,83.55,85.96,83.06,85.73,6422671.0,84.785,35118
