date,open,high,low,close,volume,average,barCount
2020-07-13,53.33,53.6,51.86,52.2,21134756.0,52.571,92756
2020-07-14,51.29,52.09,50.01,50.15,29661398.0,50.765,135435
2020-07-15,51.9,52.11,50.68,51.84,22918170.0,51.418,104082
2020-07-16,51.28,52.46,50.93,51.46,16576310.0,51.596,69829
2020-07-17,51.22,51.48,50.2,50.22,17072808.0,50.733,72784
2020-07-20,49.99,50.58,49.75,50.14,17299992.0,50.095,74319
2020-07-21,50.9,51.82,50.67,51.73,17415503.0,51.387,80784
2020-07-22,51.54,52.28,51.14,51.66,15400025.0,51.572,69004
2020-07-23,51.45,52.23,51.13,52.08,14431646.0,51.689,67075
2020-07-24,52.1,52.48,51.5,51.67,13950019.0,51.897,64711
2020-07-27,51.22,51.46,50.6,51.29,12095673.0,51.142,54424
2020-07-28,51.02,51.66,50.96,51.27,11446659.0,51.328,47434
2020-07-29,51.17,52.59,50.99,52.52,14736884.0,51.777,58210
2020-07-30,51.12,51.2,49.86,50.87,20661007.0,50.396,79791
2020-07-31,50.26,50.31,49.36,50.01,16386967.0,49.766,73046
2020-08-03,50.58,50.85,49.69,50.39,13051091.0,50.434,56128
2020-08-04,50.23,50.32,49.85,50.14,11334106.0,50.039,45123
2020-08-05,50.5,51.31,50.47,51.04,13115082.0,51.05,52822
2020-08-06,50.75,51.29,50.58,50.89,9355560.0,50.871,37503
2020-08-07,50.52,52.23,50.13,52.12,17269190.0,51.193,72810
2020-08-10,52.29,53.21,52.25,52.86,14008730.0,52.815,57831
2020-08-11,54.45,55.03,53.54,53.76,20895035.0,54.374,96140
2020-08-12,55.01,55.02,52.74,53.35,15932232.0,53.572,64550
2020-08-13,52.83,53.48,52.57,52.89,11864059.0,52.898,53151
2020-08-14,52.45,53.35,52.35,52.93,11248065.0,52.888,47956
2020-08-17,52.63,52.82,51.35,51.42,16470093.0,51.789,60772
2020-08-18,51.52,51.53,50.28,50.34,14500075.0,50.671,59718
2020-08-19,50.68,51.33,50.0,50.29,17009129.0,50.635,69543
2020-08-20,49.52,50.02,49.23,49.58,13381469.0,49.62,56659
2020-08-21,49.45,50.08,49.15,49.3,13913547.0,49.434,58077
2020-08-24,49.9,51.13,49.45,51.06,16908879.0,50.402,71049
2020-08-25,51.85,52.51,50.97,51.65,14708276.0,51.581,66436
2020-08-26,51.66,51.79,50.81,50.85,11821629.0,51.227,45876
2020-08-27,50.67,52.22,50.65,51.72,16697045.0,51.669,68016
2020-08-28,52.07,52.37,51.52,52.28,13160471.0,51.971,53941
2020-08-31,51.91,52.04,51.1,51.12,12376874.0,51.385,50396
2020-09-01,50.88,51.57,50.54,51.2,14615061.0,51.106,61104
2020-09-02,51.04,52.14,50.65,51.95,12731752.0,51.553,54293
2020-09-03,52.44,53.64,51.23,51.5,20648509.0,52.102,99202
2020-09-04,52.47,53.36,51.44,52.52,21586531.0,52.323,104698
2020-09-08,51.92,52.09,50.65,51.04,23936083.0,51.075,109241
2020-09-09,51.2,51.59,50.61,51.4,16038647.0,51.177,67660
2020-09-10,51.72,52.5,50.7,50.95,18776018.0,51.339,92014
2020-09-11,50.93,51.69,50.8,51.0,17293244.0,51.142,82213
2020-09-14,51.49,52.08,47.9,48.15,51781040.0,49.614,224014
2020-09-15,48.12,48.39,44.67,44.81,75184324.0,46.154,290975
2020-09-16,45.21,46.76,44.62,46.02,39791387.0,45.967,166155
2020-09-17,45.46,45.83,45.01,45.53,21943693.0,45.438,96128
2020-09-18,45.52,45.96,44.75,44.86,26860211.0,45.123,112949
2020-09-21,43.41,44.16,43.07,43.93,27713083.0,43.582,130359
2020-09-22,43.81,44.13,43.07,43.29,21451703.0,43.386,99531
2020-09-23,43.61,43.95,41.79,41.85,24313197.0,42.709,104708
2020-09-24,41.85,42.6,41.29,42.19,24027313.0,42.058,106691
2020-09-25,41.84,42.13,41.52,42.02,22257067.0,41.857,100107
2020-09-28,42.99,43.88,42.89,43.34,17463646.0,43.443,79148
2020-09-29,43.2,43.29,42.02,42.42,18057666.0,42.414,79989
2020-09-30,42.58,43.59,42.5,43.11,17427799.0,43.134,77289
2020-10-01,43.33,43.65,42.6,43.44,18437169.0,43.104,76267
2020-10-02,42.54,43.87,42.52,43.66,19845256.0,43.255,93952
2020-10-05,44.26,45.23,44.21,44.91,19588969.0,44.923,91001
2020-10-06,45.48,46.06,44.16,44.41,25158517.0,45.341,115258
2020-10-07,45.02,45.63,44.61,44.84,17130897.0,44.941,75952
2020-10-08,44.91,45.17,44.28,44.72,24560164.0,44.787,109698
2020-10-09,45.01,45.59,44.69,44.93,18656104.0,45.097,82156
2020-10-12,45.09,45.99,44.95,45.88,19351384.0,45.558,84549
2020-10-13,46.16,46.16,43.55,43.68,42699759.0,44.259,176049
2020-10-14,43.52,44.24,43.0,43.03,26265185.0,43.508,109827
2020-10-15,42.54,43.64,42.25,43.61,22312146.0,43.141,109713
2020-10-16,43.68,43.88,43.08,43.19,21412399.0,43.38,90440
2020-10-19,43.35,43.39,42.81,42.9,18278234.0,43.02,83072
2020-10-20,43.37,44.08,43.34,43.52,18348421.0,43.74,86099
2020-10-21,43.48,43.73,42.9,43.01,16582860.0,43.237,78278
2020-10-22,42.89,43.99,42.66,43.95,18079649.0,43.518,76411
2020-10-23,44.21,44.57,43.66,43.95,14615599.0,44.135,67805
2020-10-26,43.36,43.4,42.81,43.26,19087198.0,43.098,85172
2020-10-27,43.04,43.04,41.87,41.88,20799399.0,42.373,92935
2020-10-28,41.0,41.59,40.74,41.13,22507970.0,41.176,103210
2020-10-29,41.13,42.15,40.71,41.66,19371637.0,41.545,93772
