date,open,high,low,close,volume,average,barCount
2020-12-09,182.0,195.5,163.8,189.51,21701053.0,181.461,80793
2020-12-10,179.71,187.7,172.63,186.0,7496582.0,178.075,40624
2020-12-11,176.52,182.0,168.25,175.0,3990553.0,173.706,22435
2020-12-14,169.1,170.0,151.2,160.0,6650176.0,157.742,32569
2020-12-15,157.1,161.42,153.76,158.89,3725370.0,156.327,20769
2020-12-16,161.18,167.47,157.2,158.05,2569346.0,161.088,15151
2020-12-17,159.1,161.66,149.95,154.21,5397515.0,154.633,29472
2020-12-18,154.21,169.95,147.32,166.35,5230441.0,159.797,27394
2020-12-21,169.07,173.46,155.0,160.23,3122154.0,161.707,16454
2020-12-22,161.51,163.21,153.42,156.79,1958858.0,156.953,12461
2020-12-23,155.0,161.56,150.25,158.22,1357462.0,156.844,8443
2020-12-24,157.38,158.6,153.07,158.46,506186.0,155.541,3340
2020-12-28,158.25,158.45,141.5,147.89,3217137.0,147.815,17037
2020-12-29,146.12,147.4,139.64,141.27,3279127.0,141.445,19684
2020-12-30,144.4,147.98,139.8,140.2,2606256.0,142.524,14968
2020-12-31,140.2,146.5,135.38,142.75,2183694.0,141.241,13307
2021-01-04,142.5,143.62,137.17,139.19,1525063.0,139.875,9238
2021-01-05,138.0,146.12,137.83,144.43,791171.0,143.579,5081
2021-01-06,141.27,142.0,138.21,140.01,1574483.0,139.753,9625
2021-01-07,140.28,154.64,139.43,152.77,2642783.0,149.91,14518
2021-01-08,152.0,158.31,147.3,156.09,2069406.0,155.282,13972
2021-01-11,153.19,168.83,153.19,167.0,2082366.0,163.626,13436
2021-01-12,165.5,201.93,162.61,191.99,5826519.0,188.775,34715
2021-01-13,192.41,215.5,188.07,198.0,5030937.0,201.253,27712
2021-01-14,196.62,221.4,195.33,207.24,3679699.0,211.515,23887
2021-01-15,207.0,212.09,186.96,187.15,2661603.0,195.152,15871
2021-01-19,191.19,202.3,185.54,198.75,2864010.0,196.623,18745
2021-01-20,200.0,203.82,189.04,189.46,1627990.0,194.649,9830
2021-01-21,191.61,195.48,183.19,190.89,1943576.0,188.671,10221
2021-01-22,190.2,197.07,187.11,192.0,1384781.0,191.367,8793
2021-01-25,194.33,215.39,191.31,191.81,2748325.0,202.605,16161
2021-01-26,198.0,204.38,196.41,198.22,1850544.0,200.173,11906
2021-01-27,200.0,256.09,190.4,193.07,4809894.0,210.533,29654
2021-01-28,198.99,201.5,183.48,183.8,1221700.0,188.573,8409
2021-01-29,189.4,194.99,183.48,193.27,1504323.0,189.423,7066
2021-02-01,194.59,203.67,187.56,191.17,893715.0,192.836,5489
2021-02-02,191.95,197.6,181.63,182.53,1053229.0,187.229,6297
2021-02-03,184.66,186.66,178.32,180.58,935431.0,181.729,5711
2021-02-04,181.38,191.88,180.65,189.33,845772.0,187.823,4920
2021-02-05,189.57,190.92,180.24,181.23,1202851.0,183.859,7591
2021-02-08,183.45,185.49,174.21,177.43,1564821.0,178.309,8862
2021-02-09,177.71,192.28,177.6,187.75,1665513.0,187.593,9536
2021-02-10,190.66,215.68,190.01,215.16,3261665.0,206.221,20410
2021-02-11,208.5,222.0,208.5,213.26,1485242.0,215.802,10065
2021-02-12,213.03,213.54,202.51,202.97,949329.0,207.43,6553
2021-02-16,205.6,226.47,205.0,212.17,2083973.0,218.681,11960
2021-02-17,213.82,213.82,194.09,197.87,1498830.0,200.686,9961
2021-02-18,194.3,201.41,188.91,200.06,1326945.0,194.544,8977
2021-02-19,200.07,209.16,199.23,205.97,1437513.0,204.479,8246
2021-02-22,198.0,201.99,176.36,178.07,2401097.0,188.844,15148
2021-02-23,175.96,185.46,165.55,173.5,2256863.0,175.825,14482
2021-02-24,174.36,180.55,173.52,176.32,1470427.0,177.086,10053
2021-02-25,174.41,182.56,163.73,166.87,2520346.0,172.054,18058
2021-02-26,155.5,172.97,155.02,169.49,6125759.0,164.289,35100
2021-03-01,171.44,173.79,164.2,168.89,3274135.0,170.963,20520
2021-03-02,168.0,170.8,155.22,160.59,3828819.0,160.725,22887
